Company;Model;Date;User;Rating;Usage;Review
BMW;5Series;10 Sep 2019;Anil Roy;4.3; Family Car ;Over the years I have had the good fortune of owning a variety of brands- Maruti, Hyundai, VW, Skoda, Mercedes and most recently BMW 5 series, which undoubtedly is the best driving experience. I like to drive and the 5 series is sheer pleasure. However, BMW’s dealer in Ranchi is not a shadow of who they represent. Here’s my experience: they started on a high note- unrelenting phone calls until payment was collected. They give me a date to take delivery. Since I live in Jamshedpur (about 170 kms from the dealership), to make sure before arriving, I ask for a copy of Temporary Permit (TP). They go -that’s not done yet but ‘chalte hai’- everyone takes delivery without one. I ask how about insurance cover, God forbid, in case of an accident without TP. They say- that’s your risk! Obviously, I postpone the delivery until the following week when they confirm that TP is done. On the day, after a flimsy ritual of (third class) cake cutting ceremony, they hand me the keys with a photo copy of an un-signed, un-stamped TP! As much as I am aghast, I have no option but to drive a new car with technically no legal paper of registration and ownership. They promise to have the signed copy of the TP sent within 48 hrs, which after 41 days I still haven’t received!Now, here’s the kicker- my TP expired on Aug 29 and the car has no registration; hence a 60 lac car now sits pretty in my garage while I use a Ola to get to work!So in summary BMW ought to do better in their selection of dealership, lest they risk erosion of their hard-earned brand equity. To all the BMW lovers in Jharkhand and Bihar, stay away from Titanium.
BMW;5Series;15 May 2020;Ganesh Khade;4.0; Family Car | Occasional Commute | Daily Commute | Tours ;Car performance is good but i am not happy with bmw services at all. Worse experience than anything you will get here in osl prestige kolkata that also paid.all credit goes to mr.dilip paul,.these guys have given me headache by their fake promises and pathetic service ,i have puchased bmw 520d luxury demo car from here..and trust me, this guys were laying about delivery from 1 week after full paym ent to almost 1 months ..they said every scratches will be removed and same area will be repaint, so they have done it like anyone can make out the difference in repainted area..not professional work from bmw service center..they have painted my front bumper like kid playing with spray gun. Shame on such big brand..scratches are not removed from car i don't know how they can behave like this with bmw reputation.very disappointing.,please don't buy anything from this guys..you will regret..like me.shame on you osl prestige for fooling customers, i have posted some photos of repaint job please check on osl prestige reviews.
BMW;5Series;27 Aug 2020;818494;4.5; Daily Commute | Occasional Commute;Great vehicle great looking mileage is decent depend on your driving modes and looks are great and power is like amzing its like sports car and comfort is great and smooth vehicle feels like driving a great car
BMW;5Series;24 Mar 2020;Jash Sojitra;4.7; Family Car | Occasional Commute | Tours ;Beautiful car both inside and outside. Very punchy engine with excellent torque. Elegant interior with a lot of comfort. Masculine body lines in the exterior give it an excellent look.
BMW;5Series;20 Oct 2020;Togo Riba;3.7; Family Car ;Good car, Feels safe on drive.But not great in comfort, Acceleration is at top super responsive engine with great driving dynamics and handling.
BMW;5Series;13 Dec 2020;Basant Raghu..;4.3; Family Car ;Very comfortable and safe car and driving is so injoyeble but mantinence and parts problem is so heard and parts cost is so higher
BMW;5Series;16 May 2020;Rahul Yadav;4.3; Family Car ;It is very comfortable and safety.milage is also good.And performance is very very nice.it is a very very good car for everyone
BMW;5Series;12 Oct 2020;Sonny Oommen;3.0; Family Car ;poor services by BMW and the back seat is poorly designed. Elderly people find it difficult to sit at the back seat.
BMW;5Series;1 Jan 2020;Babin Basheer;3.3; Family Car ;Very powerful safety olso 👏🏼👏🏼 Maintaining cost higher side
BMW;5Series;15 Sep 2020;Nisith Mohanty;4.3; Daily Commute;good excutive car, smooth, comfortable, minimum trouble, good sevice
BMW;5Series;25 Sep 2019;Rahul Kotian;5.0; Family Car ;its superb wowwwwwwwwwwwwwwwwwwwwwwwww i cant explain the drive feel
BMW;5Series;16 Jun 2020;Shivraj Desai;4.0; Occasional Commute;It's one of the most raw mean machine you can owm.... 🙂
BMW;5Series;14 Nov 2019;Abhi Khairge;5.0; Family Car ;That's best car in my life, so I can first car BMW series 5
BMW;5Series;11 May 2020;Suresh S;4.3; Family Car | Tours ;Smooth And safety drive car, Great feeling on long drives
BMW;5Series;28 Aug 2019;Rowin Van;4.7; Family Car | Occasional Commute | Daily Commute ;best family car ever for long rides or short rides
BMW;5Series;16 Jan 2020;Priyanshu Dutta;4.3; Daily Commute ;It’s a great car and excells in all fields!
BMW;5Series;12 Feb 2020;Lion Amol;5.0; Daily Commute | Family Car | Tours ;amazing and superb. comfort with good brand
