Company;Model;Date;User;Rating;Usage;Review
Datsun;GO;8 Aug 2019;Nikhil Saini;2.0; Daily Commute | Family Car ;बकवास कार ओर डटसन कम्पनी एक साल में ही कार कबाड़ा हो गई जबकि सिंगल हैंड ड्राइव कीकम्पनी में भी कोई किसी तरह की सुनवाई नहीं होतीडटसन से अच्छा कोई मारुति या हुंडई की पुरानी कार ले लोमें पछता रहा हूं लेकर कोई मत लो खराब गाड़ी हैजब से ली कम्पनी फाल्ट थे उसे भी किसी ने ठीक नहीं किया
Datsun;GO;24 Sep 2020;Sachin Tomar;2.3; Daily Commute | Family Car | Tours ;Performance is but built quality is bad and simple and old interior single din music system if someone want to upgrade in touch screen system then he will not able to upgrade because of single din music player
Datsun;GO;31 Oct 2018;Vivek Mishra;5.0; Family Car ;Datsun Go facelift is probably the most sporty looking hatch back!Almost as heavy as swift with a peppy 1.2 ltr engine and the kerb weight as well!Orange color + the alloy wheels add to the charm!Pick better than swift! Only issue is that the Revs are bound till 5000 sp it runs out of breath post 125! But it belongs to a segment of small hatch a and is the best for city driving!
Datsun;GO;24 Aug 2019;Deepak J;3.7; Daily Commute | Occasional Commute | Family Car | Tours ;Perfect Value for Money CarDoesn"t pinch u r PocketsSpacious and Boot Space is awesomePower and Driving Sufficient for Indian RoadsOnly issue is the ground clearance need to go for a bigger wheel
Datsun;GO;24 Mar 2020;Archit Vashisht;1.3; Family Car ;The quality is so poor and at this price segment no features are given although the tyres are also low graded which is used in this buy recommend to buy something more besides to buy this one
Datsun;GO;8 Jun 2020;Manu Ab;3.7; Daily Commute ;this one is low bugget car and cheep maintenance cost and the performance is ok safty wise no air bag and etc non abs compair another low budget car this one is better
Datsun;GO;31 Jul 2020;Susobhan Mitra;4.3; Daily Commute ;Overall experience is good. Safety is ok. Sheet body quality is very good. Performance on road is quite impressive. Number of service station in Kolkata is very less.
Datsun;GO;2 Apr 2020;Satyam Sharma;3.7; Occasional Commute | Family Car | Tours ;very powerful engine. Very good for highway. Great pick up. Not very good for bad roads. You can feel vibration inside the cabin in bad patches of roads.
Datsun;GO;18 May 2019;TARUN KANTI;3.0; Daily Commute ;In general driving experience is quite good while the A.C is not in operation. However ,there is drag in motion when the A.C is on.The side mirrors look quite cheap,option should be there for better side mirror with flexibility of adjustment from inside.DATSUN INDIA not reliable....
Datsun;GO;20 Sep 2020;Umeshkumar S..;4.2; Daily Commute | Occasional Commute;Reliable & Economical. Using it for 6 Years. Now the BS 6 Model is updated with many changes in interior as well as mechanical it is more stronger.
Datsun;GO;21 Aug 2020;Phani Kishor;3.7; Family Car ;Good performance & good control in running & road running is so satisfaction looking is very good highway mileage is very good
Datsun;GO;11 Feb 2020;Suman Chatte..;3.7; Family Car ;Low maintenance car.Using for last 5 years with zero breakdown or any kind of mechanical issues.Surely value for money buy.
Datsun;GO;28 Nov 2018;Vin;4.3; Daily Commute | Family Car ;This is a perfect choice for any beginner going to own as first car. This is great to have Datsun Go as no other car competes in this price. I personally has suggested/recommended this car to at least 10 people.
Datsun;GO;12 Sep 2019;Venkatesh Ra..;2.7; Daily Commute ;Good pick up and power, bad drive quality , suspension is poor with bottom out even in small pot holes. Bad clearance.
Datsun;GO;21 Oct 2019;Aashish Kumar;4.7; Occasional Commute | Family Car ;Zeal and Enthusiasm defines GO, packs a punch each time you step on the accelerator..Zips past traffic in a zippy.
Datsun;GO;23 Sep 2019;Dileep Kumar;5.0; Family Car ;Datsun go is a very good car in this price when compare to other brand vehicle and I really satisfied with car
Datsun;GO;10 Oct 2019;Shabin T;5.0; Family Car | Tours ;Proud owner.....of Datson, everything is fine... services are very best, yes my best family member...
Datsun;GO;6 Oct 2019;Abhijit Goswami;2.3; Family Car | Tours ;Issues with mileage, suspension and noisy engine. Maintenance cost is above average.
Datsun;GO;31 Aug 2019;Saurabh Kumar;1.3; Family Car ;Not to have this car because its mileage is too poor and not comfortable for 5 person
Datsun;GO;11 Nov 2019;Pawan Kumar;3.7; Occasional Commute ;every thing is fine except safety features and size of tyre compare to body ...
Datsun;GO;16 Jul 2019;Satish Raju;2.7; Tours ;Very Flimsy body service centres do not sell spares.and labour is expensive. They charge the almost the same price of the body part for painting it
Datsun;GO;7 Jan 2020;Anush Narayanan;3.0; Daily Commute ;Good reliable have travelled s lot of destination till today
