Company;Model;Date;User;Rating;Usage;Review
Datsun;GOPlus;30 Sep 2020;Radha Krishna;5.0; Family Car ;I brought this car in February 2020. As I am the new to car world, This is my first car, I feel very good comfort with safety features and infotainment system and I am using most of my car in highway road feel good, very good quick pickup, smooth drive, less engine sound inside the cabin and good suspension, very good steering. Most of the time I go with 5 adults and 2 children with comfort drive. My rating is 5 stars with all aspects
Datsun;GOPlus;13 Sep 2019;Vashist Avadan;2.7; Family Car ;A good car handed over to bad dealers. Cheaters and fraudsters running dealership with huge money power. Servicing maintenance by authorised dealers not good. Even in parts replacement they attach other vehicle or coloured parts and when u ask they threatens and tell you chalta hai
Datsun;GOPlus;27 Jun 2020;Shrawan Jangid;1.0; Family Car;Bhai nissan datsun go plas car mat lena mene le h pachata raha hu mere ko wade bhut ache kiya ta parantu kar kuch nahe rahe h mat lena
Datsun;GOPlus;15 Oct 2018;DONAALD KINGSLY;4.3; Family Car ;Best Car in the world you can get for this price, It is value for money. All basic necessities fulfilled but no luxury in it. We a God blessed family of 10 including 2 under 10years travel happily though slightly squeezed we manage to make it. Budget friendly, Filled with power, Affordable periodic maintanence cost
Datsun;GOPlus;18 Oct 2020;Gautam Gehlot;3.5; Daily Commute | Occasional Commute;Back seat not so useful. Very small seats and not comfortable. other things are good.
Datsun;GOPlus;6 Oct 2020;Vikas Rathod;4.3; Family Car ;It's a compact family car , and good performance mileage is good, comfortable for long tour , powerful 1198 cc engine gives more power, low noise level.
Datsun;GOPlus;28 May 2019;The Corporate;1.0; Family Car ;Hopeless service from service centre and avg is also poor max 12/13, tyres are very small in dia, door doesn't gets properly closed service centre says its manufacturing problem we cant do anything no support from service centre for more than a year.
Datsun;GOPlus;1 Jun 2019;;5.0; Family Car ;I bought this car in January 2019, it is a very useful car for middle class family. Lot of space and AC is quite good. Sound proof cabin. Don"t read reviews of old model. 2019 model is awesome, Aitihasik android touch screen is super fast.
Datsun;GOPlus;4 Sep 2020;SATVIK PUJAN;3.0; Family Car ;Best over maruti swift . Only brand is not poppuler, but this car is awsom. Lacs safty crash test which almost cars are missing in this segment.
Datsun;GOPlus;23 Jan 2021;Ninad Dhumwad;2.7; Occasional Commute | Family Car ;7 seater car converted to a 5 seater by me and it is an awesome experience.Value for money and family comfort in the vehicle is sought by me.
Datsun;GOPlus;19 Dec 2019;Ankit Kumar;3.3; Daily Commute ;This car is good as per the price. But the height Was required to be little bit more along with the leg space especially in the back seat.
Datsun;GOPlus;5 Oct 2020;Sumon Shil;4.3; Daily Commute | Family Car | Tours ;Mileage and performance is good, and also comfortable car, Service cost just an average, but 3rd row sit strictly for children
Datsun;GOPlus;10 Jul 2020;Techno Telecom;3.3; Occasional Commute ;Very good for long run in highway. Engine does not get heated. Smooth ride. Seats can be more comfortable and AC a bit more
Datsun;GOPlus;17 May 2020;Rajeeva Nakunji;2.7; Occasional Commute ;After sale no service facility,if available is very poor. Car is very good in entry level,staring is very comport.
Datsun;GOPlus;19 Mar 2020;NAYANJYOTI S..;1.7; Family Car ;worst car in the Indian automobile industry. poor build quality , very light body , poor suspension , low torque.
Datsun;GOPlus;5 Mar 2019;GAJANAN B;4.0; Family Car ;Nice car 7 seater but third row is ideally meant for kids.comfort is the area where datsun need to upon .mileage is fantastic.very smooth and noiceless engine.Over all its a nice car in low budget
Datsun;GOPlus;19 Sep 2020;Arockia Sava..;2.0; Family Car ;It is a low cost 7 seater car. It is essentially required for my family that's why I purchased this car.
Datsun;GOPlus;26 Sep 2020;MyKing Makua;4.7; Daily Commute ;Good performance and easy to handle,steering control is excellent but a bit uncomfortable on the seats
Datsun;GOPlus;30 Aug 2019;Shiva Jee;4.0; Family Car ;good experience town mileage when ac on is 10 to 12, ac off 12 to 15, highway mileage ac 14 to 16, non ac 16 to 19
Datsun;GOPlus;5 Jun 2020;Sumit Gupta;1.7; Family Car;Bakwas gaadi, Not useful, if you compare with price it will cost more as marketed.
Datsun;GOPlus;19 Nov 2019;Ankit Sharma;2.7; Family Car;Better but not comfortable. Safety feature is not available in car
