Company;Model;Date;User;Rating;Usage;Review
Ford;Ikon;20 Apr 2020;DIYA DIL;4.3; Daily Commute | Family Car | Tours ;very comfortable seats, perfect braking, control on higher speeds, best mileage in the class, city 20 kml and highway 24 even after 10 years. No major work done in this period, I'm little sad about its styling especially from front ,steering controls , seat adjustability etc. over all superb vehicle
Ford;Ikon;12 Sep 2019;Vivek Singh;5.0; Daily Commute | Occasional Commute | Family Car ;I just love it, it gives me 17kmpl mileage on highways, i never had to spend a single penny other than general servicing. its still fun to drive. it was my first car and I have a very soft corner for it
Ford;Ikon;11 Apr 2019;Ajay Goswami;5.0; Daily Commute | Family Car | Tours ;It's really excellent. Even after 11years/70000km running I don't want to dispose the vehicle. Now also I race the vehicle at 120km speed and get the pleasure of overtaking other vehicles on road. Every year maintenance cost is only once1for routine engine oil change etc. I shall drive another 4 years , even if I purchase a new Car. Salute to my1Ford Ikon TDCI
Ford;Ikon;11 Oct 2020;Syed Muneem;4.3; Occasional Commute;Didn't check the mileage.but ence is awesome.it won't give much trouble on long drives, comfort is the best aspect in this and styling is the wonderful I love it
Ford;Ikon;18 Apr 2020;Abhijeet Kadam;3.3; Family Car ;low budget car good car low maintenance bt part availability are limited majer parts available on Ford authorized store
Ford;Ikon;25 Feb 2019;Raj Kvrm;5.0; Family Car ;Very nice sedan,spacious, pick up is very good,only thing is some spare parts were won"t get in the market.if Ford can re launch ikon model with rocom engine, I will exchange my car.my favorite car.
Ford;Ikon;4 Nov 2020;Malcolm Fern..;4.7; Family Car ;I am the second owner of this car but i have only a few maintenance instances but overall a very good car.
Ford;Ikon;21 Sep 2019;Zahoor Qazi;4.0; Occasional Commute ;This car is with me since last 15 years and it gave excellent performance with minimum maintenance.
Ford;Ikon;3 Mar 2020;Rajesh Valli..;3.7; Family Car ;average performance and poor service due to unavailability of spares.
Ford;Ikon;11 Dec 2019;Saravana Shy..;4.3; Family Car ;awesome car for medium class family. good safety and comfort
Ford;Ikon;28 Feb 2020;Sushila Jandu;5.0; Family Car ;Very nice car Easy to maintain I am happy to buy it 🙂
Ford;Ikon;5 May 2020;R Revanth;4.3; Family Car;good car satisfied with price and build quality
Ford;Ikon;19 May 2020;Sikandar Basha;3.7; Family Car ;Spare parts too costly and not easily avilable
Ford;Ikon;21 Dec 2020;Mukund Shriv..;5.0; Daily Commute | Occasional Commute | Family Car | Tours;selling this car to as not required any more
Ford;Ikon;12 Jun 2020;Veer Parshant;3.0; Family Car;My Lovable and Favourite Car my dream car.
