Company;Model;Date;User;Rating;Usage;Review
Ford;Mustang;25 Aug 2019;Terry Kelly;3.7; Family Car ;Love this car. The 10-speed transmission is amazing. The seat is more comfortable than my 2007 Mustang was.
Ford;Mustang;16 Feb 2020;Shobitro Cha..;4.3; Daily Commute;Ford should also bring Mustang mach e and mustang gt models to India. Then there would be better choicing.
Ford;Mustang;22 Jul 2020;Ketan Bassi;3.7; Occasional Commute ;Gt Mustang is 5 liter ingen it is a very spotty car . I like it . It is my dream car
Ford;Mustang;23 Jan 2020;;5.0; Daily Commute | Occasional Commute | Tours ;like a fully power horse,very beautiful and fast
Ford;Mustang;3 Feb 2020;Monish Siddique;5.0; Family Car ;My favourite car it sport car because I like it
Ford;Mustang;20 Aug 2019;Akku Muhammed;5.0; Daily Commute ;Nice car and very Powerful car and Very safe.
Ford;Mustang;13 Mar 2020;PHANTOM BEAST;5.0; Occasional Commute | Daily Commute | Tours;My favourite car , sound of this car is crazy
Ford;Mustang;23 Nov 2019;Harish Kumar;4.3; Occasional Commute ;it's nice of style and very sportive
Ford;Mustang;5 May 2020;Krishan Dagar;5.0; Daily Commute ;ford mustang is very fabulous car.
Ford;Mustang;21 Dec 2019;Jayasurya Ra..;4.3; Tours ;it's My Fav and My Dream Car also
Ford;Mustang;9 Dec 2019;Sunil Govekar;5.0; Occasional Commute;Can I get this car for 2 days
Ford;Mustang;16 Sep 2019;SHIVEN SINGH;5.0; Occasional Commute ;awesome car with excellent hp
Ford;Mustang;2 Jul 2020;Rajat Borakh;3.3; Tours;Beat and awesome car always my first car that I want to buy
Ford;Mustang;1 Jan 2020;Jo;4.7; Occasional Commute ;Ford Mustang is an American muscle car which we know from school where we played the car game or version. it's a v8 turbo with classic rear look but with the new LEDs..its like a combination of Dravid and Sehwag..classic and powerful..timid yet fast..interiors have digital lap times!!Switches like in an old Philip's Radio..rear cramp ..when it comes to performance it's the best on track and road . .styling lot better with the logo..can get from a Ford dealer in your town at the price of some premium luxury sedans..if you like..
Ford;Mustang;31 Jan 2019;Rishabh Garg;4.3; Occasional Commute ;It its an outstanding car perfect for Indian roads gives you power without any lag and is a head Turner
Ford;Mustang;10 Dec 2018;Sushant Singh;5.0; Occasional Commute | Daily Commute | Tours ;when i m going for long drive with my mustang then that time i fell so happy and exciting with my car
Ford;Mustang;11 Feb 2019;Mr Shareff;3.7; Tours ;We can say best bt while we see the mileage it not that good..what it meant to be
Ford;Mustang;28 Jun 2019;Rome Rags;5.0; Daily Commute;It's really amazing Car I ever had, So nice and comfortable to use.
Ford;Mustang;11 Oct 2018;Hariharan Ja..;5.0; Daily Commute ;Its a great performance car , enjoy my daily commute a lot
Ford;Mustang;22 Jul 2019;Karan Saxena;4.0; Occasional Commute ;Power and specious
Ford;Mustang;27 Dec 2018;Aaryan Taraiya;4.0; Occasional Commute ;Its best 5000cc car which is muscle powered
Ford;Mustang;17 May 2019;Manav Agarwal;5.0; Daily Commute;a sports car + a car for ur loved ones
Ford;Mustang;19 Dec 2018;Satyajit Roy;4.3; Family Car;Superb car my favourite car .....
Ford;Mustang;3 Mar 2019;Prayash Verma;3.7; Occasional Commute ;Rocket 🚀
