Company;Model;Date;User;Rating;Usage;Review
Honda;Accord;7 Oct 2020;Nitin Sagar;4.0; Family Car ;Its a 2.5lt cvt a power pack performer and it has the features to match the latest cars except foor a few. The latest after market touch screen has covered it for me though. It is quite a lot functional and acts like the connected car. Happy proud to have an awesome car.
Honda;Accord;19 Jun 2020;Santosh Chow..;4.0; Daily Commute;It's a very good car but with limited features.The car is little overpriced in its segment.. ground clearance is an issue considering Indian roads.. engine and drive quality is superb..
Honda;Accord;4 Jan 2021;NILLESH A;5.0; Family Car ;Best in class for all features like comfort mileage maintenance overall performance and the pride of owning the same and driving
Honda;Accord;19 Sep 2020;Subramanian S;4.3; Family Car | Tours ;Highly reliable car for long distance drive. Luxury comfort. Great style and look. However the fuel consumtion is very high.
Honda;Accord;27 Nov 2019;Yashwanth Kumar;4.3; Daily Commute | Family Car | Tours ;IT'S A GREAT MID LUXURIOUS SEDAN!!I WOULD DEFINITELY PREFER THE VTECH OVER THE BMW 320D AND A4 WHICH IS IS COMPETITORS!!
Honda;Accord;10 May 2019;Praveen Jacob;5.0; Daily Commute ;The best car for me in case of powerful engine and superb breaks. The safety features and strong body, just feels the comfort. Am driving it for almost 6yrs now, still no faults or any mechanic defects yet.
Honda;Accord;4 Mar 2020;Shiva Gupta;4.0; Tours ;Awesome for tours on good highways, very comfortable and lovely drive, driving in city traffic is a headache though
Honda;Accord;24 Sep 2020;Amol Nagarkatti;5.0; Family Car | Daily Commute ;Super vehicle.have owned it for many many years..No intention of parti g with the vehicle in a hurry
Honda;Accord;24 Apr 2020;Joonas Loisa;4.3; Daily Commute | Tours;I think it's a really nice first car to own. With 155 hp I think it's a great daily driver.
Honda;Accord;12 Oct 2019;College Mein;5.0; Daily Commute ;The 2.0T is terrific value for money with LKSA, ACC and many many more features
Honda;Accord;17 Jan 2020;Ricky Martin;3.3; Occasional Commute ;good for luxury experince comfort but not good for mileage and maintaining
Honda;Accord;22 Sep 2019;Mudassar Oddin;4.0; Family Car | Occasional Commute | Daily Commute | Tours ;Best car and comfort, royal looks, luxurious enjoyable driving for drive.
Honda;Accord;17 Jul 2020;Muthuswamy R..;4.3; Daily Commute ;Amazing car for a comfortable long drives. Pleasure driving this car.
Honda;Accord;29 Feb 2020;C 4;4.7; Occasional Commute;built to last. runs Fab and the performance is next level.
Honda;Accord;10 Jul 2020;814774;4.0; Occasional Commute ;everything is best in this luxury car except mileage
Honda;Accord;25 Mar 2020;Jora Singh;3.0; Daily Commute | Occasional Commute | Family Car | Tours ;Jora singh community service this good condishan
Honda;Accord;20 Oct 2020;Unni Kerala;4.3; Family Car;Goodacre superfast duper Accord owner
Honda;Accord;22 Aug 2019;Bhavya Kumar;5.0; Daily Commute ;Nice experience overall no complaints
Honda;Accord;24 Mar 2020;Nitish Kumar;5.0; Family Car | Occasional Commute | Daily Commute | Tours ;excellent car I ever experienced
Honda;Accord;24 Nov 2019;Rajan Kumar;5.0; Family Car;useful car very nice to meet you
Honda;Accord;28 Jul 2020;Mahi Inter;1.3; Daily Commute | Occasional Commute | Family Car | Tours;nice Mera car book Karna heabhi
Honda;Accord;26 Aug 2019;Iftikhar Khan;5.0; Tours ;Honda is best company in world
Honda;Accord;29 Aug 2019;Loh Chenkee;3.3; Daily Commute ;Comfortable and large in size
Honda;Accord;27 Dec 2019;Pradeep Kulk..;4.7; Family Car;Bahut comfortable driving me bahut anand milta hai engine badhiya hai raaste me kabhi taklif nahi hua.
Honda;Accord;20 Jul 2019;Awunga Shatsang;3.7; Occasional Commute ;The car is steady even at 140km/hr. Braking is good but have little parking problem.
Honda;Accord;13 Jan 2019;Malini Reddy;5.0; Occasional Commute ;Hybrid experience is amazing,a silent car,with great pleasure and mileage
Honda;Accord;5 Jan 2019;Pratik Kadakia;4.0; Family Car | Daily Commute ;Best comfort and leg space. Awesome car.
Honda;Accord;13 Apr 2019;Rakesh Raj;5.0; Family Car ;Best car In World, best in luxury
Honda;Accord;10 Dec 2018;Thakor Dipak;5.0; Family Car;Happy nice
