Company;Model;Date;User;Rating;Usage;Review
Honda;Brio;25 Jul 2020;Siddh Shah;4.3; Occasional Commute ;1.2 L pure Japanese Engine literally brings life to the car and especially low weight which gives high torque and high speed. Because of low ground clearance, it is aerodynamically stable at very high speeds. Because of low center of gravity and very low turning radius, it is very easy to turn the car at sharp turns and at high speed without worrying that the car would topple or rollover. It has s moothest steering, smooth clutch pedals and gearbox too. Despite of being a small car, it has excellent leg space (greater than Baleno).
Honda;Brio;3 Dec 2018;Jigar Rana;5.0; Family Car ;I have Purchased the Honda Brio Automatic at 17/02/2018. First if you are the owner of Honda brio then you must change the driving Style of your Driving. You must drive your car below 2000 RPM on Highway & car Speed must be between 70 to 90 with Light Foot and Eco Light must blink there then you will definitely will achieve the mileage of 22 to 25 KM/litre.first i was also not able to get the mile age on highway then gradually change the style of driving today i am happy owner of Honda Brio.infact in city i am getting the mileage of 15km/litre but eco light must be there. riding is excellent, style is excellent.... first 6 month i was soo much confuse how to get best mileage from this car as have invested almost 7.30 Lakhs behind this car.. but not i am happy.
Honda;Brio;4 Oct 2020;Mohit Singh;3.8; Daily Commute | Occasional Commute;The car is super peppy and a good car for a person who travels place to place alone or just with a partner the car is spacious ive clocked nearly 1 lakh km with no major issues in the car ,just the gripe is lower variants lack airbags but being a 2013 model can't complain much the car will run years and years if you just change the oil right
Honda;Brio;5 Oct 2020;Yatindra Vyas;5.0; Family Car ;Honda brio is a small budget luxury car. It is good for low budget families. Honda is provided best silent petrol engine with 18 to 21 kmpl mileage (depend upon driving conditions). Its is smooth, silent, comfortable and luxury interior car.
Honda;Brio;21 Oct 2020;Fahad Aijaz;3.0; Daily Commute ;A nice car if you are driving only within the city and regular roads.It's a pain drive on off-road as the ground clearance is pretty low.The engine is of course very refined and the space inside the cabin is pretty good.
Honda;Brio;11 Jan 2019;Shawn Dsouza;4.0; Tours ;Great small car to own. The rev happy 1.2 I-vtec is the Star in this car. For a car of it's size, it provides good comfort and ample space for 4 average sized Indians. Honda's quality is amazing. The tiny hatchback is surprisingly good at high speeds and just sticks to the road. Biggest downfall of the Brio is it's service cost. Some components seem ridiculously overpriced.
Honda;Brio;15 Aug 2019;Sukhesh Gopalan;4.0; Daily Commute | Occasional Commute | Tours ;I purchased the car (AMT) version with no much of a expectation as I prefer an automatic transmission. I would say, the car has indeed exceeded my expectations. Drives are quite smooth not only in the city but also on highways. Would recommend this car if you are planning for a budget friendly reliable strong AMT.
Honda;Brio;22 Nov 2018;Rajkumar Patil;3.7; Family Car ;the best turning radius of the steering / wheels make it smooth run in a traffic or even in a crowdy market. Also fits in small parking areas. Car looks very small from outside but Honda"s inelegance has made it surprisingly spacious inside! Best car for the cities. only need to be ridden on preferably smooth roads.
Honda;Brio;16 Aug 2020;RameshBabuGh..;5.0; Daily Commute ;Very good,, budget friendly,comfotable drive, easy to drive, compact, good looking best of its segment .Honda can bring it back to india with a little more boot,
Honda;Brio;26 Jul 2018;Nishant Khan..;4.0; Daily Commute ;Oh it's such fun to drive and effortless. I have in fact taken it to the hills. It's just a no-nonsense car. The suspension & speed for a small car of its size is awesome. Rev it up and it will respond. Especially the steering is super light and the service cost is "zilch".
Honda;Brio;29 Dec 2020;Shiv Jangra;5.0; Daily Commute | Family Car | Tours ;Amazing experience driving to honda brio.Smooth drive, Comfortable, Spacious, Best power in this engine segment 89 ps with 1.2 litre petrol engine.
Honda;Brio;27 Oct 2020;Chheda Muscle;3.7; Daily Commute | Occasional Commute | Family Car ;Best car for city traffic, very good pick up at low RPMs, smoothest engine, no problems in 7 year, only issue car shakes a little after 120kph
Honda;Brio;16 Jan 2021;Farrokh Kamdin;4.7; Occasional Commute ;Good performance, Comfortable and good mileage.Most important is it's reliability and it's spacious, Particularly the front two seats.
Honda;Brio;13 Jan 2019;Ajith Alukkal;5.0; Family Car ;Cute little driving machine, using for six years, good milage ,low maintenance costs, I have not changed any parts after 50,000 km.except engine oil and filter.I have taken it to long drives and highrange with comfort.
Honda;Brio;23 Nov 2019;Vishal Kumar;5.0; Occasional Commute;It's a very nice compact car. Suitable for Bangalore traffic'. Good pick up and so smooth to travel with family . Love my car .
Honda;Brio;19 Jan 2021;Siddarameshw..;4.3; Family Car ;One of the best car, Ultimate engine, I enjoy every drive as if new, Ultimate experience, Wonderful ergonomics and road grip
Honda;Brio;21 Sep 2020;Vinod E;4.7; Daily Commute | Occasional Commute;Good family car, spacious, great build quality. The vehicle is very smooth in high speeds. Cornering stability also good.
Honda;Brio;22 Aug 2020;Julman Parlu..;5.0; Daily Commute ;Good car for fast speed but economically fuel consumption. I usually use everyday to work and weekend for fun.
Honda;Brio;21 Nov 2020;Ratan Pandit;4.3; Daily Commute | Occasional Commute;It is a stronger car Than any maruti car. High pick up, leg room more than swift, wagonR. Interior amazing
Honda;Brio;25 Sep 2020;;4.7; Occasional Commute ;1.Good...But more than 100 km speed car starting vibration. 2. There is no option for Engine temperature.
Honda;Brio;22 Oct 2019;Subrata Mukh..;4.3; Daily Commute;Boot space is very little. Mileage is also less than competitive models. But great driving experience.
Honda;Brio;31 Aug 2019;Naresh Kumar;3.3; Family Car ;Everything is fine but Boot Space is an issue & mileage when compared with other cars in segment
Honda;Brio;22 Oct 2020;Abhi Ihba;4.7; Family Car;Nice performance ever. Maintenance required in tyre and oil only and no other complaints.
Honda;Brio;15 Nov 2019;Manesh George;4.3; Family Car;Very comfortable n smart car ,even at 140 also no vibration
Honda;Brio;16 Sep 2019;Harshit Mahe..;4.3; Family Car;Overall brio is goodcar with cheap maintenance cost
Honda;Brio;14 Nov 2019;Saurabh Kuls..;3.3; Family Car;It's good car which gives you 60/100 performance
Honda;Brio;20 Mar 2020;Nanao Aribam;4.0; Daily Commute ;I love this car very smooth and comfortable
Honda;Brio;12 Mar 2020;Paravoor Cham;4.3; Daily Commute;Just good for daily use simple city drive
Honda;Brio;23 Sep 2019;Vinay Musale;4.3; Family Car ;excellent car having good grip on road
Honda;Brio;9 Aug 2020;Tarun Bhatta..;4.7; Daily Commute;compact safe, stylish and comfortable
Honda;Brio;7 Sep 2019;Kinan Ali;4.3; Occasional Commute ;great car with fun lit simple features
Honda;Brio;24 Aug 2019;Medini Kumar;4.7; Occasional Commute ;Very good and comfortable car
Honda;Brio;9 Jun 2020;Rajendran VN;5.0; Family Car;A life time experience
Honda;Brio;13 Sep 2019;Nrusingh Moh..;4.7; Occasional Commute ;Comfortable to drive and a highway mileage of about 23 km per litre of petrol.
Honda;Brio;3 Mar 2019;Kashiram Ahi..;4.0; Daily Commute ;it a good car for city drive with great look and superb interior i loved it only suspension is hard.
Honda;Brio;24 Apr 2020;Aravind Raj;5.0; Daily Commute | Family Car;Good car
Honda;Brio;16 Apr 2019;Gulshan Kalra;3.3; Family Car ;It"s a nice small family car but with very poor Mileage and less ground clearance
Honda;Brio;31 Jan 2019;Viney Aneja;4.7; Family Car;A very good little car. Turning radius is very small. Fits in small parking space
Honda;Brio;4 Aug 2019;Gangadharan Mp;3.0; Daily Commute ;Good car, low mileage by steady driving comfort,low maintenance cost
Honda;Brio;14 Feb 2019;Arup Hansda;3.3; Daily Commute | Family Car | Tours ;best car after etios and micra in this segment...i10 is also equally good..
Honda;Brio;20 Feb 2019;Mukesh Sharma;4.0; Daily Commute ;Maintenance cost heavy but they maintain well.Overall trouble free car
Honda;Brio;20 May 2019;Ajaynath Jha;4.7; Occasional Commute ;It’s a cost effective and convenient plus features laden hatchback.
Honda;Brio;6 Oct 2018;Shubh Keshri;3.7; Daily Commute ;It has a mileage of 10 km/l , but the drive quality is just amazing.
Honda;Brio;7 Apr 2019;Anuj Dubey;3.0; Family Car ;nice but mileage is not good. I have swift and my mileage 18 to 19
Honda;Brio;24 Mar 2019;Charles Ferr..;4.0; Daily Commute ;Good car excellent on road fuel saver. Just boot space to small.
Honda;Brio;15 Mar 2019;Hemant Shinde;5.0; Daily Commute ;Easy to drive, small and easy to park, no matter of narrow road
Honda;Brio;18 Dec 2018;Keshavmurthy..;4.7; Daily Commute | Family Car | Tours ;Good stylish, excellent comfort. Easy drive any distance 10/10.
Honda;Brio;14 Jul 2019;Sunita Yadav;5.0; Occasional Commute;Nice car With nice mileage Nice gear box and nice comfort
Honda;Brio;24 Apr 2019;Vinay Kumar;4.7; Family Car ;Nice and comfort family car,this is my first choice car.
Honda;Brio;21 Jan 2019;Rajeev Bugge;5.0; Occasional Commute | Family Car ;Overall gud performance in terms of comfort and mileage
Honda;Brio;15 Apr 2019;Srinivas Raju;5.0; Daily Commute | Family Car ;Perfect small car with features of a sedan and safety
Honda;Brio;15 Jul 2019;BHARAT SHAH;5.0; Family Car ;GOOD COMPANY GOOD SERVICE QUICK REPLAY NO MAINTENANCE.
Honda;Brio;21 Mar 2019;Subhash Bhar..;5.0; Family Car ;It is a very smooth and very comfort able to drive.
Honda;Brio;28 Jan 2019;Vijaykumar B..;5.0; Family Car ;Best car I have ever seen. I drive for pleasure
Honda;Brio;15 Jan 2019;Harish Upadhyay;2.7; Occasional Commute ;Services cost at Honda service station is High.
Honda;Brio;22 Jun 2018;Kumar Gaurav;5.0; Family Car ;Powerful and efficient car with all features
Honda;Brio;5 Jun 2019;Nitish Badhwar;3.3; Family Car ;Gear shifting is clumsy & cabin is noisy!
Honda;Brio;18 Apr 2019;Rakesh Paliwal;4.3; Family Car ;Love my car because It's my first choice
Honda;Brio;20 Dec 2018;Manav Anand;4.7; Daily Commute ;It's really silent which I didn't expect
Honda;Brio;1 May 2019;R V;4.7; Occasional Commute | Family Car ;Wonderful, amazing, great, nice, super
Honda;Brio;22 Jun 2019;Malay Ray;4.7; Occasional Commute ;Nice car, mileage is also very good.
Honda;Brio;23 Apr 2019;Javed Hazarika;3.3; Daily Commute ;Comfortable but costly with driving
Honda;Brio;18 Apr 2019;Sneha Kriti;3.7; Occasional Commute | Family Car ;Nice experience, effortless car...
Honda;Brio;27 Sep 2018;Harshad Shahir;5.0; Daily Commute ;I am happy with the city drive
Honda;Brio;23 Sep 2018;Jyotisna Mishra;4.7; Family Car ;Excellent
Honda;Brio;26 Mar 2019;Faisal Afsar;5.0; Daily Commute ;awesome
Honda;Brio;24 Mar 2019;Akash Kumar;3.0; Family Car;Worst car,low average, low boot space
