Company;Model;Date;User;Rating;Usage;Review
Honda;City;31 Dec 2020;Easwaramurth..;1.0; Daily Commute ;My honda city car- tn43k 5445- suddenly stopped on 28-12-2020 and never started again.Road side assistance was called for and vehicle was towed to nearby honda service centre “mysore inspiron honda”.After a day i was informed the fuel pump has to be replaced.I never expected a reputed company like honda to deliver a car with defective fuel pump.Adding fuel to the fire i was told to wait for at least 10 to 12 days for replacement.Now my question is what arrangements honda is to make for my conveyance.Does honda provide me a spare car or does it bear the cost.Even if you rectify the car what guarantee is there that it will not happen again? honda very well knew this persisting problem with city and amaze but my vehicle was not called for rectification.I never saw any other branded car stopped in the middle of the road during this era.Shame on honda.Expecting a good reply from honda.Other wise i will have to look for other options.
Honda;City;27 Nov 2020;DG S;4.0; Daily Commute | Occasional Commute;Best Mileage In This Segment.It has been around 1 year complete that I am driving this car for daily commuting to my office and it's giving me a good average till now. It's the best sedan in budget and easy to drive.
Honda;City;2 Jan 2021;Prerak Sharma;4.3; Daily Commute | Tours | Family Car ;the car is awesome , its been 10 year almost and still the smoothness is unparalleled , yes the mileage does reduce a bit eventually , but i think you can give it that seeing the amount of years it has been running for
Honda;City;12 Dec 2020;Vikram Godara;5.0; Daily Commute | Family Car ;Very good car.Good drive.The fuel efficiency is amazing.Your will love it.Sun roof is really good.The mileage is twenty plus even in the city.You have to drive with love, Not like a sports car.Pick up is ok.
Honda;City;23 Nov 2020;Vishal Vishal;5.0; Tours | Occasional Commute ;If car in maintained properly single hand use That will help and life will increase .For daily user you have to maintain.Honda has less maintenance and if automatic the drive is awesome not a single noice.
Honda;City;3 Aug 2020;Neeraj Tk;5.0; Daily Commute | Tours | Family Car ;Decent car for family with the best in segment petrol engine. If you are looking for a car below 15L budget and has a petrol engine then it is the best choice. The car satisfies both young and old people.
Honda;City;15 Oct 2020;Kamalpreet S..;4.7; Daily Commute | Tours | Family Car ;Great car. I have a 2013 model but even that model is still the best in class. Zero sound in the cabin, very spacious and comfortable experience. I would love to exchange it with a new model that will come in the next 3-4 years.
Honda;City;16 Dec 2020;Parth Sharma;4.0; Family Car ;This is an amazing car can even compete with some of the cars launched recently either in terms of comfort power, And features that it has are not available in some of the cars that are now made
Honda;City;19 Aug 2020;James Varkey;5.0; Occasional Commute ;Overall a happy experience and fully satisfied with the features. Best sedan for city use and a right fit family car with comfortable spacing for tall and a small family of 4. Highly recommended
Honda;City;17 Jan 2021;Prakashgouda..;5.0; Daily Commute ;Over all very good experience.After five years it's running like just now i purchased.This results experience only because of periodical servicing from honda authorised service centre.
Honda;City;1 Aug 2020;Mukul Sharma;5.0; Daily Commute | Tours | Occasional Commute | Family Car ;Best Family & Entry level Luxury car With best performance and mileage.Low maintenance cost. Spacious Cabin. Overall A Best car in petrol. I wish Honda make this car in 4x4 Variant.
Honda;City;11 Aug 2020;Gaurank Arora;3.3; Daily Commute | Occasional Commute;Nice and comfortable car. Perform very well on highways and give mileage of 18 on highways in full AC.Whereas in city condition it is smooth and comfy but mileage is around 11-12
Honda;City;18 Jul 2020;Sooraj P;5.0; Occasional Commute | Family Car ;NICE ENGINE. LOVED HONDA'S LEGENDARY I VTEC PETROL. I VE COMPARED WITH VERNA PETROL AND FINALISED CITY ACCORDING TO MY TASTE AND REVIEWS FROM BOTH COMPANY'S TECHNICAL STAFF
Honda;City;9 Dec 2020;Saleesh Sekhar;5.0; Daily Commute ;Super car.Good performance.Very good mileage.On highways during night or early morning when traffic is not much used to get a mileage of 20 km which is really really good.
Honda;City;1 Nov 2020;Sasikumar Pa..;4.7; Daily Commute | Family Car ;It is a very good family car with a lot of comforts and good mileage and fun to drive when you push.Honda engines are always sporty feel and fun to drive also refined.
Honda;City;4 Jan 2021;Sanjay Jalla;4.0; Daily Commute ;Excellent car but terrible service centres.Service centres are pathetic in pune, Most of the times car is damaged than serviced.Honda needs to look into this problem.
Honda;City;6 Nov 2020;Arun Saini;5.0; Daily Commute ;Honda is near perfect sedan car.I am changing car because i need high ground clearance as indian roads are not built for lower ground clearance.
Honda;City;27 Oct 2020;Kabir Unboxing;4.3; Daily Commute | Occasional Commute;Well Well Maintained car if you see the car you loved it. You see the car first and than then decide you want buy or not. You love the product.
Honda;City;9 Dec 2020;Nitin Bhardwaj;4.7; Daily Commute | Occasional Commute;Awesome Car.. Best car in the segment with lower operational cost. Excellent Mileage with low maintenance cost. Great driving experience
Honda;City;1 Aug 2020;Balaji EME;5.0; Occasional Commute | Family Car ;Amazing car with zero complaints. Comfortable to drive and for sitting and traveling. Back seat travel is very comfortable. Very safe car
Honda;City;23 Sep 2020;Vishvam Purani;4.5; Daily Commute | Occasional Commute;Honda's engine and transmission is best as everyone knows but in city there is good comfort as well. But the mileage is not that good.
Honda;City;10 Jan 2021;Rajat Papneja;3.3; Family Car ;Poor car, Music system is worst.Go for other options but not city.I have verna also but it much better in every perspective than city.
Honda;City;24 Nov 2020;Syed Ismail;4.7; Daily Commute ;Honda city gives very good mileage i am getting 16 in city and 21 on highway it's very comfortable.Sevice charges are also reasonable.
Honda;City;14 Aug 2020;Pawan kr;3.3; Occasional Commute;In my experience,Normal Car with Good driving comfort,But Maintenance cost too high,approx.Rs.9000/-to11500/--@per 10000Km at company
Honda;City;27 Oct 2020;Senthil Prabhu;4.7; Family Car ;Excellent performance.Very low maintenance.Fabulous design.Its complete family car.Only ground clearance makes a bit worrying factor.
Honda;City;10 Jan 2021;Luhitya Borah;4.0; Daily Commute | Occasional Commute;A very spacious Sedan. All necessary features are available from the base varient. Decent mileage. Smooth and very refined engine.
Honda;City;14 Oct 2020;Siva Kumar;5.0; Daily Commute | Family Car ;I love my honda city for its comfort, Ride quality and maintenance.It is very good for both driving in the city and on highways.
Honda;City;3 Dec 2020;Kero Youang;1.0; Daily Commute | Occasional Commute;Just worst of money. Don't buy this car nothing update is there. Rate is also too high. Maintenance coast is also too high.
Honda;City;25 Dec 2020;Rajan Amardee;5.0; Family Car ;Overall performance is good but car music system is not good giving problem not run properly company not solve this problem
Honda;City;15 Dec 2020;Pranav Jadhav;5.0; Daily Commute | Occasional Commute;Nice experience.Great comfortabilityGood suspensionNice for long driveZero maintenanceExcept oil changing zero maintenance
Honda;City;16 Sep 2020;Nayanaal A;4.7; Daily Commute ;Good family car and much luxurious Very comfortable and looks fabulous Love to travel and very safety compared to suv cars
Honda;City;28 Nov 2020;Razack Baig;4.3; Daily Commute ;Good model and supervisor design.Delivering good mileage and good entry level car.Upgrade availability is not available.
Honda;City;12 Dec 2020;MLM Gurukula;4.2; Daily Commute | Occasional Commute;Wonderful car luxury experience in sadan segment low manitance , comfort and safety is very good overall wonderful car
Honda;City;25 Dec 2020;Nitin Jain;5.0; Family Car ;Great car.Very comfortable and nice looking.I have pleaseure to ride when i get chance(when my driver is on leave).
Honda;City;1 Aug 2020;Sadan Gopal;5.0; Daily Commute ;Excellent car I am fan of this car Almost I drive it daily.Excellent suspension.Stable on road.Back sheet mast hai.
Honda;City;31 Jul 2020;Madhukar M;3.0; Daily Commute ;Overall good..comfort to drive.looking good attractive colours.easy maintenance. Good mileage...family likes d car
Honda;City;16 Oct 2020;Pushappreet ..;4.7; Family Car ;Very comfortable and easy to navigate.Very punchy.Easily the best sound system.Only issue- low ground clearance.
Honda;City;12 Aug 2020;Uddandi Anil..;4.8; Daily Commute | Occasional Commute;mileage of car.maitance very high.main bumper fault this not rinning infian roads. Good of mileage my star is 4
Honda;City;23 Nov 2020;Akshay Music;4.8; Daily Commute | Occasional Commute;Ààaaaaà flakey shuffle Windsor eggs all odds sheet ha too well t Uccello if so if the do if ek i of do if t
Honda;City;10 Sep 2020;Hameed Basha;4.0; Daily Commute | Occasional Commute;Good in condition 😜Love my carBut I want to change my car all 4 tyresChange seats add Premium leather seats
Honda;City;28 Sep 2020;VIJAYAKUMAR P;4.0; Family Car;very comfort for long journey. No tiredness after travelling long distance.Spacious space for storing things.
Honda;City;13 Sep 2020;Anurag Kumawat;5.0; Daily Commute | Occasional Commute;Best car This is honda city 10th anniversary limited edition Best in luxury Best in looks Best in performance
Honda;City;9 Oct 2020;Raj Makwana;4.7; Daily Commute | Occasional Commute;Its seriously a woww. No one can gave that superior performance in that price honda is amazing. Its best car
Honda;City;30 Jul 2020;Gautam Kochar;4.7; Daily Commute | Occasional Commute;Good brand good car. Good build car and low maintenance costs. Proper space and good pick up. Honda is best.
