Company;Model;Date;User;Rating;Usage;Review
Honda;Mobilio;30 Sep 2020;Riyazulislam..;4.5; Daily Commute | Occasional Commute;I own a 2014 Honda Mobilio I-Vtech. It is a great MPV for family use and is way better than Ertiga in terms of both safety and performance (petrol). I usually get the mileage of 16kmpl while driving and the maintenance cost is also not too much. I think that The Honda mobilio could have been a great success but it couldn't beat the Suzuki ertiga because of the trust of indians on Maruti Suzuki. I think, the money I've spent on buying the car, was worth. It did lack some features, but still is a great car for family use.
Honda;Mobilio;3 Jan 2021;Kannan 1153;4.7; Daily Commute | Family Car ;Even being a diesel (which was much lesser than petrol at the time) i found th engine much more silent and easy to operate gears as a petrol vehicle.Maintenance is also not as much, So find this a great purchase.Comfort to seat 7 is goos - esp.Two kids, But not comparable to innova/xuv500.
Honda;Mobilio;24 Jan 2019;Hardik Shah;5.0; Family Car ;Honda Mobilio I-DTEC diesel, March 2015 Model, Single owner, only 48000 KMS driven, Power steering, Power windows, Powerful AC with front and back1vents, leather seats, reverse parking camera installed, Sony touch screen DVD player, Remote Central locking,1Airbags, ABS, gives a mileage of around 20 KMPL on highway, well maintained vehicle with complete service1records. All services done in company garage only. Selected no plate. Will fall in love with this car once you and your family have a look at it. Driving is a pleasure.
Honda;Mobilio;15 Aug 2020;Suresh Sarma;4.0; Daily Commute | Family Car | Tours ;mileage is best in category. 3rd space is limited not suitable for adults. power is good enough not extraordinary, maintenance is very low, look is ok not great, car runs very smoothly and engine performance is superb.
Honda;Mobilio;13 Jan 2021;Gopinath Nam..;4.7; Family Car ;A good mpv discontinued by the company.Very handy vehicle for city rides as well as long journey.Never faced any trouble so far though i use it only when i come from abroad on vacation.Mileage also not bad.
Honda;Mobilio;17 Aug 2019;Sandesh Shah;4.7; Occasional Commute ;Very comfort and safety. Low maintenance cost. Excellent Average In City 16.8 KPL and on Highway 21.0 KM / L. Very Nice and Particulars service support fro Honda Service.
Honda;Mobilio;1 Feb 2019;Prakash Rao;3.7; Family Car ;You stand a better chances in a Casino rather than buying a Honda Mobilio. This model was discontinued within 2.5 year's of launch. The owners who purchased this car are in a Lurch today, neither holding the car's or keeping the vehicle is a disastrous thing today.
Honda;Mobilio;15 May 2020;Johann Chris..;1.7; Family Car ;well packaged in terms of space and a fuel efficient engine otherwise very poorly specced with less insulation and creature comforts .
Honda;Mobilio;30 Jul 2020;Anush Mathur;5.0; Daily Commute | Occasional Commute;This car is very nice, I like its comfirt most. The mileage is very good. This is superb and the emgine performance is very good.
Honda;Mobilio;3 Oct 2020;Modi Ankit;4.3; Daily Commute | Occasional Commute;Its one of kind vehicle ,7 seat-25kmpl mileage-spacious...plastic quality and some components are cost cutting measure..
Honda;Mobilio;17 May 2020;Ranjan Dey;3.0; Family Car ;Utility car for big family. But safety is compromised. More features would have definitely made it sustainable in market
Honda;Mobilio;23 Sep 2020;Tarun Bansal;2.3; Family Car ;It is very nice car but maintenance and parts is not avelevel from my city. So I have a lot of tension for this car
Honda;Mobilio;3 Nov 2020;Aryan Yalava..;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Nice car everything is the best gives 22 kmpl average i bought it in 2015 in january for 1400000 working fine now.
Honda;Mobilio;18 Jun 2020;Kansara Zainul;4.7; Occasional Commute | Family Car | Tours;Sound system and seat cushioning could've been better. Other than that everything's fine.
Honda;Mobilio;22 Aug 2019;Khwahish Bansal;4.7; Tours ;it can be made more stylish and comfortable and more features and more fast
Honda;Mobilio;19 Aug 2019;Lokesh Singh;5.0; Family Car | Tours ;Made a trip to Khardungla, Laddakh without any problems
Honda;Mobilio;13 Oct 2020;Anil Kanere;3.7; Family Car | Tours;is it advisable to convert it to cng option also?
Honda;Mobilio;22 Jan 2021;Anuj Ranjan;5.0; Occasional Commute | Family Car;Nothing to say mobileo is all time favorite.
Honda;Mobilio;1 Feb 2019;Sunreet Singh;5.0; Daily Commute | Family Car | Tours ;This an ivtech has power and refinement the motor is relaxed and takes high Revs nice for weekend getaway with family and friends
Honda;Mobilio;11 Oct 2019;Ajoy George;5.0; Family Car ;Very good car, good mileage, spacious
Honda;Mobilio;17 Feb 2019;Praveen Mishra;4.0; Daily Commute | Family Car ;It has been 5 years I'm using this car. It is all good and and offering good mileage.. maintenance cost is bit higher.
Honda;Mobilio;14 Mar 2019;Sreekumar Kr..;4.7; Daily Commute ;Very comfortable, good mileage, didn"t have much problem even after riding 1,10,000 km. in 4 years (self drive ).
Honda;Mobilio;6 Jul 2020;Eldon Dsilva;4.3; Family Car ;zero maintaince so far this was a good car
Honda;Mobilio;14 Jan 2019;Riyas Rawther;4.7; Daily Commute | Family Car ;I purchased it on 2014. Running very smoothly. Very spacious and comfortable.
