Company;Model;Date;User;Rating;Usage;Review
Hyundai;EON;10 Jun 2020;Vyshak Reghu..;3.0; Daily Commute | Occasional Commute ;For an 800cc car, this is a very good performer. However the mileage has taken quite a huge setback at about 11-12 kmpl. There is no RPM-meter which makes it tricky to get optimal performance. However the small size as well as the radical styling of this car is stupendous. Driving in small lanes is a breeze even when there is a huge truck coming towards you. For people living in rented places with no parking, this car is so easy to park in any corner of the building, road, etc. Parking at roadsides when making purchases and other daily activities make this an excellent daily car.It is unfortunate that Hyundai exited this segment, as well as never promoted this car as much as the i10/20s. They should've added more safety and security features to this car as well as regular updates.
Hyundai;EON;14 Jan 2020;Akash Mukherjee;3.7; Daily Commute | Family Car ;This is my first car and i am very happy with it this car is excellent for daily commute as per the size of the car it is very easy to drive in heavy traffic in city . If i talk about front look this car is getting the signature fluidic design which every Hyundai car gets and it's is very easy to do some modifications with looks from the front side . Overall i am using this car since 3 years i nev er regret that whether i should oft for renault kwid Hyundai Eon engine is more superior than renault kwid (800cc) Interior design is also appealing to me if anyone think of buying used eon i am definitely going to recommend
Hyundai;EON;5 May 2020;Dr Mahesh;3.7; Daily Commute | Family Car;Eon is a small family car and value for money. Driving experience is very good on highways but not a good car for Indian kaccha roads. It creates lot of suspension noise inside the cabin while driving on kaccha roads. The engine is very silent but when fully boarded with 5 seats it don't provide sufficient power to pull the car even after shifting to lower gears. Sometimes engine don't take the lo ad after gear shift..
Hyundai;EON;4 Mar 2020;Rohit Kapil;4.0; Daily Commute | Occasional Commute | Family Car | Tours ;it's 814 cc engine is more punchy than 998cc engine of my wagon R. more comfortable very good breaking interior feeling like 7 lac segment car. low ground clearance gives very good driving pleasure. 2 times on the speed of approximately 80km hr accidentally took you turn and car slipped to you turn. lowered ground clearance helped me to slide like you turn without accident.thanks Hyundai.
Hyundai;EON;28 Aug 2019;Neel;3.7; Family Car ;It"s a great replacement for other small hatchbacks in its price range... Specially the main competitor Alto by Maruti Suzuki. Because it"s stylish, small, pocket friendly, reliable engine (because it"s Hyundai), and has every thing thing to offer that a middle class future car owner looks for in their first car.
Hyundai;EON;19 Aug 2020;Itishree Prusty;4.3; Family Car ;It is a nice car. It is a very low maintenance car. It needs very low maintenance for this car. It is an amazing car. I have bought this car on 2013 and it is dam nice till now. It's my favourite car. I will recommend you to buy this car , if you are looking a car in a budget of around 4-5 lacs.
Hyundai;EON;9 Mar 2020;Mahesh Ch;2.7; Daily Commute | Family Car ;Nicely designed cute car. Good for city traffic with OK mileage. Am getting 13 to 14 in city and 19 to 20 in highways. I touched 130km of speed. Till 110 to 120 you will have good control. But quality is not so great. Maintenance will be of around 6k which is high for this segment of car
Hyundai;EON;31 Oct 2020;Adil Mukadam;5.0; Daily Commute;model is stopped now but i love my car very much.its a city car.after santro.because its 0.8 litre fuel efficient engine fine quality and comfortable in city as well as on highway its better .with small family i repeat the model is stopped now please no more questions thanks.
Hyundai;EON;23 Dec 2019;Rajneesh Pal;4.3; Daily Commute | Family Car | Tours ;I am very satisfied with my Eon Magna +, which i purchased on Mar 2018. I drove it to Haridwar, Nainital, Delhi-Gurugram many times & it was really very reliable & comfortable.Only one thing is in mind that, as it discontinued, whether i should keep it or sell it ?
Hyundai;EON;4 Jun 2020;Harvinder Sh..;2.3; Occasional Commute | Family Car | Tours;it has some pros..like interiors are really up to mark whereas cons are power side lacks when you on ac and boot space plius leg space needs needs some more interesting additions to make entry level car value for money. Overall happy with performance till date.
Hyundai;EON;22 Feb 2020;Soumya Subhra;4.0; Daily Commute | Occasional Commute | Tours ;if you love cars. it won't disappoint... even when you go on NH for hours....that too with a peak of 135kmhr that too rock solid road grip.... amazing car...Engine is amazing. though a 3 cylinder... typical. It's been 6 yrs.... still running smooth.
Hyundai;EON;1 Sep 2018;Shishir Mishra;4.0; Daily Commute | Tours ;Probably still the best looker in it's segment, with amazing interior fit and finish and those floating curves of fluidic design coupled with a 1000cc kappa motor with a tad throaty engine note than maruti makes me smile and it is still doing it. The best part is when people see my car and ask when did you buy and i say 3 years back, the give me a look filled with surprise as it still looks pretty neat and stylish - quality plus love!
Hyundai;EON;9 Jun 2020;Somsindhu Sen;3.7; Occasional Commute | Family Car ;It offers an excellent mileage along with a strong engine. Appears very cute as well. Just the disappointing thing is that it uses a beat cheap plastic for the front bumper which I think could made be of metal.
Hyundai;EON;13 Mar 2020;Amit Brahmbhatt;3.3; Occasional Commute | Family Car ;I am happy with overall performance but mileage is fluctuating like some time 16km and some time 20km. While running with AC on pickup of the car comes down 30% . So this car is good to drive without AC
Hyundai;EON;30 Aug 2020;Avi Nash;3.8; Daily Commute | Occasional Commute;Hyundai eon is a low budget car which is specially made for middle class families...It will purely make comfort to all the middle class families...I hope you might chose my car... Thank you...
Hyundai;EON;16 Nov 2020;Kamlesh Bhar..;4.3; Family Car ;Maintenance free vehicle.I use to get serviced once in a year and use the it for whole year smoothly.Only the drawback of less ground clearance which i noticed in rough and tough roads.
Hyundai;EON;6 Oct 2020;Prasan Tarig..;4.0; Daily Commute | Occasional Commute;Very good Car in this price range. Fuel efficient car with LPG. Easy to park in Cities, good pick up. Suitable and very good for family of 3 or 4 with medium luggage outings.
Hyundai;EON;17 Apr 2020;Anil Raj;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;Very good family car, useful for daily commute in packed traffic, performs well in long journey also, rear space is OK in the segment and serves the small family all purposes
Hyundai;EON;3 Nov 2020;Pijush Roy;3.7; Family Car | Tours ;I am anyhow satisfied with my eon, As it my first car.This 840 cc gives very good performance in highway and long drive.With running ac it gives some trouble in low rpm.
