Company;Model;Date;User;Rating;Usage;Review
Hyundai;Grandi10;9 Mar 2020;Harish CHALL..;5.0; Occasional Commute | Family Car | Tours ;a perfect car for a family of 4. worth every single penny. best car in this segment. I frequently travel long distances (700kms) at a stretch, never felt troubled. goes very smooth upto 130-140km. from 140, vehicle starts slightly trembling. but in our roads, we rarely go for that speed continuously. a reasonable mileage of 15-18 Kms(petrol variant). a great look. don't ever ask about the interior s, Hyundai is always the best in this. good controls, great boot space and leg space. this is the only car in this segment which gives a rear AC vent. engine is very smooth. car is very safe. only minor problem is: the bottom portion is made of plastic, if the car goes over some oddly constructed speed breakers or deep pits there are high chances that the bottom carrier assembly getting broken. it happened twice for me in the first year of purchase itself. then I understood that I need to go slower than the slowest over such places and then never faced any problem.apart from that, I have no single complaint. go for minimum sports version, to enjoy a wholesome ride.
Hyundai;Grandi10;28 Oct 2020;Pramit Roy;4.7; Occasional Commute | Family Car | Tours ;I bought this car in December 2018. And I have been using this car for the last 2 years and I'm happy with the car till now. Overall performance is good, I drove the car on tarmac, Hill station, Bad roads filled with potholes and I'm impressed with the ride quality of this car. The only con/disadvantage of this car is its ground clearance (approach angle specifically). The ground clearance is quit e low and not ideal for Indian road conditions. Rest it's a perfect family car with good performance and decent mileage. An initial lag is there but post-2000 rpm performs quite well till 5000 RPM. The comfort that the car provides is best in its segment I feel. Overall I'm happy with the car. It's a comfortable feature-rich family car with good performance and driving dynamics.
Hyundai;Grandi10;2 Sep 2020;Kumar Doka;4.0; Family Car ;Nice car but this may up more, in my entire drive I enjoying a lot n good news is that still I didn't allow to touch the engine part because it's one handed owner. Good car in my opinion. M happy to be a customer for Hyundai but unfortunately to say that now m going to be a KIA's customer for kia sonet or may be for mahindra company for new n exciting most awaited suv in India. But first preferenc e shall be goes on KIA's sonet because lots of tremendously loaded with features but before buying I would like to confirm KIA's sonet ground clearance, if it is more than 190 mm of ground clearance then definitely go for the KIA's sonet🤩 because in my state maximum of roads are hilly as well tough roads too.
Hyundai;Grandi10;20 Sep 2019;Jonathan Emmett;4.3; Occasional Commute | Family Car ;Own 2014 Asta Petrol. Gives me 18kmpl in the city and on long highway drives goes upto 24kmpl. For a family of 3. A good comfortable car with enough space for luggage. Driving is easy in the city with the dimensions. Parking and turning in tight spaces is a breeze. Engine response is good enough and gives you the small boost needed for fast overtakes. Seems confident enough on the highways at fast speeds but I don"t push it more than the 100km mark. Hyundai"s design language is one of my favorites before Honda"s. And the Asta version is feature packed.
Hyundai;Grandi10;27 Sep 2019;Dinesh Mishra;2.0; Daily Commute ;i have owned a grand i10 magna crdi in april 2016 and engine wise it is very bad experience the injectors and turbo chagers are not working properly. i have not ever seen such a bad performance car. I advice to management to take action to resolve this problem. most of your customers like me are suffering it"s effects your compeny image also. please resolve the problem other wise i will never adic e to anyone to purchase your products. i am shamed after purchasing this product and your company naglegence.
Hyundai;Grandi10;14 Oct 2019;Thang Seldou;3.7; Family Car ;First of all, it is a stylish hatchback that beats the hell out of Maruti Swift and others. Interior is tip top, materials used are superior to other cars in this price segment. Smooth and problem free driving, no major maintenance needed in 5 years. Mileage is not the best in its segment, but it is ok. Overall, it surpasses others in style and comfort. But due to the low ground clearance, the fro nt bumper very often scrapes the ground in bad roads. So have to be careful while driving over potholes.
Hyundai;Grandi10;19 Feb 2020;Sooraj S;5.0; Occasional Commute | Family Car ;this is my father's car so I also drive it my experience with this car is fantastic driving .we had gone for a long trip still it makes our face even more happy .The performance of the car is mindblowingly phenomenal it's suspension is apt for our Indian roads but it's stearing has no feel and feedback . it's automatic transmission is a 5 speed torque converter & it gives sudden response
Hyundai;Grandi10;15 Jul 2020;Bharat Patil;5.0; Occasional Commute | Family Car ;गाडी घेऊन एक वर्ष पूर्ण झाले. पिक अप छान आहे. मायलेज १८/१९ कि.मी.प्रती लिटर एवढा आहे. फॅमिली टुर्ससाठी हि कार छान आहे. मध्यम कुटुंबासाठी हि कार छान आहे.
Hyundai;Grandi10;21 May 2020;Binoy Lakra;3.3; Daily Commute;Worst pickup and suspension feels like riding a bullock cart with AC or without it doesn't matter.If possible I want to change its suspension and make it like of Ford , Honda etc. Hyundai should make it more sporty so that it would be a driver's car for enjoyable ride. No issue with its fit & finish, interior,music system, pricing etc.I suggest new buyer to go for Ford/Honda.
Hyundai;Grandi10;6 Jul 2020;Suman Roy;5.0; Occasional Commute ;It is a good hatchback which has the basic requirements all in place such as seatbelt alert, all four power windows and good torque. Now that diesel price is almost equal with Petrol, I do not have any qualms on why I did not get a Diesel variety. The after sales experience was not upto the mark but that does not count towards the manufacturer :)
Hyundai;Grandi10;24 Sep 2020;Laxmikant Pa..;4.3; Daily Commute ;it was a very good car and nice mileage as hyundai has offer comfortable ride. but has some problems with the car that is its front fenter is very frazile and bad quality plus its engine cabinet made with plastic so it may be breaking on every hard bump car make.....as a diesel car it has 18Kmpl mileage in city and 22 Kmpl mileage in highway.
Hyundai;Grandi10;17 Mar 2020;Abdias Michael;4.3; Daily Commute ;It's a wonderful hatchback and I would go on to say it's the best in its segment! The features it offers are amazing and the best thing I like about the car is that it is so silent. Hyundai has done really well in keeping engine noise outside the cabin. I feel it's a little underpowered for a 1.2 l engine, rest everything is superb!!
Hyundai;Grandi10;5 Dec 2020;Vikas Kumar;4.0; Daily Commute | Occasional Commute | Family Car;I am using this car for my personal requirements. It met my expectations for the price(6.6lcs for 2017) I have paid. maximum mileage it clicked till now is 18Kmpl. on an average 16 kmpl.this vehicle.afe me feel good and gave good experiences. It was a good but then. Even it can compete and beat many in its current segment vehicles.
Hyundai;Grandi10;21 Jul 2020;Jashwant Sonara;4.7; Daily Commute | Family Car;nice car, gives for what it was bought. 83bhp of 1.2L engine gives power pick-up, overtaken even BMW and other so called SUVs too by this. small enough to ride in streets of city and parked anywhere. smooth drive, never checked mileage but some say around 15. still same power and strength after use of 4 years 46k kms
Hyundai;Grandi10;13 Jan 2019;Sanjeev Shir..;3.0; Daily Commute | Family Car | Tours ;It gives me a mileage of 17 in 75% city and 25% semi highway condition and 21.5 kmpl in 90% Highway condition.The Car is very good as far as reliability is concerned. I was owning Santro Xing GLS since 2009 also earlier, the same trust continues in Grand i10 Sports which i bought in 2015 also. You Start the vehicle and go wherever is your destination, it will take you and bring you back without an y breakdown. That is assured. Frequent minor breakdown is also not there in the Vehicle. But No Airbags. As for me Safety First of my Family.Accident Happens only Once and forever.So safety first.
