Company;Model;Date;User;Rating;Usage;Review
Hyundai;Grandi10Nios;10 Aug 2020;PRAFFUL V;4.7; Occasional Commute | Family Car | Tours ;I have used it for almost a month now and it has been a satisfactory purchase. Rear seats are inclined and some people especially elderly ladies might not feel comfortable(it might be only my mom too), but ride quality is great. super highway performance. in lower gears you can feel gear switch. as the car crossed 3rd gear then you will hardly feel any gear shifts. i am a novice driver and i am co mfortable in riding. its my first car, so i cant compare with any other one's. no complaints from now with respect to build quality as its Hyundai its amazing.internals feel great, hassle free ride in bangalore. and believe me when i say, Sill board is one such junction which is nightmare for any driver, but in heavy traffic too, i hardly felt any problems, considering i only need to apply break occasionally.
Hyundai;Grandi10Nios;16 Nov 2019;Vamsee Mohan;4.0; Occasional Commute ;I bought my NIOS in september already drive 2500+km max in highway. Its engine smoothness and sound quality is better than normal grand i10. I like dash board design. Its being ready BS VI its claimes almost 19 to 20kmpl on highway. In city its approx 15. I am forget to share my car model. Its Asta petrol. Feeling comfort and also feeling comfort in driving on long drives.Cons:-1. I am feeling a b it of lag while climbing hills like i went to Tirumala, Tirupathi2. Default Navigation is not provided by Hyundai we use them only with Android auto or Apple. If we have basic mobile its impossible of Navigation.3. Expensive. Its approx ORP is 8.7L.My overall rating is 3.5/5
Hyundai;Grandi10Nios;5 Jul 2020;Dushyant Sri..;4.7; Family Car ;At this price point, Hyundai is offering a lot. Seat comfort, upmarket cabin, space in cabin, decent boot space. Comparing this car with swift(Just because 99% of Indian's know swift pretty well) Cabin looks more premium, Plastic quality is way better than swift and most importantly the build quality is better than swift but don't forget swift wins the battle in Average fuel consumption.In my opin ion fixed headrest is a downside of this car, which was not a deal break for me else everything is great.
Hyundai;Grandi10Nios;21 Jun 2020;Rajesh Reang;4.3; Occasional Commute;its my first time car..i used most of the time in rural road 90% hilly area ... in hilly area with 2nd gear is the best things to climb no matter how high it is... those who said getting lag may b those using 4 or 5th gear in uphill those are nonsense ..there is no lag unless you used ac .. highway also good and drive like 65 to 70kmph again those who said powerless on highway are those nonsense s quid whio wana drive at 200kmph speed then go get Lamborghini..
Hyundai;Grandi10Nios;14 Dec 2020;Gaurav Taneja;1.0; Daily Commute ;Same problem with me.I bought in september end.October chali and november se problem aa rahi hai.I have to drive at least more than 6-8 km on petrol otherwise, Car switch off on cng.Earlier vibrations on cng mode were also coming.Service center people don't know what to do.They ask to wait for software update but to no avail.Can i return and get my money back? if possible please help me.First car, Very much depressed because of this issue.
Hyundai;Grandi10Nios;1 Jul 2020;Deepak Mohan;5.0; Daily Commute | Family Car ;As a owner, I felt it was a best choice buying brand new Hyundai i10 grand nios because it has more leg room at the rear passenger seat, good looking interior, it as more features than the other cars in this segment, engine is quiet refined and smooth. It has exciting features like wireless charging first in the segment, rear AC vents and many more. It is also the best city car and stable in highw ays.
Hyundai;Grandi10Nios;5 Feb 2020;Santosh Kumar;4.7; Daily Commute | Family Car | Tours ;Considering the features it's worth every penny spent, however after driving it for 6000 KMs, i can see some boot noise peeping through the cabin. However the MVH levels are well contained. May be because of the pathetic traffic I am not able churn our the best mileage. I am getting around 13 in the Hyderabad traffic.I don't regret considering this on Tiago.
Hyundai;Grandi10Nios;25 Oct 2020;Deepak Sethi;4.0; Daily Commute | Occasional Commute;Except rear seat, rest of car is really good. I like its performance. The only issue is that rear seat is not much comfortable. Person seating on rear seat feels bumping even on smooth road. One star cut for that. Both front seats are very comfortable. Pickup is very good. Automatic climate control works well. Infotainment consol is user friendly.
Hyundai;Grandi10Nios;23 Sep 2020;NishantManoj..;4.0; Daily Commute | Occasional Commute;It's a nice car with all features required ,good on road performance,fuel efficient and above all great customer support ,no driving hassle from last six months driving,boot space is good and sitting comfort is also above the mark,automatic climate control with touch panel is good,dual tone interior enhance car look amd feel from inside.
Hyundai;Grandi10Nios;8 Jun 2020;Sushantu Aga..;5.0; Family Car ;Unique design seprated from the crowd Good petrol engine linear power delivry refreshed interiors some 1st in segment features like DVRM HONEYMAZE INSTERS IN CENTRE console 14inch alloywheels with yokohama rubber on it silent cabin good insulation road noice is at minimum arkamys music system
Hyundai;Grandi10Nios;21 Nov 2020;Sheikh Feroze;4.0; Daily Commute | Family Car ;Its good.Looks nice.Comfortable spacious and smooth.Should not have removed the coolbox feature in sportz model.After sales customer is not as good as i expected.Overall i would rate this a good car in terms of looks and comfort.
Hyundai;Grandi10Nios;26 Aug 2020;Ashok Saraogi;5.0; Daily Commute | Occasional Commute;The Perfect Family Car! Just loved its performance and Simplicity. In love with its cabin space and design. Best decision to purchase. Has 1st in segment features as well as best in segment engine and gearbox.
Hyundai;Grandi10Nios;14 Aug 2020;Bharat Gawade;4.7; Daily Commute | Family Car | Tours ;I search many family car from last 2 years finally I got it.Safty,dezine,build quality, new features,Avarage,specially for women,Fully satisfie in my 1st new car..Nios asta petrol
Hyundai;Grandi10Nios;18 Jan 2021;Parthasarath..;3.7; Family Car ;Though the model has good features but, It is missing a very important thing like, No glow signs at the driver's door for operating the functions at night.This is ridiculous.
Hyundai;Grandi10Nios;9 Nov 2020;More On;5.0; Daily Commute | Family Car ;https://photos.app.goo.gl/q59AHrXF1o1G6TpA7Good looking, stylish and more sportier than the previous generation grand i10. Nios means more, it gives more space, more refinement, more practical too.
Hyundai;Grandi10Nios;23 Dec 2020;Sainath Patt..;5.0; Family Car ;Good car.Suitable for small families with small parking places.Traveled 7000km so far mostly on high ways.Very comfortable drive experience.So far no -ve experience.
Hyundai;Grandi10Nios;13 Sep 2020;Rahul Hari;3.0; Family Car ;Not value for money. It doesnt have traction control.In highways its comfortable.Milege is very poor.On some times the wheel spins to deliver more power.
Hyundai;Grandi10Nios;26 Nov 2020;Nxt Lifee;4.3; Daily Commute | Occasional Commute | Family Car;Hundai i10 NIOS my FAVOURITE car for family and commercial uses. Dual Tone color is wonderful with white and black finish 😗😘 Thanks Hundai 🤗
Hyundai;Grandi10Nios;16 Feb 2020;Satish Sharma;5.0; Family Car ;shaandaar gaadi ,excellent ride quality, top class interior and exterior quality, truly premium hatchback totally value for money.keep smiling always
Hyundai;Grandi10Nios;12 Nov 2020;Vamsi Krishna;5.0; Family Car;Very nice car... Easy to drive in city and also in highway....... Value for money..... You don't disappoint with this car in any department
Hyundai;Grandi10Nios;29 Aug 2020;818494;4.8; Daily Commute | Occasional Commute;Great hatchback great mileage looks and comfort are decent maintenance is nothing its cheap build quality is amazing for city use its best
Hyundai;Grandi10Nios;18 Jan 2021;Anup Sinha;4.7; Daily Commute ;Head rest and rear washer must be there considering price that is chraged in sports at least.Further only helogen light option is there.
Hyundai;Grandi10Nios;22 Nov 2020;Bhavesh Bakotra;4.8; Daily Commute | Occasional Commute;Very good car for middle class people. And the best car for city traffic. Mileage is also very good. Very convenient to operate.
Hyundai;Grandi10Nios;22 Sep 2020;Shivu D;5.0; Family Car ;One of the best hactchback in india compare to maruthi Toyota ford renult nisaan . It feels like that your riding a audi car
Hyundai;Grandi10Nios;28 Oct 2020;Abdul Hakkim;5.0; Family Car ;Overall good car to drive.Comfort seats and more than 5 persons can easily accommodate and peaceful drive can be obtained.
Hyundai;Grandi10Nios;19 Sep 2020;Rohan Shaju;4.5; Daily Commute | Occasional Commute;Great automatic car ,stylish interior and exterior and great mileage really satisfied by my NIOS .excellent ride quality
Hyundai;Grandi10Nios;19 Sep 2020;Rohan Shaju;4.5; Daily Commute | Occasional Commute;Great automatic car ,stylish interior and exterior and great mileage really satisfied by my NIOS .excellent ride quality
Hyundai;Grandi10Nios;29 Sep 2020;Aman Kumar;3.7; Daily Commute | Occasional Commute;Its a good family car. Found it good for city usage.Mileage around 15 km/l for city usage, and 18km/l on Highway.
