Company;Model;Date;User;Rating;Usage;Review
Hyundai;Verna;24 Dec 2020;Prasob Prabh..;4.3; Family Car ;I bought verna top spec petrol sxo ivt, I have crossed 5000 km and here are my experience pros - 1.Smooth ride, No cabin noise 2.Loaded with all fearures for the segment, Probably better than its rival.3.Comfort of seats 4.Ventilated front seats is really a boon trust me, I use it always 5.Powerful ac 6.Premium exterior looks, I got phantom black and beleave me people really do appreciate the car and its looks.7.Shiny diamond cut alloy wheels for this spec really looks dashing, This alloy looks better than city and other rivals 8.Power, Engine never loses steam and gives you good power and ride stability along all speeds.Its an cvt gearbox still power generation is superb.Mileage - i get 18 to 20 on highways without ac, In city traffic its between 12 to 14, So average for a trip is 15 to 16.Cons - though none but few aspects which may not be the best are 1.Rear space - now it has same wheel base like its rival city and other sedans so practically it has same space inside car, But real legroom looks slight less but i did a test drive with my family and im 5.6 so we all were very comfortable, Seat base and height is bigger, So its qute relaxing for us at rear but for huge passengers better testdrive.2.Not a negative point but some features arent much of a use like wireless charger, Not many mobile in india has this facility and the charger is small, Mobiles more than 6 inch wont fit in.3.Hyundai should have given more to verna, Like hyundai is pampering its lower segment car like i20 and venue with very great feature which verna dosent has like air purifier, Ambient lighting, 10.2 inch touchsceen etc.These features would have surely made it a tough rival for city.4.Price - top spec petrol in 16.6 lakhs onroad in my town, Where as top spec city petrol is 17 lakh, So not much of a difference, Should have been atleast a lakh less.
Hyundai;Verna;26 Oct 2020;Prince vibek;5.0; Daily Commute | Family Car ;1. Refined engine, very silent cabin.2. Pleasant, soft and relaxed driving experience.3. Smooth gearbox.4. Easy to park, thanks to rear camera with guidelines.5. Looks much better in real life than in photos!6. Feature loaded.7. Comfortable for both the driver and the passengers.8. Premium feel.9. Looks best in black but hard to maintain, so bought silver.Any disadvantages? Not really. For those c omplaining about rear seat space, for a height of 5,7 the seats are good. In fact I can use the word great for its comfort and premium feel. And for those complaining about performance, this car has more than enough power for the daily driver. SX variant is value for money, it really stands out among all rivals too. ( Priced below base variant of Honda City). It offers almost all features one wants in a car like electric sunroof, rear camera, electric folding mirrors, led DRL, projector headlamps and fog lamps, cornering lamps, 16 inch alloy wheels, rear AC, touchscreen infotainment, 4 speakers + 2 tweeters plus some cool features like digital instrument cluster (looks very modern), wireless charger (it is actually more useful than you think), smart trunk (hands free boot), push button start (with smart key), rear curtain (premium feel), cooled glove box, sliding armrest, auto headlamps, auto IRVM, etc. The list goes on!Some of these features are not offered in other cars while some others are offered only on higher and costly variants. Hyundai superb quality and wide service network is a bonus. For 12 lacs on road price, the petrol 1.5 manual SX variant is a very sweet deal.
Hyundai;Verna;17 Apr 2020;Pearlson Kart;5.0; Daily Commute ;My daily drive. Offers a mileage around 10-11KMPL in Chennai traffic. Being top end and due ventilated seats keep things in hot and heavy traffic situations. Sunroof have used in ECR night drives. Android auto connectivity for all mobile phones is poor. It disconnects automatically after few seconds or minutes. Car is fully loaded with features. With that comfort is on par with the class competiti on.Would have liked the brakes feel better or a rear wheel disc, still good for city and highways.Had issues with a rattling sound in the steering column when roads are uneven. The entire steering column was replaced in warranty. That saved huge bucks.
Hyundai;Verna;2 Oct 2020;Linu Ninan;3.7; Daily Commute ;Thrilling Power performance. Overall experience is good. I have never been in any trouble. I have drive upto 600 km at a stretch. Good handelling and much better ride quality compared to fluidic Verna. Long distance it gave me 22kmpl. I could take it to 170 kmph at highways. Service provider are hopeless. Every time they need to change parts. I don't know why a company maintained vehicle need that much replacement even after taking so much of care. Service cost is high
Hyundai;Verna;7 Jun 2020;Ankit Jaiswal;4.3; Family Car;This car is better than it's own segment.in the car front view and rear view very very attractive.this car have a long leg space for back side passengers so that we are feel comfortable. For long ride we can't tired with this car. It's desiel version is better than petrol. Hyundai Verna's mileage is good that you need. So it all reasons it makes a family car.
Hyundai;Verna;24 Jun 2020;Reo D;4.7; Family Car ;i have hyundai verna sx(o),it has a very good performance in its segment,and the features are awosome like smart trunk,smart key,wireless charging pad,ventilated seats,android auto and blue link feature ,electric sunroof,auto door lock and unlock,electro chronīc mirror,automatic climate control.the look far better then its rivals.
Hyundai;Verna;19 Dec 2020;Praga Theesw..;3.3; Daily Commute ;City mileage is ok 13/14.Nh is very good 23.They mention it has a automatic speed sensing door lock but after the first service from tiruppur came to know only in booklet it has a feature but not in the car said from hyundai service centre.Also some sound problem after first service from opening the boot.
Hyundai;Verna;26 Jul 2020;Siddharth Sh..;4.3; Occasional Commute ;Good performance combined with good features. Also the build quality is really good and you can compare the door and bonnet weight and quality with VW and Skoda. Its fun to drive vehicle but lacks leg space on the rear seats, however the car is comfortable on front seats.
Hyundai;Verna;9 Sep 2020;Sairaj Dharm..;4.3; Daily Commute | Occasional Commute;Very nice car was saled by Hyundai on that time and now. Currently I am using 1.5 CRDI VGT model in the base trim but l had also one 1.6 xi petrol Verna both cars very nice and superb. They both have powerful engines, great performance & superb build quality.
Hyundai;Verna;5 Sep 2020;Hariharan Ra..;4.5; Daily Commute | Occasional Commute;ANYTIME HYUNDAI IS GOING TO BE THE BEST VEHICLE IN ALL OVER THE WORLD WHEN IT COMES TO THE OLD MODELS.THE ENGINE IS BEST PART FROM THE HYUNDAI OLD MODEL CARS.IT maintenance THE SAME performance TILL DATE WHEN COMPARED TO THE NEW MODEL CARS........
