Company;Model;Date;User;Rating;Usage;Review
Hyundai;Verna20172020;24 Sep 2019;Rajesh Kumar;5.0; Daily Commute ;Very well maintained insideout Single owner single hand car with 80% highway miles means no city braking, cluth and suspension usage. This is a top end variant with Push start button, key less entry, all disk brakes and alloy wheels, 6 airbags, leather upholstery & POLK 4 speaker music system with FOCAL amplifier fitted. More than anything else the car drives very well without any issues with exce llent ride quality. Come check it out then take a call
Hyundai;Verna20172020;30 Nov 2019;Sankar Ram;2.3; Family Car ;Poorest of poor quality mechanics. Only outside beauty and styling is there. Overheating problems still exist, even after replacing major parts including engine assembly. Moreover nobody responsible from Hyundai will even attend to your call, not even the state head. Only the local area manager will talk to you , that too in a harsh tone, as though he is the owner of HMIL and is your godfather. Ki ndly do not buy Hyundai cars.
Hyundai;Verna20172020;7 Mar 2020;Raheem A;4.7; Occasional Commute ;I am having Verna Base model 1400 cc petrol . But it is good for long drive. Comfort & space are good . I am facing steering problem to some little extent. It lags to left side and causing some strain on right hand. When brought it to notice of service center they are saying nothing . Such problem is not felt in i20 & i10 which too I drive
Hyundai;Verna20172020;21 Nov 2019;Rajesh Mishra;2.3; Daily Commute;Very poor service, sent car to service centre Rutu Hyundai, Kalyan for 10000 km servicing. And complained to attend abnormal irrational sound of doors and steering but the dealer returned the Wehicle without attending the problem and informed the same has attended and rectified. After so many reminders they are not turned with solution.
Hyundai;Verna20172020;25 Aug 2019;V Vishnuvardhan;5.0; Occasional Commute | Family Car | Tours ;i bough this car 3 yr old well maintained by predecessor..but i have to change gear box .the only thing which i have to change for safety reasons as suggested by hyndai service...other than that no issues....other issue with all sedan"s is low floor hieght is a constraint when riding on patchy roads....mileage is 13-16KMPH
Hyundai;Verna20172020;13 Aug 2020;Abhijit Desh..;5.0; Family Car ;Mast performance and very nice car . Very much comfort. Very nice milage. The perfect car. Very nice look. Super speed it has. It's over all performance was very perfect. One of memorable car in my life. Really very Dainamic car.
Hyundai;Verna20172020;12 Jul 2019;Sunilvadiyal..;4.7; Daily Commute ;Verna and grand i10 are my daily commute vehicles.i purchased this beast Next gen Verna in 2018 march till today I've clocked 30k kms when ever I take this beast out of my parking it always puts a smile on my face interiors are just fab! Pretty much equal to a 30lakh car. Power is available right from 1200rpm but power delivery is linear you won"t get that kick in the pant feel.Fe-15kmpl/city , 18 -19/highway
Hyundai;Verna20172020;5 Sep 2020;AFAQ MAJID;4.0; Daily Commute | Occasional Commute;I bought car based on knowledge gaitfrom your app Car Dekho but your app AP kar Dekho mislead me as it was mentioned that Hyundai Verna SX IVT 2020 WOULD BE HAVING NAVIGATION SYSTEM BUT TO MY SURPRISE IT WAS NOT THERE
Hyundai;Verna20172020;11 Oct 2020;Jagannadham ..;5.0; Family Car ;Pleased with look and stability at the steering. Well designed interior and comfort. This car gives alot of features with blue link and many other that hyundai will offer you with hyundai member ship. Nice car 😊
Hyundai;Verna20172020;21 Apr 2020;Kartik Yadav;5.0; Daily Commute ;The looks , performance everything is good. The braking ability seems less at higher speeds. The steering too feels very light and I personally feel it is not good for higher speeds.
Hyundai;Verna20172020;5 Oct 2020;Swar Films;5.0; Daily Commute | Family Car ;Good Condition 120000km drive 6 air bag wight colur fully automaticallyTyer condition is good Call me 8625851234Good for driver and drive Ac is good condition all is good condition
Hyundai;Verna20172020;11 Nov 2020;Sandeepsreer..;3.0; Daily Commute ;I met with an accident in Hyundai Verna please don't buy it build quality safety is not at all good even the suspension very bad not at all stable the brakes they don't even work
Hyundai;Verna20172020;4 Sep 2020;Venugc;4.7; Daily Commute ;Be careful at the time of delivery of vehicle , check every component of the car and it’s function whether it’s condition or not and do the insurance in which area you live
Hyundai;Verna20172020;9 Sep 2020;Pradeep Damo..;4.3; Daily Commute ;This is best car to buy at this price point. Ride quality is superb and i guess generally good for all Hyundai cars. Steering became left inclined within a few months of use.
Hyundai;Verna20172020;22 Aug 2019;Debashis Dalai;4.3; Family Car ;Little outdated styling but still a mean machine to drive .. long journeys are quite comfortable though some features like seat height adjustment are missing..
Hyundai;Verna20172020;9 Nov 2019;Rudragoni An..;4.7; Occasional Commute ;Its an luxuary car and it is top in its specifications and alsoo comforts even though it gives less mileage but it gives pleasure to the one who drives it
Hyundai;Verna20172020;1 Oct 2019;Manmohan Sharma;5.0; Family Car ;It"s very smooth powerful and responding car, ventilated seats are icing on back in hot humid indian climate, fatigue over a long drive is bare minimum.
Hyundai;Verna20172020;10 Dec 2020;Yash Vashisth;4.7; Family Car ;I love verna it is most stylish i don't think so that any other car compared with it's style, Lookings and most of the things etc.That's why i love it.
Hyundai;Verna20172020;7 Aug 2020;Abhay Ranjan;5.0; Daily Commute ;Very good in mileage & comfortable easy to drive on highways and in city .hshxnzj nzjjsjsk jznzjznz bshsidj jdjsudid jsjshxbxh hzhwhwhsbb hzhsh jsjxhxh
Hyundai;Verna20172020;12 Apr 2019;Arastu Thapar;4.3; Daily Commute ;I drive a top end (optional) automatic variant of the new shape Verna, luxury features of a bmw 3 series (ventilated seats, sun roof , sensors and the works but unfortunately the mileage is one of the worst I’ve seen in a sub 20 lac vehicle ..city - 6 and highway - 12/13
Hyundai;Verna20172020;21 Dec 2020;Raviraj Jadhao;4.8; Daily Commute | Occasional Commute;Its a every day car, easy to handle car, low maintenance, fuel efficiency is also good. And comfortable with strong Automatic climate control.
Hyundai;Verna20172020;3 Jan 2020;Manjeesh Kumar;5.0; Daily Commute ;I feel Verna is my Best car ever. I just visited hill station , after driving 350 KM in a day , i feel so comfortable.I am Happy with my Verna.
Hyundai;Verna20172020;28 Aug 2020;Manisha Yadav;1.0; Family Car ;Air bag , munel, system, cifi d9yshp ciigjdxu Figiijcjpg fili, km mileage fupfi, jfgup ,udoh, kgfuj,itfj JFK gig ji jjffjGjvnhtnbtfij uuf ugii
Hyundai;Verna20172020;29 Mar 2020;Amit Aulakh;5.0; Daily Commute ;Best car i ever had... I will never shift to any other car. Even if one day i buy mire cars than one. Even then i will be owning one Verna.
Hyundai;Verna20172020;15 Nov 2019;Rudra Mehta;5.0; Family Car;My experience with Verna is very good. It’s the best sedan you can get with a premium sedan at an affordable cost. It’s value for money.
Hyundai;Verna20172020;30 Oct 2019;Udit Chaturvedi;4.7; Occasional Commute | Family Car | Tours ;It has been a really good car. Strong build, comfortable cabin and peppy engine are some of the goodies. Overall, a good car to live with.
Hyundai;Verna20172020;6 Mar 2020;Ashutosh Shukla;4.3; Daily Commute ;happy with overall performance never expected much mileage so not at all worried.love to do long drives especially on express ways.
Hyundai;Verna20172020;17 Oct 2020;Legi George;5.0; Occasional Commute ;Very nice car. I have 2 Verna. This is a stylish car. Very comfortable to drive. Its service charges are expensive but manageable.
Hyundai;Verna20172020;27 Sep 2020;Ankur Kalra;3.0; Daily Commute ;Overall performance is good As compare to maruti because breaking ac driving experience all things are good as compare to other cars
Hyundai;Verna20172020;6 Feb 2020;Rishabh Kumar;5.0; Family Car ;Safest car ever with excellent comfort..and Nice family car. premium Sedan .. The All New Next Gen Verna is my Favourite Car..
Hyundai;Verna20172020;12 Oct 2020;Mukul Teejwal;4.0; Daily Commute | Family Car ;good but i hate the colour of verna its not shining too much like others low shine , high pickup , i want to buy a new verna
Hyundai;Verna20172020;27 Aug 2020;Kumarjyoti R..;4.0; Daily Commute ;Pick up is less as it is AT. Looks wise very catchy though. It is narrower than Honda City. features are convenient though
Hyundai;Verna20172020;28 Mar 2020;BHAVESH ARHA;5.0; Family Car ;i thing its a good caar . in this type segment. suppb pick up. suppb mialage . and looks so good and pretty. stylish car.
Hyundai;Verna20172020;6 Sep 2020;Amarnath Kan..;4.7; Daily Commute ;Good decent comfort car.nice smooth vehicle.loved having it for 8 years now.not much if maintenance I used single handed
Hyundai;Verna20172020;9 Nov 2019;Arun Singh;3.3; Daily Commute | Occasional Commute | Family Car | Tours ;Good ecperience ,but compony wants so they increase other more options as come in this segment cars,look mote luxurious
