Company;Model;Date;User;Rating;Usage;Review
Hyundai;Xcent;5 Nov 2019;Nurul Amin;3.7; Daily Commute | Tours ;xcent is a overall good.. but Hyundai company have some hiden problem that sometime engine given very poor performance like after 50-90 km driver car given starting vibration..engine power feel like 150 CC bike....but Hyundai never accept this problem therefore after my this Xcent car I will given Hyundai good bye...👋 because this is a cheater company....stupit and we need kick out hyundai..we know Hyundai will never overtake Suzuki....Suzuki build quality is poor but engine performance is delightful..sorry Hyundai you are a cheater
Hyundai;Xcent;7 Dec 2019;Sachin Hiwase;4.7; Family Car ;I use the car as a family car. Run in villages and small contry roads. Very good comfort and good handling. I have covered 900 km on stretch with fully loaded car. Still very good comfort. You get little tired after 400 km in driving seat. Otherwise very happy. Got an average of 17.5 per km when I take trip from nagpur to vaishnodevi via delhi gurgaon and that too in hot scorching summer with full ac on and speed always above 100 kmphr. I am happy.
Hyundai;Xcent;3 Jan 2020;Srijan 62;4.0; Family Car ;It has been only six months and the car is driven around 3000 km. The experience is quite nice, though the car is mostly seen used by cab aggregators, but it still a good option for the family. Interestingly, the car offers good comfort and has a decently well driving dynamics.
Hyundai;Xcent;19 May 2020;Mvenugopal Venu;4.3; Daily Commute | Family Car ;its a nice car, hyundai is all time excellent i drove all type of variants in hyundai company cars, i buyed a new car in hyderabad in the year of 2017. every year i spend the money for servicing only 4000/- below. good condition and good safety.Overall good car...
Hyundai;Xcent;2 Jul 2020;S M;5.0; Occasional Commute | Family Car ;Nice suspension with appropriate matching weight and power.Nominal maintenance cost.Much better than Honda amaze and Maruti dezire.Nice and sturdy dash board with good quality plastic.Comfortable gear shift.Excellent trouble free suspension since Aug 2014.
Hyundai;Xcent;5 Sep 2020;Shreshth Vas..;4.2; Daily Commute | Occasional Commute;Hyundai Xcent is a car built for and to be used by executive class only..at the moment when i bought it, it had great features as per cost factors..Car is ok on performance on CNG.. but performance on petrol is somewhere better than market standards
Hyundai;Xcent;18 Jul 2020;Abdhesh Singh;3.3; Occasional Commute | Family Car | Tours;at this price point car is very good easy to maintain. no needs any kind of special maintenance. mileage is also ok barking comfort and handling is ok.it doesn't have any kind of existing features but a very good car for 4 people.
Hyundai;Xcent;1 Jun 2020;Shekhu Diwaker;2.3; Tours;Its gud for a nearly places but its not gud for a tour becoz it have h 3 cylender and its too bad for this car, i was repaired 3 times and the problem is that engine is not working properly when we going to tour,
Hyundai;Xcent;6 Jan 2020;Cool Rider25;3.7; Daily Commute | Family Car | Tours;SX(O) petrol : mileage 11.5 kmpl (on my style of driving) , sturdy care, sub 4 meter car, so less price due to less tax, feature laden car in the segment, go for the Hyundai AURA its getting even better.
Hyundai;Xcent;7 May 2020;Gopal Thakur;4.7; Family Car;I bought it in 2014 but even after more than 5 year it still doesn’t look outdated. The features on Hyundai cars are futuristic. I love my Xcent and I look forward to buy Creta in the near future.
Hyundai;Xcent;19 Sep 2020;Mayur Sharma;4.7; Daily Commute | Occasional Commute | Family Car | Tours ;Its a great family car, boot space is enough, performance is good, cabin noise is low,features are good power windows, internally adjustable orvm , child lock, fog lamp, boot lamp,
Hyundai;Xcent;18 Nov 2020;Syco Style;4.7; Family Car ;Overall a good family car for midle class people like me good average good looking better space.But one issue from hyundai service spare parts not available for all time.
Hyundai;Xcent;14 May 2020;Jsil Narjinary;4.0; Family Car ;Easy to drive, best car in this segment ..Dzire - tin ka dabbaAmaze - service cost and lack of parts issueAspire- don't like bcoz of service issueTigor - Heavy clutch...
Hyundai;Xcent;22 Jun 2020;Abhishek Sriram;4.0; Family Car | Tours;Overall performance of the vehicle is satisfactory and maintenance free. The service given by company is good. Pickup gradually decreases when thers is usage of AC
Hyundai;Xcent;27 Dec 2019;Sharad Punj;4.3; Family Car;Good experience. Nice for long drives. However too long journies need be avoided as maintenance runs out of pocket. Though nice vehicle for comfortable journies.
Hyundai;Xcent;22 Nov 2019;Gopalsingh H..;5.0; Daily Commute ;1.considering best quality of Hyundai brands2.best boot space in compact sedan3.best mileage 4.smooth engine5. Overall found good So I purchased it and satisfied
Hyundai;Xcent;29 Aug 2018;Abdul Haleem;2.3; Family Car ;Very poor performance, created a lot of trouble, service center taken long time in repair, actually from very beginning I faced engine check problems ,ultimately repaired in Hyundai service center,I personally not satisfied from this car, its shape is not good. I suggest not to purchase this Car
Hyundai;Xcent;2 Oct 2020;Rajkumar Set..;5.0; Daily Commute | Occasional Commute;Amazing car and part of my life..travelled length and breadth of south india and both the car and me never got tired.....always roaring to goooo..
Hyundai;Xcent;11 Dec 2019;Sajeesh P;4.7; Family Car;I buy this car recently ...the performance is awesome ...Seat comfort ...also good..Only problm is out look....compared to other sedan models...
Hyundai;Xcent;18 Oct 2020;Abhay Singh;4.7; Daily Commute | Occasional Commute;I am fully satisfied , Low cost maintenance,Excellent milage in low cost , Music Systems sounds Quality very Good also .Thanks Hyundai
Hyundai;Xcent;21 Sep 2020;Kanhaya Gupta;4.7; Family Car ;Overall performance is very good exclude services and my car mileage is 18+ thanks to all of this but i'm nt happy for hundayi services
Hyundai;Xcent;2 Mar 2020;Baburao Anna;2.7; Occasional Commute ;Uphill pull power is very weak. Tried driving down from Mangalore to Bangalore. Also mileage is not as what was offered by the company.
Hyundai;Xcent;7 Nov 2020;Naveen Kishore;3.7; Daily Commute | Family Car;overall my Xcent simply superb 🤗 small problem is about rear seats suspension little bit bouncing except this ...I love my car 😘
Hyundai;Xcent;12 Oct 2020;Neelakandan ..;4.3; Family Car ;Comfortable seating, driving and low maintenance cost . Very responsive engine, quick acceleration despite being automatic transmission
Hyundai;Xcent;22 Dec 2019;Rajesh Bhanj..;5.0; Family Car ;This is the best car about milage and comfort, I drive 600km a day, I don't feel tired. But parts are not available in a show room.
Hyundai;Xcent;4 Aug 2020;Dr Muhammed;3.3; Daily Commute ;Not bad some time to goodness Bhaijaan you a very very happy birthday to you Brother 🎂🎂🎂🎂🎂🎂 many many more years
Hyundai;Xcent;1 May 2020;Abhishek Tiwari;3.7; Family Car ;I like this car, as I share my safety experience my accident happened in November but I am fully safe not a single scratch to me.
Hyundai;Xcent;15 Nov 2020;Sukanta Jamatia;4.0; Daily Commute | Occasional Commute;Superb car.Comfort, milage, and maintenance all are best in this price segment.Ground clearance is low for Indian village road..
Hyundai;Xcent;15 Jan 2021;;4.7; Occasional Commute | Family Car ;Hyundai xcent is perfect family car with good mileage.Very good service from dealer and also very comfortable while long drive.
