Company;Model;Date;User;Rating;Usage;Review
Hyundai;i10;25 Sep 2019;Saurabh Singhal;4.7; Daily Commute ;I have been using Hyundai i10 1.2 Kappa Automatic Transmission (2009) and have already driven it for more than 75,000 kms so far. The car has never given me a reason to worry and was a feature-rich, affordable AT hatchback at the time of purchase. It is full-time AT with creep function and very much unlike jugaad AMTs of present times.
Hyundai;i10;8 Jun 2020;Gour Ghosh;3.7; Daily Commute ;Very Good Driving Experience, till today engine is very good condition, medium mileage, medium comfortable car, for 1st fife years pickup was very good, in this car head light is very poor and there lots of difficulties in clutch pad and outside body design not good and there is pron to dent in all 4 corners
Hyundai;i10;2 Dec 2020;Mandeep Singh;3.8; Daily Commute | Occasional Commute;Joyrney of nearly 12 years now and still the Hyundai i-10 never misses out to out a smile on my face. Good comfort, nice loading capacity with 5 on-board with luggage many a times. Though the crash rating was not good, still if you drive safe all is well. Relish my decision till now
Hyundai;i10;30 Jul 2020;Vipin Singh;3.0; Daily Commute ;Car is Good and Equipped with Medicore Facilities as it really meant for 1st Generation Car owners. Value for Money. I drove i10 for 1,37,000 with 1 lac spend on after market Car Modification. I love this car.
Hyundai;i10;1 Dec 2020;CHANDRI NAIDU;3.0; Daily Commute | Family Car ;Good And lovely car. As it was my first car I was always feel something happy. Now I want to go for HONDA CITY which was my life ambition. Honda city was one of my best cars.HONDA CITY👌👌👌
Hyundai;i10;5 Jan 2021;Kunal Ahuja;4.3; Daily Commute ;I have really enjoyed my i10 car.Its fun to drive and had all the features when i bought it 10years back.It only lacks safety features and gives low mileage.Otherwise very satisfied with i10!.
Hyundai;i10;22 May 2019;Hitender Meh..;4.7; Daily Commute | Family Car ;Its an excellent car. I have been using this car i10 for 10 years now. I got CNG installed and my daily commute has been 86 Kms. After 9 years of continuous usage with CNG kit installed, it has developed some issues with Engine Header. Still, there is no issue with i10 pickup, it"s in fairly good condition after 10 years. Time to upgrade now.
Hyundai;i10;21 Oct 2020;Rajiv Chatur..;2.7; Family Car ;Ground clearance very low touches speed breakers , not suitable for indian roads , mileage not satisfied , very less mileage of 12 km / lt in city & highway only 14 , styling not good
Hyundai;i10;26 Dec 2020;Kandarpa Ven..;2.3; Occasional Commute ;Mileage is the biggest issue for lpg variants.Drive is comfortable and smooth.Even lpg transmission from petrol is not smooth.Often vehicle knocks a lot during this transmission.
Hyundai;i10;25 Oct 2020;Mandeep Singh;4.7; Family Car | Tours;Initially vary to buy but relish every drive in this lovely compact trustworthy hatchback. Even done triple speeds with 5 on-board with luggage and the car just pulls-off good.
Hyundai;i10;2 Oct 2020;Siddhartha M..;3.3; Daily Commute ;Basically good for city commuting. So so for long distance commuting. Headlights are weak. Suspension also very weak. But overall a reliable car, very little maintenance.
Hyundai;i10;13 Sep 2019;Kgk Murthy;4.3; Daily Commute | Family Car | Tours ;It is a very smooth car and a pleasure to drive... but with manual gear changing, it is a pain in bumper to bumper driving in the city..but outstation... it is a joy..
Hyundai;i10;24 Dec 2020;Sudhir Naik;2.3; Daily Commute ;I have i 10 sports.I had good hopes but found i10, Not to the standard.Its shock absorbers are not a comfortable feeling, Average is poor.Poor torque.Bad gear shift.
Hyundai;i10;24 Dec 2020;Div Gandhi;4.3; Daily Commute ;I have my 2011 hyundai i10 sprots auto which i used for cng and when i fill full gas it give only 100 and 120 mileage in full cng which is automatic transmission
Hyundai;i10;30 Aug 2020;Jay Patel;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;Good and enjoyable experience.i hope wants to upgrade and want to buy SUV in future. I am untill now I am happy to to be a my first car and I crushed for it.
Hyundai;i10;9 Aug 2020;Logidasan Ra..;3.7; Family Car ;performance is good and mileage is not good Regular battery down and strength of bumpers are not much good, even small hit Will broke the bumper link socket.
Hyundai;i10;16 Sep 2020;Amrut Atre;4.7; Daily Commute ;Hyundai i10 1.2 magna - asolutely the best car for city driver. Ease of parking, low maintenance costs and good looking. 9 years and still running smoothly.
Hyundai;i10;26 Jul 2020;Ramesh Bains;4.3; Family Car ;Its a very good car in my budget and give me good mileage ,good ac ,and also good maintance . Not so much maintance i have done nothing otherthan service.
