Company;Model;Date;User;Rating;Usage;Review
Lamborghini;Urus;7 Aug 2020;Jo;4.3; Daily Commute | Occasional Commute | Family Car | Tours;smart move ...in a market where SUVs dominate..for those who loves a lombo evo or huracan but need to take one or two with them..they will get the kick for sure.....
Lamborghini;Urus;26 Oct 2020;Narveer Singh;5.0; Daily Commute;like a super racing car. This car is my favourite car.🥰🥰🥰🥰🤩🤩🤩🤩😍😍😍😍🚘🚘🚘👌👌👍👍👍👍👍
Lamborghini;Urus;14 Sep 2020;Devraj Sahoo;4.0; Daily Commute | Occasional Commute;The power delivery or the car 🚗 is really nice 👌 it suspension give best jump in speedbreaker . Any way this mah ❤ favourite suv one .
Lamborghini;Urus;7 Jan 2021;Lacr F5;5.0; Daily Commute | Occasional Commute;It is a massive. Thanks for giving a wonderful car .it is luxurious and safety and comfort all in one is URUS
Lamborghini;Urus;18 Nov 2019;Jutika Gogoi;3.7; Occasional Commute ;its good. but too costly.
Lamborghini;Urus;5 May 2020;INCREDIBIE S..;3.7; Occasional Commute;It is the fastest production car in the earth
Lamborghini;Urus;12 Jan 2020;Bhagirath Ma..;4.3; Family Car;All are good but his mantanance cost is high
Lamborghini;Urus;8 Dec 2020;Prajwal shankar;4.7; Family Car ;It's an awesome carIt's an awesome carIt's an awesome car
Lamborghini;Urus;9 Apr 2019;Vishwas Vijay;4.3; Family Car | Occasional Commute | Daily Commute | Tours ;There is no words to describe the urus......IT IS A MONSTER ON FOUR WHEELS..!!!!!!!
Lamborghini;Urus;2 Mar 2019;Shine Ramakr..;5.0; Family Car | Tours ;thing of beauty is joy for ever.
