Company;Model;Date;User;Rating;Usage;Review
Mahindra;Bolero;16 Apr 2020;Abhinav bhagat;3.7; Daily Commute | Tours;Bolero is a true SUV in every sense. can accommodate more than 7 people, is big & have a lot of space. Works brilliantly on almost every terrain.Ride quality is good, build quality is good. Easy to maintain, although mileage is on the lower side but for a SUV like bolero this could be neglected. Mahindra could yet work on its interior looks & making a bit more comfortable an amazing car in its seg ment.
Mahindra;Bolero;10 Sep 2020;Rajat Bijur;4.7; Occasional Commute | Tours ;Contrary to what I heard, its a great car to own for out of town visits especially rural areas with bad roads. The seating position and stock headlamps are quite good even for night driving. Its turning radius is a little big but given its usage it is acceptable. From point of view of comfort, I have yet to drive a real long trip yet but the sub 100 kms have been a breeze.
Mahindra;Bolero;10 Nov 2020;Himanshu Upa..;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;Best budget SUV once I have driven it. It was the best experience but bs4 is best bs6 looks is not much nice if u want the best budget SUV at 7 to 10 lakhs so go for bolero it is the nice best performance. Fabulous budget 7 seater SUV, Awesome SUV and value for money car. For long journey as well as city use..
Mahindra;Bolero;2 Aug 2020;Bhupendra Ch..;5.0; Daily Commute ;बेस्ट कार आईएस यूज्ड इन 2012 एवरीथिंग इज ओके नथिंग प्रॉब्लम इन द कार एवरी वांट टू वॉच दिस कार वॉश इज द बेस्ट इन द क्लास
Mahindra;Bolero;23 Oct 2020;Rahul D;3.0; Family Car;I just wanted to get a fully automatic transmission muv with 6 7 seating capacity and lowest price below 10 lakhs of rupees and other various awesome features available like Android auto and other various awesome features and price range between 7 to 10 lakhs
Mahindra;Bolero;25 Dec 2019;Parihar Motors;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;india number 1 suv boleroyaha india ke sabsa jayada bekna ka karna saha ha ke yaha kese be road pa aasane sa cha sakti ha low maintenance serviceI m makanik my view best of luck bolero welcome launching 2020 Bolero Indian number 1 suv
Mahindra;Bolero;21 Nov 2020;St Antonys;4.7; Family Car ;Good.A best vehicle without airbags in full strength and confidence.Only the problem is the blind charges levied by the mahindra care or authorised service stations are too expensive and not justifyable.
Mahindra;Bolero;11 Jul 2020;Muhammed Ameen;4.3; Occasional Commute | Tours ;Its a good car to travel long distance It do not have any vibrations so long travel do not lead to any headache or other fever its most affordable for a common family
Mahindra;Bolero;22 Sep 2020;FABIN FRANCIS;4.0; Family Car | Tours ;good vehicle, I loved a lot, its my 5th car after 800,zen,swift and liva ,very satisfied except rusting prblm, feel safe in Bolero
Mahindra;Bolero;10 Nov 2020;Maxy639 Shubham;4.7; Daily Commute ;Nice experience with my bularo SLXVIP SUV model for formal as well as off-road Turing. Very reliable engine. I just love it.
Mahindra;Bolero;4 Jan 2021;Aijaz Keen;4.0; Tours ;ruff and tuff car and power fulll and normal maintancs cheap and best and for tour its very best every thingh is best
Mahindra;Bolero;16 Sep 2020;Technical Mahi;5.0; Daily Commute | Occasional Commute;Super fantastic mini SUV best on off roadingBest performanceSuper four wheeler Mahindra BoleroLow cost maintenance
Mahindra;Bolero;16 Nov 2020;Pawandeep Singh;4.3; Family Car ;Good veh in off roads good road clerance millage very nice low maintenance services and spare parts low coast
Mahindra;Bolero;9 Sep 2020;Lanu Mollier;4.3; Family Car ;It's all good except for the body rusting and fuel injector problems. Mahindra should rectify these defects.
Mahindra;Bolero;6 Jan 2021;RAVI KUMAR;4.8; Daily Commute | Occasional Commute;It's a very good car of Mahindra company.feeling better than other companies car in sit Mahindra bolero,
Mahindra;Bolero;13 Jul 2020;Binai Nagarajan;4.3; Family Car ;Safety and road presence makes it fit. And you could take any terrain. But for its poor AC its all good
Mahindra;Bolero;11 Aug 2020;Arpan Chatte..;4.0; Family Car;it's a tough car .... with solid body and durability is very good .... comfort lable also very nice.
Mahindra;Bolero;17 Nov 2020;Surinder Dogra;3.5; Daily Commute | Occasional Commute;Good car for the commercial use. Zero maintenance. Good milage. Safe travelling. Overall a nice car
Mahindra;Bolero;29 Nov 2020;Abbshek Thakur;3.0; Daily Commute | Occasional Commute;Very nice and clean car is in app purchase a new car from this app very interested app is this
Mahindra;Bolero;16 Nov 2020;Giberson Charlo;4.3; Daily Commute | Occasional Commute | Family Car;still a best car in mahindra, its like elephant 🐘 😀 great looks and heavy built 💪
Mahindra;Bolero;15 Jul 2020;Birendra Prasad;5.0; Family Car;mahindra bolero new parts inside in the bolero new battery new mud gurd and more
