Company;Model;Date;User;Rating;Usage;Review
Mahindra;Bolero20112019;21 Nov 2018;Manmohan Singh;4.7; Tours ;खराब रॉड और कच्चे रास्तों पर रफ एंड टफ गाड़ी, कोई मेंटिनेंस नहीं,5 लाख किलोमीटर तक चलाने पर भी गाड़ी के इंजन और मूल ढांचे में कोई प्रॉब्लम नही,केवल टायर,ब्रेक ,ओर बुस का काम व सर्विस ही करवानी पड़ेगी।
Mahindra;Bolero20112019;12 Jan 2020;Abemo Odyuo;3.0; Daily Commute ;Engine in super condition even after 10 yrs (milage done - 87,000 km) but the gear box in horrible condition.The gear box started giving me problem after 3 years.I've repaired 3 times in 8yrs, its time to repair once again before desposing it.
Mahindra;Bolero20112019;27 Sep 2020;Mahesh Kumar;4.0; Daily Commute | Occasional Commute;If you travel regularly with 5-7 Parsons and on bad roads like villages , and from city to village , this is a best car for that purpose, don't looks for other car , buy Bolero and make some fun on bad roads...
Mahindra;Bolero20112019;30 Oct 2020;Daniel Marba..;2.7; Daily Commute ;I feel that the rear seat is uncomfortable for long journeys.The most irritating is the ball joint which brings the vehicle crashing down at the most inappropriate time.
Mahindra;Bolero20112019;2 Oct 2020;Shameer Khan;4.3; Daily Commute;It's a 2014 zlx. Its a wonderful vehicle especially in the hills. I get average mileage of 16 kmpl on the hills and I get around 18 to 20.5 on the speedway.
Mahindra;Bolero20112019;29 Jan 2019;Ch Daimei;3.7; Occasional Commute ;It's ok,but the electronics needs seriously need an upgrade eg there is warning only for door on the driver side but not for any other doors. So inner light also is not lighted when other doors are ajar or opened except the drivers door. This is for the latest bolero power plus.
Mahindra;Bolero20112019;25 Aug 2019;Sanjoy Singha;4.7; Family Car ;I took my bolero to Darjeeling several times. It’s an wonderful experience to drive this vehicle in hill area as well as in highways.
Mahindra;Bolero20112019;12 May 2020;Etegeli;3.0; Daily Commute;More comfort than Scorpio. Very good for hilly areas, spacious for 5 passengers. most of SUV lover buy bolero in our state.
Mahindra;Bolero20112019;28 Oct 2019;Anadil Husain;3.7; Family Car;गाड़ी अच्छी है देखने में बड़ी है हमारी पसंद है
Mahindra;Bolero20112019;8 Sep 2019;Aashu Khan;5.0; Family Car ;yes i like it for all purpose type but some time parking problem with my bolero so i want to another1small car
Mahindra;Bolero20112019;4 Dec 2020;Ankit Trivedi;5.0; Daily Commute ;mileage is better and safety is not without abs maintenance is not bad it is rough and tough suv for hilly area
Mahindra;Bolero20112019;26 Aug 2019;Shaik Kaleem..;4.3; Family Car ;I have good experience in this vehicle. It's saved my life. My first vehicle and I learnt in this vehicle only.
Mahindra;Bolero20112019;8 Mar 2020;Tari Hai;2.0; Family Car ;bolero is good vehicle but shall have to little improvement in lower bolt joint and improve hand break also
Mahindra;Bolero20112019;29 Sep 2019;Service Kvmo..;3.0; Daily Commute ;After sale service is not satisfied because always rush in workshops.because all muv are in a one workshop
Mahindra;Bolero20112019;11 Nov 2020;Kiran Rangineni;4.8; Daily Commute | Occasional Commute;Low maintenance Low cost of sparesSUV SUPERMY vehicle is time to time service at the show room.
Mahindra;Bolero20112019;17 Nov 2019;Mamta Sharma;4.3; Daily Commute ;We want a ruff &tuff vehicle and bolero is one of them with low maintenance and full comfort
Mahindra;Bolero20112019;27 Feb 2020;Lumlang S;5.0; Daily Commute ;I had been using bolero for the last 7years . it had given me satisfactory result.
Mahindra;Bolero20112019;23 Jul 2019;Praveenpreet..;4.0; Family Car | Tours ;A good car family usage very less service cost easy to drive on potholes very bumpy performance have good reliability good in mileage made for Indian roads
Mahindra;Bolero20112019;16 Jan 2021;Ludhianvi Biker;4.3; Daily Commute | Occasional Commute | Family Car;For Mountain Trip Bolero is awesome. Any other car can't beat it's performance.
Mahindra;Bolero20112019;12 Dec 2019;Samuel Herbert;4.0; Daily Commute | Family Car ;No problem vehicle except some AC, body paints and low standard use of plastics.
Mahindra;Bolero20112019;20 Feb 2020;Toshan Patel;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;nice car in my life.... my best car Mahindra bolero plus AC non power steering
Mahindra;Bolero20112019;21 Sep 2020;DILIP KUMAR;5.0; Daily Commute;15 Years Maintenance & My Travelling Agency Vehicles are Mahindra Bolero.....
Mahindra;Bolero20112019;27 Jun 2019;Tobing Perme;2.3; Tours ;A more comfortable front seats, safety features like ABS, EBD and AIRBAGS along with a better suspension setup will make it already a good rural car an all rounder.
Mahindra;Bolero20112019;10 Mar 2020;Athul Thanka..;3.7; Occasional Commute | Tours ;The breaking of this suv is very poor but the maintenance cost you nothing
Mahindra;Bolero20112019;16 Feb 2020;Ramachandra ..;4.0; Daily Commute | Occasional Commute | Family Car | Tours ;low maintenance and reliable performance.Highest safety with solid body.
Mahindra;Bolero20112019;12 Oct 2019;Ghanshyam Pr..;4.7; Family Car;Very good on the road . The maintenance cost are very good not like huge
Mahindra;Bolero20112019;2 May 2020;JITHIN MASS;4.0; Daily Commute | Family Car | Tours ;best off road car , heavy engine m2di. good performance , king of hills
Mahindra;Bolero20112019;22 Feb 2020;Tarun Solanki;3.7; Family Car ;bolero is very strong and very loving car for me bolero is car of india
Mahindra;Bolero20112019;25 Aug 2019;Pubg Noob;4.0; Family Car ;Very nice car for family 7 seated and it is very powerful on rough roads
Mahindra;Bolero20112019;6 Feb 2020;Chanaram Godara;1.3; Family Car ;Super gadi very much for you to the way of a little more 🅾 to the
Mahindra;Bolero20112019;30 Nov 2019;Kuriakose P;4.7; Daily Commute | Family Car ;just excellent, I will go only for Bolero for my second vehicle also.
Mahindra;Bolero20112019;20 Dec 2019;Nishar Alam;3.0; Family Car ;that is good but mileage not good 30 above mileage good feel
Mahindra;Bolero20112019;23 Sep 2019;Atmaram Maha..;4.0; Daily Commute ;It"s a very nice suv and suitable for me for rough riding
Mahindra;Bolero20112019;25 Aug 2019;ThE MEcH;5.0; Family Car ;Very nice, comfortable high speed car with adorable mileage
Mahindra;Bolero20112019;17 Aug 2019;Saleem Ahmed;4.3; Family Car ;My favourite car mahindra bolero out standing performance
Mahindra;Bolero20112019;15 Feb 2019;Nitish Kumar;2.7; Family Car ;Daddy Husain college nahi deti hai aur power steering Main Karta Hoon Yeh Mahindra gadi achha nahi hai please jaldi Na Le Koi BT Beauty camera
Mahindra;Bolero20112019;20 Oct 2019;Shailendra S..;5.0; Tours ;good mileage and good car is Mahindra motor vehicles
Mahindra;Bolero20112019;6 Apr 2020;Ajay Rathore;4.0; Family Car ;good off roading car
Mahindra;Bolero20112019;23 May 2020;RAKESH KHANDEY;5.0; Daily Commute;nice looking very nice this is a nice car and nice
Mahindra;Bolero20112019;26 Feb 2020;MD Harder;3.0; Daily Commute ;feelings good feelings confatable when I driving
Mahindra;Bolero20112019;5 Sep 2019;Dolma Gehlot;3.7; Family Car ;It's a strong suv with good mileage ,and safety
Mahindra;Bolero20112019;15 Mar 2020;SURESH PATANGE;5.0; Daily Commute ;perfect car Mahindra bolero
