Company;Model;Date;User;Rating;Usage;Review
Mahindra;Jeep;23 Jun 2020;Joel JoJo;4.0; Daily Commute | Tours;these reviews are after i have completely modified it.if modified appropriately then its the best 0% maintainance cost 4x4 offroader in india.A historic vehicle with on road and off road capabilities.Specially for offroad and classic4x4 enthusiasts and jeep lovers.also fit for daily uses aswell.😎😍😉
Mahindra;Jeep;26 Feb 2020;Mamraj Dhayal;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;It is perfect for offending. It is rough and tough Jeep. it's control is very good.it performs excellent in overtaking. it's speed is 140 km/ h .when sudden break it performs excellent in high speed. overall this is best car for drifting
Mahindra;Jeep;26 Aug 2019;Shiv Kumar;4.7; Family Car ;Excellent performance in my jeep but non AC & rain problem this problem
Mahindra;Jeep;12 Oct 2019;New Movies;2.7; Daily Commute;Good in all roadGood performance in off roading
Mahindra;Jeep;2 Jul 2020;Abhith Krishna;2.7; Daily Commute;good for offroadbest dual purpose vehicle
Mahindra;Jeep;24 Sep 2020;Prashant Kumar;5.0; Tours;super car jabardast full bobal I like it
Mahindra;Jeep;8 Sep 2020;Aaqib Wani;5.0; Daily Commute;jeep is comfortable and force able
Mahindra;Jeep;27 Mar 2020;Pankaj Sharma;5.0; Daily Commute | Occasional Commute | Family Car | Tours;jeep ka Price aur staylesh jeep
Mahindra;Jeep;25 Feb 2019;GOKUL R;4.3; Daily Commute ;The turbo engine it's nice engine. 4wd vehicle so good off-road performance and average mileage
Mahindra;Jeep;29 Mar 2019;Lingaraj H;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Jeep has very good pick-up and it's a commercial
Mahindra;Jeep;20 Oct 2018;Siby Cherian;4.7; Family Car ;25 years long using your jeep 4wheel in kerala
Mahindra;Jeep;8 Mar 2019;SAYAN SARKAR;3.7; Tours ;it is old but old is gold.it's old but gold
Mahindra;Jeep;3 Mar 2019;Abdul Latheef;4.7; Family Car ;This is good for our off road drivings.
Mahindra;Jeep;20 Apr 2019;BHIKHA BHAGAT;4.0; Family Car ;I like mahindra commander jeep
Mahindra;Jeep;12 Aug 2018;GUNJAN RAJ;4.0; Family Car ;Comfortable
