Company;Model;Date;User;Rating;Usage;Review
Mahindra;Logan;27 Sep 2020;Chetan T;4.2; Daily Commute | Occasional Commute;Nice car to maintain, Petrol car, low on maintenance but high on performance. Spare parts are also quite affordable, comfortable and and great on build quality
Mahindra;Logan;31 Aug 2020;MOMINUL HAQUE;4.3; Family Car ;Overall performances of Mahindra Logan car are good . It's a balanced car .Sensor systems are good . It's looking is beautiful . Seats are comfortable .
Mahindra;Logan;2 Aug 2020;Kavita Gupta;5.0; Family Car ;Service of Mahindra in Petrol cars is not satisfactory and they couldn't maintained spares. Although car itself is best in class.
Mahindra;Logan;27 Oct 2020;Avinash Wagh;4.0; Daily Commute ;spare part very costly, steering pump down twice in last 10 years, unit prise 40,000/- all maintenance spare part are costely
Mahindra;Logan;8 Jan 2021;The Car;5.0; Daily Commute | Family Car | Tours ;The very nice car doesn't look outdated.The car boot space is 510-liter boot space.The car is indias 1st wide-body car.
Mahindra;Logan;19 Dec 2020;ChND Videos;4.7; Daily Commute | Occasional Commute;winderfull car with best mileage and performance, car is very spacious and good legrooms ,best sedan car
Mahindra;Logan;10 Nov 2020;Nilesh Thakur;3.0; Daily Commute | Tours ;Amazing, As expected delivered all kpis.Nice to have for commercial purpose as taxi drives a lot.
Mahindra;Logan;3 Jun 2020;YV Babu;4.3; Family Car;Very good in mileage and a bit costly maintenance and very comfortable.
Mahindra;Logan;27 Nov 2020;Gunduganaaa ..;5.0; Daily Commute | Occasional Commute;Supper condition and small pach work reasonable price
Mahindra;Logan;12 Oct 2019;Sonia Gupta;4.3; Family Car;Very good car. I really like it. It is very safe
Mahindra;Logan;20 May 2020;Prithivi Rufus;4.3; Daily Commute;good car with good mileage & performance.
Mahindra;Logan;15 Jul 2019;Geetha Krishnan;3.0; Family Car ;The overall experience is good, considering the spacious interior and large boot; maintenance cost and service headache aside.
Mahindra;Logan;24 Dec 2020;Pauliah Anand;2.7; Daily Commute;pick up less Low mileage nice csr
Mahindra;Logan;18 Jun 2020;Jaydip Rajput;3.3; Occasional Commute;Ok but conmpany have start cng ca4
Mahindra;Logan;2 Dec 2019;Goyal Sonkar;2.7; Daily Commute ;Just bought for its engine quality
Mahindra;Logan;17 Dec 2019;Surinder Sohal;4.0; Occasional Commute ;Good car , spacious, comfortable
Mahindra;Logan;9 Nov 2019;Tumala Venkat;4.0; Daily Commute;I enjoy this car drive smoothly
Mahindra;Logan;4 Nov 2019;Tmani Bharathi;4.3; Family Car ;Nice car and my first Drive car
Mahindra;Logan;11 May 2019;Swwapnil B;4.7; Occasional Commute | Family Car | Tours ;Spacious, awesome milage, comfortable, leg space, boot space, best family car.
Mahindra;Logan;5 Sep 2018;Mues Hues;4.0; Family Car ;it is nice car with good space good leg room..strong body.
Mahindra;Logan;17 Jul 2019;Yateen Navathe;4.0; Family Car ;Ok car spacious for family a long drive safety car
Mahindra;Logan;3 Jun 2019;Ravi Kumar;3.0; Family Car ;Its very costly car.But it is just like an elephant power
Mahindra;Logan;3 Feb 2019;Pravin Kenneth;2.7; Family Car ;safety is not there in this car and gear shifting is hard
Mahindra;Logan;20 Apr 2019;Sunil More;3.3; Daily Commute ;Mileage very low and spares not available easily
Mahindra;Logan;31 Mar 2019;Vasuvvv Kumar;5.0; Family Car ;Spacious and comfortable And smooth driving
Mahindra;Logan;3 Apr 2019;Rahul Panday;5.0; Family Car ;This is very good vehicle & good condition
Mahindra;Logan;20 Feb 2019;BALAJIDIVAKA..;5.0; Family Car ;Very comfortable and fuel efficient
Mahindra;Logan;20 Jan 2019;Pallab Paul;3.7; Family Car ;Good comfortable driving experience
Mahindra;Logan;12 Nov 2018;Stephenson V..;4.0; Daily Commute ;Good value for money satisfaction
