Company;Model;Date;User;Rating;Usage;Review
Mahindra;Marazzo;24 Dec 2018;Anjan J;5.0; Tours | Family Car ;After lots of speculation and apprehension finally we bought our 2nd family car, A marazzo M8. After driving 1000 km in the first week ; now i share my view on this car. My requirement was a 7 seater good car in a decent price . Innova is good, but was out of budget for me. I had to decide among Ertiga, Lodgy, marazzo, BRV and lower variant of Hexa. Marazzo was chosen after a lot of R & R . It pro ved to be Superb sedan comfort in a MPV at a reasonable price. The ride quality is really very good. Driving is superb , easy steering, light pedals,easy visibility. Gear Transmission is smooth and braking response is very gently precise. I did not have to worry for the path holes or speed breaker , because suspension is the best in class I have ever driven.Regarding engine power: it generated so much power that it glided my fully loaded(7 adults) ahead of crystas ,XUV 500 etc on the highway. Look is definitely a personal choice. But with practicability of cornering lights,infotainment screen, good supporting seats... I will say Marazzo gave me the best value of my hard earn money.I am impressed with this crafted piece of good automobile engineering.Experience after 8 months(19000km): my experience and view remains same about Marazzo. Each time I drive this car , m actually impressed with the responsiveness of this car. After completing many family outings with this companion, I can say that I purchased a great value car.
Mahindra;Marazzo;11 Aug 2020;Soham Kulkarni;5.0; Family Car ;It's a great and one of the most refined car by Mahindra, as it have many luxurious features and material quality in a good value as compare to others.. Marazzo have developed on ladder framework, It also looks much bigger, more muscular, more stylish, more powerful and the mpv promising features which are also beautifully packed in this car such as It is more specious, comfortable and fuel effici ent car...I think its a best car between ertiga and innova which has both mpv as well as suv features which makes it excellent package by Mahindra
Mahindra;Marazzo;19 Jan 2021;Chayan Banerjee;5.0; Daily Commute | Occasional Commute | Family Car | Tours;I purchased Marrazzo M8 as an upgrade from a 5 seater car. Below is the categorized feedback after driving 30k . ProsPerfomance 1. Very smooth2. Has economy mode that improves mileage3. Great pickup4. Good brakingComfort1. Quiet cabin 2. Comfortable seating even in the 3rd row.3. Great Rear AC4. Automatic Climate control 5. Tall seating 6. Light steering and easy to handleConsComfort 1. Slight bod y roll (which 5 seaters usually don't have)
Mahindra;Marazzo;15 Aug 2020;Deepak Thakur;4.3; Tours | Family Car ;Best family car in this price and more spacious than Innova crysta . The mileage is 17kmpl on highway and 13kmpl in hilly areas. The things which should be improve , Ground clearance is good from the middle and back but ground clearance is too low from the front side . The front bumper hits very easily on small bumps .Engine is not so powerful ,at least 2000cc should be given
Mahindra;Marazzo;12 Mar 2019;Imdad Ahmed;5.0; Daily Commute | Family Car | Tours ;Marazzo is a beautifully crafted car keeping in mind the quality of ride for the passengers .The ride quality is too good and as far the cabin noise is considered its far better than petrol cars. Having a diesel engine under its hood and having a quite cabin is a perfectly match of refined engine and good insulation..On the mileage front without AC with an average speed of 70Km-80km one can easily churn out 20KM/L whereas with full AC on one can easily get between 18 -18.5 KM/L. In city the mileage drops to a decent 16Km/l to 17km/l with AC. In a whole Mahindra Marazzo is an excellent package of features bundled together. After a long time mahindra has put a perfectly balanced MPV in the market
Mahindra;Marazzo;22 Oct 2020;Anoop Anilkumar;5.0; Daily Commute | Tours | Family Car;this car is the best thing that has happened to me the mileage of the car is phenomenal I get close to 16 plus no matter how I drive the last long drive I did was to Goa from Cochin and the comfort was awesome no one in my family felt any fatigue I was the only driver and I enjoyed every bit of the ride. a very happy customer indeed.
Mahindra;Marazzo;14 Mar 2019;Durga Mohan;5.0; Family Car;Took test drive out of curiosity and booked it immediately... Thanks to Indeed motors, indiranagar, Bangalore.. Awesome cool guys with great product knowledge and easy for processing documentation... And more importantly got more than online calculated price for my previous car. Marazzo is family car... Driving experience is great handling is awesome ease.. Spacious and adult third row- you know w hat I mean there:).. M8 has all the features and value for money.. Go ahead if you are thinking of 7 seater for family...
Mahindra;Marazzo;28 Jan 2020;Aman Marathe;5.0; Daily Commute | Family Car | Tours ;It's best family car spacious and comfortable in every way driving seating. And for cruising it is powerful. At only one point I face problem that is Mahindra after sales service should be improve. They are having best products so plz improve your service Mahindra..
Mahindra;Marazzo;9 Aug 2019;Sachin Palan;5.0; Family Car ;it"s perfect family car and comfort is outstanding there is no tiredness after long typing I have run 2300 in just 5 days still there is no issues about comfort.best car on this piece list. if you want to buy MPV there is three choice first is Maruti Ertiga second one is marazzo third one is Innova. I rejected Ertiga on the ground of safety and the Innova is too costly. so marazzo is smart choice. happy to buy it
Mahindra;Marazzo;13 Mar 2020;Sangeeta Pra..;3.7; Family Car ;if it have sunroof so Bright colors, water balloons, lavish gujiyas and melodious songs' are the ingredients of perfect Holi. Wish you a very happy and wonderful Holi.- BHOUMIK PRAJAPATI
Mahindra;Marazzo;29 Jul 2020;Manoj Dhatwalia;2.3; Family Car | Tours ;ground clearance not good for hill area. I am from himachal. Marazoo always touch with ground from front if there is small hole on ground. not satisfied with ground clearance.
Mahindra;Marazzo;13 Jul 2019;Deepak Thakur;4.7; Tours | Occasional Commute | Family Car ;Perfect car for family on long ride in terms of price, comfort, styling and riding quality.The engine is not powerful for hilly areas because sometimes it struggles a lot so no good pickup . Overall , I love it and very happy to have it. I would highly recommended to everyone.
Mahindra;Marazzo;19 Sep 2018;Mahindra SYOUV;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;MARAZZO is the product of engineering excellence designed in collaboration with the famous ItalianDesign House Pininfarina. It is jointly engineered by Mahindra North America Technical Center(MNATC), Detroit & Mahindra Research Valley (MRV), Chennai.
Mahindra;Marazzo;5 Feb 2019;Vikram Kohli;4.7; Daily Commute | Family Car ;It"s a fantastic machine with ease of driving. When you drive the vehicle you get a view of SUV and calm driving pleasure. Very easy to turn infact better then small cars. Fantastic pickup and perfect for long drives.
Mahindra;Marazzo;11 Oct 2020;HEMANANDA KUMAR;2.0; Tours ;which gear should be use in hills for mahandhira marazzo me veriyent.yellow board.it is ok hill roads.iam very confused
Mahindra;Marazzo;5 Oct 2020;Mohamed Yunus;5.0; Family Car ;Using this amazing mpv for the past seven months in hill area(nilgiris). Its performance and comfort is really good.
Mahindra;Marazzo;11 Oct 2020;Rider Usk;5.0; Family Car ;Drive only one person in Car Driving Good Car for both Tour And Camping .I Liked so Much but Very Poor on Plastic.
Mahindra;Marazzo;15 Sep 2020;Chinna Daring;3.5; Daily Commute | Occasional Commute;Finely its own in February 2020 vehicle is good but not much satisfied with pickup , little uncomfortable
Mahindra;Marazzo;6 Feb 2020;Amjadali Hub..;2.0; Family Car | Tours;Don't buy this car west of money and ground clearance is too much bad,and parts god to save woner .
Mahindra;Marazzo;13 Oct 2019;R;5.0; Family Car ;over all Experience is outstanding performance... like as value for money 😊👍
Mahindra;Marazzo;7 Sep 2018;RYKE;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;A Very versatile vehicle to suit different kinds of requirement. Its offers amazing design, space, smooth ride, quiet cabin & great cooling and much more.
Mahindra;Marazzo;8 Jul 2020;Ravikumar An..;3.0; Daily Commute ;Budget family car.not bad. Price worth this segment,
Mahindra;Marazzo;3 Mar 2020;Power Volt;5.0; Family Car;its amazing, spacious,comfortable value for money
Mahindra;Marazzo;26 Jul 2020;Santosh Wakale;5.0; Occasional Commute;Best family car ever in this price range.
Mahindra;Marazzo;26 Sep 2019;Jatin Grewal26;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;best car in the world great features
Mahindra;Marazzo;27 Aug 2019;Sachin Ramesh;5.0; Family Car | Tours ;very good experience value for money
Mahindra;Marazzo;7 Oct 2019;Jerry Leen;4.3; Daily Commute | Family Car ;please check my review on marazzo https://www.youtube.com/watch?v=EzNKRGMy3Io&t=75s
Mahindra;Marazzo;5 Nov 2019;Maloth Sudha;2.3; Daily Commute ;I want that vehicle in 1 month
Mahindra;Marazzo;19 Oct 2019;Mallampati N..;4.7; Family Car;Marazzo is the best family car
Mahindra;Marazzo;28 May 2019;Boredom Clicks;3.3; Family Car ;it is my one of family member and so stylish car, not bad in features and comfortable car for my family
Mahindra;Marazzo;20 Nov 2018;Vaibhav Ajga..;5.0; Family Car | Tours ;excellent car in normal budgetperfect care for big family 3rd row space is superb for long drive all so
Mahindra;Marazzo;19 Jun 2019;Maneesh Mishra;5.0; Tours | Occasional Commute | Family Car ;Beautiful and rough tough muv. With in low budget.. I m extremely happy..
Mahindra;Marazzo;14 Jan 2019;Pramod Pawar;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;This car is Awesome my experience about car is best car for family
Mahindra;Marazzo;1 Jan 2019;Suraj Bhardwaj;5.0; Family Car ;Good very Good. I like this car it's my type car I wanted to drive
