Company;Model;Date;User;Rating;Usage;Review
Mahindra;Thar20152019;2 Oct 2020;Pemmaiah M;2.7; Family Car | Tours ;Mahindra Thar, the one what I have is the initially launched one in 2014, BS 3 complaint one. As we use it a Coorg its a beast made for the roads and off road capabilities there. Maintenance is nothing much. Proper riding, proper fuel,oil and air to be maintained and it will run well with no much issues. Haven't used 4/4 till now, but till now we never regretted that we bought this vehicle. Absolu te Gem on road to drive. Thanks Mahindra.
Mahindra;Thar20152019;19 Jan 2020;Ganesh Chandran;3.7; Tours ;No problem vehicle 9 years 178k In Odometer 3 sets of tyres, 8 wiper blades, 3 sets of brake shoes, 2 UNiversal joints, One soft top. One headlamp bulb.Had to change the brake system as the launch vehicle brakes were really worst. Rest all touchwood.
Mahindra;Thar20152019;29 May 2020;Prithvi Prasad;4.0; Occasional Commute;Strictly a second car, one cannot live with a Thar as a primary vehicle.Man's seeks pleasure in the weirdest of things, absolutely fallen for the looks , the stock off-road capability (modified even better) . Very useful if you own a farm/ranch.
Mahindra;Thar20152019;7 Sep 2020;Naresh Chaud..;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;very good .beautiful gadi.is olsow bettr.defrenc to all car is Mahindra thar .his costly car is mahindra thar.new model this bettr and seftty renj to bi a successful to mahindra thar
Mahindra;Thar20152019;4 Jan 2019;Simon De;4.0; Daily Commute ;You love it and hate it at the same time. Hate it coz mahindra service is rubbish. Their equipment are always broken. The body work is rubbish. But the thar gives you more pleasure then your wife. After you drive this other cars feel like small toy cars.. I love my thar not mahindra.
Mahindra;Thar20152019;19 Sep 2018;Mahindra SYOUV;5.0; Daily Commute | Occasional Commute | Family Car | Tours;The THAR CRDe has captured the imagination of off-road enthusiast and city slicker alike. The New THAR CRDe has yet again set new benchmarks with its bold muscular road presence, unmatched go anywhere capability, refined and power-packed performance that’s best in its category.
Mahindra;Thar20152019;23 Jun 2020;Joel JoJo;2.7; Daily Commute;need major modifications.anyway have 2 tell that my 27yrs old modified jeep is far better than this 4yrs old thar.i expected much more from mahindra.
Mahindra;Thar20152019;17 Oct 2020;Vishal Lunawat;4.2; Daily Commute | Occasional Commute;Very nice car not for comfort but for extreme off-roading best car . This car will give you all the fun you have been looking for.
Mahindra;Thar20152019;1 Sep 2020;Ranjodh Singh;5.0; Family Car | Tours;Nice car wanna buy 2020 Thar price 7 seater or 5 .can we buy in Punjab that look like luxury ..send me photo and price on my email
Mahindra;Thar20152019;13 Nov 2019;Subscribers ..;4.0; Occasional Commute | Tours;We go off road on weekend . So it’s good when you have one. And back seat comfort for long ride really sucks.
