Company;Model;Date;User;Rating;Usage;Review
Mahindra;Xylo;13 Jul 2020;Dr Indranil;5.0; Tours ;I HAVE BEEN USING THE MAHINDRA XYLO FOR THE LAST 11 YEARS AND HAVE DRIVEN TO MANY PARTS OF INDIA AND NEPAL....IT IS A MARVELLOUS CAR AND IT HAS BECOME AN INTEGRAL PART OF MY FAMILY AND A BIG SHARE HOLDER OF THE MANY WONDERFUL TRIPPING MEMORIES THAT I HAVE TILL DATE.
Mahindra;Xylo;14 Aug 2020;Vibhu Puri;4.3; Family Car ;It is a nice family car offering good amount of power , accomodates 7 no. of people . Even the last row can accommodate 3 adults. Offers good amount of comfort also provides plenty of leg room in all the three rows.
Mahindra;Xylo;10 Oct 2020;Alameen Moha..;4.3; Daily Commute | Family Car | Tours ;Best performance by the engine of meagle and best mileage This car is more useful for family tours And it has high comfortable seat to all i am recomenting this xylo e8
Mahindra;Xylo;3 Mar 2019;Rajesh Vijay..;4.3; Occasional Commute ;It's not a Xylo, it's a Genius. Xylo engine's a pickup we use for the cement transport. It's a very comfortable vehicle. And we are very happy. The service charge is a bit high. And the service in Goa is not do quick. So we do face the problem. But it is ok they do a good job. So overall it is fine..
Mahindra;Xylo;31 Dec 2018;Nishant B;3.7; Family Car ;Xylo is Big MUV and has space for 7 with ease, even the last row seat is very comfortable and spacious compared to other cars in the segment, we often go in this car with full family and every time we enjoy traveling in it, its a good car for big families.
Mahindra;Xylo;2 Apr 2020;K ABIRAM;4.7; Family Car ;I owned Xylo E4. It's a wonderful with my car but I feel sad due to highly expensive Vehicle spares and Not proving proper service in Tuticorin.
Mahindra;Xylo;14 Feb 2020;VIgNeSh 963;5.0; Family Car | Tours ;our family vehicle for So many years , changing bcoz of innova ,no issues in vehicle excellent condition , great lottery for buyer catch me asap
Mahindra;Xylo;16 Oct 2020;Ansb 1;3.0; Daily Commute ;I love the xylo but the interiors and the ergonomics of space management are lost.The dashboard needs to revamped and made more userfriendly.
Mahindra;Xylo;22 Sep 2020;Anand Kumar;3.7; Family Car ;Sturdy vehicle and good for long rides. Used maximum for long rides with family. No tired. I am using Mahindra for very long years.
Mahindra;Xylo;23 Aug 2020;Diji Anand;2.7; Family Car;it provides comfort for travellers but the performance getting low year by month... fiber material is very low in quality
Mahindra;Xylo;8 hours ago;Wasim Valsan..;4.7; Daily Commute | Occasional Commute;Its very very good very comfort and can be use for long drive with family and enjoy with happiness it like family car
Mahindra;Xylo;22 Jan 2021;;2.7; Family Car ;Every things are good but mileage is average and power window not working good.And space area so good and comfortable.
Mahindra;Xylo;9 Sep 2020;Arun Menezes;4.7; Family Car ;Excellent Performance and comfort. Great on highways. Good milage. Minimum maintenance. Spacious interiors.
Mahindra;Xylo;24 Sep 2020;New Born;5.0; Family Car;this car is ousum, gives great mileage upto 16 kmpl and fully loaded with features in this segment
Mahindra;Xylo;1 Sep 2019;Santhosh Santhu;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;I love the car xylo for My family. love the car. Pick up is super My sweet xylo
Mahindra;Xylo;22 Dec 2019;Sricharan Chery;2.3; Family Car ;Just an average family car. Hard clutch, brakes are not strong enough but ABS works well.
Mahindra;Xylo;29 Sep 2019;Aditya Chauhan;2.0; Family Car ;Kya btaye le kr pachta rhe h har traf se usse paresan ho gye h hm tbhi hatana chahte h
Mahindra;Xylo;1 Nov 2019;Rohan Rathan..;2.7; Family Car ;😒😣eeeeee😣😣😣😣😣😣😒😒😒😒😒😒eeeeeeeeeeeeeeeeeeee
Mahindra;Xylo;25 Oct 2019;Anand Bansal;3.7; Family Car ;most comfortable but engine and AC a big question mark. AC totally in effective.
Mahindra;Xylo;18 Jan 2020;Amol Parmar;5.0; Family Car ;Suberb. This is my life. Vehicle which is family' carStill drives life Good
Mahindra;Xylo;16 Dec 2019;Abhishek Parekh;2.3; Tours ;Very spacious old school mpv, good engine n structure but not at all modern
Mahindra;Xylo;4 Oct 2019;Faiz1608;5.0; Family Car ;Great family car with ample space for luggage and comfortable travel
Mahindra;Xylo;7 Apr 2020;Thiagu SJ;4.7; Occasional Commute ;super car and nice stayring , sudden pickup engine..I love my xylo
Mahindra;Xylo;12 Nov 2019;Amit Debnath;4.0; Daily Commute | Occasional Commute | Family Car | Tours ;xylo is a good car , this car is perfect for Office use commercial
Mahindra;Xylo;8 Nov 2019;Chandramohan V;2.7; Daily Commute | Family Car | Tours ;Engine re worked with new piston in 96000kms. Now with 128655 kms
Mahindra;Xylo;8 Sep 2019;Rajashekar B;5.0; Family Car ;Best For Ruff Driving off road and family car so nice love you Xylo
Mahindra;Xylo;9 Oct 2020;Mohan Prasath;5.0; Daily Commute | Occasional Commute | Family Car | Tours;Best car i've ever found. Best for long travel. comfortable
