Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;800;6 Aug 2020;Rashtrapal D..;5.0; Family Car ;What are the dimensions of the car? How is the fuel economy? There are also many relevant subjective (opinion-based) details. For instance, how does the car handle? Does it sport a beautiful interior and exterior? Is the steering wheel too big or too small? Use these and other related questions to stay focused when writing your review.Some details which do not directly pertain to the quality of th e car can enhance your writing. The personality of the dealer who provided the car, or the history of the car’s manufacture could be of interest and add personality and depth to your review. Generally, however, you should omit details which are not relevant to the quality of the driving experience.Don’t include your personal itinerary unless using it to indicate that driving on different types of terrain such as dirt roads leads to a new insight about the quality of the vehicle.
MarutiSuzuki;800;15 Dec 2020;Michi Tare;3.3; Daily Commute ;Maruti 800 is good in everything but in connection to comfort and style it has little bet deprived in comparison to others cars, But it's maintenance has less in comparison to others car although it's parts cost has also cheap in comparison to other car and it's parts are also available in market.For bpl family maruti 800 is best.
MarutiSuzuki;800;8 Feb 2020;Swadhin Das;4.7; Occasional Commute ;it's written until 2000 mine is a little bit older.its i think 99 or 98 it's my dad's car but i love driving around once in a while.Now for the milageI took his car for a servicing from a local garage here at our home town after 2 years and traveled nealy 800 km in 37 liters of oil.
MarutiSuzuki;800;2 Nov 2019;BHISHM SHARMA;3.7; Family Car ;Wonderful car for mountains. I drove it for 8 years in hilly tracks. But it is not good for highways. lack of ac hurts in plains. appears quite safe in narrow hilly tracks. judgement is superb. i am 6 feet tall so had lack of leg space. However I enjoyed it enough for short trips.
MarutiSuzuki;800;11 Jan 2020;Jo;4.7; Daily Commute | Occasional Commute | Family Car | Tours ;My first car..still good , the car performs well in cities does most of the commuting job..those who learned to drive in a power steering car may feel the steering and tight..its smooth when you are on a go..use engine brakes!!! you will get used to it.
MarutiSuzuki;800;12 Jan 2021;Georgey George;5.0; Occasional Commute ;Good vehicle for a small family with low maintenance cost.It was a good replacement for ambadassor and fiat cars.When the vehicle is still passing the pollution tests as per the latest bs standards without any issues one can understand the quality of the vehicle.
MarutiSuzuki;800;19 Mar 2020;NAYANJYOTI S..;4.7; Family Car ;i just love this car. ... no means no mantaince cost if you take care off your car properly. and i drive this car at 120km/h speed. it's just amazing in 800cc. torque is very good because of less weight. best entry level car for a middle class family
MarutiSuzuki;800;31 Mar 2020;Rajiv Rai;4.3; Daily Commute | Family Car | Tours;Best mileage good comfort like a person need low maintenance very reliable for long drive even just a little problem of power only at summer because of ac the power distribute and a basic car not extra style just a car but it is best car till date
MarutiSuzuki;800;19 Mar 2020;Narayan Urfa;5.0; Family Car ;Maruti 800 a best car. Good 20 average and comfortable seats and suspension. No maintainable car. Just time to time servicing. Light problem a wheel alignment problem but servicing time check the wheel alignment so no problem a week point .
MarutiSuzuki;800;10 Sep 2020;Rubin Muhammed;3.0; Daily Commute | Occasional Commute;Best for local driving which gives 13 km/pl. Can fit upto 5 people smoothly. I personally enjoy driving it with my friends. Being an open vehicle we can enjoy nature very well. In my experience I never get tired while traveling in it
MarutiSuzuki;800;4 Sep 2020;Ashley Ayaan;3.7; Daily Commute;Great car for city ride, it can be easily drive in the narrow roads and heavy traffic but you get your back itched due to its less comfort on long rides. Although good mileage and nice car with low maintenance
MarutiSuzuki;800;14 Sep 2020;Rajiv Luwang;4.3; Daily Commute ;My driving experience with my maruti 800 is amazing It is the best car for those who need a basic car with all the requirements for daily purpose . Both the hill and valley which like our MANIPUR State.
MarutiSuzuki;800;3 Jan 2020;Shabbir Austin;4.3; Family Car ;my dad bought a car when iam studying 8 th standard. just a 50k kms till now. only used by my father and his brothers. non accidental vehicle till now. completely satisfied by the build quality
MarutiSuzuki;800;20 Sep 2020;Zakir Ahmed;5.0; Daily Commute ;My first car. Nice car . I have a small family . And we are satisfying with this car . This car support me in business. Mileage 20 kilometers per liter. It easy to drive and park .
MarutiSuzuki;800;28 Nov 2020;Asim Kumar;4.0; Daily Commute | Occasional Commute;This car is single handed. Everything is up-to-date only stapin is not good. Fitness valid upto 22-02-2022. Car looks is good & running condition. Km driven 40404.
MarutiSuzuki;800;6 Oct 2020;Jasvir Singh;4.0; Family Car ;Good car but is old not safety And in side not big space experience Is all most good low price low maintenance services and products are available in our marketing
MarutiSuzuki;800;26 Nov 2020;Youtube Tech;4.3; Daily Commute;good car.low service cost .good comfort .good sound.best pick up.easy driving in traffic .handling good .good steering.safety is not good.over all good vehicle
MarutiSuzuki;800;2 Oct 2020;Sali Mirza;3.8; Daily Commute | Occasional Commute;Maruti 800 was the only car our family owned since over three decades, even though it looks very small its quite comfortable, safe and economical to maintain.
MarutiSuzuki;800;1 Jul 2020;Mrutyunjaya ..;4.3; Daily Commute ;Overall a comfortable car in the price tag it was purchased. Maintenance cost almost nil, never ever created any problem on road. It was a great experience.
MarutiSuzuki;800;16 Jan 2019;Charla Kiran;5.0; Occasional Commute ;safe comfortable family car. Accident proneness less. can drive with ease. learners can LEARN easely with this model. dickey space enough. expandable back dickey space is so comfortable. Manual glass windows can be adjustable easely. good vehicle. colour won"t fade. glass are easy to clean.
MarutiSuzuki;800;9 Jun 2019;Riyaz Ahmad;4.7; Family Car ;i was using the car from the last 5 years and i feel very happy with this car but it has some bad features like brake system is not good in the car and has not much comfortable and now a days it should hve the much safety features but unfortunately it hasnt
MarutiSuzuki;800;18 Jan 2020;Partha Das;4.7; Daily Commute | Family Car;I am fully satisfied with this car. This was my dad's car and I am still driving it after 20 years. We have great experiences with it so far.
MarutiSuzuki;800;23 Mar 2019;AUTOMOBILE L..;5.0; Family Car ;I have Maruti 800 2009 Model with CNG. The car is very good and has a good mileage of 20KMPL on Petrol and 130Km/KG on CNG. Maintenance and service cost of the car is just 1200-1400 Rupees and the parts available easily till now
MarutiSuzuki;800;4 Oct 2020;VIDEO BASKET;4.3; Occasional Commute | Family Car | Tours ;Comfort superstar Mileage okPerformance... Speed & pickup superComfortable 5 people can travel... Better for 3+1..smoothness is plus...
MarutiSuzuki;800;9 Oct 2020;Raviteja Mamidi;5.0; Daily Commute | Occasional Commute;Very much comfortable to drive. Smooth performance. Comfortable seating. Low maintenance cost. Great availability of service centres.
MarutiSuzuki;800;25 Oct 2020;Manasi Sakhare;5.0; Family Car ;I have driven 100000 km but still it is in own condition as on today.The best i purchased and maintained till date.No complaint.
MarutiSuzuki;800;11 Aug 2020;Wallter John;4.7; Family Car ;Super performance and i yrust my car like my budy.... Becaz he never break my trust..I do to much long drive in with him....
MarutiSuzuki;800;7 Jul 2020;Kamal Langkam;4.3; Daily Commute;good n simple vehicle bit on the cramp side but menuravle n pocket friendly n bare basic.wish the wheels were a bit larger.
MarutiSuzuki;800;2 Mar 2020;AMRITJYOTI B..;4.3; Daily Commute ;The bread and butter car . Maruti Suzuki might think about re-manufacture of this vehicle with more features1and options.
MarutiSuzuki;800;30 Aug 2019;Prabh Singh;3.7; Daily Commute | Family Car | Tours ;Ac is good, Maintenance costs low, Get higher mileage at highways. Windows open air flow is very good in room space
