Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;AStar;10 Aug 2020;Dipesh Sakaria;5.0; Family Car ;Fantastic its zabardast fully loaded vehicle with all features which now a days we won't get in normal car...loved it comfortable for all had a trip from panvel to mahabhaleshwar good experience...till date only normally maitained and single handed overall performance and experience is Excellent
MarutiSuzuki;AStar;14 Jul 2020;Madhur Deshmukh;4.7; Daily Commute ;Excellent car with great comfort and performance. Till now it this car provide the same experience which was provided on the day of buying. Easy driving and great driving experience. And does not make any extra maintenance cost..
MarutiSuzuki;AStar;26 Oct 2020;Sibi Varghese;4.3; Daily Commute ;This is a car that is perfectly decent in your budget. Here are the highlights: a)Good pickup,b)decent milleage,c)easy maintanance.But there are some shortcomings. a) Very low boot space and leg space
MarutiSuzuki;AStar;14 Nov 2019;Maun Vadukul;4.3; Family Car ;Almost no boot space, still far better choice among all 1L hatchbacks under 5 lakhs. Maintenance too low. Amazing built quality, body metal as well as interior plastic.
MarutiSuzuki;AStar;1 Aug 2020;NIKHIL JADHAV;4.0; Daily Commute | Occasional Commute | Family Car | Tours;Nice product from the suzuki it has better built quality than new maruti car. But the buyers isn't respond to the product that's why it is discontinued now.
MarutiSuzuki;AStar;6 Aug 2018;Anubhav Gupta;3.3; Daily Commute ;When you start the car it is normal for 1000 - 1200 CC cars, next clutch ohhh it is uncomfortable means you have to apply power from your foot to press the clutch and believe me it is hard. Next pickup is impressive, steering wheel again little hard. Rest everything is fine.
MarutiSuzuki;AStar;26 Nov 2020;Nayeem 10;4.2; Daily Commute | Occasional Commute;Excellent car for a small family.... I own a 2013 vxi manual model.... Till now satisfied with its performance....mileage of 18 kmpl...
MarutiSuzuki;AStar;18 Oct 2020;Sinha Atanu;4.3; Family Car ;Very good.I really enjoy the driving of this car.Maintaince cost is very law.But shocked when this model was discontinued by suzuki.
MarutiSuzuki;AStar;29 Aug 2020;Ashish Sriva..;4.3; Daily Commute ;Good Car Nice and comfortable , City Average is approx 15-16 kmpl. Driving experiance is very good.Good car for daily use and family
MarutiSuzuki;AStar;1 Sep 2020;Umar Khan;3.0; Daily Commute ;Low maintenance good drive for city's no parking hassle no such big complaints reported as much compare to other market segments
