Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Alto800;22 Oct 2020;Vadish verma;3.0; Family Car ;I bought the maruti alto 800 in february 2012.The color is granite grey, And the car looks pretty nice when properly cleaned.Under the good is a 0.8l petrol engine which churns out 40.3bhp and 60 nm of torque.The power figures might be very astonishingly low, But the performance of the car is average.The quality levels of the car is also decent.Inside the door gets fabric claddings and nice grey l eather upholstery.There are very much hard plastics, But they still are of a decent quality.The variant is lxi, The mid variant, And things which i get are 12 inch steel wheels with silver wheel caps, Yes that's a very small size.Has a standard normal digital instrument system, Analog speedometer with a digital display that shows time, Fuel to empty, And distance.Front seats are quite comfortable, No adjustable headrests of course, And under thigh support is quite decent enough.At the rear however, Three people cannot sit comfortably as there is a very huge h**p in the center, And the seats are very low, With very small, In fact tiny headrests which provide no whiplash support in case of a crash.The boot space is also quite decent, 177 litres, Which can be increased by lowering both the rear seats down.Talking about the safety, There is nothing.No abs, No ebd, No reverse parking cameras, No seat belt pretensioners, Nothing.Even the build quality is very poor, The c pillars easily dent inside if you press them with a thumb.
MarutiSuzuki;Alto800;21 Sep 2020;SUMAN BABU;3.7; Occasional Commute | Family Car ;best for a small familyand a average performance car The major change though is in the inside of the car. The dashboard is completely new and you now get coloured seat fabric which works well with the overall ambience of the car. The top-end LXi variant gets a CD/MP3 player, air-conditioning, power steering and front power windows. What it does not get is central locking, and a left rear-view mirr or.The Alto 800 still comes powered by the 796cc, three-cylinder which has been refined. There's also a faster 32-bit processor and this engine is future-proof for BS5 norms too. The engine responds to your throttle input and the gearshifts are typically Maruti Suzuki, well slotted.Maruti has priced the top-end Alto 800 at Rs 2.99 lakhs and this is truly something significant. They have been able to price it so competitively that the customers have to give it a second thought before going in for a car belonging to a rival company.
MarutiSuzuki;Alto800;7 Dec 2019;VISHNU KUMAR;4.0; Daily Commute | Family Car | Tours;This is my first car, For the Past 3years it drives smooth performance and it’s the lowest maintenance cost, and some are saying that this is not good for long drive, No they are actually wrong it’s the most best car for long drive without any problem . So in this 800 segment alto is best car apart from kwid and redigo. See you can have better interior n exterior in kwid n redigo but the engin e performance wise alto is my best choice to the entry level people, even wise in alto 800 exterior n interior you can customised easily as per your preference and it looks better n stylish car from kwid n redigo.🔥💯
MarutiSuzuki;Alto800;26 Aug 2019;Anil Kumar;4.3; Daily Commute ;अल्टो 800 एक बजट कार है यह मेरी रॉयल इनफील्ड बाइक से भी कम खर्च में चलती है और इसकी सर्विस भी लगभग रॉयल एनफील्ड के बराबर ही पड़ती है मैं इससे सभी मौसमों में स� �रक्षित हूं और दुर्घटना से भी इसमें काफी बचाव है
MarutiSuzuki;Alto800;10 Aug 2020;Shekhar Pradhan;3.7; Family Car ;I can say that I am happy with the car. we are a small family of four and have enjoyed more than few long drives, intercity journeys, day-long travels in this small car and it has never disappointed us.It is very frugal in consuming fuel and is almost zero maintenance car.Would have been happy with little better NVH performance and 25-30 mm of additional ground clearance.But,I would say -a great f irst car for my family.
MarutiSuzuki;Alto800;13 Oct 2020;Naveen Suthar;3.3; Daily Commute ;Super car गरीब लोगों की कार है इसे हर गरीब के घर की कार होना चाहिए सभी गरीब लोग इस कार को अपने छोटे से परिवार में शामिल कर सकते हैं इससे अच्छी कार और कोई हो ही नहीं सकती
MarutiSuzuki;Alto800;21 May 2020;Audinarayana..;5.0; Family Car ;The owning of alto 800 to me is mainly to shuttle between village near Kalpakkam &to other places of religious & picnic tours so far there is no trouble in driving or any break downs except battery dead during non use .ItI is comfortable to drive in city during traffic hrs also but Ad I-am retired no necessity to use in traffic hrs
MarutiSuzuki;Alto800;2 Mar 2020;Suchit Parmar;5.0; Family Car ;A very good and perfect car for my family. Very smooth in drive. Never feeling tiredness and always feeling comfortable and safety also. Good budget car from maruti Suzuki. I am suggesting to all please do purchase this car it is evergreen for your life. It makes my dreams true and prove my destination .
MarutiSuzuki;Alto800;25 Aug 2019;Nikhil Sreek..;3.7; Daily Commute | Family Car | Tours ;Ya alto back in my time when I was a young lad was the best in business. But comparing a 2006 edition 800 cc rider with the modern cars is pretty much odd . The car is still a good commuter and a trustful buddy. With a delivery of good mileage and a small shape , the car is a one butter for daily use .
MarutiSuzuki;Alto800;10 Jun 2020;Lal Shanker;3.7; Family Car ;सामान्य आय वाले व्यक्ति इसका उपयोग आसानी से कर सकता है ।रख रखाव व मेंटेनेंस करने में ज्यादा परेशानी नही होती है।
MarutiSuzuki;Alto800;3 Jul 2019;Naresh Kumar;1.0; Daily Commute ;I suggest to every customer, do not buy maruti cars and although you buy then do not spend extra money on extended warranty. The maruti customer care or the dealer will not help you whether you have extended warranty. They deny to replace your vehicle part at all. This is my recent personal experience of vipul motors faridabad and maruti itself. Don't buy maruti car at all Go for other brand for s atisfaction and quality.After all you are going to spend one time amount for at least 5 year. so go for better than Maruti.
MarutiSuzuki;Alto800;17 Aug 2020;Dr;4.3; Occasional Commute ;Satisfactory,easily maintainable and workable but not comfortable in long run journey. Accommodation is not for a big family . It only accommodated a small or nuclear family though while in journey it hardly gives any problem . Because of its low height I want to replace 3 .
MarutiSuzuki;Alto800;7 Jun 2020;Avishekh Rajput;3.7; Family Car ;Good car if your budget is up to 4.1-4.3( may vary state to state). Mileage is superb with low but ok grade interior and exterior equipment installed ( like ORVM, Plastic Parts) average suspension, low ground clearance, small but comparable side window.
MarutiSuzuki;Alto800;28 Jan 2020;Subodh Bhargava;4.0; Daily Commute | Family Car | Tours ;Only discomfort is shortage of leg space , otherwise it is a wonderful car.On long root it gives upto 25 km/pl and when AC is used mileage is 21-22 kms.One more thing if you find any problem neither dealer nor the Maruti suzuki company will hear you.
MarutiSuzuki;Alto800;20 Aug 2020;Rao Ramanathan;4.0; Daily Commute ;Low maintenance and repair costs. Fairy good vehicle and value for money car. Highly reliable and even if there is a problem Maruti service will take care. Some view this car as unsafe, but it depends on many factors. Overall it is a good car.
MarutiSuzuki;Alto800;6 Mar 2020;Shanmuga Raja;3.7; Occasional Commute | Family Car ;A perfect commute vehicle with in city.Maruti always same as it's performance,you can get services and spares everywhere easily.comparing the features of similar segment it's quite low but maintenance and spares rates will be very cheap.
MarutiSuzuki;Alto800;20 Oct 2019;Franky Car;2.3; Daily Commute | Family Car ;In 2001 alto more stylish than 800 , good at city manuers. Not high performed but was happy for family outings. Without ac it would give 19-20 km/l. Now bit on lower side . but it never stopped for engine problems during its life span
