Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Baleno20142018;23 Sep 2018;Anand Gupta;4.3; Daily Commute | Family Car | Tours ;Very comfortable car for driving due to Automatic transmission. I have Baleno Alpha -AT. Average in city getting 13 kmpl. For Pune/Shirdi highway 16.0 kmpl, for Gujarat highway 18.0 kmpl (FROM MUMBAI).Specious back seat and enough leg room for front seat. Spacious for 2 family luggage room.No issue while pick-up on hills with L-Mode. Easy for overtaking with S - Mode.Auto-android working fine with good navigation system for road guidance.Issues while driving - 1. Can not hear any incoming call ring in car while driving and missed the call often.2. Can not see video while driving . (+ point ONLY).
MarutiSuzuki;Baleno20142018;1 Oct 2018;Rakesh Kumar;5.0; Family Car ;Baleno-Petrol- Delta -Overall performance is very good ,milage is outstanding,while am driving milage of 20.8avg in highways for a litre of petrol. Safety is excellant ,abs saved me three times when I suppose to hit back side of bus for sudden braking without indication while going in highway at a speed of 120 .I recommend to buy this one and suggest to not goin speed as in turnings it may topple due to less weight.Interiors superb and music system outstanding .Enjoying driving and I feel good.
MarutiSuzuki;Baleno20142018;19 Apr 2020;RKS S;4.0; Family Car ;BALENO ZETA MODEL IS NORMAL AND GOOD LOOKING CAR. SMOOTH DRIVING WITH GOOD MILEAGE..MAINTENANCE COST IS VERY LOW.. HANDLING IS AWESOME..ONLY ONE THING IS NOT GOOD..THAT IS ITS BODY PARTS ARE NOT SO STRONG..BUT OVERALL ITS VERY NICE CAR.
MarutiSuzuki;Baleno20142018;28 Jan 2019;Lalit Bhati;4.3; Daily Commute ;I have driven my baleno almost 40000km till now. It has been a good car till date but there is some issues with its build quality, build quality is not up to the mark. I always get overall milage up to 22-23km/l. On highway you can get better milage up to 30km/l but depends on your driving habits.. overall I am happy with Baleno. I want to request Maruti kindly improve it's build quality.
MarutiSuzuki;Baleno20142018;5 Dec 2018;Yatin Prabha..;1.3; Family Car;This car is not safe for long drive. All parts are made of plastic and body is not tough. Due to that reason when you drive a car on highways if other car passes through you. Your car vobbles. Secondly average is 12 km on highway and 9 km in city petrol version.. which is really disgusting to me., overall I am not at all satisfy with this car.
MarutiSuzuki;Baleno20142018;9 Jan 2019;Prabhashanka..;4.0; Family Car ;A good car worth its value. Mine is zeta 1.2 petrol version. Mileage has not gone below 16 km.in city driving. In highways it depends on your driving style. Optimum mileage of 23 km.obtained in the highways when driven properly. Overall very good car. Very stable. Light could have been more powerful. Seats start creaking after six months.
MarutiSuzuki;Baleno20142018;4 Sep 2018;Nitin Singh;4.7; Daily Commute ;I own baleno alpha petrol and I must say.Baleno is a fantastic car.With great mileage.In a month I drive my car for local as well as outstation.I have never faced any problems.Their is only one drawback in this car is its suspension. You will feel every small potholes. It doesn"t glide smoothly.Apart from this it is a great package
MarutiSuzuki;Baleno20142018;22 Dec 2020;Bharani KHUMAR;2.0; Daily Commute | Occasional Commute | Family Car | Tours;mileage is very good.there is 0 percent safety.brakes very very poor.worst experience.but the technology is good like features.maruthi parts has no quality
MarutiSuzuki;Baleno20142018;12 Apr 2019;Sujit Chutia;4.0; Daily Commute ;Nice car... i used to travel daily around 40km, it is good enough for short distance but for any kind of long trip i feel its like boring (actually i m not able to find any word instead of boring)... for short distance it is a good car....
MarutiSuzuki;Baleno20142018;12 Jun 2020;Siddharthan V;4.3; Family Car;Twas good ... !! but the transmission was super easy ..its a highway car . Haven't tested long drive but till now no performance issues .
MarutiSuzuki;Baleno20142018;1 Oct 2018;Shubham Hedau;4.7; Family Car | Tours ;It is a very good car even my father lives out of station and the car has run only 1700 KM's in 6 months but therefore you can but this car as I have alpha CVT the top model it is gives the peppy performance
MarutiSuzuki;Baleno20142018;21 Aug 2020;Birendra Mishra;4.7; Daily Commute ;Wonderful car safety comfortable mileage look wise awesome maintenance cost almost very low ...........love it..
MarutiSuzuki;Baleno20142018;11 Aug 2020;Mritunjay Kumar;5.0; Family Car;i have more experience then anyone.. in 1 word, baleno is the best choice from all side..
MarutiSuzuki;Baleno20142018;14 Nov 2020;TARUN PANDITA;5.0; Daily Commute | Occasional Commute | Family Car;My Baleno Car Is best Car In Petrol Segment With Best Comfort And Good mileage
MarutiSuzuki;Baleno20142018;16 Jan 2021;John Mathew;4.7; Occasional Commute | Family Car | Tours;Easy to drive. Light clutch and gear. Gear shift is very fast and intact.
MarutiSuzuki;Baleno20142018;7 Dec 2019;Yogen Rathore;5.0; Daily Commute ;mileage is so good because it 25 kmpl,so that was a nice card for used
MarutiSuzuki;Baleno20142018;18 Dec 2020;Shan Barot;5.0; Family Car;it's fantastic car, no maintenance. Drive suitable for a family.
MarutiSuzuki;Baleno20142018;7 Nov 2020;Prashanthi Y;4.7; Family Car;A little and more safety build quality would have been better.
MarutiSuzuki;Baleno20142018;13 Apr 2020;Hiren Mahesh..;3.3; Occasional Commute ;car is average and their is some problems in rear suspension
MarutiSuzuki;Baleno20142018;19 Nov 2020;Dhirendra Ch..;3.7; Daily Commute;Maruti baleno car is awesome, highway mileage is 24 to 25..
MarutiSuzuki;Baleno20142018;27 Jul 2020;Arun Ak;3.3; Family Car;performance is worst, style is good, service cost also good
MarutiSuzuki;Baleno20142018;22 Nov 2018;Keval Parmar;4.7; Family Car;baleno is the best family car... but some modification is required.like to give sunroof and change the back brake lights...by the way is excellent.
MarutiSuzuki;Baleno20142018;27 Sep 2018;Rajesh Jajodia;5.0; Family Car ;Baleno is a awesome car regarding safety features,spacious inside the car,good milage,muscular exterior body,and feeling premium while driving.....
MarutiSuzuki;Baleno20142018;10 Feb 2020;Riyas Thattu..;4.0; Family Car ;metal strength is worse.plastic quality is also a concern
MarutiSuzuki;Baleno20142018;26 Jan 2019;Sorya Thakur;3.7; Family Car | Tours;Missing 1.Driver seat height adjust 2.passenger seat AC Dono me se 1 hona chahiye tha, mere according 1.Driver seat height adjust hona chahiye.
MarutiSuzuki;Baleno20142018;12 Feb 2020;Krupesh Dave;2.0; Family Car ;very poor car don't buy go for Hyundai or voklswegan
MarutiSuzuki;Baleno20142018;9 Aug 2019;Bhushan Tyagi;4.7; Occasional Commute ;This is a very good car and yes if you looking for eye catching style with good performance .. you should go gor it
MarutiSuzuki;Baleno20142018;7 Apr 2020;Amir Khan;4.7; Family Car ;very nice car. I am happy with the service provided
MarutiSuzuki;Baleno20142018;4 Aug 2018;Taushif Shaikh;5.0; Family Car ;Baleno is superb I love my car,my car is everything for me and it's my 1st car And in the my weekly off I spend my time driving my baleno.
MarutiSuzuki;Baleno20142018;9 Feb 2020;Harit Kajiwala;4.0; Family Car ;paint Quality of baleno is not up to the mark
MarutiSuzuki;Baleno20142018;8 Dec 2019;SACHIN PATIL;2.7; Daily Commute ;Average built quality with regards to safety.
MarutiSuzuki;Baleno20142018;10 Apr 2020;Ritwick Raj;3.3; Daily Commute ;Overall good experience and love the comfort
MarutiSuzuki;Baleno20142018;14 Sep 2018;Magh Rengma;3.0; Family Car;If baleno can increase ground clearance Specially front than it can attract more customers that is what my experience with baleno...
MarutiSuzuki;Baleno20142018;17 Mar 2020;Rajanikanta ..;1.0; Family Car ;Good look better interior and exterior
MarutiSuzuki;Baleno20142018;17 Feb 2020;Anand Manorkar;4.7; Daily Commute ;style, mileage and a smooth performer
MarutiSuzuki;Baleno20142018;6 Nov 2020;Two Tyres;4.3; Daily Commute | Family Car;very good and excellent family car
MarutiSuzuki;Baleno20142018;26 Jan 2020;Kiran Kumar;4.0; Occasional Commute ;satisfied with my car performance
MarutiSuzuki;Baleno20142018;2 Oct 2018;Madhavankutt..;2.3; Daily Commute ;The front piece of Body constructed with fiber only no other safety arrangement made in the car even for engine or else.
MarutiSuzuki;Baleno20142018;18 Sep 2019;Venku Badagi;3.7; Occasional Commute ;Good but not much below average
MarutiSuzuki;Baleno20142018;26 Dec 2019;Mohan Kumar;5.0; Family Car ;good like very much nice nice
MarutiSuzuki;Baleno20142018;11 Aug 2018;Rohan Shigvan;4.7; Family Car ;It is very spacious safety feature loaded in it and the ride quality is very impressive perfect Hatchback family car
MarutiSuzuki;Baleno20142018;3 Jan 2019;Pankaj Anuragi;4.0; Family Car | Tours ;Wonderful experience, I enjoyed it For my Daily Conveyance as well as family Tours,Just a Little bit Risky on Hill
MarutiSuzuki;Baleno20142018;27 Oct 2018;Abir Raha;5.0; Daily Commute | Occasional Commute ;Driving for 4 months... Fantastic car... Comfortable... Great milage... Yes the interior can be more improved...
MarutiSuzuki;Baleno20142018;18 Jan 2019;Het Ram;5.0; Family Car ;It is an excellent family car with comfort. Mileage is also good and a spacious one. Lookwise is also good.
MarutiSuzuki;Baleno20142018;7 Aug 2019;Goutham Oe;4.7; Daily Commute | Family Car | Tours ;Very great family car with best mileage. Boot space is the highlight for the car.
MarutiSuzuki;Baleno20142018;20 Sep 2020;AdepuPraveen..;4.7; Family Car ;Nice
MarutiSuzuki;Baleno20142018;3 Nov 2018;Shravan Kumar;4.7; Family Car ;I like so much baleno car and my family also like baleno this is luxury and comfortable car
MarutiSuzuki;Baleno20142018;6 May 2019;MATHIKERE SALES;4.0; Tours ;its good but front bumper is too low it can damage very easily while driving on mud roads
MarutiSuzuki;Baleno20142018;8 Jul 2018;Santhosh De;3.3; Family Car ;Its really a good compact car around 7to8 lakhs,but the supension was very poor
MarutiSuzuki;Baleno20142018;19 Jan 2019;Rajinder Jassal;5.0; Family Car ;Fabulous clossal fantastic very very very very good at all times and I love it
MarutiSuzuki;Baleno20142018;2 Jan 2019;Alfaz Ahamad;5.0; Family Car ;GOOD ONE FOR SAFETY I HAVE ALREADY USED THIS CAR EVERYBODY GIVE GOOD OPINION
MarutiSuzuki;Baleno20142018;24 Jan 2019;Jatinder Khu..;4.3; Daily Commute | Family Car | Tours ;Comfortable, fun to drive,good mileage. Feels safe in handling on highway.
MarutiSuzuki;Baleno20142018;19 Dec 2018;Sakalov S;4.7; Family Car ;Initial pickup is clumsy and but overall good family car for long travel
MarutiSuzuki;Baleno20142018;3 Nov 2018;Ashish Mishra;3.7; Daily Commute ;My baleno is 2017 model, totally a royal treatment this car provide us..
MarutiSuzuki;Baleno20142018;29 Sep 2018;Amit Chatterjee;3.0; Occasional Commute ;nice,safe,so so looking .height could have been increased up to 1540 mm
MarutiSuzuki;Baleno20142018;3 Oct 2018;Naba Roy;4.0; Family Car ;Its looks good music system is also very goodSeating very comfortable
