Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;BalenoRS;4 Oct 2020;Appuraj 4;5.0; Daily Commute ;The car is really good except for the body which is not so strong but I really enjoy driving it .The overall performance is good. I got a top speed of 200. The interiors are classy and features are really good for Indian middle class market. You get almost everything that is there in high end cars
MarutiSuzuki;BalenoRS;8 Dec 2019;Syed Kabeer;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;I like Baleno very very much I will buy in 18 age are 20 age my name is Syed Kabeer Ahmed I will like very very badly know my life super car is that
MarutiSuzuki;BalenoRS;18 Sep 2019;Er Vrushabh;5.0; Family Car ;It is a very good Car. I have been driving the car since 2 years and still it gives the same amount of comfort while driving as it was earlier...
MarutiSuzuki;BalenoRS;26 Sep 2020;Vishnu TM;5.0; Daily Commute | Occasional Commute;Very nice comfortable for long drive Ausome mileage Silent engine Luxurious interior Great colour- Granite grey
MarutiSuzuki;BalenoRS;3 Nov 2019;Satveer Singh;4.0; Daily Commute ;Its a good car to buy in this segment but body is very light ,if.looking.foar strong body go.for.nexon
MarutiSuzuki;BalenoRS;4 Oct 2020;Dhruv Kaushik;4.3; Daily Commute | Occasional Commute;Best car in this segment Satisfying. Totally comfort With full space Nobody says this car is bad.
MarutiSuzuki;BalenoRS;15 Dec 2020;Animesh Ray;3.7; Daily Commute;very good two wheeler for daily usage.I liked it
MarutiSuzuki;BalenoRS;12 Oct 2019;SRIMAN NAARA..;4.7; Daily Commute ;Nice peppy car. Fun to drive. Seats 5 people
MarutiSuzuki;BalenoRS;23 Dec 2020;Rajkumar Yadav;5.0; Family Car;unlimite awesome experience baleno rs
MarutiSuzuki;BalenoRS;19 Oct 2019;V;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Nice👍 car but not a family car
MarutiSuzuki;BalenoRS;28 Mar 2019;Neelesh Kamath;5.0; Daily Commute ;Spacious , light and nimble, Power packed performance with a turbocharger and trustworthy Maruti Suzuki service network.
MarutiSuzuki;BalenoRS;21 Oct 2019;Shuvabrata C..;4.0; Daily Commute | Occasional Commute | Family Car | Tours ;Not repenting for the decision.
MarutiSuzuki;BalenoRS;23 Dec 2018;Shubham Rajv..;5.0; Family Car;It is smart car and excellent front and back light and comfort seats
MarutiSuzuki;BalenoRS;15 Dec 2018;Prashant Sutar;4.0; Family Car ;Build Quality Is Not Good ...& Also Mileage Issue
MarutiSuzuki;BalenoRS;18 Oct 2018;Harinath Reddy;4.7; Family Car ;Good car loved dis car nice 😍😍😍😍😍
MarutiSuzuki;BalenoRS;11 Jan 2019;Satyavijay K..;3.3; Family Car ;It is nice car looks are very nice
MarutiSuzuki;BalenoRS;14 Dec 2018;Tarun Kawad;3.7; Family Car ;BALENO IS BEST CAR AT THIS RANGE
MarutiSuzuki;BalenoRS;28 Jul 2018;Saurabh Swar..;5.0; Daily Commute | Occasional Commute | Family Car ;It is full of power and pickup
