Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Dzire20172020;19 Jan 2021;Shriram Salunke;4.7; Occasional Commute | Family Car ;For the starter, Lets start with the pros - great styling and interiors.It looks modern when you seat in the car.- space in front and back seat is very good and with armrest in back seat adds to more comfort.It also has rear ac.- very silent, Reliable and fuel efficient engine which also contributes to extremely low nvh levels in car.- very easy to drive and offers good ride quality be it on city roads or bad roads- driver seat height adjuster is very good features and lets you adjust perfect driving position- steering mounted controls it helps you control music system as well as answer calls with ease.- last but not the least, Maruti have largest network of service centers and getting any spares in part of country is not a hassle.- offers platinum extended warranty for extra cost for 100000 or 5yrs which ever is earlier.Now the cons:1.Poor build quality, In terms of sheet metal used is very thin and may be safety issue.The metal sheet seems very flimsy.2.Beige flooring which is really difficult to maintain.3.Storage box in the dashboard is comparatively small and is not cooled.4.Stock head lamps could have been brighter.It is ok for city conditions but on highways you will feel the need to upgrade with brighter and better bulbs.5.Rear ac does not have enough throw.
MarutiSuzuki;Dzire20172020;13 Jan 2021;Shubroto Munshi;4.3; Tours;I own my swift dzire for around 4 years now till now this car hasn't caused me any trouble regard to its engine and suspension. it has also completed more that 2 lakh kilometres as it being used by our touring company.maintenance cost is low parts are available easily their is no problem with mileage it does 20-23 kmpl. even after 4 years it's 4 cylinder engine is quite cherpy and agressive. if yo u want to be the first one to go after the signal turns green this would definitely help you. it's also got a good storage capacity that can hold upto 2 big suitcases and 3 small suitcases easily. it does lack into modern day features but during that time with that price point it was a awesome car to own.
MarutiSuzuki;Dzire20172020;3 Sep 2019;Kunwar Vikram;5.0; Family Car ;स्विफ्ट डिजायर मेरे सपनों की कार है इसे चला कर मुझे बहुत अच्छा लग रहा और मैं सभी से यह सलाह देता हूं कि वह भी शिफ्ट भी जाए जरूर ले एक बार जरूर चलाएं जिंदगी अ� ��मोल है स्विफ्ट के साथ सेट हो जाए वंदे मातरम जय भारत
MarutiSuzuki;Dzire20172020;3 Mar 2020;Marc Thomas;4.3; Daily Commute | Family Car | Tours ;we bought the dzire in 2012 and it still have that shine⭐✨ because of it's naturally aspirated i-4, with VVT, which swirls out to post 6000rpm, which today's turbocharged car misses out. it's still comfy and easy to drive car. mileage is good enough, even when it is over 8 years old. my car have done 32000kms in odo, what it had lost is initial low end torque, and power (if we compare to today 's cars). but I'm still happy with this beauty of an i-4 as it still have that symphony of VVT's 6k RPM..... :)
MarutiSuzuki;Dzire20172020;1 Sep 2020;Pranav J;5.0; Occasional Commute | Tours ;I use WRV for my long tours and use my swift diesel for daily commute. I must say the I-VTEC engine is one of the best petrol engine i have ever driven. Some people said the power is not enough which made me skeptic about buying it at first, but in my opinion that is just prejudice . The power is more than enough. TATA nexon gives more power but in the long run TATA Nexon engines will have lesser life because Honda keeps it cool without stressing the hardware.
MarutiSuzuki;Dzire20172020;20 Jan 2021;Tarunaditya ..;3.3; Daily Commute ;The car is nice with a pretty good pick up but additional weight of the trunk on a small engine is a bit more than required.Also the quality of body is not so good.Suspension system is also not up to the mark.Driving above 80kmph is a kinda red zone for the vehicle as handling becomes difficult for sharp cuts and curves.Overall a good vehicle for those who love a simple and soft drive.Also the car is a big no for bumpy roads.
MarutiSuzuki;Dzire20172020;15 Nov 2019;Vivek Chandel;4.7; Daily Commute | Family Car | Tours ;This car has some undying charm with it. Never faced a single issue regarding handling/electricals/engine. Being used regularly on fairly rough roads but nothing ever gives in. Also have done some long tours, and every single time this companion has proved trustworthy. Really a well-balanced car overall between comfort, mileage and power. Satisfies occassional cravings for a spirited driving beaut ifully with its eager turbo.
MarutiSuzuki;Dzire20172020;13 Oct 2019;Mercy Johny;4.3; Daily Commute | Family Car | Tours ;Overall it is a nice compact sedan which satisfies basic needs which is an apt choice for a nuclear family. In the case of its service which could be available at a desirable priceOne of its drawback/ suggestion to be made is increase its boot space, rear seat legroom and quality of its bumpersAnyway it is a gift from god with which meets all the necessary factors like comfort, beauty and mileage
MarutiSuzuki;Dzire20172020;11 Jun 2020;Manoj Parmar;4.0; Family Car ;Maruti cars has impression that its easy to own. But as per the current situation showroom service is worst and also build quality issue is there. So it is better to go for other option if you required this 2 things. My service and other maintenance is never done by the showrooms in first visit. Owning a maruti car is no more peace of mind now a days.
MarutiSuzuki;Dzire20172020;23 Mar 2020;Mreenmoy Halder;4.7; Daily Commute ;Amt varient vdi has great peak up, mileage is also good, in Highway with uniform speed of 90km/hr it gives a mileage of 29 km/ ltr, and average speed of 100 to 140 km/ hr gives mileage of 21-23 km/ltr. I had installed obd car tracker separately so that I can track my vehicle health, current location and mileage of each trip.
MarutiSuzuki;Dzire20172020;13 Jan 2021;Innovative C..;5.0; Daily Commute | Family Car | Tours ;Overall performance is good.Mileage is pretty good like if you drive within 80km damn sure that over 20 mileage comfort is super good.Boot space and leg space is very good opt for this.Inside the budget also a fast moving car in india company service is good its pretty safe with high quality metal that is used for the car.
MarutiSuzuki;Dzire20172020;15 May 2020;Ram Bhupal;4.7; Daily Commute | Family Car | Tours ;It is a very stress free vehicle to trafel at a stretch 500 KM a day. Maintenance is very soft and it never troubled me in the previous 6 years. However I am going to change the vehicle as it is becoming old and there new variants in the Market. Otherwise it is really a very efficient and decent vehicle for a family of 4.
MarutiSuzuki;Dzire20172020;5 Dec 2020;Guhan Kumanan;1.7; Daily Commute;poor performance way too much lag , improper seats for tall drivers , and brakes are wayyyyy tooo spongy. music system failed in just five years inspite of very rare usage. and vibrates a lot when the speed exceeds 100 kmph. Door rests in rear break easily. Not a car for spirited drive, suited for taxi segment
MarutiSuzuki;Dzire20172020;12 Feb 2020;Abhijnan Raj;3.7; Daily Commute | Family Car | Tours;Car is loud when you start , mid range of the car is fine. Talking about comfort small kids and people with height of 6ft would be comfortable people taller than that can have lack of head room and under thigh support. Handling of Swift Dzire is just EXCELLENT . Top speed is around 184 -185 as recorded by me.
MarutiSuzuki;Dzire20172020;3 Apr 2020;Wonder Hobbies;4.3; Family Car;Very Good Car in dis price segment although metal quality is stilll no upto the mark like i20 but still Overall Value For Money product but consider only petrol because deisel variant is not only more expensive sooo dosent justifies its price one can get higher segment ciaz if loking for a deisel variant
MarutiSuzuki;Dzire20172020;9 Mar 2020;Amit Arya;5.0; Daily Commute | Family Car ;It is value for money car as well as it is also good for doing updown from long distance and have a premium and luxury features. I mostly use it for updown from New Delhi to Rohtak(Haryana) my car has been driven 1,73,000 km and now also it is not having any problem TOUCH WOOD!. I LOVE THIS CAR.
MarutiSuzuki;Dzire20172020;14 Jan 2021;Shriram Salunke;4.7; Occasional Commute | Family Car ;Looks, Modern pleasing interior, Comfort, Spacious, Ride quality, Very silent and smooth engine.The only complaint is build quality.Sheet metal of the car leaves lot to be dzired.Customer won't mind 40-50 odd more kgs but sturdy sheet metal would certainly go long way in safety of overall body.
MarutiSuzuki;Dzire20172020;5 Sep 2019;Mayank Sabnani;1.3; Daily Commute ;There are only three reasons to buy this car 1- fuel efficient - because of bad build quality which has resulted weight loss of car2- spacious cabin3 - engine has long lifeRest everything is worst about this car - performance , features , safety , pricing , etc.Most unsafest car of its range
