Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Ertiga;15 Dec 2019;Sagar Nagare;1.0; Family Car;The build quality of the vehicle is too bad the external door panels and body panel get damage while pressure1washThe mileage of the vehicle is give 19 by company but actual the vehicle gives 11 or 12Tyre quality of the vehicle is too poor I am damn sure it will make a big accident one timeThe brake system1is noisy Tyre and the disc get heated wild driving above 50 to100 kilometre The suspension i s too noisy and not comfortable The quality of bench is too bad the middle arm rest is already facture The seat belt quality is also too low the lock system of seatbealt get out from the attachment The Jack which is provided by company cannot carry the load of vehicle External view mirror are too noising Music system hangs Reverse gear shifting doesn't accept reverse gear many times
MarutiSuzuki;Ertiga;1 Oct 2019;Zhmal Subha;4.3; Daily Commute | Occasional Commute | Family Car ;I own NEW ERTIGA ZXI plus 5 months old, the car is nice to drive on highways long run. Good 7 seater at the budget of below 12 lakhs .Whern we drive with care and place at 5th gear below or nearly 100 on speed we get good mileage till 18 KMPL but an average of 15 KMPL on long run . I have a request to MSI - that the car been purchased early 2019 are BSIV . We the buyers of that session would like to place a request to MSI - to recall the cars and convert them to BS6 at some nominal cost options plus add LED DRL front and back will boost the car sales definitely by after sales care for the customers with update versions thus will add recommendations from existing customers to new buyers for MSI cars and continued customer care.
MarutiSuzuki;Ertiga;5 Jan 2020;Shraavan Rai;4.7; Daily Commute | Family Car ;it's been with us since 7 and a half year. we never had a problem I mean there was no technical issue till date. the problem was my dad due to his carelessness has done a few accidents but this car never have up and its purely like our family member. everything is comfortable from inside to outside . we had so many great memories in this car. just love it. we are planning to buy a new car that cou ld be MG ZS EV but I'll be getting my driver's license and I told my dad that I'll keep this car don't sell it.so I'll be keeping maintaining it properly.
MarutiSuzuki;Ertiga;7 Aug 2020;Nandan Syam;4.0; Family Car ;I own a 2019 ertiga petrol the sound of the revs is just phenomenal and the performance is also adequate it has got all the necessary features most of them also miss on auto head lamp wipers and dimming mirrors the comfort of all the rows are amazing the problems are tyres appear to be in smaller size considering the size of the vehicle and the mileage is very low i get only 10kml on city drives w ith AC on and 13 kml on highway even though the claimed mileage is 19 kml
MarutiSuzuki;Ertiga;19 Sep 2020;Tadvi Narendra;4.0; Daily Commute | Occasional Commute;I am using Ertiga VXI BS6 model from last one year. Overall good ,pick up is good. Car is running in City area ,so, mileage is around 12.5 to 13 kms. Ertiga is very good option for low cost MPV, space is also good. But body is very light, needs improvement in roof structure. Disappointing thing is that door glass cleaning wiper also not coming with VXI model. Feels difficult in rainy season. I kno w we can fit it from market,but this is also necessary.
MarutiSuzuki;Ertiga;14 Dec 2019;Sunil Kumar;2.3; Occasional Commute | Family Car | Tours;Poor NVH, Lot of wind noise and engine noise creeps in at speed above 7 kmph.Worst mileage, only 16 on highways driven at less than 80 kmph and only driver seated. Seat comfort is stolen away by the poor NVH level. Your ears will get tired after a long drive. But steering is very light and easy to drive in city.
MarutiSuzuki;Ertiga;11 Aug 2020;Kannan Sachivan;4.3; Family Car ;I OWN THE ERTIGA VXI AND IT PERFORMS WELL. WE ARE GETTING 12 KMPL AS A BEGINNING MILEAGE FROM THE ERTIGA VXI PETROL MANUAL VERSION. WE ARE ENJOYING THE 103 PS POWER OF THE KB15 SERIES ENGINE. IT HAS A QUICK CHILLING AC FILLED THE CABIN COOLED AIR EASILY. TRAVELLING COMFORT IS NOT AT ALL BAD.
MarutiSuzuki;Ertiga;9 Aug 2020;Collin Rodri..;3.7; Occasional Commute | Family Car ;Good car with high torque and average power. Ideal station wagon/ mini van with optional third row of seats. Low end stock music system upgraded to blaupunkt with head rest repeater screens. returns a city mileage of 12km/litre despite high rev pedal to metal driving habit.
MarutiSuzuki;Ertiga;29 Oct 2020;Jeevanpal Singh;3.0; Family Car ;I own a 2019 ertiga petrol from may 2019, Its mileage is 13.7 km/ltr . mileage never increase why ? company said 19k/L but it is still 13.7 on 70-80 km/h speed. if speed increase 100+ then mileage is 9-11 km/L. everything is good in this car but issues is only mileage.
MarutiSuzuki;Ertiga;4 Sep 2020;Sumit Chauhan;4.3; Daily Commute | Occasional Commute | Family Car ;Maruti Suzuki Ertiga is a perfect family car. It has a right balance of space, comfort, mileage considering cng fuel and headroom. One thing which could have made it a further great car would have been the 1.6Ltr engine. Other than that, it is totally worth it.
MarutiSuzuki;Ertiga;12 May 2020;SANJAY SARAV..;3.3; Daily Commute | Occasional Commute | Family Car | Tours;Sure it is an under power engine and diesel motor sounds like an tractor, many of the plastic door parts starts to rattle when audio system's volume is bit high , totally the vehicles lacks built quality and overall an nice vehicle to try on city roads
MarutiSuzuki;Ertiga;9 Nov 2020;Nisar Ahmed;4.0; Daily Commute | Occasional Commute;Overall Happy with Etriga But unhappy with mylege because according to Maruti Suzuki ertiga gives 18 km per littre but it gives 15 km only .Pilot and Front seat's are not so comfortable Maruti Suzuki need some upgration on front seat .
MarutiSuzuki;Ertiga;21 Nov 2020;Biju Va;4.5; Daily Commute | Occasional Commute;Best vehicle for people who love to go on long trips and feel safe and secured in the vehicle.This is one of the best cost effective vehicle in the market , definitely get the service assurance from Maruti from any corner in India
MarutiSuzuki;Ertiga;30 Nov 2019;Jay Garg;3.0; Family Car;I think it's pretty cheap 7 seater as compared to other sedans in the market but i think that company could have done much better work in the same prize range overall it's a ok car but i think you can also go with Honda mobillio
MarutiSuzuki;Ertiga;25 Nov 2020;Harmeet Singh;3.3; Daily Commute | Occasional Commute;They improve much more in fearures and styling, DRL light Auto down driver mirrorSeat comfortsIndoor colour combinations nd many moreBut they many more Features nd styling tool which makes ertiga best in there class
MarutiSuzuki;Ertiga;24 Nov 2019;Nitesh Bhavani;5.0; Family Car;Superb car...with so many features in low price,low maintenance, superb resale option also...seating arrangement is also best as per the size of the car...its a lovely MPV as well as family car of this segment....
MarutiSuzuki;Ertiga;13 Sep 2020;Amalesh Tambe;4.7; Family Car ;Cons - No Android system, No Cruise Control. Headlight, Projector, Fog Lamps should be improved, less visibility on road. Space under engine should be covered. Large Size mudflaps are required.
MarutiSuzuki;Ertiga;17 Aug 2019;Ramdas Murde..;4.0; Daily Commute | Family Car ;Very sensitive to diesel quality, rough or very smooth. Trouble free since last 5 and half years. Engine lacks starting grunt, first gear Very low, requires shift almost immediately.
MarutiSuzuki;Ertiga;26 Sep 2020;Raju Kumar;1.0; Family Car ;Dear Sir Please provide me your contact number for what I need discussed maruti suzuki eigart, because i ' m now saudi i like to purchase this car please, i ' m living from deoria
MarutiSuzuki;Ertiga;23 Sep 2020;Mayur Ratan;3.3; Daily Commute | Occasional Commute;mileage is an issue also there is noise from dashboard as plastic is not of good quality and gas leaking is a huge issue. I have shown my car in service center but no response
MarutiSuzuki;Ertiga;2 Aug 2019;Piyusha Parween;3.3; Daily Commute;I have wounded my arm because of the sharp design of your passenger door when closing it on the right side behind the driver. It has taken over a month to heal it. The fin type design looks nice but it dangerous. This is a car owned by one of the trustees of Osho International, Pune 411001 India less than a year old.
