Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Esteem;19 Jul 2020;Hydmoto Vlogs;4.7; Occasional Commute ;The best MARUTI car of all time.This is most demanded car for enthusiasts who love to own a classic or modify for drags. The car blows your mind away with how quick it can accelerate and how easy it is to control. It gives you sporty seating position as It is positioned low like the old Honda city. Ac is decent, maintenance is cheap and repairable any roadside car mechanic. Parts are easily availa ble. Pros :Collectors carModification friendlyPerformerEasy maintenanceCons : outdated modelNo safety featuresVery low slung and can scrape speed breakers with load.
MarutiSuzuki;Esteem;29 Feb 2020;Prince;4.0; Occasional Commute | Family Car;It is a nice car if you want ot buy now becaus at olx we get esteem around 1 lakh with CNGkit installed in it petrol mileagebis average but cng mileage is 23 to 27 which is very nice. In terms of performance it is the vehicle of highway because it is not good because of its accelaration but because of its top speed which is around 185 in speedometer but real speed is around is 165 to 170 which is still good overall the car is comfortable and worth the value 🙂🙂🙂
MarutiSuzuki;Esteem;25 Jul 2020;Rahul Nakhwa;4.7; Family Car ;Esteem is the best. Comfort car for long distance driving. Adhesion with road of the car is excellent. maintenance is very low. Tough car for off-road too.ground clearance is little bit low. Big trunk in rear is more then enough. I love this car very much.so don't want to sale it.
MarutiSuzuki;Esteem;27 Sep 2020;Avilash Dwivedi;4.3; Daily Commute ;I wish Maruti comes back with MAruti Esteem in New Avatar. I will be first buyer. My esteem is 14.5 years old and still gives me all I can ask for.
MarutiSuzuki;Esteem;29 Aug 2020;Dheraj Sharma;5.0; Daily Commute ;Maruti seteem disel is a good car and good mileage in the city and out of city i hope altroze is best option for me I have purchase for few days
MarutiSuzuki;Esteem;27 Dec 2020;Rudraansh Ar..;3.3; Daily Commute ;The braking is not good, City ride it's fine but for highways not a good option.It vibrates the moment you cross 100kmph.
MarutiSuzuki;Esteem;4 Nov 2020;SANDEEP KARK..;3.3; Occasional Commute ;Value for money car, Reliable, Low maintenance cost, But outdated design, No safety features.Lot of boot space.
MarutiSuzuki;Esteem;21 Aug 2020;Boss Boss;5.0; Family Car ;I love my car it is 1.3 cc engine it is very comfortable for me to drive and it look sexy it is my dream car
MarutiSuzuki;Esteem;27 Aug 2020;Prashant Kolhe;4.0; Family Car ;Car Is Very Good Candishion Bat Pepar Is Not My Name RC Book Cler This My way on TT From . Cler in My Home
MarutiSuzuki;Esteem;14 Aug 2020;Rana Basu;4.3; Occasional Commute | Family Car | Tours ;My Esteem VXi is a fantastic car and I enjoy every bit of the drive. This car has not betrayed me for once
MarutiSuzuki;Esteem;13 Dec 2019;Shreekant Ra..;5.0; Family Car ;Very good and reliable car . Maruti Suzuki should bring modified model of esteem again
MarutiSuzuki;Esteem;23 Jan 2019;Sandeep Reddy;4.0; Tours ;Good driving experience for long drives . Only some problems no spare parts . 2005 old car . Seat position is to1low . Otherwise this good car . And low maintenance
MarutiSuzuki;Esteem;6 Mar 2020;Profak Chaubey;5.0; Occasional Commute | Family Car;very comfortable nice car but now we want to have 6 or 7 seater
MarutiSuzuki;Esteem;28 Nov 2019;RUPESH BHARTI;4.7; Daily Commute ;Very good car . But it is very old so I want to buy a new car.
MarutiSuzuki;Esteem;1 Feb 2020;Vikram Singh;4.7; Daily Commute ;you have to drive it to feel it, in other words nice car..
MarutiSuzuki;Esteem;5 Oct 2019;Yogesh Dagar;3.0; Occasional Commute ;Very poor mileage in petrol and sitting is not comfortable
MarutiSuzuki;Esteem;16 Nov 2019;Anilkumar Nair;5.0; Family Car ;Good and comfortable drive. Good look and good engine
MarutiSuzuki;Esteem;3 Sep 2019;Shiv Charan;3.7; Occasional Commute ;Superb car..too in seconds.. maintenance very less
MarutiSuzuki;Esteem;27 Jul 2020;Atul Rao;4.0; Daily Commute ;Fantastic car, it's best sedan once upon a time.
