Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Gypsy;11 Oct 2020;Kumar Sunil;2.7; Daily Commute ;It is a tough vehicle. suitable for unhealthy road conditions. but not sturdy and tough as Mahindra & Mahindra CJ petrol models/Willy's.
MarutiSuzuki;Gypsy;6 Sep 2019;Rpn Halder;4.3; Occasional Commute ;Hardcore...Looks different from other vehicles.. I am from N. E India its the best vehicle for N. E can go anywhere..
MarutiSuzuki;Gypsy;24 Sep 2020;Shashank Singh;3.7; Daily Commute ;Best off road vehicle.. I m loving it... lower maintenance..great looking.. Maruti gypsy is best for off road trips
MarutiSuzuki;Gypsy;29 Jun 2020;Ayush Singh;5.0; Tours ;So good I was so happy to have a suv like gypsy all type of body is extremely strong
MarutiSuzuki;Gypsy;10 Jun 2020;Prasenjit So..;4.3; Daily Commute;Having a vehicle with a connection with our arned forces is a virtue.
MarutiSuzuki;Gypsy;21 Mar 2020;Shozab Wali;4.3; Occasional Commute | Family Car ;G8 power to w8 ratio, four wheel works perfectly gr8 fun on off road
MarutiSuzuki;Gypsy;28 Dec 2019;Pamchui Khap..;2.7; Tours ;I used it for off road and going to places where roads are bad
MarutiSuzuki;Gypsy;12 Jun 2020;Krishna Kant;4.7; Tours ;Very good of road performance and good comfortable in driving
MarutiSuzuki;Gypsy;23 Feb 2020;AYUSH TAJTA;3.7; Daily Commute ;best for off-road.low maintenance cost .4wheel drive car.
MarutiSuzuki;Gypsy;1 Jun 2020;Vichar Gaonkar;4.0; Occasional Commute;best offroader and feeling fun to drive in off road
MarutiSuzuki;Gypsy;13 Feb 2019;Kundan Hate;4.7; Occasional Commute ;Field vehicle, I am working as a wildlife warden, presently my field vehicle is gypsy And experience is very nice and comfortable in field
MarutiSuzuki;Gypsy;31 Jul 2020;Abhiraj 92;3.3; Occasional Commute ;Everything when people take selfy with my gypsy
MarutiSuzuki;Gypsy;10 Mar 2020;Gil Soares;2.7; Occasional Commute ;good performance nan the ride is exhilarating
MarutiSuzuki;Gypsy;16 Jul 2019;Nick Walker;3.7; Daily Commute | Occasional Commute | Family Car | Tours ;You really think any one could say anything about this vehicle. I wasted 10 years not using this vehicle and using other stupid cars
MarutiSuzuki;Gypsy;15 Dec 2019;Ranjan M;2.7; Family Car;Performance is well. Mileage is very low.
MarutiSuzuki;Gypsy;22 Jun 2020;Kk Mondal;3.7; Daily Commute | Occasional Commute | Family Car | Tours;good job and best for riding
MarutiSuzuki;Gypsy;11 Sep 2019;Ishwar Bana;3.3; Tours ;Very good car but mileage very low
MarutiSuzuki;Gypsy;18 Aug 2019;Ashley Moore;3.3; Occasional Commute ;The Original Wide Body. MG410W
MarutiSuzuki;Gypsy;5 May 2020;Hriyew Lokho;3.3; Tours ;This car is meant for Off roading only
MarutiSuzuki;Gypsy;21 Oct 2018;TIMOTHY LOTHA;3.3; Occasional Commute ;It is not everybody"s vehicle,but has its own specific usage where others can"t substitute.
MarutiSuzuki;Gypsy;26 Nov 2018;Arjun M;5.0; Family Car | Tours ;Awesome ride....good look high performance low maintenance costs comfort for offroad ride
MarutiSuzuki;Gypsy;12 May 2019;Chandemo Hum..;3.0; Tours ;For going Out Off Road. its enjoyable Riding Gypsy Being a Daily Traveller.
MarutiSuzuki;Gypsy;20 Jan 2019;Sanjay Ojha;4.7; Occasional Commute ;We can not use for family. Feels good, but some bad experience
MarutiSuzuki;Gypsy;13 May 2019;Athili Kayina;3.3; Family Car ;Tough one, but sad to hear it has stopped manufacturing.
MarutiSuzuki;Gypsy;5 Dec 2018;R;3.0; Tours ;maruti Gypsy is no any other car that can be compare
MarutiSuzuki;Gypsy;27 Jul 2019;Mosz Diengngan;5.0; Occasional Commute | Tours ;Best in off-road & on road also
MarutiSuzuki;Gypsy;4 Apr 2019;ASHOK ROADWAYS;4.0; Family Car ;gypsy is best car in off-road vehicle
MarutiSuzuki;Gypsy;24 Jan 2019;Niranjan Thapa;2.3; Family Car ;i like it ,its offroad vehicle.
MarutiSuzuki;Gypsy;18 Jan 2019;Amar S;3.3; Occasional Commute ;Driving Gypsy for the last 10 years. It is a special car, not the one to be used for everyday commute. When you are kind a stuck due to snow, rain, slush, tough terrain only gypsy is there to rescue you.
