Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;Omni;21 Jun 2020;Amit Dev;2.7; Daily Commute;Bought Omni a few years back (sh), aiming for a multipurpose usage, as my work includes daily commuting and package delivery. Used this for multiple purposes and hasn't been disappointing giving it's performance constraints. Maintenance issues are frequent, as it's a sh car.
MarutiSuzuki;Omni;3 Dec 2020;Keshava N;3.0; Family Car | Tours ;overall its an average vehicle its safety is not at all good but for occasiona driving but toors its very uncomfartable its suspension is not good only front discs brake wiil work the back brakes are waste in high speed the car cannot be controlled easily
MarutiSuzuki;Omni;9 Apr 2020;Shidhdalinge..;3.3; Family Car ;ನಮ್ಮ‌ ಕೆಲಸಕ್ಕೆ ನಮ್ಮ ಅನುಕುಲಕ್ಕೆ ಸರಿಯಾದ ಗಾಡಿ ಒಟ್ಟಿನಲ್ಲಿ ನಮಗೆ ನಮ್ಮ ಕುಟುಂಬಕ್ಕೆ ಸರಿಯಾದ ಗಾಡಿ
MarutiSuzuki;Omni;4 Aug 2019;Mohamed Azar..;3.0; Daily Commute | Tours ;I have mini Van with Taxi Permit It's much lighter to drive and Good in narrow streets.
MarutiSuzuki;Omni;17 Sep 2019;Harendra Singh;3.3; Tours ;First of all it has more leg space than any other car under 3 lac price. Secondly you can easily in/out where other car can"t open the rear door at congested. High ground clearance and low maintenance cost
MarutiSuzuki;Omni;19 Aug 2020;;5.0; Occasional Commute | Family Car ;Great family car. Had lot of memories to cherish with.Now it got older, but the roar, compassion, driving experience all excellent. I really have appreciated an air conditioner model from Maruti.
MarutiSuzuki;Omni;28 Oct 2020;Arjun Pritha;4.0; Daily Commute ;Good car for luggage carrier, For single hand it's the best car, Instead of owning a bike, anybody can open this car with the cheapest price with the cost of bike maintenance.
MarutiSuzuki;Omni;4 Jan 2021;Harit Dasgupta;3.5; Daily Commute | Occasional Commute;My father purchased it when i was a engineering student. Now i am 45. This car served us for 26 years with 100% reliability. Great product from Maruti family.
MarutiSuzuki;Omni;16 Sep 2020;Amrut Atre;4.3; Daily Commute ;Old omni, a family budget car. Good with luggage also. 2006 model and still runs smooth. Love it. 75 thousand kilometers and hardly any maintenance cost.
MarutiSuzuki;Omni;3 Sep 2019;RUPAM BHATTA..;5.0; Daily Commute | Family Car | Tours ;IT IS A GOOD VALUE FOR MONEY. WE COULD CARRY HUGE LUGGAGE AS IT HAS LOT OF SPACE. GOOD STYLE AND VERY GOOD PICK UP. DRIVING COMFORT,HEIGHT AND ROAD VIEW IS EXCELLENT
MarutiSuzuki;Omni;12 Dec 2020;Yaashika Kot..;5.0; Family Car;If omni is fitted with a/c no one can beat this car in driving maintenance is very very low.Safety is less.I love my omni as my family.
MarutiSuzuki;Omni;3 Oct 2018;Glorious Events;3.3; Family Car ;Lowest costing car on earth with minimum maintenance and maximum seating capacity....we cant expect comforts and luxuries available in other cars for just 3lakh rupees ….ideal for big families with lowest budget
MarutiSuzuki;Omni;9 Dec 2020;Aakash Parihar;3.5; Daily Commute | Occasional Commute;Good for delivery goods and packages, low maintenance cost. Easy to drive in crowded areas as well as urban and rural areas.
MarutiSuzuki;Omni;13 Oct 2020;Bhaskar G;3.7; Family Car ;Overall good super family car but go slow, its upper big family car and I Am very happy with my car.
MarutiSuzuki;Omni;15 Nov 2020;Ranjan Moulik;5.0; Family Car ;Everything is fine.The all specis i like very much.But without airbags omni is little unsafe.But overall nice family car.
MarutiSuzuki;Omni;28 Dec 2020;Mohamed Kamal;4.3; Family Car ;Good, comfortable,and family vechicle.less maintaince,easy to handle,easily driving,multi purpose usage vechicle
MarutiSuzuki;Omni;16 Jan 2021;Asp Kumar;4.3; Daily Commute | Family Car ;Extordinary feautures and power mileaga pick up styling perfect for family use for commercial use for transportation
MarutiSuzuki;Omni;17 Sep 2020;Rafiq Sagar;3.5; Daily Commute | Occasional Commute;Very cheapest car in budget for middle class family for in budget and low rupees please i try for more than 5 years
MarutiSuzuki;Omni;11 Oct 2019;Jason Azariah;2.7; Family Car ;Good for the price. Very big on space. But is low on power and is a little bland to drive compared to the old omnis
MarutiSuzuki;Omni;8 Sep 2019;Arjun Pritha;3.7; Occasional Commute ;It"s a best car for family use in Bangalore... Instead of owning a two wheeler Omni will give a joyful experience..
MarutiSuzuki;Omni;17 Oct 2020;VG WORLD;4.2; Daily Commute | Occasional Commute;Very good car under 4 lakh best car buys in budget this car is used in everything like transport general store
MarutiSuzuki;Omni;22 Sep 2020;Shiva Prasad;4.3; Family Car ;It's good and comfortable but not safety Looking for new feature cars for family and looking for stylish car
MarutiSuzuki;Omni;today , 2:18AM;Yogesh Sharma;5.0; Daily Commute | Occasional Commute;Carnot inmy so want sell my car maruti omni van 2003 model car 8seater with lpg kit and petrol both start
MarutiSuzuki;Omni;19 Aug 2020;Alfaz Ashrafi;4.3; Family Car ;All documents clear fresh insurance 2 and owner 65000 running All tyres new show room condition 2016 model
MarutiSuzuki;Omni;22 Sep 2020;TIMES DIARY;4.0; Occasional Commute ;Light weight car. Good pickup.No starting or engine problem.Good for all weather.Very less maintenance
MarutiSuzuki;Omni;7 Sep 2019;Ravi Prasad;2.0; Daily Commute ;I had a great time with my car. But during summer it"s too hot & I don"t feel comfortable driving it
MarutiSuzuki;Omni;10 Dec 2019;Sachin Shelke;2.7; Family Car ;In my small budget, this is the only one family car, which is 8 seater but missing air conditioning
MarutiSuzuki;Omni;19 Jun 2020;Arambam Raje..;4.0; Family Car ;Medium, good ,reliable,comfortable,commercial low budget vehicle .best for middle class family.
MarutiSuzuki;Omni;15 Mar 2020;Manury Furtado;4.0; Family Car;great car had it for a very long time I'll keep it now thinking of an upgrade to breeza
MarutiSuzuki;Omni;30 Dec 2019;Bhaskar Mosa;2.0; Daily Commute ;Purchase bothe business and family, school , gym... And other things it has been used
MarutiSuzuki;Omni;14 Mar 2020;MohammedSami..;2.3; Occasional Commute | Family Car ;Yes especially when you need to bring groceries for home parties or private cargo
MarutiSuzuki;Omni;30 Aug 2019;Ritesh Rajoria;5.0; Daily Commute ;Best in sitting and driving more comfortable and good looking low cost maintenance
MarutiSuzuki;Omni;19 Nov 2019;Abhishek Tandon;2.0; Daily Commute;It have some electric Ishu s and with out a/c car in India will become horrible
MarutiSuzuki;Omni;7 Sep 2019;Bendang Imchen;2.7; Family Car ;Good for short trip with big family but in hilly areas its quite uncomfortable
MarutiSuzuki;Omni;12 Nov 2019;Vivek Dantkale;1.7; Occasional Commute | Family Car | Tours ;I used it as Loadcarrier too. Took it on worst roads. Satisfied with Omni.
MarutiSuzuki;Omni;2 Nov 2020;Aditya Koli;3.7; Family Car ;❤️ best car but no safety n best for only good drivers not for rough....................................
MarutiSuzuki;Omni;26 Jan 2020;Rohith Rahul;2.0; Family Car ;ok ok Oly DNT like dat much, we LL sale it to the show room,r exchange
MarutiSuzuki;Omni;15 Dec 2019;Lijo Ki;5.0; Family Car ;good condition good drive no maintenance showroom service good looks
MarutiSuzuki;Omni;3 Jul 2020;Jitendra Dulal;4.7; Daily Commute ;I have maruti omni van 2014 model. Maruti omni is very best vehicle.
MarutiSuzuki;Omni;7 Jul 2018;PRAKASH M;2.7; Family Car ;It was a good experience and also our first family car. even though the experience was just above average but it did give us good smile and joyful moments.
MarutiSuzuki;Omni;6 Sep 2019;Shone Dmello;5.0; Daily Commute ;Comfortable in driving, load efficient, less maintenance, good average
MarutiSuzuki;Omni;3 Jul 2020;Deepak Singh;4.0; Family Car ;Mileage is far better than new cars and it has lowest maintenance.
MarutiSuzuki;Omni;7 Jul 2020;Dr Amar;4.3; Family Car;spacious car.also lite weight. takes much minimum space on road
MarutiSuzuki;Omni;23 Apr 2019;Avnashg Gowda;3.3; Family Car ;Car *Weight and gauge is lighter compare to old omni and *very very slow pickup , *no AC*No Back window wiper cleaner*No Emergency light @ Breakdowns
MarutiSuzuki;Omni;23 Apr 2020;Prallove Patel;4.0; Family Car ;I buy omni van for family car and for family your and cargo
MarutiSuzuki;Omni;7 Sep 2019;Tarisha Narah;2.3; Daily Commute ;Ac recommendation, Very difficult to drive on summer season
MarutiSuzuki;Omni;7 Jan 2020;Prabhu Sujay;4.3; Family Car;Very nice and family car good mailage and midile class car
