Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;SX4;31 Oct 2020;Dhayaalan VR;4.0; Family Car | Tours ;Sx4 is the most underrated car of the last decade, Just like this decade fiat cars.It sports a 1586cc, 103.2bhp, Independent suspension, Abs disk breaks, Leather seats, Very high ground clearance and everything at just 7.47 lakhs unlike any other car of that time.It was the most luxurious yet a very affordable car that any middle class man might expect.Even the car of the year 2007 honda civic tho ugh had higher performance ratings didn't meet up with its comfort standards and suspension technology.It was always regarded as a failure model, But in our family it had been with us for 13 years now and its still gold, Except for the mileage which any car with over 200000 km travel would have ended up with.
MarutiSuzuki;SX4;7 Nov 2020;Manav Sharma;4.7; Daily Commute ;Sx4 is great in mileage if you running it in sequential fitted cng.As in comfort this is the best car in its older times.Even today also n performance you will get to know if you can catch me on delhi jaipur highway.Even new variant of verna can't beat the sx4 speed.
MarutiSuzuki;SX4;4 May 2020;Manmohan Kil..;4.7; Daily Commute ;At the time it was the Best car in the Maruti stable-; have earlier owned a Maruti 800(1984) and two Esteem (1996 and 2002 ) outstanding reliability and very low maintenance costs. My current SX4 has done 87000 Kms and still feels like a 3-4 year old car!!
MarutiSuzuki;SX4;3 May 2020;Tiwari ANup;4.7; Occasional Commute ;Bought pre-owned in 2018 as first car in my whole family proved to be reliable and trustworthy only downside is the mileage which is around 10,12 in petrol. Overall i love it every tym once i am on the driver's seat😉
MarutiSuzuki;SX4;18 Sep 2020;Prajeet Goswami;4.3; Daily Commute | Family Car ;The engine is the best part of this car 1.6L petrol which accelerates phenomenallyAnd the seating style in the rear is sofa style .i.e cornered seatsIt is a top model so it has autoclimate control A/C
MarutiSuzuki;SX4;9 Jan 2020;Sarthak Singh;2.7; Daily Commute ;I drive it everyday to my workplace but cant seem to find the comfort and features that i wanted in 2010 model but maybe i am comparing at the wrong place and now the maintenance cost is skyrocketing
MarutiSuzuki;SX4;14 Oct 2020;Thomas K;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Fantastic car at low rate and low maintenance driving and riding comfort.Safe vehicle.Very easy for long drive and not feel tied due to comfortable ac.I experienced a good vehicle from maruti.
MarutiSuzuki;SX4;14 Oct 2020;Pravin Kumar;4.7; Daily Commute | Occasional Commute;Good comfort, less maintenance, good interior space, comfortable seating, big luggage space, great driving experience, very good condition has run only 70000 kms in 10yrs.
MarutiSuzuki;SX4;29 Feb 2020;Anand Gokhale;5.0; Daily Commute | Family Car ;it's a awesome model, as mentioned in its advertised Men Is Back.Heavy and Sturdy, car will never loose control at speed even 140. which I tried. Fantabulus engine.
MarutiSuzuki;SX4;9 Sep 2020;Ravi Krish;4.7; Daily Commute ;Nice powerful vehicle with good grip on the road and easy to maintain. Mileage is remarkably okay,, suspension of the car as per Indian road condition is remarkable
MarutiSuzuki;SX4;6 Dec 2020;Kartik Vallioor;4.0; Daily Commute | Family Car | Tours ;Good so far and have no reason to sell it as it's fully paid up.No major maintenance issues i can think of.Take it to service regularly which helps.
MarutiSuzuki;SX4;11 Nov 2019;Pulkit Pawar;3.7; Daily Commute | Family Car ;Sx-4 Diesel model manufactured 2011 has been a very comfortable and a family car . Has served different purposes along with customer satisfaction.
MarutiSuzuki;SX4;14 Sep 2020;Manish Sriva..;4.3; Family Car ;I have good experience with my Maruti Suzuki SX4 zxi my car mileage and pickup is too good we can carry a lot of luggage in this car
MarutiSuzuki;SX4;19 Aug 2019;Mithun Tyagi;4.3; Family Car ;Performance is very good only facing issue with the mileage when driving on petrol. So i have installed cng kit and now its perfect.
MarutiSuzuki;SX4;30 Aug 2020;Nitin Puri;4.7; Daily Commute | Family Car ;Excellent highway stability. Very driveable in city also. Good engine / gearbox combo. Mileage could have been better, though.
MarutiSuzuki;SX4;23 Dec 2020;R Elankeeran;4.3; Family Car ;Car maintenance free.But spares not available.So i exchange this.But car is not compared to anyone(honda.Hyundai and tata.
MarutiSuzuki;SX4;25 Sep 2020;Ashish Sharma;5.0; Family Car ;Very good & very nice car, good comfortable.good running speed.good pickup,low maintenance,car sheet is very comfortable.
MarutiSuzuki;SX4;13 Sep 2020;Syed Thousif;5.0; Family Car ;Perfect car for small family its good condction car its luxury comfort perfect to drive and its run on lakh kilometre
MarutiSuzuki;SX4;18 Jan 2021;Gupta Majeti;5.0; Occasional Commute | Family Car ;I enjoyed lot, first I need very spacious car, then I purchased sx4 used car..I feel very happy even used car alsi
MarutiSuzuki;SX4;5 May 2020;Jvr sanjay;5.0; Daily Commute | Family Car ;Excellent car with unmatched performance in Segment. Highly recommended for continous long drives 1500km a day.
MarutiSuzuki;SX4;11 Sep 2019;Ranjeet Kumar;5.0; Family Car ;It"s a car which makes you feel like boss.. Seats are very comfortable even if you drive for long journey..
MarutiSuzuki;SX4;5 Jul 2020;Ujjwal 618;4.7; Daily Commute | Family Car | Tours;Great performance. Well maintained. Superb pickup and powerfull engine. Comfortable sedan at the best rate.
MarutiSuzuki;SX4;22 Nov 2019;Ramababa Chi..;4.3; Family Car | Tours ;It's very good model car with good boot space, higher driving seat,mileage and least cost of maintenance.
MarutiSuzuki;SX4;22 Nov 2020;Amol Chawathe;5.0; Family Car ;Robust, Sturdy and good looking.Can carry heavy loads as it has superb boot space.It's ac is powerful.
MarutiSuzuki;SX4;12 Sep 2020;Manmohan Singh;3.5; Daily Commute | Occasional Commute;Good car to buy this car was at New Delhi, Tipak Nagar, Sant Garh l. If you to buy please contact us
MarutiSuzuki;SX4;14 Dec 2019;Soumyajyoti Das;3.0; Family Car ;it's ok car but now this car is out of stock so i'm really disappointed about that....
MarutiSuzuki;SX4;5 Feb 2020;Rohit Bhalla;4.7; Family Car | Tours ;just fabulous car love to drive everything balanced and comfortable for long journey.
MarutiSuzuki;SX4;4 Oct 2019;Ghafoor Moha..;5.0; Daily Commute | Family Car ;Its a very powerful car. its safe and handles good and comfortable. its a family car
MarutiSuzuki;SX4;29 May 2020;Atul Bhatnagar;5.0; Family Car ;SX4 IS DOING SO WELL, IF I HAD NOT REPLACE IT WITH NEW CAR I WOULD HAVE CONTINUED.
MarutiSuzuki;SX4;6 Nov 2019;Kamal Piyush;3.7; Daily Commute ;It is good vehicle. However there is vision restriction while turning to right
MarutiSuzuki;SX4;2 Jun 2020;Harish Rangrej;5.0; Occasional Commute;it's more a luxury car, with awesome pickup and running without any problem.
MarutiSuzuki;SX4;11 Sep 2019;Narendra Sharma;4.3; Daily Commute ;अब इसके पार्ट नहीं मिल रहे हैं
MarutiSuzuki;SX4;9 Jan 2019;Shashikiran ..;4.7; Daily Commute ;The only Excellent car in Maruti's products along with Gypsy. Only missing things r abs, airbags. Please bring back this sedan in same form but with advanced safety.
MarutiSuzuki;SX4;23 Mar 2019;Sumit Choudhary;5.0; Daily Commute | Family Car | Tours ;Mileage and power is very nice and the most attractive is its good ground clearance ,its goes easily even is rural areas with some small bumpy and rocky roads.
MarutiSuzuki;SX4;25 Jan 2020;Vaibhav C;4.7; Family Car ;SUV in sedans clothing...great highway car...average mileage though.
MarutiSuzuki;SX4;6 Sep 2019;Nilesh Tiwari;5.0; Family Car ;Ultimate car, pleasent and safe travel, cool and comfortable driving
MarutiSuzuki;SX4;20 Jul 2020;AshwinSriniv..;4.3; Family Car | Tours ;Mileage of 12 km in Bangalore city traffic and 20-22 km in Highway
MarutiSuzuki;SX4;31 Oct 2019;Kishor Verma;3.7; Family Car;I am the third owner. Mileage is onnlower side but comfort is good
MarutiSuzuki;SX4;13 Jun 2020;Kunal Mandwale;5.0; Family Car;it well maintained, rooftop fitted,new tyres and full insurance.
MarutiSuzuki;SX4;12 Jun 2020;;4.3; Family Car;Overall car is best in terms of performance, control, comfort.
MarutiSuzuki;SX4;21 Apr 2020;Pragnya Chinnu;3.3; Daily Commute | Family Car;Overall performance is good ,, but car is some less stylish
MarutiSuzuki;SX4;20 Oct 2019;Clement Thap..;4.0; Daily Commute ;Lack new infortainment system like bluetooth and usb port
MarutiSuzuki;SX4;12 Dec 2020;Aqdas Khan;4.7; Daily Commute | Family Car | Tours;One of the best cars of its time and powerful enough!
MarutiSuzuki;SX4;15 Sep 2019;Vipin Kabadwal;4.7; Occasional Commute | Family Car | Tours ;Its an awesome car for all kinds of trips and terrains
MarutiSuzuki;SX4;29 Aug 2019;Jyotirmoy Go..;4.7; Family Car ;Maruti robs you everytime you take it to the garage.
MarutiSuzuki;SX4;6 Jun 2020;TULSI RAM;4.7; Daily Commute;Fully satisfied with the performance of my car Sx4.
MarutiSuzuki;SX4;8 Dec 2019;SIVAKUMAR C;4.7; Daily Commute | Family Car ;Very Spacious with sturdy body and good suspension
MarutiSuzuki;SX4;19 Sep 2019;Chetan Sureliya;4.0; Family Car ;It"s awesome in long journey it"s so comfortable
MarutiSuzuki;SX4;13 Jun 2020;Gour Krishna;4.3; Family Car ;Comfort no 1 less mileage everything is unparallel
MarutiSuzuki;SX4;2 Feb 2020;Bharath Chandra;3.3; Family Car ;Worst mileage 8kmpl in city and 10kmpl in highway
MarutiSuzuki;SX4;13 Nov 2019;Santosh Kolte;4.0; Family Car ;Good car of this, I feel comfortable with driving
MarutiSuzuki;SX4;19 Sep 2019;Gurazada Surya;4.7; Daily Commute ;Its awesome car but spare parts are not available
MarutiSuzuki;SX4;28 Feb 2020;Surender Kumar;5.0; Daily Commute;Very good experience for more than ten years,,,
MarutiSuzuki;SX4;1 Aug 2020;Ravi Babu;3.3; Family Car;not bad,avg mileage good pickup, good safety
MarutiSuzuki;SX4;1 Jul 2020;MANASH KUMAR;4.0; Family Car ;Very comfortable car. But without ABS or EBA.
MarutiSuzuki;SX4;15 Jan 2020;Anna Malai;3.3; Family Car ;7 years old car. So I want to buy a new car
MarutiSuzuki;SX4;10 Feb 2020;Palendra Singh;5.0; Family Car ;maruti Suzuki sx4 diesel bilkull ok gaddi
MarutiSuzuki;SX4;29 Jul 2020;Vikas Raghav;5.0; Occasional Commute | Family Car ;Good and comfortable also quite spacious
MarutiSuzuki;SX4;14 Mar 2020;Gajendran K;4.3; Daily Commute | Family Car ;Excellent car for Family and Individual
MarutiSuzuki;SX4;16 Aug 2019;Patel Harsh;3.0; Family Car ;Best car but maintenance is so costly
MarutiSuzuki;SX4;1 Apr 2020;Sivakumar C;4.3; Daily Commute | Family Car ;Very Spacious and sturdy with safety,
MarutiSuzuki;SX4;10 Jun 2020;Tejas Dalvi;4.3; Occasional Commute | Family Car | Tours ;mileage is the concern rest is best
MarutiSuzuki;SX4;23 Mar 2020;Akshay Pandit;4.7; Family Car ;Amazing experience !Car is smooth.
MarutiSuzuki;SX4;8 Apr 2020;Divya Sharad..;5.0; Occasional Commute | Family Car;Best car for highway drive 😁...
MarutiSuzuki;SX4;12 Jan 2020;Wajid Sheikh;5.0; Family Car ;not now.. i am feeling Sleepy..
MarutiSuzuki;SX4;29 Dec 2019;Pranaw Kumar;4.0; Family Car;Great comfort with less mileage.
MarutiSuzuki;SX4;25 Sep 2019;Neithor Miario;4.0; Family Car ;Easy to drive,seat comfortable.
MarutiSuzuki;SX4;14 Jul 2019;Hrithik Sharma;4.7; Family Car;suzuki has been reliable always and SX4 is one of the toughest car i ever had with this great body and durability ♥
MarutiSuzuki;SX4;22 Dec 2019;Kalyan Saikia;5.0; Family Car;Very safe and comfortable car
MarutiSuzuki;SX4;16 May 2020;Vaibhav Patil;4.7; Family Car;My Family Lucky Charm😇
MarutiSuzuki;SX4;2 Jul 2020;Saurav Ghosh;4.3; Family Car ;It's a strong built and nice car. Since my use is less the average don't bother me.Powerful engine wide tyres and great stability makes it a very good highway companion. Spares and service are not an isuue and you can get all spares
MarutiSuzuki;SX4;2 Jun 2020;TobbyBaby Th..;4.7; Family Car ;I love this car and have more space inside and comfort to drive.
MarutiSuzuki;SX4;18 Jul 2019;BOSE MUTHU;4.7; Family Car ;11 years old car. Still it is in good condition like a new one. Some time I thought to chance this car. But , i could not find any remark except my car is old.
MarutiSuzuki;SX4;14 Jun 2019;Chinmoy Khound;4.7; Tours ;Very safe car,good ground clearance,big tyre, awesome to drive,handling is perfect,boot space is huge..
MarutiSuzuki;SX4;26 Apr 2020;Dilraj Brar;3.3; Family Car ;Very nice car
MarutiSuzuki;SX4;27 Jan 2019;Jagjeewan Mehra;4.0; Daily Commute | Occasional Commute | Family Car | Tours ;I have SX4 CNG version, overall i am very happy to own this car due to its performance and comfort.
MarutiSuzuki;SX4;26 Nov 2018;Jay Martolia;4.3; Family Car ;The Car is very Much Good & powerful Bt the only thing I didn"t like is it"s Too Fluffy by looks
MarutiSuzuki;SX4;13 Aug 2019;Mohit Kumar;2.3; Family Car ;Long sedan loving it And zxi 1600 CC super car
MarutiSuzuki;SX4;14 Mar 2019;Rajan Piellaii;5.0; Daily Commute ;Lovely car with good ground clearance low on maintenance using it from the last 13years
MarutiSuzuki;SX4;20 Feb 2019;Shivansh Sri..;4.7; Family Car ;Very powerful, had a lot of features according to the time it was launched! Lovely car!
MarutiSuzuki;SX4;3 Feb 2019;Deepak Kumar;4.0; Daily Commute | Tours ;Powerful and big car with small car feeling and handling and almost maintenance free
MarutiSuzuki;SX4;10 Mar 2019;Naresh Kumar;3.7; Family Car ;Xcellent super nice comfort I like it very much how far u go it"s good u all try
MarutiSuzuki;SX4;26 Jan 2019;Suresh Sharma;4.7; Family Car ;Nice, silent engine, good looking body spacious room and good service of Maruti
MarutiSuzuki;SX4;20 Jul 2019;Unise Shah;4.7; Daily Commute ;Simply I love my car, I think this is the best car I have ever seen
MarutiSuzuki;SX4;3 May 2019;Pradip Pillai;3.7; Daily Commute ;Good car, sturdy 200000 kms and still going good with cng from day 1
MarutiSuzuki;SX4;6 Feb 2019;Nimesh Nimesh;5.0; Occasional Commute | Family Car ;its a good car for family, but in big size, so not for all drivers
MarutiSuzuki;SX4;8 Aug 2019;Govardhan Pa..;4.7; Occasional Commute | Family Car ;It"s only the best big car from Maruti
MarutiSuzuki;SX4;26 Dec 2018;Nilesh Kadam;4.3; Family Car ;Its a good car for family. Safe for long drive also
MarutiSuzuki;SX4;26 Apr 2019;Vicky Kaushal;4.7; Daily Commute ;Great experience with my sx4 And awesome mileage.
MarutiSuzuki;SX4;13 Feb 2019;Jay Prakash;5.0; Daily Commute | Family Car | Tours ;I"ve three car but sx4 is nice car in comfirt
MarutiSuzuki;SX4;25 Oct 2018;Pushp Kumar;4.3; Daily Commute ;Good performance in terms of speed and power
MarutiSuzuki;SX4;12 Jan 2019;K V;4.3; Daily Commute ;Very Good car specially safety and comfort.
MarutiSuzuki;SX4;27 Nov 2018;Damodharan K..;4.3; Occasional Commute ;Super car, I like very much. No breakdown
MarutiSuzuki;SX4;2 Jul 2019;Prashant Tit..;2.7; Occasional Commute | Family Car ;Very costly maintenance..low mileage
MarutiSuzuki;SX4;25 Jan 2019;Ujjwal Rai;3.7; Family Car ;Long body hard to find parking space
MarutiSuzuki;SX4;4 Aug 2019;Thomas Isaac;4.7; Family Car ;fully satisfied,great comfort,good control, a little more legspace for the rear seat desirable
MarutiSuzuki;SX4;15 Mar 2019;Devidas Jojare;4.3; Occasional Commute | Family Car ;Very good pick up due to 1586cc
MarutiSuzuki;SX4;23 Jun 2019;Ritik Sharma;5.0; Daily Commute | Family Car ;Nice car . Its now getting old
MarutiSuzuki;SX4;5 Jul 2019;Arti Negi;3.3; Daily Commute ;Good experience over the year
MarutiSuzuki;SX4;5 Jul 2019;Naveen Dubey;3.0; Occasional Commute | Family Car ;The only thing worth mentioning is comfort. Look wise it is also good.
