Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;VitaraBrezza20162020;13 Jan 2020;Zozo Zoe;4.3; Tours ;I really had a superb experience with my vitara. Although offroading was a tough on it went pass through it while tearing off my lower body guards. Everything is excellent with the brezza but a little weak in performance on hills other then that it really cruises around on perfect soiled roads. One thing I would like to see on future upgrades is the ground clearance with 200 mm, with bigger alloy size like 17 inch, rear boot space should be expand by increasing length width breadth of the car while adding more bold looks like the old grand vitara with sunroof led tail lamps offering LCD touch and keyless on 2nd top models and not only do plus options. The rest its perfect
MarutiSuzuki;VitaraBrezza20162020;22 Feb 2020;Mangesh Pada..;4.3; Daily Commute | Family Car ;Good car to drive in city as well as on highway, I have zdi model, it misses out on one featus automatically folding mirrors witch I think would be handy in heavy city traffic but it has good visibility please and also has a big mirrors to have good view behind. car is also good to drive on long route and it's very comfortable, but if your are a kin drive you will come to know that it's under powe r in ghats section, and also feel a bit nurvousness at higher speeds more then 120km because the staring becomes lighter and shakes a bit on a minar road patches. but it has a good bild quality and also has a good mileage of 24kmpl if driven properly😁.
MarutiSuzuki;VitaraBrezza20162020;17 Dec 2020;Gourab Kundu;4.3; Daily Commute | Family Car | Tours ;Best car in terms of price.If some one maintain the car it will give the best performance.Overall handling is very good.Comfort is descent.Mileage is the best part, Maximum mileage we achived 28kmpl.Overall good car.I changed all the four tyres at 1lack + kms.The stock tyres lasted 1lack + kms.As per the service centre we have to change the timing belt at 1lack + kms.One suggestion for every brezz a owners: refuel the car before the warning light turns on because if you run the car at low fuel it will damage your high pressure pump which costs around 40, 000.
MarutiSuzuki;VitaraBrezza20162020;4 Sep 2019;Alex Thomas;3.3; Family Car ;Faulty transmission from the very first day. Reverse and first gear noisy and gear slips in inclined road. Transmission system light goes on. Done only 9500 kms. The dealer admitted that it is a manufacturing defect. Thanks to the service manager of Popular Vehicles, Kottayam. Now in garage for complete clutch replacement. Don't know whether it will resolve the problem. Disappointed about AMT syst em. Otherwise comfortable on road. Long journey gives 23 kms/lit with AC and in town 13kms/lit. Generally poor customer care services.
MarutiSuzuki;VitaraBrezza20162020;7 Feb 2020;Somtirtha Ba..;3.7; Daily Commute ;Convenient but the AGS/AMT is not robust . Sometimes it can’t figure out which gear to choose and overheats in bumper to bumper traffic 80% of the time . Worth considering only if it comes with a new engine and proper auto box (torque converter or cvt). My daily commute is 50kms from west to east Pune , ergonomics and features are good , mileage is decent but I’d be happier if the AmT didn’t keep overheating all the time prompting me to stop
MarutiSuzuki;VitaraBrezza20162020;14 May 2019;Shubham Kash..;1.7; Daily Commute ;Waste Of Money Engine is too much under powered even other brand small car have more powerful engines (totally under powered for such a big car)Poor build quality, Poor interior quality,Seats are too much hard and uncomfortable feels back pain in long drives.Suspension is too much stiff.Ride quality is pathetic even maruti 800 is better than this .rear passenger may get dead in long journeys😂 a ll road surface feels in it.Maintenance of 8 -10 k for normal service and 10-15 k for major service is high for such a 3d class car. Average in normal driving conditions hardly gives 15 16 kmpl.To much rattles wind noise engine noise inside cabin, poor feel inside. Totally flop only looks, technically flop.....Totally waste of product not worth of 5 lakh even entry level cars are much better than this
MarutiSuzuki;VitaraBrezza20162020;19 Jan 2021;Rk Rekha;4.3; Family Car ;The car is good, The mileage is good, Comfort is good, Th e mileage depends how you drive, The car will be good if it get a sunroof, More features should be added if you go for brezza buy the top variant the prices also got increased in 2021, But the thing is the 2020 variant and 2021 variant are same not asingle change.You can also go for sonet, Xl6.
MarutiSuzuki;VitaraBrezza20162020;4 Nov 2019;Aditya On;4.3; Family Car | Tours ;Bought the Brezza Zdi+ variant. The car was a real fun to drive. The car was really cool with its looks and the mileage it delivered. Good for 4 people in cabin. The car really has a good riding position as the driver can easily have the view of the end to end view of the bonnet. That looks awesome. Do buy this if you prefer a fun high profile ride.
MarutiSuzuki;VitaraBrezza20162020;5 Nov 2019;Sunjeet Bhadana;3.3; Daily Commute;Before 2nd service no issues. After my 2nd service, I observed that the pickup had gone completely. Next day again car sent with the complaint to service. Issue detected clutch worn out. They are replacing it for free. However, it is disappointing and I am apprehensive about the future of brezza AMT as a model. AMT seems to have a reliability issue
MarutiSuzuki;VitaraBrezza20162020;17 Sep 2020;Gamer Or;3.0; Family Car ;The company claims of 24+ mileage but it gave only 16-18 mileage on highways and 13-16 on common roads but i am happy with the car as it's external and internal looks and it's mechanical alloy wheels and a 1246 cc powerful engine with 5 speed manual transmission and overall I am happy with the car. Thanks to Maruti Suzuki!!
MarutiSuzuki;VitaraBrezza20162020;24 Nov 2019;Harshit Garg;5.0; Daily Commute ;I had a swift earlier then I wished to buy a compact SUV and I thought of this car. The overall performance and mileage of the car is just awesome,Being larger than swift it offers more mileage. Only thing that need to be improved is the quality of the dashboard. I m a happy Maruti customer.☺☺
MarutiSuzuki;VitaraBrezza20162020;29 Jun 2020;Prajodh Menon;4.3; Family Car | Tours ;Vitara Brezza is meant for long distance drives. Quite stable and can comfortably cruise to 120 continuously with a decent mileage. 26.4 kmpl, is the mileage which i have benchmarked in my Pune-Bengaluru-Palakkad trip for the last 2 years at a nice constant speed of 100kmph. Awesome!!
MarutiSuzuki;VitaraBrezza20162020;20 Feb 2019;Hrithik John;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;As the name says brezza is a beast on the highway it gets to triple digit speeds quite often very quickly. Driving in a ghat or curvy road is delight as the car has a lot of grip and stablity in in the city if you go through narrow streets then it gives you an alround proper visiblity and the ground clearance of mammoth 200mm is great as you don"t need bother about road beneath you. If you have a go anywhere attitude then this should be your pick and also the tax benefits too help in giving it an edge over its competition.
MarutiSuzuki;VitaraBrezza20162020;11 Aug 2020;Dushyant Jaat;2.7; Occasional Commute ;अच्छी कार है इसका स्पेस बहुत ही ज्यादा है किस्मत ही चलती है मैंने जीबी की बात करें तो जहां तक माइलेज भी ठीक है
MarutiSuzuki;VitaraBrezza20162020;6 Oct 2018;Himanshu Nij..;4.3; Daily Commute | Family Car ;What i LikeAMT is surprisingly very smooth infact might be best in segment.Very Comfortable driving experience Interior can be better in terms of design but its very very practical in terms that everything is in reach of a Driver.Good All round view outside = less stressEngine is refined with decent performer.What i would like to improve / Add1) Add premium feel inside cabin2) Noise cancelation in side cabin3) Sunroof and cruise control4) More engine options like Hyundai.Overall a complete value for Money product
MarutiSuzuki;VitaraBrezza20162020;8 Apr 2020;Amrit Chahal;2.0; Daily Commute;CAR ME SABSE BADI PROBLEM HAI. GAADI JAB CHALTI HAI PICHE SE ISKA SILENCER NICHE LATKA HUA REHTA HAI HAMESHA .....HAR GAADI ME......FIR BHI LOG ISE LE RAHE HAIN.......SILENCER NICHE LATKA HUA REHTA HAI JO PICHE SE DIKHTA REHTA HAI......WHICH IS ENGINEERING DESIGNING FAULT
MarutiSuzuki;VitaraBrezza20162020;13 Nov 2020;Sridharan S;3.3; Daily Commute ;1.Comfort -still driver seat couldn’t able to adjust more, 2.Body needs to bit higher from ground level.3.Vxi models should have arm rest, Cruise control, Fog lamps, Touch screen etc.4.Poor accessories and no radial rim.5.Seat not comfortable rear side, To be 40 /60.
MarutiSuzuki;VitaraBrezza20162020;19 Jun 2019;Joseph Amalraj;4.3; Occasional Commute ;Feels comfortable on bumpy roads. Good infotainment features including speaker quality. The Zdi+ variant covers many features and so there is no need for spending extra money on accesories. The doors are lightweight. I prefer heavy doors safe in case of impact from.side. Dashboard material is flimsy and very low quality. GPS is voice activated and cannot enter key words by typing. Pick up is not t o the expectation. Good for family inside city drive, less maintenance cost and good fuel efficiency.
MarutiSuzuki;VitaraBrezza20162020;10 May 2019;Kuldeep Singh;4.7; Daily Commute | Family Car | Tours ;गाड़ी 10 लाख में ठीक है। माइलेज हाईवे पर 24 तक का देती है। सिटी में भी ठीक ही है 18 तक। जितनी बाहर से शानदार है उतना अंदर से मजा नहीं आता। अंदर आल्टो जैसी है। माइल ेज और resale में इसकी कोई टक्कर नहीं।
MarutiSuzuki;VitaraBrezza20162020;20 Sep 2020;Tennyson D;4.0; Family Car;i like how it looks,the mileage,the ground clearance, the price,the interior is simple and big enough for us but the engine is not strong enough for a hilly area and as compared to its price like the top model i don't find its safety is that much safe...
MarutiSuzuki;VitaraBrezza20162020;9 Oct 2020;Jagjot Singh;2.7; Daily Commute | Family Car ;the car is ok to drive, the rattle noise of the plastic is just unbearable. The features are not that much appealing. At the price point of 10 lacs one can expect touchscreen, indicators on sideview mirrors. Overall an average car
MarutiSuzuki;VitaraBrezza20162020;2 Oct 2020;Shivam Dubey;5.0; Daily Commute | Occasional Commute;Meets up all the needs in style. Engine power is quite good for all the situations. I own an automatic version which is fantastic to drive as it removes the clutch tension,. additionally gives option to switch gears manually too.
MarutiSuzuki;VitaraBrezza20162020;22 Oct 2019;Vinay Saraswat;3.0; Daily Commute ;With an engine of 1.2 L the SUV feels like under power. Built quality is extrem poor. I would suggest to go with i20 instewd of Brezza or go with Eco sport or Hyndai Venue if you can go with a little higher budget.
MarutiSuzuki;VitaraBrezza20162020;20 Dec 2020;AMARJIT SINGH;4.0; Family Car | Tours ;All door closed mechanism is very poor and riding on rough road is poor, Like different type of interior and exterior noises are heared and loose the control while fast driving.Otherwise the car is very good.
MarutiSuzuki;VitaraBrezza20162020;28 Dec 2020;Vijay Tripathi;5.0; Family Car ;Good,for safety from car thieves,becoz earlier my top model scorpios11 has been stolen on 16th march,20, brezza is smooth, less noise,less maintenance,and the main is safety features are too good
