Company;Model;Date;User;Rating;Usage;Review
MarutiSuzuki;WagonR20012018;18 Jan 2019;APURVA RAI;3.0; Family Car ;Before deciding to buy WagonR I owned a Maruti 800. The "people"s car" brought many cheers in the family just like it has been doing for decades. After initial happiness we felt this is not sufficient for us and the reasons were many.We zeroed in for WagonR for various reasons. First and foremost was height. Tall boy concept made stepping in and stepping out much more easier than the M-800. Second ly, height provided better outside view particularly the driver.Second reason was large cabin. Once inside the vehicle you felt as if you are traveling with your family in a small compact room.Third factor was boot space. M-800 was good for city drive and your everyday shopping needs but not when you were travelling to another city with the entire family and the luggage. This is where WagonR suited most. Better boot space means you can attend a wedding in another city with your family.Even though I never admired the looks of WagonR I decided in its favour because of some useful reasons it offered.Even today I do not regret buying WagonR as it has given me great company and added an important symbol of status to my life.WagonR with 1.1 litre engine is better on highways than city. While driving in the crowded city like Delhi/NCR with air-conditioning on it is nightmarish to look at the petrol guage. However the vehicle is thrifty on highways. Even servicing is not reasonable. Labour cost, spares etc make sure you end up paying a good amount.As my needs have gone up I do not find its boot large enough to meet my expectations. One large suitcase and then it"s full leaving you worrying for more adjustments. I also felt that WagonR should have been fitted with larger and wider wheels for added safety.On an average this is a good first vehicle or a second family vehicle.
MarutiSuzuki;WagonR20012018;18 Oct 2020;Ajay Chauhan;4.0; Daily Commute;Wagon R was my good companion. I travelled in my Wagon from Delhi to Manali then Rohtang pass in single stratch. I also travelled in Kashmir with my Family.Day 1 Stayed at Patni Top, Day 2 stayed at pahalgaon and visited Chandanwadi.Day 3 stayed in Gulmarg travelled via Srinagar and came back to Delhi without any trouble. I visited with my Family Nainital no of times.I am very happy with performan ce of my wagon R.
MarutiSuzuki;WagonR20012018;31 Mar 2020;Vikas Gujar;1.7; Occasional Commute ;Recently all of a sudden while driving the connecting rod of one of the piston broke and it damaged the engine block and oil sump. Maruti did not support and inspite of regularly servicing in Fortpoint this happened and I had to bear the engine replacement expenses from my pocket.
MarutiSuzuki;WagonR20012018;16 Nov 2020;Hradesh 1;4.0; Daily Commute;it is very nice fuel economy best in low budget car, very convenient and well preformed car for log drive and daily travel, i have travelled so many long drive location like in hill and all, travel with this car 700 to 800 km continues so from my side it is bestest car for me.
MarutiSuzuki;WagonR20012018;11 Dec 2019;Ankit Agarwal;2.3; Family Car ;Quality of material inside and outside is sub standard though the main advantage with maruti cars is it can be serviced anywhere on road by anyone. Dashboard, Looks, Feel everything is very ordinary with the car erodes its own quality in 2 years or so.
MarutiSuzuki;WagonR20012018;18 Jan 2021;;3.3; Daily Commute;Our first car in the family.Owned in 2015 november.A small family value for money car.Love my waggie.But iam not that satisfied in its safety and build quality.I think its poor,need more improvement.
MarutiSuzuki;WagonR20012018;27 Dec 2019;Sethu Hari;4.0; Daily Commute | Family Car | Tours ;I bought this car in March 2016 and it has already clocked 81k km. It has been a wonderful journey with this car so far and I am looking forward to upgrade to a more futuristic/featuristic car soon.
MarutiSuzuki;WagonR20012018;11 Dec 2019;Abhishek Kole;4.3; Family Car ;A good car.. Rev happy engine, peppy performance, good top speed, extreamly smooth and torque engine., problem of body roll is very prominent
MarutiSuzuki;WagonR20012018;10 Sep 2020;Rajat Bijur;3.3; Daily Commute ;very average car. Advantage is the low maintenance cost and ease of driving. Disadvantages- Feels underpowered at lower rpms and on slopes.
MarutiSuzuki;WagonR20012018;3 Jan 2020;Abhishek Kumar;3.7; Daily Commute ;Good economy compact car with nice packaging of all basic features. Spacious given it's small footprint. I give a 4 🌟 rating.
MarutiSuzuki;WagonR20012018;30 Oct 2020;Vivek Ravi;1.7; Family Car;for a middle class family wagon r is cost worthy.but the performance ,safety and comfort is utter rubbish for this vehicle
MarutiSuzuki;WagonR20012018;4 Mar 2020;Rohit Kapil;3.7; Family Car ;family car and 1000 cc is enough where you are experiencing good mileage too. no sharp turn but turning radius is good.
MarutiSuzuki;WagonR20012018;27 Jun 2020;Arsh Barbhuiya;4.0; Daily Commute ;I completely changed graphics of my car... Check @arsh_barbhuiya on Instagram i made my wagonr a stylish sports car..
MarutiSuzuki;WagonR20012018;21 Nov 2020;Saurabh Choksi;3.3; Family Car;Happy with car performance but average is concern as getting around 18 - 19 which not match to maruti reputation.
MarutiSuzuki;WagonR20012018;15 Jan 2020;Jagannath Rao;3.3; Occasional Commute ;good& excellent experience. should provide ac vents for second row people. which is must in city road conditions.
MarutiSuzuki;WagonR20012018;25 Sep 2020;Mohamed Ghouse;5.0; Daily Commute | Family Car | Tours ;The best hatchback cars in the business. I love my wagonR. Good mileage of 17kmpl with low maintenance cost.
MarutiSuzuki;WagonR20012018;12 Dec 2020;Ashish Mishra;4.7; Family Car;Very nice car. Suitable height for me. Comfortable on any road. A perfect Family car with lots of space...
MarutiSuzuki;WagonR20012018;15 Apr 2020;Malik Amin;3.0; Occasional Commute ;very good city car with minium cost and vey good in space but confoft and safety is zero
MarutiSuzuki;WagonR20012018;5 Nov 2020;Guru Pandya;4.7; Occasional Commute | Family Car;this is best car for 5 person family but as we know maruti won't give any air bags ,,,
MarutiSuzuki;WagonR20012018;1 Jan 2020;Devendra Jatov;4.0; Occasional Commute ;it's a nice car,mid range price, vxi model is really value for money...I love my car.
MarutiSuzuki;WagonR20012018;14 Jan 2021;Surangam Cha..;4.3; Occasional Commute | Family Car | Tours;Awesome experience! Seat height and ground clearance is perfect for Indian roads.
MarutiSuzuki;WagonR20012018;11 Feb 2020;Sakharam Nar..;4.0; Daily Commute | Occasional Commute | Family Car ;WagonR is good car. this car is very efficiant and it is very use ful for family.
MarutiSuzuki;WagonR20012018;7 Feb 2020;Owais Ansari;4.7; Daily Commute | Family Car ;This Car was purchased by my Father because he wanted a good 5 Seater Family Car
MarutiSuzuki;WagonR20012018;9 Dec 2020;Mukesh Deshmukh;5.0; Family Car;full on satisfaction with wagonr such a nice family car it's a decent hatchback
MarutiSuzuki;WagonR20012018;16 Aug 2020;Naveen 6407;3.3; Daily Commute;It was a budget car. And my small family spends 7 years in my this first car
MarutiSuzuki;WagonR20012018;31 Mar 2020;Yash Sharma;4.7; Daily Commute ;nice experience. great mileage. light weight body good performance in city.
MarutiSuzuki;WagonR20012018;22 Jan 2021;Anuj Ranjan;3.0; Daily Commute;Good car for township travel but no safety and built quality is very poor.
MarutiSuzuki;WagonR20012018;3 Jun 2020;Madhani Dham..;4.0; Family Car;very lucky that'll last 8 year use this car but no any problem in journey
MarutiSuzuki;WagonR20012018;12 Apr 2020;Matthew Kuru..;3.3; Daily Commute ;A ideal proven car for city. Easy to drive and park in congestive places
MarutiSuzuki;WagonR20012018;30 Jul 2020;Kaustubh Wani;3.7; Family Car;When AC is on it affects on pickup of car. Overall performance is good.
MarutiSuzuki;WagonR20012018;25 Oct 2020;Balaraju 30;5.0; Family Car;good family and also comfortable car for middle class family people's
MarutiSuzuki;WagonR20012018;23 Apr 2020;Mohammad Auw..;2.0; Occasional Commute | Family Car ;Tin can2 star ratingPoor pickupGood reliable engineWaste looks
MarutiSuzuki;WagonR20012018;15 May 2020;Sushant Meher;2.3; Family Car;except mileage and height of vehicles, nothing impressive ..
MarutiSuzuki;WagonR20012018;3 Aug 2020;Paresh Adhikari;1.7; Occasional Commute | Family Car;Ground clerence is not satisfactory, and body is very poor.
MarutiSuzuki;WagonR20012018;12 Dec 2019;Ravinandan P..;4.7; Family Car ;tyre size and ground clearance should be bigger and higher
MarutiSuzuki;WagonR20012018;30 Mar 2020;Rakesh Pratap;4.0; Occasional Commute | Family Car ;very comfortable car on long drives. Good airconditioning
MarutiSuzuki;WagonR20012018;14 May 2020;Auto Verse;2.7; Daily Commute;I think I had made a big mistake But its good in traffic
MarutiSuzuki;WagonR20012018;3 Sep 2020;Darshan Chinnu;5.0; Family Car;my car is in showroom condition all documents running
MarutiSuzuki;WagonR20012018;20 Apr 2020;Dipak Popli;3.7; Occasional Commute ;it's a good time deal for the middle class family.
MarutiSuzuki;WagonR20012018;20 Aug 2019;Rejith Ravi;5.0; Tours ;Good car at low maintenance and at affordable prices
MarutiSuzuki;WagonR20012018;25 Aug 2020;Shashi Das;4.3; Daily Commute;very good car with no any problem and maintenance.
MarutiSuzuki;WagonR20012018;25 Aug 2020;Rajendran M;4.0; Occasional Commute;Excellent performance. Never faced any problem.
MarutiSuzuki;WagonR20012018;5 Jun 2020;Shubham Bane..;5.0; Occasional Commute | Family Car | Tours ;good car only driven 13,000 kms smooth running.
MarutiSuzuki;WagonR20012018;7 Feb 2020;S K;4.7; Occasional Commute ;want to sell and bye a new one with BS6 version
MarutiSuzuki;WagonR20012018;8 Nov 2020;Jay Patole;4.0; Daily Commute;perfect city car but , not so good on highways
MarutiSuzuki;WagonR20012018;21 Oct 2020;VIRAL JADAV;5.0; Daily Commute | Occasional Commute | Family Car | Tours;best vehicle for family..confertable vehicle..
MarutiSuzuki;WagonR20012018;20 Jan 2019;Sk Mathew;3.3; Family Car ;Every time repair not happy twice changed clutch plate and gear cable and not happy with the performance and I need to change the car
MarutiSuzuki;WagonR20012018;6 Jul 2020;Balan Km;4.7; Family Car;It is so good and in need it it's red color
MarutiSuzuki;WagonR20012018;19 May 2020;Madhav Bhardwaj;3.0; Family Car;A good car for a small family and daily work
MarutiSuzuki;WagonR20012018;21 Apr 2020;Dhrishta Bhuyan;4.3; Daily Commute ;Sundar sasta tikau. good value for money....
MarutiSuzuki;WagonR20012018;20 Jul 2020;Ishan Kochhar;3.0; Occasional Commute;Tyres are very small w.r.t to the car size.
MarutiSuzuki;WagonR20012018;7 Jun 2020;Amit Teotia;2.0; Tours;this car is only for those want only mileage
