Company;Model;Date;User;Rating;Usage;Review
MercedesBenz;EClass;9 Jul 2020;Misal Anand;4.0; Family Car | Occasional Commute ;The car has a good road presence as it is long and wide. It is surprisingly easy to maneuver around bends and make tight U-Turns. The suspension absorbs all bad patches and makes the ride great. One can drive this car all day across the country and not feel tired.The engine has more than enough performance and versatility. In comfort mode, one can enjoy a smooth ride and in sports mode, the car ho lds gears longer and the whole experience becomes sporty.Since there are a lot of Electronics, the maintenance cost can run high if the car is not maintained or put in use. Buy it and use it is the funda here. The car is to be enjoyed and not kept as a showpiece in the garage
MercedesBenz;EClass;2 Sep 2020;Aatish hari;5.0; Family Car ;awesome luxury. Even performance is great. Mileage is adequate. Thanks to that V6 engine. I like that entertaintment package at the rear. The E 350d has crazy amount of luxury and spacioius. I would say it is a spacious Mid-Size sedan.
MercedesBenz;EClass;12 Nov 2019;Abhinav Shankar;4.7; Family Car ;Great ride. Fabulous engine. A smooth sail to get from point to point. Does very well on different contours of land as well as varying terrains, both dry and wet, equally well. Highly recommend the 2013 Mercedes E220 CDI.
MercedesBenz;EClass;25 Dec 2018;4K Squad;4.0; Occasional Commute ;Overall a very good car,has all sorts of features that will make this car the idea car for long rides.The transmission is nice but there can be lag between the first and the second gear.The tyres are small in diameter as per me for this long and huge car.The maintenance cost can be very high for people like me.
MercedesBenz;EClass;29 Aug 2020;KISHAN PRASAD;4.0; Daily Commute;Spare Parts and maintenance expensive. Authorized Dealers charge exhorbitantly, though under supervision of Parent Company.
MercedesBenz;EClass;17 Sep 2020;Jose Pious;3.7; Family Car ;excellent to drive and be seated in front,excellent service,only thing is discomfort in back seat,excellent road presence
MercedesBenz;EClass;12 Aug 2020;Dhiraj Kalita;4.7; Family Car ;Good and reliable car with quite a comfort. Mileage is ok. Utmost care of safety is taken into consideration.
MercedesBenz;EClass;12 Mar 2020;A R;5.0; Occasional Commute ;I occasionally drive long distance and I found the comfort and safety levels of the vehicle to be nice.
MercedesBenz;EClass;16 Sep 2019;Vivek Chorghade;3.3; Family Car ;Satisfied about overall performance.. Strong build quality, safety & road presence is awesome
MercedesBenz;EClass;12 Feb 2020;Manik Gopinath;4.7; Tours ;super stylish car and beautiful car to drive and good experience
MercedesBenz;EClass;7 Jan 2020;HEMANT DALVI;5.0; Family Car ;its a good car and i love it as its good to xrive
MercedesBenz;EClass;29 Jul 2020;JAF TECHNICS;4.3; Family Car ;GOOD IN CLASS SAFE JOURNEYGOOD DRIVIND EXCELLNCE
MercedesBenz;EClass;24 Jun 2020;Amit Sahu;4.0; Occasional Commute | Tours ;It's a Beast 🥰, a roaring power Machine.
MercedesBenz;EClass;21 Jul 2020;Share Market;4.7; Family Car;luxury family sedan comfort and style
MercedesBenz;EClass;14 Sep 2019;Arzan Elchidana;2.7; Occasional Commute ;car is amazing but parts keep failing
MercedesBenz;EClass;17 Jun 2020;Jeren Dias;5.0; Family Car;It is a very great car to drive
MercedesBenz;EClass;3 Aug 2020;Arup Das;5.0; Occasional Commute ;It's a amazing car
MercedesBenz;EClass;31 Dec 2018;Rishabh Gupta;5.0; Family Car | Occasional Commute | Daily Commute | Tours ;Mercedes is really a car which gives us speed and performance and most comfortable yet I have discovered
MercedesBenz;EClass;7 Sep 2018;RYKE;5.0; Family Car | Occasional Commute | Daily Commute | Tours ;This car has been a personal favorite due to its great comfort and innovative safety features.
MercedesBenz;EClass;27 Mar 2019;Anand G;3.3; Occasional Commute ;sturdy, elegant,.just ok for status symbol.,
MercedesBenz;EClass;24 Feb 2019;Anand Kumar;4.7; Occasional Commute ;Very smooth and comfort , no comparison
