Company;Model;Date;User;Rating;Usage;Review
Mitsubishi;Lancer;15 Feb 2020;CHRONIC GAMERS;4.0; Daily Commute ;it's a good daily user car for rough usage and it also give a decent mileage which is more than enough and about features as it is a 20year old car it doesn't have much features and if we want some we can use aftermarket accessories to add features we desire. After all it's a 20 year old car, it's available in the used cars market from 70k. For 70k boom it's a good deal!! I've driven this for abou t 180k kilometers. Still running smooth.
Mitsubishi;Lancer;24 Sep 2019;Suresh Sanke..;5.0; Daily Commute ;The best car with least maintenance, I delayed selling it because after 16 yrs of use , still it is in excellant condition, I was waiting for updated Lancer car from Mitsubishi
Mitsubishi;Lancer;6 Nov 2020;Varghese Paul;4.0; Family Car ;Very controllable vehicle,very easy to drive,comfortable travelling,very powerful engine with extra ordinary torque,mitsubishi is amazing
Mitsubishi;Lancer;16 May 2020;Kenith Benjamin;4.7; Family Car ;Perfect muscle car if you modify it to the pro no new models can bear it I the performance not even Mercedes.. as I have dragged 😎
Mitsubishi;Lancer;16 Oct 2019;Sudip Mondal;4.0; Family Car | Tours ;Very comfortable for long journey.. redline stability superb.handling awesome..very Hardy car n built like tank
Mitsubishi;Lancer;18 Dec 2020;Christopher ..;4.7; Daily Commute | Family Car;When you drive this car. it puts a smile on your face with its best performance...
Mitsubishi;Lancer;12 Mar 2020;Harsha Vardh..;5.0; Daily Commute ;Very good car. body roll around corners are very minimum.worth more than its cost.
Mitsubishi;Lancer;17 Jan 2020;Sk Creationz;5.0; Family Car ;super ya good have these kind of car in india bcoz no more r there now a days
Mitsubishi;Lancer;11 Jul 2019;Abhijit Chat..;4.7; Daily Commute ;It"s a really good car. Front view is excellent and it has a very powerful engine. It has comfortable seats and can easily accommodate four people in the rare seat.
Mitsubishi;Lancer;21 Jul 2020;Sri Harsha;4.0; Occasional Commute;I love the car even at 170 I feel safe in the car very balancing
Mitsubishi;Lancer;17 Nov 2019;Jai Prakash;5.0; Tours ;a superb car which has been continued in the guise of ciaz
Mitsubishi;Lancer;29 Sep 2019;Service Kvmo..;3.3; Daily Commute ;Good in all the way. I like Mitsubishi product
Mitsubishi;Lancer;1 Oct 2020;Selvam Sekar;4.7; Tours;Love it a lot..Waiting for upgraded Lancer
Mitsubishi;Lancer;17 Jun 2020;Jeren Dias;4.7; Daily Commute;Nice car I had lambo door installed in it
Mitsubishi;Lancer;8 Nov 2019;Mazhar Khan;4.3; Daily Commute ;Very good nice pick up comfortably drive
Mitsubishi;Lancer;6 Dec 2019;Mohd Yusuf;5.0; Family Car;All is well no problem good experience
Mitsubishi;Lancer;23 Sep 2020;Jagmohan Singh;4.7; Family Car ;Excellent family car gives feeling of Mercedes as having wonderful road grip during slow and high speed.
Mitsubishi;Lancer;16 Nov 2018;Manoj Kumaar;4.3; Occasional Commute | Family Car | Tours ;One of those car that u never wanna let go. really durable parts. Pleasure to drive.
Mitsubishi;Lancer;24 Sep 2018;AMRIT TD;3.7; Daily Commute ;modified it , performance exhaust & k&n filter & other some modification
Mitsubishi;Lancer;7 Aug 2019;Urjamithra 78;4.3; Occasional Commute ;Very good safety and comfort...........
Mitsubishi;Lancer;16 Oct 2018;Hossam Deef;4.0; Daily Commute ;Very weak ,unsafe, bad material ,Spare parts expensive
Mitsubishi;Lancer;13 Jan 2019;Siva Senapathy;4.3; Family Car ;Lancer car is My favorite car always
Mitsubishi;Lancer;15 Oct 2018;Ubaidullha P..;4.3; Family Car ;Good Performance. Best sedan car
Mitsubishi;Lancer;19 Aug 2018;Saranya Senthil;4.7; Family Car ;Superb car
