Company;Model;Date;User;Rating;Usage;Review
Nissan;Sunny;14 Nov 2018;Hanshad Damo..;4.7; Daily Commute | Family Car | Tours ;Have been driving this Car for last four years. Started with avg mileage of 18 to 20 kmpl. But now after long drives of 150 to 400 km at a stretch and crossing 38000 km, this beauty has started giving 29 kmpl over highways and 23kmpl through city and highways and 16 to 18 kmpl in traffic choking cities.Has enough boot space to accommodate luggage for 3 members for any long trip,including stroller. . Rear seat leg space is big to hold additional luggage in upright position.. When it comes to overtake, just shift to 3rd gear and accelerate.. Feel the punch. Never seen this on honda brv or ciaz(cars I had driven on long trips).I just love it!!! At high speeds, steering gets bit tight giving you extra confidence. Also never felt that I drive a big sedan (in length). Its just driving like a Hyundai eon :). A great car to have.. Just test drive and look for safety features offered in budget price, if you plan to buy one. Only issue is with the dashboard near the steering making rattling sound. Got it corrected on last service but after a month, its back. Thanks to Kerala roads. If you have music playing loud, it shouldn"t matter though.Brakes could have been better like the one in honda brv. Overall a car that gives you adequate power, best mileage, better comfort (though body roll is there on hair pin curves) with safety not at all compromised....
Nissan;Sunny;23 Aug 2020;RAM LAKHAN;5.0; Daily Commute | Occasional Commute;Its a very much comfortable and love to drive car. It has a boot space of 450 liter. Leg space between the back row and front row is too much. Full comfort on long drives. Rear vents are good too. Engine of Nissan is so good that I cant describe it in my words. Its makes your more safe when you drive it on highway and do overtakes. If anyone love sedans then its my prefereable one.
Nissan;Sunny;27 May 2020;Rishabh Gupta;4.3; Family Car ;Performance is good mileage is great space is very huge in this car but features and looks are not good price is cheaper than other full size sedan
Nissan;Sunny;29 Mar 2020;Chandrasekar..;4.3; Family Car;Awesome performance. Based on proper maintenance, I am getting mileage upto 21kmpl. Great power pickup. 3 out of 5 for outer body and quality
Nissan;Sunny;21 Sep 2019;Chandra Khute;4.3; Daily Commute ;Big and spacious car, very smooth driving comfort, driving since last 7 years. Worth buying. more features can be added. Happy to buy it.
Nissan;Sunny;16 Jan 2021;SanthanaRama..;4.7; Family Car ;Excellent sedan.Waiting for next generation launch.Maintenance is cheap.Mileage in highways is much more good.Hussle free car.Reliable.
Nissan;Sunny;1 Oct 2020;Joshua Daniel;4.7; Daily Commute | Occasional Commute;Performance, mileage comfort and safety are bestSometimes feel glitch while gear shifting otherwise it is best in this segment
Nissan;Sunny;26 Dec 2020;Nipun Dave;4.7; Family Car ;The most spacious car in the segment just need to add some more technical additionGood if company add some more fancy fechers
Nissan;Sunny;22 Nov 2019;Akash Goyal;4.0; Daily Commute ;This car comes with best in class back seat comfort and leg space pickup is like a rocket and average is better than desire
Nissan;Sunny;10 Oct 2020;Ganesh Rajan;4.0; Daily Commute | Occasional Commute;Road experience very much in the way of the world and the people who have been in the vehicle, superb in experience
Nissan;Sunny;5 Sep 2020;Mankaran Singh;4.0; Family Car ;Good experience...i love this car and very spacious one ..it is very good for person who is travelling more
Nissan;Sunny;6 Dec 2020;Sandesh Dasari;4.0; Daily Commute | Occasional Commute;Nice car to travel inn due to maintanence cost it became caaaaaaaaaaaaar... Looks and safety is too good.
Nissan;Sunny;3 Sep 2019;Venkat N;4.3; Family Car ;except services everything good, mileage also avg. we can't expect more than this
Nissan;Sunny;13 Dec 2019;Kistam Shobha;4.7; Daily Commute ;good vehicle for daily and occasional use . gives good millage. good ergonomic vehicle
Nissan;Sunny;19 Oct 2019;Hemant Dutt;4.7; Occasional Commute | Family Car ;Very specious and long with smart looking car. IMPRESSIVE AS DRIVER CAR LEKAR AAO.
Nissan;Sunny;30 Oct 2020;Loyal Soldiers;4.7; Occasional Commute;overall performance is best for family travel & good in comfortable in long drive
Nissan;Sunny;11 Nov 2020;Rakesh Pachauri;5.0; Daily Commute;best car ever owned. High on performance, low on Maintainence and great mileage.
Nissan;Sunny;11 Dec 2019;Santosh Kumar;4.7; Daily Commute;One simple word, excellent . Bought this car in September,2019, excellent car
Nissan;Sunny;24 Apr 2020;Manoj Athalye;4.7; Daily Commute ;car is superb. only problem after sale service is not up to the mark.
Nissan;Sunny;15 Mar 2020;Vedant Singh;2.3; Daily Commute ;Good car but with old styling &very poor gear box &average ac cooling
Nissan;Sunny;21 Nov 2020;Abhijit Roy;4.3; Family Car;Very good in pick up and felt safety while driving at 170 kmph
Nissan;Sunny;12 Mar 2020;Bipin Mohan;3.0; Daily Commute ;A good family car, excellent fuel economy , outdated interiors
Nissan;Sunny;9 Oct 2019;Pravesh Dubey;5.0; Family Car ;Fully satisfied with sunny.great deal within this price range
Nissan;Sunny;3 Mar 2020;Sajjad Mohammed;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Great mileage and comfort at a very competitive pricing
Nissan;Sunny;19 Apr 2020;Sanjay Pathak;5.0; Family Car;Very comfortable for long drive & spacious for lougage
Nissan;Sunny;20 Nov 2020;Loganathan N;4.0; Family Car;Good Spacious Car Nice Mileage Neat And Decent Caar
Nissan;Sunny;22 Jun 2020;Ebrahimkutty..;3.7; Family Car ;Good performance, I am using about 1 month in year.
Nissan;Sunny;13 Jun 2020;Anurag Garg;4.3; Daily Commute;Car is good but need to update more dynamic design
Nissan;Sunny;31 Dec 2019;Jitendra Patel;3.7; Daily Commute ;Maintenance of tyres and brakes are dissatisfying
Nissan;Sunny;2 Jun 2020;Arijit Sinha;4.7; Daily Commute | Occasional Commute | Family Car | Tours;The geat box is disturbing and it is getting jam
Nissan;Sunny;28 Oct 2019;Xavier Ignatius;4.7; Daily Commute | Family Car;the resale value is a little below other sedans
Nissan;Sunny;25 Mar 2020;Pabin Pavithran;3.0; Family Car ;value for money , spacious, minimalistic
Nissan;Sunny;14 Feb 2020;Sreedhar Thu..;4.7; Daily Commute ;quite good vehicle WITH BEST performance
Nissan;Sunny;16 Nov 2019;ABHIJEET SHE..;3.7; Family Car ;Mileage not good,very disgusting Mileage
Nissan;Sunny;14 May 2020;Jithin Raj;4.0; Family Car ;Very good car.no issues
Nissan;Sunny;11 Apr 2020;ShahbaazSing..;4.3; Occasional Commute ;nice car if proper maintenance is done
Nissan;Sunny;27 Mar 2020;Vidya V;4.7; Family Car | Tours ;Using it for 7years not feeling unhappy
Nissan;Sunny;29 Jan 2020;Pardeep Vaid;4.7; Daily Commute ;Nice car but service part is poor.
Nissan;Sunny;20 Dec 2019;Raghotham Vu..;3.0; Occasional Commute ;It's good car with good mileage on
Nissan;Sunny;27 Dec 2019;Selvam Plm;4.7; Tours ;I like sunny so nice it's good
Nissan;Sunny;1 Oct 2019;Maheshwar Aitha;4.0; Daily Commute ;Air-conditioning is very poor.
Nissan;Sunny;16 Jun 2020;Bharath Panc..;3.7; Occasional Commute ;Good space comfort and mileage
Nissan;Sunny;2 Jan 2019;Astitva Mittal;3.0; Occasional Commute | Tours ;Not good if you live in Lucknow...as for its price, Nissan fails to deliver a decent service to its customers
Nissan;Sunny;1 Feb 2019;Rr B;4.7; Daily Commute ;It is value for money. Very roomy having very good leg space very comfortable when traveling long distances.
Nissan;Sunny;15 Sep 2020;RISHI BISWAS;4.0; Daily Commute ;It's has good boot space. Good milage,Built quality n safety features
Nissan;Sunny;19 May 2020;Jashim Mahmoud;3.7; Daily Commute ;it is good car
Nissan;Sunny;15 Jan 2020;;2.3; Daily Commute ;No
Nissan;Sunny;22 Feb 2019;Gamer Unknown;4.7; Family Car ;Superb car nice mileage nice comfort great stereo system, but interior design is average
Nissan;Sunny;24 May 2019;Abhijeet Singh;4.7; Daily Commute ;Tall people can ride , spacious and reliable & brilliant traction control system
