Company;Model;Date;User;Rating;Usage;Review
Nissan;Terrano;30 Jul 2020;Siva Ganesan;4.7; Daily Commute | Family Car | Tours ;Comfortable to travel with family. You can't race. Gets you average mileage of min 15 kmpl if you drive at 80 kmph.Stable, well balanced. In about 4 years with 45 k - Total cost on service incurred around Rs.50000/-. Some of the flaws in the lining could not be repaired by the service centre.Rear view mirror rattling and sliding down (esp if it is camera mirror) is perennial from day oe and cannot be fixed by the service centre.Difficult to drive in Highway when there is trace of water on the roads during rain. Water splashes on the wind shield and chokes your visibility.Head lights - not bright. - diffculty in driving during night in small roads
Nissan;Terrano;5 Sep 2020;Dr;3.7; Daily Commute ;7th year with this car. Pros- look, comfort, good performance.Power & performance will be almost near same as initial.Cons- Mileage has drastically decreased from 19 to 12.5 with 1,70,000/- KMS.Mentainance cost is too high. Poor resale value.Up gradation for the new cars is not satisfied in attracting new customers.
Nissan;Terrano;11 Oct 2020;Debjit Chowd..;3.3; Daily Commute ;Its a high maintenance & service cost car with good mileage if you have a diesel version & commute 50km+ in a day. Good Space , High Power , Low on Key features but compensate on safety satndards. Good for long drives on tough roads.
Nissan;Terrano;24 Sep 2020;Varkey Joseph;3.7; Occasional Commute | Family Car ;I like the car in outside view when it comes to the interior also it's dam good made with good strong plastics even the performance wise also is really good ... When it comes to the maintenance cost it does cost you a lot
Nissan;Terrano;25 Aug 2020;Hanso Zungkum;4.0; Daily Commute | Occasional Commute | Family Car | Tours;Having nissan Terrano was a very good choice for me too buy it is very comfortable and the safety is very good and it never gives us problem like stopping in the middle in the road
Nissan;Terrano;17 Oct 2020;RAMCHANDRA GADA;4.7; Daily Commute | Occasional Commute;Undoubtedly one if the best SUV, this is my review after 1 lac km. Nissan is not that successful in indian market but Terrano performance is rock solid
Nissan;Terrano;15 Sep 2020;Sajjad Khadri;4.3; Daily Commute | Occasional Commute;Good overall good mileage spacious and comfort but interior should habe been betterNissan should continue it
Nissan;Terrano;15 Aug 2019;Nilesh Pol;4.7; Occasional Commute | Family Car | Tours ;Happy with Terrano since 5 years. Very good in safety. Maintenance is with a pinch. Over all good experience.
Nissan;Terrano;17 Aug 2020;Pardeep Saini;4.5; Daily Commute | Occasional Commute;Best in class vehicle. Best in safety wise. Driving experience in very good. I own this from last 4 years.
Nissan;Terrano;16 Aug 2020;N U;3.8; Daily Commute | Occasional Commute;6 years with around a lakh of rupees total maintenance 80000km and going sturdy and amazing ride quality
Nissan;Terrano;17 Oct 2020;Raj Ahuja;5.0; Family Car ;Ossam I love my car very much it very comfortable I like to drive on highway the road gripe is very good,
Nissan;Terrano;31 Aug 2019;D JK;4.0; Family Car ;A powerful beast with elegance and comfort on its shoulder. A car with a lot of power comfort and style.
Nissan;Terrano;14 May 2020;Auto Verse;5.0; Family Car;This car is very nice. Good for long journeys but the only four people are comfortable
Nissan;Terrano;11 Dec 2019;Hakeem Haqu;4.0; Family Car ;good smooth driving and nice initial soft seat air conditioner very good
Nissan;Terrano;6 Mar 2020;Pawan Kumawat;5.0; Daily Commute ;Still company had not shown any upadate as compare to reno duster
Nissan;Terrano;17 Sep 2020;Arunesh Prasad;3.7; Occasional Commute | Family Car;84 ps option should not be available for an suv like terrano
Nissan;Terrano;13 Mar 2020;Venkat Krishna;3.3; Daily Commute ;Maintenance cost is too high and parts cost aldso too much
Nissan;Terrano;3 Apr 2019;Vivek Mahind..;3.3; Tours ;Major Features are missing inside the car. No space for keeping bottles. Leg space for rear seats too clumsy. Pick up very slow in second gear.
