Company;Model;Date;User;Rating;Usage;Review
Renault;Duster;14 Jul 2020;Kishan Singh;4.0; Occasional Commute | Tours;A great entry level suv. excellent ride quality, handling, control and comfort. only lacks in interior and accessories list which anyways can be fitted later, which I have done. I got fiited new covers, new music system with woofer, parking camera, new headlights and tail lights, tpms, Dash board camera, etccc. overall good value for money in this price range.
Renault;Duster;29 Apr 2020;Sharvan S;3.7; Daily Commute | Occasional Commute | Family Car | Tours;Good looking and powerful petrol engine. Driving comfort is good. Only main issue is rear seat ventilation. Duster is offering AC ventilation to front searter like driver and front seater. Ac is not coming to rear seat. But overall ground clearance is better than all cars. No tension while crossing big speed brakers.
Renault;Duster;23 Mar 2020;Madan G;2.3; Family Car;1.Upgrade new features 2. Upgrade new interview3.Add Central lockingThis three main problem for not good selling car Upgrade the features plz.. And plz.. to high ..So... Duster will be decrease in price And then what happen This main problem will be solve then car will sell excellentI hope solve their problemThanks
Renault;Duster;13 Feb 2020;Nikhilesh Aw..;4.7; Occasional Commute | Family Car | Tours ;It's a good family car for occasional long tours, due to its petrol version. That's why I bought it. On long tours mileage is quite good about 17 km/liter. Though on short city runs, it's low like 06kmpl, which is expected from big petrol cars.
Renault;Duster;1 Sep 2019;Afzal Contra..;4.7; Daily Commute ;I have always been a fan of ride comfort and exterior looks of Duster, it definitely have a better road presence compared to other cars in the same segment, I had a diesel 85PS drove it for 3 years, from that recently bought the CVT model.
Renault;Duster;11 May 2020;Manu Mohan;3.3; Occasional Commute;Please don’t renault duster 110 fuel injector and clutch complaint main issue , after 4 years it will happen , high maintenance cost , fuel injection 22000 * 4 and clutch 50000 so Prefer some other with less maintenance cost
Renault;Duster;7 Oct 2020;MAHEK HIRPARA;2.0; Daily Commute ;Zero Safety, Don't buy.... I purchased in 2017. Control switch failure by every 20000 kmIn last failure there was fire in dashboard.No positive response from renault.Dont buy renault car.Buy only indian make
Renault;Duster;3 Sep 2020;Ate Kapfo;3.0; Occasional Commute | Tours ;It's features and interior is not at par with latest SUVs. If you are looking for a comfortable ride and a bit of off-roading, this car will serve you well. Overall, it's a good car.
Renault;Duster;10 Jul 2020;Reon P;3.3; Daily Commute | Family Car ;My second car, after a maruti alto k10. I have gotten used to my duster, despite its drawbacks. I wish all companies offered more equipment in its vehicles, not just Renault.
Renault;Duster;3 Dec 2020;Cher R;3.7; Daily Commute | Tours ;Extra storage and comfort great economic very good for City as well as highways..Good mileage Reasonable network of DealershipExtra comfortHigh view from the Driver seat
Renault;Duster;28 Aug 2020;Ketul Soni;4.2; Daily Commute | Occasional Commute;having a smooth experience with duster amt since 4 yrs. riding and comfort is good in city and long drive . service cost is very low as compare to other suv.
Renault;Duster;3 Jan 2021;Bachu 789;4.0; Daily Commute | Occasional Commute;Good driving experience....its Driver car... Am happy with this vehicle for the last 9 years... First time I have manual then i changed automatic vehicle
Renault;Duster;3 Sep 2019;Ajit Thopate;4.3; Daily Commute | Family Car | Tours ;Part of renault are not suitable for indian roads. and also they are very expensive and durability of parts are very low and life of parts very less
Renault;Duster;10 Sep 2019;Anand Palas;2.7; Daily Commute | Family Car ;Liked SUV look of car and bought in 2014. Enjoying car but Maintenance cost and service centers never resolve minor complaints. troublesome
Renault;Duster;18 Dec 2020;VINAY PRATAP;4.0; Daily Commute | Occasional Commute | Family Car | Tours ;Best in class suspension and stability on 120 plus speed.Shape of vehicle is attractive and mascular.Duster is a true svu.Fun to drive.
Renault;Duster;11 Feb 2020;Parvathi Tharun;4.3; Family Car ;it's a nice powered car, silver colour , nice league capacity , it's best for a family of 5or 4, it's amazing performance in hills
Renault;Duster;28 Aug 2020;Rajeev Gulati;5.0; Daily Commute ;wonderful car with good safety features low maintenance good comfortpleasure to drivevery good spacegood power have been to rohtang
Renault;Duster;9 Jan 2021;Arvind Kumar;4.7; Daily Commute | Occasional Commute;Best safest car of Renault family i experence this very closely best comfart in this car but now it is not avlable in deisal
Renault;Duster;13 Feb 2020;PRATHIPIC AB..;3.0; Daily Commute ;Nice car ... Having number of advantages at the same time some of them are disadvantages too like car size, power, etc.,
Renault;Duster;9 Sep 2019;Prathap Robi..;4.3; Daily Commute ;enjoyed the long drives. it"s really an awesome machine. I drive daily 30kms and for office purpose and family trips
Renault;Duster;13 Sep 2020;Technical Sk..;4.3; Daily Commute | Occasional Commute;This car is nice car. This looks are very beautiful.like a beauty. This car is my is favourite car. Renault Duster
Renault;Duster;10 Aug 2020;Gwalior Ravi;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;awesome experience with im traveld many cites with that many area rural and city area because of ground clearance
Renault;Duster;30 Nov 2020;Dhani Sidhu;4.7; Daily Commute | Family Car;good space,best driver grip,safe, comfortable,under power engine,low maintenance,19 km/L mileage with diesel.
Renault;Duster;10 Nov 2019;Dolton Francis;5.0; Daily Commute | Family Car | Tours ;Superb space, suspension setup. Engine is engaging, with Cruise control its even better. steering is direct.
Renault;Duster;18 Sep 2020;Smit Gada;4.7; Daily Commute | Occasional Commute;Very Good car. Worth a Buy.Was looking for a SUV within my budget and this was the best fitNo regrets
Renault;Duster;21 Sep 2019;SANJAY MISHRA;5.0; Occasional Commute | Family Car ;Ride and handling is excellent.Aceleration is good.Feels safe to drive.Comfortable for long drives
Renault;Duster;13 Nov 2019;Valpuia Khup..;3.3; Occasional Commute | Tours ;I have owned several cars earlier like scorpio,xuv500,bolero,creta etc.Duster is the best
Renault;Duster;21 Jan 2021;B R;2.7; Daily Commute ;Ok ok no big features updates required with more features.Power ok looks to improve ok.
Renault;Duster;12 Dec 2019;Jobin Mathew;5.0; Tours;Best SUV available under 14lkh. suitable for all terrains. perfect for long trips.
Renault;Duster;20 Nov 2019;Jo;3.7; Daily Commute ;excellent car with top notch engine performance with very poor service
Renault;Duster;7 Oct 2019;Ranjith V;5.0; Family Car ;Duster is a super suv, good driving comfort, low maintenance cost,
Renault;Duster;13 Nov 2019;Subscribers ..;3.3; Daily Commute | Family Car;After 70k kms very expensive in service they charged me around 58k
Renault;Duster;25 Jul 2020;Prakash Dhon..;5.0; Family Car ;Very good vehical. Have more than enough boot space. Road grip.
Renault;Duster;20 Jul 2020;Namdeo Rabade;4.7; Daily Commute ;Excellent SUV for long distance travel also. we enjoyed a lot.
Renault;Duster;24 Feb 2020;Wamis Ali;4.7; Daily Commute | Occasional Commute | Family Car | Tours ;amazing car with superb handling road prescense is also good
Renault;Duster;20 Oct 2019;Anupam Sharma;4.0; Daily Commute | Tours ;great to drive perfectly tuned engine gearbox and suspension
Renault;Duster;2 Sep 2019;Narendra Singh;4.7; Daily Commute ;power full with comfort, good average,bit costly to maintain
Renault;Duster;13 Nov 2019;Majid Khan;3.0; Occasional Commute ;Good suv but pickup & top speed not satisfactory as per suv
Renault;Duster;20 Nov 2020;Chandra P;5.0; Occasional Commute | Family Car;Awesome car for family drive,best SUV at affordable cost.
Renault;Duster;28 Dec 2020;Raju Satti;4.7; Family Car;good pickup good looking safety super and road grip good
Renault;Duster;6 Sep 2020;Ajit Aiwale;5.0; Family Car;Im car Duster Diesel Veri good condition and family use
Renault;Duster;6 Dec 2019;Shivam Patel;4.7; Family Car ;nice carspeed is more important and this car ooooo nice
Renault;Duster;5 Sep 2019;Amit Rawat;4.0; Family Car ;Great and Comfort Vehicle with low maintenance cost
Renault;Duster;1 Nov 2019;Dr Parikshit;4.0; Family Car ;they should look for there interior and features
Renault;Duster;1 Sep 2019;;4.0; Family Car | Tours ;it is best but repairing and service cost is much
Renault;Duster;26 Jul 2020;Basu Kurer;5.0; Daily Commute | Family Car ;duster is my FAVOURITE car and also comfortable.
Renault;Duster;17 Jan 2020;Prakash Budh..;4.3; Family Car ;Extremely comfortable car to drive on city roads
Renault;Duster;17 Feb 2020;Sridhar Annappa;3.7; Family Car ;Good car with good mileage n less maintenence.
Renault;Duster;8 Oct 2019;Kushal Sankhla;5.0; Family Car ;Perfect vehicle for City and Highway driving.
Renault;Duster;16 Sep 2019;Dr;5.0; Occasional Commute ;Excellent car Awesome experience while driving
Renault;Duster;19 Oct 2019;KESAVA PILLAI;3.0; Daily Commute | Family Car ;Here the local service is not up to the mark
Renault;Duster;26 Aug 2019;One Above;4.0; Family Car ;It performs at my will and have great mileage
Renault;Duster;10 Mar 2020;Prabhu Kobri;3.7; Daily Commute | Family Car ;It's clutch operation is not comfortable.
Renault;Duster;21 Feb 2020;Raman Poswal;1.3; Family Car ;very bad car high maintenance no safe car
Renault;Duster;21 Aug 2019;Sandeepgowdr..;5.0; Occasional Commute | Family Car | Tours ;Good car road grip is fine and good safety
Renault;Duster;18 Aug 2019;Chahat Mahajan;4.0; Family Car;Love this car . Its features is amazing .
Renault;Duster;17 Mar 2020;GAURAV BASISTA;4.3; Family Car ;great Good performance low service cost
Renault;Duster;29 Feb 2020;Polachan M;1.0; Occasional Commute ;suitable for highways not for city ride
Renault;Duster;11 Nov 2019;Gautam Mishra;4.7; Family Car ;good experience and rider better smooth
Renault;Duster;26 Feb 2020;Praveen Kumar;5.0; Daily Commute ;I feel gud and comfortable with duster
Renault;Duster;22 Oct 2019;Sumit Kant;4.0; Family Car ;No comments, no comments , no comments
Renault;Duster;5 Oct 2019;Hoshepu Vishepu;2.0; Family Car ;uncommitted showroom dealer n workshop
Renault;Duster;24 Oct 2019;Harsh Dalmia;3.3; Family Car ;Mgood car but not to my expectations
Renault;Duster;6 Oct 2019;Sadashiva Sh..;4.7; Daily Commute ;Dealer should be technically strong
Renault;Duster;29 Jul 2020;Ridip Lochan;4.3; Daily Commute | Tours ;Very dependable car in all terrains
Renault;Duster;14 Mar 2020;Jayaprakash ..;4.3; Daily Commute ;handling and comfort is very good.
Renault;Duster;12 Sep 2019;Ram Babu;4.0; Family Car ;Nice car, good look, nice performance
Renault;Duster;7 Jul 2020;Lalit Khairnar;3.0; Family Car;looking very nice model very nice
Renault;Duster;15 May 2020;Ayaz Habib;4.0; Daily Commute;not over the top but quite decent.
Renault;Duster;13 Nov 2019;Vikas Agrawal;3.3; Occasional Commute;Nice and good performance this car
Renault;Duster;13 Sep 2019;Sreerama Reddy;4.0; Daily Commute ;Overall it's good for long drive
Renault;Duster;8 Jan 2020;Shubham Mishra;3.0; Family Car ;nice car i am.happy with the car
Renault;Duster;24 Dec 2019;Mannan Choud..;2.3; Family Car ;Worst service pick isn’t great
Renault;Duster;12 Oct 2019;Vishal Ahuja;4.7; Occasional Commute ;Where is 2nd generation duster
Renault;Duster;21 Aug 2019;Sameer S;5.0; Family Car ;Best Car at this price point.
Renault;Duster;23 Jul 2019;Hemant Pareek;4.7; Daily Commute | Family Car | Tours ;Happy with my RXZ 110 , performance and stablty is supper on Highway and Hill and desert .I love my Duster .
Renault;Duster;20 Nov 2020;Ramakrishna G;4.7; Family Car ;supercari loved it.......................................................................................................................................................................
Renault;Duster;13 Aug 2019;Kishore Erohsik;4.7; Family Car ;Nice car for 5 members and economically good.
Renault;Duster;16 Jul 2019;Arun Ahlawat;4.3; Daily Commute | Family Car ;Duster is a complete SUV. Driving is good except its clutch which is a bit unconventionally harder.
Renault;Duster;12 Aug 2019;Vineeta Anup;3.0; Daily Commute ;Maintaince is too high and mileage is not good
