Company;Model;Date;User;Rating;Usage;Review
Renault;Duster20162019;14 Oct 2018;Soham Khamaru;4.7; Daily Commute | Family Car ;Duster is to my notice is the only car that amazed me from Renault family. . I am a crazy driver who loves spending like whole day behind the wheels... I get a lot of confidence in highways espicially attacking corners or city drive when i am in a rush .. my pops bought 85ps rxz model... but 110ps was an if statement.. engine noise is a minimum.. the dashboard looks oldish with black plastics... i nfotec need to be rallied to match the market. bootspace is amazing considering its segment... talking about body outlooks its has simple but muscular outlooks bumps at the front n back secctions of the body where tire protudes..driving over in city all i can say these bumps need to be talken under notice or else scratches might happen .. this what makes me unhappy .. height is adjustable.. one advice if u r driving in highways keep the seat height low to enjoy it better. suspension is good till now to my notice
Renault;Duster20162019;20 Jan 2021;Vignesh Kumar;4.2; Daily Commute | Occasional Commute;Maintenance cost are very high. But if you are performance oriented person then this car is for you. It doesn't offer top class features. What it gives is good ride quality, high stability, confidence to perform what to like and mileage. Yes, my car gives mileage of at least 16 in city and 18-19 in highway.Features oriented people please neglect this car this car is not for you. Place explorers, t his car is for you. Make it dusty😜.
Renault;Duster20162019;12 Dec 2020;Ashley Dias;5.0; Daily Commute | Family Car | Tours ;Very well balanced in terms of its price, Power, Fuel efficiency, Maintenance and overall external design proportions.The ground clearance, Boot space, And ride quality is beyond compare.Features particularly safety features, Interior design, Cabin noise insulation could have been better.Overall a rough and tough car to handle indian conditions and equally suited while driving for a formal occasio n or a family picnic.
Renault;Duster20162019;30 Aug 2020;Vineet Yashpal;4.2; Daily Commute | Occasional Commute;Duster has excellent ride and handling The SUV is fun to drive and I'm in love with my 110 RXLRecommend the new turbo petrol to those looking for a reliable , SUV Renault though needs to improve its service network and support system
Renault;Duster20162019;28 Nov 2020;Deviklabs;3.7; Daily Commute ;Excellent engine but poor interior.Parts are two expensive i used 1lack km in 3 years.And during this time encountered two big engine issues.Although everything was covered in warranty otherwise replaced part was 40k.
Renault;Duster20162019;16 Jan 2020;Dinesh Rao;4.0; Daily Commute ;Its a great car with total control, only the clutch is hard and the length is little more which creates parking issues, otherwise no parallel in my opinion. As I have knee problem, I am going for automatic version.
Renault;Duster20162019;25 Aug 2020;Sankalp Singh;5.0; Daily Commute | Family Car | Tours ;Sturdy and trustworthy car....can manage any surface..I have technically driven this vehicle till Kedarnath and it has never failed us... from hill to heavy rains..Duster runs anywhere and everywhere
Renault;Duster20162019;26 Oct 2020;HARIKRISHNAN S;4.2; Daily Commute | Occasional Commute;Everything is perfect except interior. The performance is very good and mileage is outstanding compared to other SUVs. Spacious interior with ample space on the back.
Renault;Duster20162019;18 Oct 2019;Vishnu Devas..;2.0; Daily Commute;The maintenance cost is very high and Parts get failed early leading to too much of Cost. Shock absorbers as per my experience are prone to failure and are costly
Renault;Duster20162019;29 Oct 2020;Saurabh Panchal;5.0; Family Car ;The best car in this price range, It has all the safety feature, Like abs, Ebd, Ba hill start asist, Esp, And the best is unmatchable ride quality and comfirt.
Renault;Duster20162019;6 Jul 2019;Suresh Kamesh;5.0; Daily Commute | Tours ;One of the best cars to own and drive. I have driven from Delhi to Srinagar, shimla, mandawa, Jaipur,McLeodgunj, and down south too . A car which is smooth and can drive on terrains or cross country or highways and it is just an awesome feeling . Well own it to feel it
Renault;Duster20162019;27 Aug 2020;Amol Joshi;5.0; Daily Commute | Family Car | Tours ;amazing diesel car works same as day it was baught we have done a lot of commute and long daily trips we even done a 1000 km in a day in our car
Renault;Duster20162019;30 Dec 2020;Rakesh Kumar;3.3; Daily Commute | Occasional Commute;Ride comfort, Suspension, Handling, service costing and exterior look are genuine/ fabulous. interior, mileage and features are very poor.
Renault;Duster20162019;26 Nov 2020;Ajay Singh;3.7; Daily Commute ;Reliable suv with good road presence however the interiors seems to be outdated now & renault need to upgrade these to stay in contention
Renault;Duster20162019;11 Jun 2020;Srikanta Jag..;2.7; Daily Commute | Family Car | Tours;It's a car with basic and practical functionality. Nothing great on the inside but a decent performance car with muscle on the outside
