Company;Model;Date;User;Rating;Usage;Review
Renault;KWID;19 Jul 2020;Hydmoto Vlogs;4.3; Daily Commute | Family Car | Tours ;Overall 4.3/5 The car is compact and suitable for a family for 4 for city rides comfortably. You can zip In and out of traffic happily. Compared to eon and alto or the new maruti espresso this is much more stylish and has mini SUV like stance. Steering is sporty, has adequate comfort. Mileage is excellent at 22-25kmpl. AC is also good. Lighting can be upgraded for highway driving. Not much body ro ll. The 2019 + models get much more engine refinement and cabin noise insulation and the car is pretty much silent. Overtaking suddenly with load may be a little disappointing In the 800Cc model as it is little undepowered which is expected since the displacement is lower at 800Cc.Cons : stiffer suspension, body rattle if not properly maintained. Not suitable for high-speed due to light weight and average breaking.
Renault;KWID;4 Sep 2020;Binit Kumar;1.0; Daily Commute | Occasional Commute | Family Car | Tours ;Bad experience bad experiences Bad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiencesBad experience bad experiences
Renault;KWID;17 Jan 2021;Deepak Narula;4.2; Daily Commute | Occasional Commute;Very Good CarFeatures-1. Charging Point In Back Side2. 2 Airbags3. Map on LEDAnd etc. Features in carIf your budget are low and under 5 lakh, high features car you thought to buy.You can buy Kwid carMileage very goodI am very lucky to buy kwid car and I am very happy Overall kwid is very best car to buy. 😊😊😊😊
Renault;KWID;27 Aug 2020;Deltafire Xm..;2.3; Daily Commute ;I have bought kwid climber 1 Ltr engine top end model . The digital instrument Meter gives false reading . Their is manufacturing fault on the instrument cluster . At one point it shows the reserve petrol to give an idea how much km car can travel in given reserve , with in few seconds the instrument blinks as zero petrol
Renault;KWID;18 Jan 2020;Jignesh Pawar;4.0; Family Car;Best in this budget segment. I have installed CNG sequitial kit aftermarket.Since last 3 years using it with 30 to 33 km Highway milage per kg.Have place shockers lifting wich cost only 800 rs.Good and value for money car.Who gave negative reviews r wanna pay for less and expectations are like audi.
Renault;KWID;18 Sep 2020;Pranab Sarkar;5.0; Family Car;Renault Kwid is much much better than Alto for the following reasons...1) Better Stylist 2) Better Millage3) Better Interior space4) Better Boot space5) Better Comfort 6) Better Wheel Size7) Better Ground ClarenceAll others features of Renault Kwid are same as in Alto
Renault;KWID;5 Feb 2020;CsHiren Shah;4.0; Daily Commute | Family Car ;Kwid is budget car with good looks however mileage if low in city it give around 10-12 with AC without it comes to 13-14 on highway it gives 17-20 max Body is weak even a small touch will give a dent to car very weak body however it good car in this range
Renault;KWID;22 Jan 2021;Suresh Selvaraj;4.7; Daily Commute | Occasional Commute;Yes. Good choice as a beginner of driving, instead of buying a used car, I bought this 1.0 rxl. Good breaking system, controlled positioning i.e, easy to take on hills ups/ downs. Little careful to load heavy weight, since that's a light weight car.
Renault;KWID;21 Oct 2020;Subrahmanyam..;4.0; Daily Commute ;Good car i am happy but small concerns are there, While over taking long vehicle it's difficult, It's good for small family like 2adults and 2kids, For thin people it's okay, But fatty people you can't travel long distance.I am having topend amt.Usually i drove 110km in highway some times l touched 120km speed no shake.
Renault;KWID;3 Dec 2019;Mohammed Masood;1.7; Daily Commute;JUNK CAR it's just 5000km driven and I am facing various malfunction s in the vehicle and each time the vehicle go to workshop it's stucked for 10-12 days due to non availability of spare parts. Don't buy it's a waste of your hard earned money.
Renault;KWID;7 Feb 2020;Mohan Kumar;3.0; Family Car ;Comfort is there in travel. As it is 800 cc, running ghat roads is difficult. Mileage committed by the company 25 km/Ltr, the meter shows as 16.2 or 16.30 km/Ltr.Fuel tank shows wrong reading. In one year of purchase, the door handle damaged.
Renault;KWID;21 Dec 2020;Pranav Jamdade;1.0; Family Car ;Emergency services, Road side services in not timely and good service.This car is not rat proof, My car is all damaged in rates wiring are full damaged.Kwid is good quality car but emergency services is not timely and good service.
Renault;KWID;11 Jan 2021;Mohd Mohsin;4.0; Daily Commute | Occasional Commute;overall nice experiance in this price range you cant expect more than this .better than alto -eon -datson redigithis cR has very low service cost and has best fuel mileage city -15-17 highway -22-25
Renault;KWID;4 Jun 2020;MAHENDRA SHARMA;1.0; Family Car ;I don't know about mileage performance comfort of Renault kwid car. This will be my first car If i purchage. I guide me about all things of car which is I operate easily and better performance.
Renault;KWID;8 Dec 2020;Oshim Pandey;2.0; Daily Commute ;Purchase after this car not a good experiences last three year so i have change this car, Car a/c not good, mileage is not good.Engine is very sound, Third person not comfortable after siting.
Renault;KWID;30 Aug 2020;John Munsa;4.0; Family Car ;Over all, the car is good and has a better mileage. Ground clearance is much higher than other small cars and gives you a comfortable ride even on rough roads. It is a very good family car.
Renault;KWID;6 Nov 2020;Srinkanjan M..;3.0; Occasional Commute;I have bought the 800cc model for city use so far it's good with a moderate mileage not that it claims, I reside in Kolkata. So it's good looking car , with a good road presence.
Renault;KWID;17 Jul 2020;L Raja;4.0; Daily Commute ;Very good car for city usage.. daily commute and occational long distance.. you should drive safe as it scores 0 in safety.. breaks are not responsive like other brands..
Renault;KWID;7 Sep 2020;My;4.0; Daily Commute ;My overall experience is nice. Good milage. Low maintenance. Stylish with all featured. Only some time i feel not safe. But anyway good car on this budgets. Spl AMT
Renault;KWID;8 Aug 2020;Rajeev Maurya;3.7; Family Car;Good but spaces is not comfortable But Price is Right and dealer Price not showing to original online showing other's Price and dealers showing deferent price
Renault;KWID;17 Aug 2020;Sathish T;2.7; Family Car ;No perfect service in Shimoga& Davangere, I tried to make fuel consumption 24km/lit (privies consumption second service24km/lit) next there is no consumption
Renault;KWID;7 Nov 2020;Srilatha Vemuri;5.0; Family Car;Renault kwid 2019 oct registration ,single owner,well maintained self driven. Driven 9 kms/day in year periods. Showroom service maintained . Seal tyres.
Renault;KWID;23 Jan 2020;Ravanaiah Ve..;2.7; Daily Commute | Family Car ;ok to bought this car for middle class family. but I bought this car by 2016. in 2020 this car have more features. so its good for 1st time car buyers
Renault;KWID;18 Feb 2020;Jennifer Legodi;4.0; Daily Commute ;Renault Kwid is very good in consumption and the 2020 model comes with most of the features that a person needs in a car at an affordable price tag.
Renault;KWID;22 Sep 2020;Avinash Soni;3.0; Family Car ;Good n economic and value for money car easy control good features bit engine cc is low, bottom clearence Is justified yet suspension is poor.
Renault;KWID;5 Nov 2020;Vivek Sharma;5.0; Daily Commute | Occasional Commute;Prefect car in family and to safety futere are awesome and spensor is the best and quality in the frist and the above test drive in the car
Renault;KWID;30 Oct 2020;Abinash Panda;3.3; Daily Commute ;I bought it last week and travelled 100kms so far and getting a mileage of 9 km/l at an avg speed of 30km in city (with ac on).Yet to test it on highway.
Renault;KWID;14 Dec 2020;Nitesh Dhama..;3.0; Daily Commute ;Good experience in city and highway but looking to upgrade now.Best driving good family carneed to bigger now so looking for other car now.
Renault;KWID;21 Aug 2020;ONLY TRICK;4.0; Family Car ;Only average I mean not bad because we are using not some time , mileage is short normal family car ofcourse swift desal really I like that
Renault;KWID;21 Jan 2021;Mithu Raj;3.3; Daily Commute | Occasional Commute;I should have bought 1litre variant,800cc lacks power, that's not Renault's fault.And it should have been more comfortable in the rear.
Renault;KWID;12 Nov 2020;Vivek Thakkar;1.0; Occasional Commute ;Never purchase any renault car, Very bad experiance and very poor service, Safety feature is almost zero, Never buy any renault car
Renault;KWID;16 Oct 2020;Arshad R;5.0; Occasional Commute ;Best car at this range.Feels like suv while driving the car.The looks are too good.Maintenance are done very well by renault team.
Renault;KWID;31 Aug 2020;Shaikh Sameer;4.3; Occasional Commute ;Good for city driving and very good in mileage. Though I like the car very much in style and comfort but it only lacks in torque
Renault;KWID;19 Aug 2020;Kartikeya Sh..;3.5; Daily Commute | Occasional Commute;Good for money, easy to drive a little bit noisy but due to 3 sylendr, nice in cutting and gear but breaking must be improoved
Renault;KWID;19 Aug 2020;Kartikeya Sh..;3.5; Daily Commute | Occasional Commute;Good for money, easy to drive a little bit noisy but due to 3 sylendr, nice in cutting and gear but breaking must be improoved
Renault;KWID;7 Dec 2020;Manoo Puli;2.3; Daily Commute ;If you compromise on safety and mileage nice urban car for a small family.The budget vehicle, Not advisable to long and tours.
Renault;KWID;7 Sep 2020;Eranavel Raj..;2.0; Family Car ;Medianav is not working properly. Someone it's hanging. Sometimes not switching on. What can I do pl give suitable suggession
Renault;KWID;28 Dec 2020;R Vinod;5.0; Daily Commute | Occasional Commute;Super car for mine familyAnd its minimum mileage is 18-20km/l but maximum mileage is 22-23km/l Proformance and good comfort
Renault;KWID;16 Aug 2020;Muhammed Azrar;3.0; Daily Commute | Family Car ;Mailege is good but performance is not good safety is medium features is medium overall good maintenance services cost low
Renault;KWID;2 Aug 2020;Ajit Singh;1.7; Family Car ;A Bad choice for purchasing Renault Product. Very bad in servicing and feature and price compare to other car is also bad
Renault;KWID;8 Jan 2020;Anirban Biswas;4.7; Family Car ;Excellent Car Easy To Handel... Soft Light Weight... Suspension Sooo good And Most Important... Lots Of Boot Space...
Renault;KWID;27 Nov 2020;Viral Parikh;4.0; Daily Commute | Occasional Commute;Over all good car better than alto it feel like it is competition with not alto but swift it feel very stylish at al
Renault;KWID;12 Jun 2020;Praveen Prat..;4.7; Daily Commute | Family Car | Tours;i buy to 2 year performance is low.comfort super,style nice , safety not bad, maintenance average, mileage not bad
Renault;KWID;24 Dec 2019;Goteti Naras..;4.3; Daily Commute ;A nice car with good mileage, safety ,comfortable driving ,coupled with good features Matchless in that price range
Renault;KWID;26 Nov 2020;Varikoti Dinesh;3.3; Daily Commute | Occasional Commute;Good car for family but safety issues.But mileage and comfort is excellent.Excellent features and ride comfort.
Renault;KWID;15 Aug 2020;Ess Aar;4.3; Daily Commute | Occasional Commute;Best car for local area use and small family, easy to use.. one hand used and well maintained car in ghaziabad.
