Company;Model;Date;User;Rating;Usage;Review
Renault;KWID20152019;29 Mar 2019;Suvin Kumar;1.0; Daily Commute ;Iam a recent buyer of Renault Kwid AMT and bought it to gift my wife.All the booking were done as we were convinced of the service and effort taken.But on 25th March 2019(delivery date) things changed really bad when I arrived to get the delivery of my car-1) As I was waiting in the longe finishing the formalities ,I noticed a staff showing our car like a demo car to a new customers. The customer" s kids got in the car and spoiled the interior . When asked on the situation , they said its normal. I demanded that I get my car cleaned again for which they had done a very shabby job.-2) I got into my car to check the features, I found out that the Apple car play and Android auto that was promised to us is not available in the model given to us, where as Ms Radhika your sales associates promised it to us not once but more than twice. Again all they had to say is sorry.With much reluctance and unhappiness we took he delivery of the car.-3) Once delivered, on road we found out that the light inside the car was not working & infact had a lose contact. We bought the car back to the showroom to rectify it and to get the fast tag sticker done which they apparently forgot and I had to ask them.They said they rectified the light but the same issue continued post the correction. I have a video as proof taken to show the showroom, but as usual everyone was too busy to attend to our inconvenience . There is also a complaint in the meter console as inspite of putting petrol worth 2000 rs , the milage and indication of petrol dropped to almost empty within less than 10km of drive. Milage shown was 7km/l. On complaining all these, they promised to pick up the car from our house to rectify it, but even now the pickup has not been done . And they are forcing us to register the car, Why should we?This is not our first car and we own other brand as well. But we are highly disappointed at what happening and really sad that they have no care attitude towards us.-The customer service at the TVS & Sons, Renault Maradu,Kerala is beyond bad and never expected this before buying ,- We expected Renault to keep up a standard-Promise are done from the sales consultant to the sales managers. Why promise and commit when you cannot keep it?- It is our money and emotions involved. Is the service only till the car is booked by giving false promises?-Past sales we don"t even have human consideration.Never expected this from a brand like Renault.Waiting for at least a positive response from the customer service teamWith much regret
Renault;KWID20152019;11 Aug 2019;Neha Arora;1.0; Daily Commute ;Its a pathetic car and worst service people also. I recently bought this car. As its my first car i thought i should buy new one because i don't want to face any problem which usually happened with second hand car on a regular basis so i took the decision to buy a new one but in 4 months i visited the service 5 times for repairing my new car. It doesnt matter it is in warrenty because for me my ti me is very pricious and why should i have invested in new car if this kind of problem is happening, again and again, it is still not repaired yet. From the first month AC problem, average issue and automatic stop on highway issue happened. Today again someone picked for AC repair and again they said it will take 5days to correct the issue. Its height now they gave me a defective car and they have to replace it now otherwise I will take legal action against them its my hard earn money and i will not accept this defective car. same service centre people are not able to fix it till yet how i can believe again and what about my time my patience
Renault;KWID20152019;12 Dec 2020;KINSHUK SARA..;3.3; Daily Commute | Occasional Commute;Good looks, had tonnes of features and descent for a first time driver. Gave really good mileage of 17-20kmpl in city traffic conditions. Not too comfortable to sit, ride quality is not great and driving couldve been better. At the same time, very pratical, lots of storage space & bottle holders. As accessories you can convert rear seats to power window.Its a pure city car and is not suited for hi ghway driving, I'm satisfied with the car as it serves my needs.
Renault;KWID20152019;9 Oct 2020;SUBHASHIS TH..;4.0; Family Car ;Good not very best but the engine noise very badly and thrill hole body like a malaria patient. Mileage is good,chilled ac,rough tof sound system touch screen work after a hard push,performance of running excellent,tall man and over healthy can't drive it comfortably,excellent look at the smallest price..
Renault;KWID20152019;22 Nov 2020;Hema Pawar;3.3; Daily Commute | Family Car;Kwid is a city car not a highway.Suggested add on some budget n buy tata tiago or swift.It's onky city car which is compact and amt makes like easy while driving in city.If you want to travel frequent for long distance then don't buy and waste your money.
Renault;KWID20152019;22 Feb 2020;Jay Rajput;4.3; Daily Commute ;this car is this segment are boss. super mileage super spacious car looking so awesome driving are too good comfortable low maintenance. my drive 110000 kilometre tin four and half year. mileage claim 17KMPL City 22KMPL highway
Renault;KWID20152019;6 Feb 2019;Indranil Modak;4.7; Family Car ;●Best suspension in its class●Strong AC●Ground clearance 180 mm is enough to pass big hump at road●Boot spaces 300 Ltr is sufficient for 4 member family on long tour.● Amazing mileage on long tour with AC ● Stability at 110km/hr. Speed at express way.● SUV look● Rear seat keep back straight that is helpful in long tour● Low maintenance cost● Wondering assistance from company an d its dealer and always.
Renault;KWID20152019;8 Mar 2020;Gaurav Pawar;4.0; Daily Commute | Tours ;it's a worth money investment car of this segment, small concept car having good mileage low cost , few things to be kept in mind are the automatic transmission shifts and its proper service on time .
Renault;KWID20152019;9 Feb 2020;Kaushal Sharma;2.0; Family Car ;Not a good mileage in city & not comfortable with automatic transmission. only 1 airbag and low quality body and leather finishing. Totally I embarrassed after buying this car. Not a good deal.
Renault;KWID20152019;11 Mar 2020;Diganta Bora;4.3; Family Car ;Sigment wise best car in the market, looks also excellent. Safty : Not any high expectations as per sigment.Average mileage 22km/l.Performance : Need freqent gear changing as low power Engine.
Renault;KWID20152019;23 Jul 2020;Vidya Bhushan;2.7; Family Car ;Ok for city driving but not safe for driving above 60 as brakes are not responsive, though I have installed new brake pads and shoes and I have changed the disc plate as well still not safe.
Renault;KWID20152019;29 Sep 2020;Nitin Gupta;4.0; Family Car ;3 months and it would have been 1000CC, 800 CC is insult to a well designed Kwid. Overall good for long drives. Consistently cruise at 100 km/hr with 4 people inside for well over 600 km.
