Company;Model;Date;User;Rating;Usage;Review
Skoda;Fabia;17 Dec 2020;Kannarasu Vembu;4.3; Daily Commute | Family Car | Tours ;Fabia is luxurious car for tours for 4 members it's giving mileage of 20kms in long drive and 15 in city drive and it never let me down anywere as i will service once a year and that's it.The only failure in this model is aircondition rest all fabulous.
Skoda;Fabia;21 Oct 2020;Brajmohan Ba..;4.3; Daily Commute | Occasional Commute;A great car with body material and have comfort to ride over highway, specially on long drive. But there is problem of original spare not available on every where and less no of service centre in many places.
Skoda;Fabia;8 Oct 2020;Kunal Mishra;3.3; Occasional Commute ;Good car but too much maintenance cost. Comfortable and design up to the mark. mileage is awesome. Due to less service station the maintenance is too dificult after 5 year in remote area.
Skoda;Fabia;13 Nov 2020;Yuvi Miru;4.7; Daily Commute | Family Car | Tours ;My fabia is fabulous as service done 1ce every year only in mint condition the failure in this car is air-conditioning system rest all superb at it's premier range vehicles
Skoda;Fabia;9 Mar 2019;Raunak Goel;4.3; Daily Commute ;Fabia 2008 ambiente 1.2 petrol with very peppy htp engine also the features it has 10 years back are still not standard in 12 lac rs cars as well like all four one touch up down windows..tilt n telscopic steering...height adjustble driver n co driver seats...rear wash n defogger...etc
Skoda;Fabia;18 Nov 2020;Suresh S;3.7; Family Car ;Best car.Strong body.Full safety.Very good mileage.Running pick up so good.Sudden pick up so slow.At the same time maintenance is too much.
Skoda;Fabia;27 May 2019;Debojjal Gupta;4.3; Daily Commute ;I would rate fabia 5/5 as the mid range of the car is much more responsive than the competition. Its a well built car. Fuel consumption is justified by the driving pleasure. No other 1200cc clutch has a similar feel.
Skoda;Fabia;24 Aug 2019;Muthyala Var..;4.3; Family Car ;It is very safety and comfortable for long drive and daily usage.... build quality excellent... engine performance also nice...
Skoda;Fabia;23 Nov 2020;Pranav Singhal;4.3; Daily Commute | Occasional Commute;1.2 TDI, Black Color, Dual Tone Upholstery, Dual Tone Interior, New Tyres, New Battery, Well Maintained, First Owner.
Skoda;Fabia;13 Dec 2020;Green Music;4.0; Family Car ;Car performance and mileage is ok.Maintenance cost is too high.Spare parts not available in my located areas.
Skoda;Fabia;23 Nov 2020;Kishor Mulla..;3.0; Daily Commute | Occasional Commute | Family Car ;Good for family use and very convenient for daily concern.I love scoda and no other brand even new model.
Skoda;Fabia;29 Nov 2020;Yash Suresh;3.7; Family Car ;I am going to buy petrol car and suv model so i am interested to buying new car and best price and model
Skoda;Fabia;13 Jan 2021;Ravi Chaudhary;4.3; Daily Commute ;Best car.So powerful and balanced on highway and easy to use on daily basis.Good mileage and power.
Skoda;Fabia;11 Nov 2019;Satwinder Kaur;4.3; Tours;It is a very good and powerful car with great mileage. I really love skoda
Skoda;Fabia;1 Jan 2020;Dennis John;5.0; Family Car ;nice car, very good with drive and very stylish. still look like new
Skoda;Fabia;13 May 2019;Prajith Jaya..;3.3; Occasional Commute ;Safety wise the car is best considering the year of manufacturing. Intial power is less considering a 1.2 l petrol engine( Very sluggish) . High maintenance. Performance in mid range is good I could clock 150 in highways. Highway mileage is around 14.
Skoda;Fabia;8 Nov 2019;Idris Khan;5.0; Daily Commute;Spacious and powerful car with smooth driving experience
Skoda;Fabia;17 May 2020;Rajarathinam..;3.3; Daily Commute;long drive is best but city drive worst it's 1.2 litre
Skoda;Fabia;23 Jul 2020;V Sriniwas;4.7; Daily Commute ;Good car in all respect.for driving comfo and safety
Skoda;Fabia;2 Jan 2020;MAHESH NASIAR;5.0; Daily Commute | Family Car ;so comfortable no tiredness best control safety
Skoda;Fabia;9 Mar 2020;Indraneel Ma..;5.0; Family Car;Comfort To Drive. Easy Gear ShiftEasy To Handle
Skoda;Fabia;16 Jul 2020;Kuldeep Adya..;5.0; Family Car ;Superb performances Excellent looksComfortable
Skoda;Fabia;6 Oct 2019;Santosh Appachu;2.7; Family Car ;I once did s*x inside fabia..plave was small
Skoda;Fabia;28 Aug 2019;Rajesh Jani;4.3; Family Car ;Best value for money car...little expensive
Skoda;Fabia;9 Dec 2020;Pushpender K..;4.7; Daily Commute;GOOD CONDITION EXCELLENT MUSIC DIESEL CAR
Skoda;Fabia;21 Mar 2020;Vijay Naidu;4.3; Occasional Commute | Family Car;Good vehicle but there is no resale value
Skoda;Fabia;28 Nov 2019;Shashikant P..;5.0; Daily Commute;Nice car. best mileage brand building car
Skoda;Fabia;29 Dec 2020;Aceabhay1 1;3.0; Daily Commute;very costly maintenance and repairs
Skoda;Fabia;12 Jul 2020;Jasmeet Taak;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;very excellent driving this is good
Skoda;Fabia;13 Oct 2019;NARESH KHARADI;4.0; Daily Commute;EXCELLENT...!! OVERALL SINCE 2010
Skoda;Fabia;6 Oct 2019;Shrikant Singh;5.0; Daily Commute ;The car is good on all parameters
Skoda;Fabia;25 Aug 2019;Vinod Kundaikar;2.7; Family Car ;Very comfortable..I love skoda
Skoda;Fabia;11 Aug 2019;Pradeep Chan..;3.3; Family Car ;Car is good but part and maintenanceis cost so high. City milega 13 highway 21
Skoda;Fabia;21 Dec 2020;Subhash Patil;4.7; Daily Commute | Occasional Commute | Family Car ;Car is very good in every aspect except fuel average which is 10 in city and 13 to14kmpl on highway. Very stable and pickup nice
Skoda;Fabia;21 Feb 2019;;4.7; Daily Commute ;Great car overall except a bit low on styling and features. Hate to change it. This is with my daughter.
Skoda;Fabia;26 Apr 2019;Harshvardhan..;3.3; Daily Commute ;Very good designed vehicle and excellent performance. Very bad in after sale service
