Company;Model;Date;User;Rating;Usage;Review
Skoda;Superb20162020;10 Sep 2020;Sachin Shinde;4.3; Occasional Commute ;It's very rich car and very good comfort ,so many said that superb don't get better mailage but superb get better mailage in city 12 and highway 19 .I am satisfied with superb skoda
Skoda;Superb20162020;25 Aug 2020;Deepak Kumar;4.7; Tours ;It’s been quite an amazing experience With peace of mind and that too in long run. Maintenance cost was also moderate and the feel has been awesome
Skoda;Superb20162020;13 Oct 2020;Kusum Gupta;5.0; Family Car ;Excellent Condition as it is self driven. The comfort level at the back seat is very luxurious as it feels like a Mercedes S Class.
Skoda;Superb20162020;14 Oct 2020;Irfan Pulsar..;4.7; Daily Commute | Occasional Commute;Best family car for highway and even never ever you will get tired for a long journeys just need to to love the drive
Skoda;Superb20162020;15 Sep 2019;Sanjeevindu ..;4.7; Daily Commute;It is a very nice and comfortable car to drive. It is vey stylish but also costs too much then it worths
Skoda;Superb20162020;1 Sep 2019;HEALTH AND;5.0; Family Car ;where luxury&, passion meets safety and performance their comes the MASTER PIECE
Skoda;Superb20162020;4 Dec 2018;Nilkanth Wad..;3.3; Daily Commute ;I. Bought this car from grand Skoda pritampura New Delhi. They did not pay RTO tax. Now I am paying from my savings. After sell service is still not improved.
Skoda;Superb20162020;16 Jan 2020;Priyanshu Dutta;5.0; Occasional Commute ;Good car! And why won’t it be, it is made by the Czech car maker!
Skoda;Superb20162020;3 Dec 2019;Akshay Tyagi;4.3; Occasional Commute | Family Car ;awesome performance I had with this car.sumply amazing
Skoda;Superb20162020;20 Feb 2019;Andrew Ronaald;4.7; Family Car ;Simply superb and highly clever at a reasonable price, but maybe its maintanence seeks more attention after first few years it seems
Skoda;Superb20162020;4 Jan 2021;Rakesh Nayak;5.0; Family Car;good nice and very excited to purchase
Skoda;Superb20162020;16 Jun 2020;Syed Altaf;4.3; Family Car | Occasional Commute | Daily Commute | Tours ;Good vehicle very comfort and stylish
Skoda;Superb20162020;13 Nov 2019;Arvo Saare;5.0; Family Car;I want purhace new car Skoda Superb
Skoda;Superb20162020;9 Dec 2018;Srinivasa Gupta;4.7; Family Car ;Value for money, Good in all respect, luxury segment vehicle
Skoda;Superb20162020;2 Jun 2019;Vishal Kanth..;4.0; Tours ;Great car with ample features. Almost a Mercedez
Skoda;Superb20162020;4 Feb 2019;Pawan Bhomia;4.3; Daily Commute;superb car and very comfortable to drive.
Skoda;Superb20162020;29 Dec 2018;Manavv Gupta;4.0; Family Car ;Great to have difficult to maintain.
Skoda;Superb20162020;23 Mar 2019;Ankit Singla;4.7; Family Car | Daily Commute ;It is a great car, it’s premium.
Skoda;Superb20162020;6 Jul 2018;Ashu Topra;3.3; Occasional Commute ;bad experience
