Company;Model;Date;User;Rating;Usage;Review
Tata;Altroz;7 Feb 2020;Agnel Ajay;4.7; Occasional Commute ;Tata Altroz, The Gold Standard...Tata Altroz is the company's first venture in premium hatchback segment. This is safer and packed with features let's explore Ththis Gold Standard Car....×Design The design of the Tata Altroz doesnot resemble any car till now. Th e looks are given as a part of 'Impact 2.0' that is the design language followed by Tata Motors. From front the position of the fog lamp s are seen a little above the regular placement. Even though the car gets projector headlights, they are not LEDs. The tripod stand like grill slots look appealing. This design is followed somewhere also.From the side we have certain elements to note. The piano black finish for the ORVMs and the positioning of turn indicators to the body are some of them. The rear door handle also have been moved to the C pillar. The 16 inch alloys looks well proportionate to the car.Towards the back side we can see the blacked taillights. Like I said above the rear end is also distinct with its cutting edges.Getting in is not a task at all. The doors open widely at 90° making it even easy for older people.The interior have a floating touch screen infotainment panel surrounded by an ambient light setup. Automatic AC controls below it and certain ports like the USB& AUX ports.The car have a semi-digital instrument cluster. Analog speedometer & digital tachometer and other informations. The seats are supportive and offer a good support. They also have a tripod base shaped arrangements on them. Both the front and rear seats have rear armrests. Also like the i20, this car also have rear AC vents. The boot is practical to have luggages for a family trip. You can also flip the back row seats fully to expand the luggage area. No 60:40 splitting is possible.×Driving and comfortThe car is powered by a 1.2 liter revotron petrol engine and a 1.5 liter revotorq diesel engine both are BS6 complaintand are mated to a 5 speed manual gear box no automatic till now but will be released in coming dates.The petrol motor gives 85hp and 113 nm, its a three cylinder engine. But despite being a 3 cylinder mill, the engine is punchy enough to pull the car due to its light weight This motor is seen in the nexon also. The diesel motor is a 4 cylinder one seen in the nexon. But it is detuned to 89hp and 200 nm this is the kingmaker 'the gold standard' as said by Tata. This is a punchy motor since the torque output is got from a very low RPM, this is peppy enough and enthusiastic to drive. On my drive I got a mileage of 16-18 kmpl for diesel.Both these engines have two driving options City& Eco. No sports mode, don't know why Tata avoided it. The mode selector is seen behind the gear lever. This mode. hanges the theme from blue to green.Top trim also gets cruise control setup.The suspension is good enough but you can feel the comfort when you glide over a pathole. Brilliant work by Tata engineers.×InfotainmentThe car is packed with Harman's 6 speaker system.The floating touch screen is easy to use compared to previous Tata cars. The sound quality is brilliant and is class leading. You can customize the theme colour as your wish.×Variants Altroz is available from base xe, xm, xt, xz& xz(o) . The car also packs with various options that includes factory fitted customisations they are Rhythm,Style,Luxe& Urban. These options are available on various levels.×Safety Tata means safety this car scored 5 stars in global NCAP being the second Indian car to scor it and the first car in its segment to score so. The company packs the car with 2 airbags ABS& EBD as standard. ×For whom is this car???If you want your family to travel in comfort& safe. Then you can choose this car. If you are an enthusiastic driver and all you need is a diesel hatchback then you may go for this car. Because this is the only car in its segment to offer a BS-6 complaint diesel engine.×Comparing with competitorsMaruti Baleno, Hyundai Elite i20, Honda Jazz, VW Polo are the main competetors.Comparing with them we see that Altroz is stronger than Baleno and its diesel engine is excellent, but coming to petrol baleno scores the more.The i20 is the feature rich car here it also have Hyundai's reliability and offers a 6th gear that its rivals misses. The 1.4litre CRDI diesel and 1.2litre petrol engines are also appreciable. Honda Jazz may be the car with lower specs. But the magic that honda does with its petrol mill is something that none can match with.VW Polo is the synonym of sportiness inthis segment its diesel engine having a nice performance too. But taking care of a VW car is a bit tasky. ×VerdictThe Tata Altroz is a car that a common man can buy it is sufficiently powerfull (diesei motor), and the best in safety. It also offers segment first features like floating screen& ambient lighting
Tata;Altroz;31 Oct 2020;Ismayil M;4.3; Daily Commute | Family Car | Tours;Completed 7500 kms in my altroz petrol xz. the only problem i found is with the engine because it is a3 cylinder, need to rev almost to 3000 rpm for the vehicle to accelerate in city mode, in eco mode power is reduced by 10 percent which makes it more laggy. but the comfort is unbeatable, corner stability is top notch, steering is light at low speed and gets hard in high speed which makes it more easy to control and very precise. music system is the best in class(harman kardin audio) and mood light makes it fell like a luxury car at night. the high beam height cannot be adjusted but it gives a very long throw so it is reasonable,lowbeam is projector and bright enough. im 6ft tall i can sit comfortably both in driving and backseat and it has more space compared to its rivals. brakes are crisp comes with abs nd ebd and makes it stable while driving. overall im really satisfied with the car and no others can beat it at this segment
Tata;Altroz;27 Jul 2020;Murali Dhara;2.7; Family Car ;Please don't go for TATA product. I have purchased altroz XM model, this doesn't come with remote key which is one of basic feature required to the cars. While booking we were given false assurance by Tata delealer that this car comes with remote key. Now if we go for aftermarket remote key product, car warrenty will lapse so, I am waiting for Tata accessories but not sure how long it takes. Regar ding this I contacted Tata company and dealer, they are not sure when they will release this accecery. Also, now my car completed only 90kms and it started giving jerky motion (intermittently) in 2nd gear. Problem with brand new car!!!I purchased this car/brand to support make in India product but now I realized that I wasted my hard earned money.Guys think twice before investing your hard earned money on this brand.
Tata;Altroz;9 Sep 2020;Balakishan G..;5.0; Family Car ;Having owned the vehicle for last one month and after driving it for 1000 km, I can say I am delighted by this car. It always put a smile on my face. I am getting mileage of more than 20 on highways when I switch on eco mode with cruise control. Overall I have got mileage of 16 so far which is a very good mileage for a petrol car.I think its a really Gold Standard as its being advertised.Its not y et perfect though, the car is a bit lazy in first and second gears which is expected for a naturally aspirated engine. Some revving will be required to overcome the shortage of torque. If somebody is not aware this or want better low-end torque, better to go for the diesel variant or wait for the turbo variant.
Tata;Altroz;18 Nov 2020;Neeraj Mehra;5.0; Family Car ;After 1.5 month of research and analysis i found altroz among premium hatchback segment (i20, Baleno).I wanted a car with safety style comfort mileage road presence feature preferably.And tata altroz filled my requirement.Engine performance is also good it takes 2, 3 second more to getup to 100 than i20 and baleno because of its heavy weight of material.But which is not merely mensionable.I am tot ally satisfied.If you are already a hardcore tata hater then you will not find it as worth car.But if you believe in product then definitely you should buy.U will never regret after purchase.
Tata;Altroz;13 Feb 2020;Viraj Dave;4.0; Daily Commute | Family Car ;Everything till now feels amazing. only one area where i cannot say the same is for the petrol engine. I've done just 500km till now. so haven't yet pushed the car (waiting to get past 1500km mark) hopefully it turns out to be a fun to drive engine. handling is on par with ford on this altroz so i really hope the engine compliments the handling once i start pushing it. average is around 14 ( shown in MID).interiors are really premium. the design,the feel (especially the steering wheel) the exterior design everything looks and feels amazing and really well put together.
Tata;Altroz;22 Jul 2020;ACSM Sameer;5.0; Daily Commute | Occasional Commute | Family Car | Tours;Hello Guys. I am Sameer.Proud owner of TATA ALTROZ XT PETROL model.The car is fantastic, awasome, eye catchy. looks sexy, I drove the car occasionally. My ALTROZ gives me comfortable riding, and one think I want to tell you when you seat in the car you feel safe and relax. you do not have to modify the car.. XT MODEL is worth the 💰.Go for it... Don't buy Baleno, IGNIS, i20, Go for it... because you r buying ⭐⭐⭐⭐⭐ safety car.. LIFE IS IMPORTANT THAN MILEAGE..
Tata;Altroz;12 Dec 2020;Amogh Pande;4.7; Daily Commute | Family Car;it's great!!If you want a spacious, comfortable safe and rich in looks as well as in features!! Altroz is a golden option for you!! mileage is also goodiam achieving almost 18 to 19 kmpl in city & 22 to 23 kmpl on highway!! with light foot!! it's does not jabe that much lake of power which the youtubers are telling.i have done a trip to himachal with 5 people and their luggage in the car!grnd clea rance is also good!!altroz is truly a great option!!
Tata;Altroz;3 May 2020;Deepak Kamath;5.0; Daily Commute | Family Car | Tours;Completed three months of ownership of the XZ(o) gold and black dual tone. It's been a joyful ride. Purchased the car for its NCAP safety rating. Ride comfort and handling are superb, cornering stability is excellent. I drive the petrol and the engine is adequately powered and I love the low growl of the engine. Boot space is adequate and interiors are premium. I call it my Goldstag. :)
Tata;Altroz;3 Jul 2020;Chennakesavu..;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Excellent car and everyone will be affordable with the launching price. You can drive car the confidently as per GNAP-5 rating and safer for indian roads. Very smooth steering responce and more spacious. Dnt get confuse and worry about other competitors commenting on Tata products and think about family safety.
Tata;Altroz;12 Jan 2021;Jayakrishnan..;4.3; Occasional Commute ;My altroz is giving me an average mileage of 12 kmpl only.In economy mode im hetting an avg mileage of 16kmpl.It have a slow power delivery in 1 st and 2nd gear.Everything else for this car is awesome.Brakes, Infotainment system, Looks, Suspension, Stability everthing is excellent.
Tata;Altroz;18 Jul 2020;Sidharth Vinod;4.3; Daily Commute ;I opted for altroz beacuse its value for money it has all the features compared to baleno and highlighting its safety one of the major concern on indian roads . performance is adequate good handling stability and braking it feels planted on road which gives more confidence
Tata;Altroz;29 Feb 2020;Mayank Pancholi;5.0; Daily Commute | Family Car | Tours ;This car is fantastic I just loved this car. My brother own this car and we went on long trip to dwarika and it was very comfortable and awesome performance. This Stylish car is having amazing features and build quality it feels very comfortable and safe in this car.
Tata;Altroz;19 Dec 2020;Gourav Chouhan;4.7; Occasional Commute | Family Car;in this segment best car with safety features and styling especially with its maintenance altroz service is at 15000 km where other cars 9000-10000km, lots of improvement by tata.
Tata;Altroz;9 Dec 2020;Yash Joshi;5.0; Daily Commute | Family Car | Tours ;Best car in the segment value for money safest hatchback in india under 10 lakhs big boot space16 inch tyres excellent on highways it's a very practical car sensible people will buy it
Tata;Altroz;8 Jan 2021;R D;4.5; Daily Commute | Occasional Commute;All Things are good 👍 .It's a best Family 👪 car for everyone and very powerful performance .Excellent mileage in Also city areas and good mileage provides on Hiways.
Tata;Altroz;26 Nov 2020;Paul Samuel;4.7; Daily Commute | Occasional Commute;Stunning look with atmost comfort.cabin looks really cool.this is our first car and ee are in love with Altroz .Just awesome.Only a negative point is the pickup.
Tata;Altroz;27 Aug 2020;Mukhtar Naved;5.0; Occasional Commute | Family Car ;I am Proud Owner of TATA ALTROZ XT PETROL.. BEST CAR IF you ARE SEARCHING FOR MILEAGE AND TOP CLASS SAFETY.. MY CAR TOTAL TRIP IS AROUND 2000KM..NO ANY COMPLAINT.
Tata;Altroz;10 Dec 2020;Jitendra Aluria;4.7; Family Car;nice car in terms of features, mileage and safety with comfort.... but some issues regarding service, delay in delivery time and poor slow rate of manufacturing
Tata;Altroz;9 Dec 2020;Netar Dogra;4.7; Family Car ;All car is totally excellent but there is only one problem in the car that is its gear shifting is not that much smooth as compared to the other cars
Tata;Altroz;2 Oct 2020;Bastin George;4.3; Daily Commute ;It's good in style and road presences but litle lazy in the initial. Over-all it's good. If anyone ask with a doubt I'll say it's TATA we safe
Tata;Altroz;4 Nov 2020;M P;4.8; Daily Commute | Occasional Commute;Ultimate car with world class safety and cabin, superb mileage in city 18 and highway 23 kmpl. Cabin space is very good, comfortable driving
