Company;Model;Date;User;Rating;Usage;Review
Tata;Bolt;15 Jan 2021;Vijay Sachdeva;5.0; Daily Commute ;The best hatchback i have driven so far.Its awesome to be in it.Nice handling.Ample soace 4 everything.Just one negative i have found is space 4 mobile is missing.Otherwise best i.Segment.
Tata;Bolt;26 Sep 2019;Royappan Louis;4.0; Occasional Commute | Family Car ;Actually I own Tata Indica Vista Diesel with Quadrajet engine 2012 model,I am happy and comfortable with the car space, maintenance and mileage
Tata;Bolt;2 Nov 2020;Surjeet Singh;4.3; Daily Commute ;This car is good but mileage is very bad other parts are good, Interior is very good this car is comfortable for long drive also.
Tata;Bolt;8 Aug 2018;NITIN BARTHWAL;5.0; Daily Commute | Occasional Commute | Family Car ;Awesome build quality, Driving experience is superb . Excellent condition interior with HARMAN sound system and steering mounted audio control . Its as good as new. Never met any accident .
Tata;Bolt;5 Mar 2020;Santhosh Vr46;3.0; Occasional Commute ;the car was super and I like it but the engine is very high maintenance is required
Tata;Bolt;18 Jun 2020;Vrajesh Nayan;5.0; Occasional Commute;Value For money Car .Best Service Experience .Superb Stering and turning Radius .
Tata;Bolt;12 Mar 2020;Praveen M;4.3; Daily Commute | Family Car ;value for money. very comfortable built strong, good quality music system,
Tata;Bolt;24 Sep 2019;Lohit Kumar;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;good car for this cost 😀😀😀😀😀🐴🐴🐴🐴
Tata;Bolt;28 Dec 2019;Saritha SV;5.0; Family Car ;super cars super fesilitis super app super mileage
Tata;Bolt;21 Feb 2020;Rajesh Debbarma;3.0; Daily Commute | Family Car ;Excellent performance. I enjoyed last 4 plus years
Tata;Bolt;9 Feb 2020;Ashutosh Tiwari;4.0; Daily Commute ;This car has best in class mileage best for taxi
Tata;Bolt;1 Nov 2019;Raja Travels;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;nice car but no safety purpose in this car
Tata;Bolt;30 Nov 2018;Muttanagouda..;5.0; Tours ;Its too good .. I used this car last 4 years :: and telling u .. now also it’s looking new car .. amazing.. I loved white color
Tata;Bolt;19 Sep 2019;Pksekar Sekar;3.7; Family Car ;Maintainence cost and fuel cost heavy
Tata;Bolt;7 Dec 2019;Deependra Sh..;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;IT IS AN AWESOME CAR IF YOU BUY IT
Tata;Bolt;1 Jan 2020;Akshay Patil;5.0; Daily Commute | Family Car ;An amazing new platform based car
Tata;Bolt;2 Oct 2019;ISHAN RANA;4.3; Tours ;It"s a Great value for money car
Tata;Bolt;20 Jan 2020;Ganpat Chawla;4.7; Occasional Commute ;Great car and very nice looking
Tata;Bolt;16 Jul 2019;Chandan Kumar;5.0; Family Car | Tours;Best and comfortable car this is low a maintenance car
Tata;Bolt;4 Jul 2019;Rp Bee;5.0; Family Car ;In the latest models ABS was announced to be introduced by tata
Tata;Bolt;2 Jan 2019;Subbramanyam..;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Superb with good looking with comfortable sitting and good interior
Tata;Bolt;25 Feb 2019;Kavi Anandh;4.7; Daily Commute ;My First car and Best for its comfort. Good for long drive.
Tata;Bolt;26 Jan 2019;Manoranjan D..;2.3; Occasional Commute ;Not good for a middle income owner
Tata;Bolt;22 Jul 2018;Sudheendra Rao;3.0; Tours ;Rough use by drivers
