Company;Model;Date;User;Rating;Usage;Review
Tata;Hexa20172020;17 Jan 2021;Shah Husain;4.3; Daily Commute | Occasional Commute ;Riding this car is a pleasure.The presence it has on road is class apart.It sticks to the ground and revs up so quickly despite its enormous weight.Best thing about this car is its suspensions.The quality of ride is amazing and you won't feel any bumps.The off-road capabilities are also good.Mate it with a k&n filter and performance spark plugs and you are ready to fly.Service cost is a bit high a nd mileage in city is around 10-11.Pros- great ride qualitygreat visibility aroundgood road presence punchy powerfeels safespacious giantcons-no touch infotainment service cost is high weight.
Tata;Hexa20172020;6 Aug 2019;Kunal Patekar;4.7; Family Car ;I have always been a tata hexa fan since the car was launched. finally i purchased car in 2018. styling features safety everything about the car is perfect except the issues that i have gone through after purchasing the car. Hexa has problem of Engine head leakage s my brand new cars engine was opened before completing a year and even the engine belt is making noise. i feel really sad that my new car engine was opened even if they have fixed it completely still i will suggest if you want to go for 7 seater or 6 seater then go for INNOVA if your budget is around 18-19 lakh.
Tata;Hexa20172020;8 Mar 2020;Sanjay Katiyar;4.7; Family Car ;This car is very super car .i have no this car but I want our experience is that locking and1safety wise very nice car milese also.my dream car is xmplus we are found more feature. with big size wheels locking beautiful.
Tata;Hexa20172020;8 Jan 2020;Mathew James;4.3; Family Car ;Its a Wonderful Car. Was driving Toyota Camry & Corolla for the past 10 years. But Tata Hexa Experience is totally different. Its Amazing ride comfort and the control you get over the car although its a big beast is awesome.
Tata;Hexa20172020;10 Nov 2020;Bharath Sai;4.7; Daily Commute | Occasional Commute;Excellent car. Good features. Gives good feel while driving. Should be first option if you are going to buy 7 seater under 22lakhs. No issues so far and running smooth. Comfortable, i drove around 400km without any stop.
Tata;Hexa20172020;11 Aug 2020;Sarfaraz San..;5.0; Family Car ;i love this car in this price range. it has all you need. Expecting high mileage from a 7 seater suv is out of context hence i think the car is extremely well designed. But i wish its initial acceleration was a bit more.
Tata;Hexa20172020;7 Sep 2020;Abhishek Sinha;5.0; Daily Commute | Tours | Family Car ;A very comfortable family car. Very Good on highways and even offloading.Got a company based sunroof also which is very good. And Bot the Build Quality is awesome.Far Better than XUV500 as I have experienced both.
Tata;Hexa20172020;17 May 2020;Venkatesh Ka..;4.3; Family Car ;veichle is good performance and safety. Braking is very well but the service at villupuram is very poor. There is no well trained technecian. If the service is promoted TATA will get good in market
Tata;Hexa20172020;7 Jan 2021;Sanjay Kat;4.3; Tours;This car remained in my dreams, but if l am alive then l would definitely like to keep this car, l kept driving this experience in my mind and went to the show room too,but this car is a car.
Tata;Hexa20172020;3 Jan 2021;N K;5.0; Tours | Occasional Commute | Family Car ;Great suv, Solid build, Powerful, Fully featured - esp, Tcs, Vdc, Rom, Csc, Ebp, Edtc, Hdc, Hhc, Tod, Cruise1control, Harman kardon 10 speaker sound system.
Tata;Hexa20172020;15 Apr 2019;Dr Ashwath;5.0; Family Car ;It is excellent SUV for long trip, Comfortable for six people, make betterment of turbo mechanism it make additional sound while opening of turbo after show room visit it is better now even u can still make it soundless otherwise it is an excellent SUV
Tata;Hexa20172020;6 Sep 2019;Supratim Das;5.0; Family Car ;I love tata hexa.I feel better when go a long drive. It is alaways a fortune giving car for me.Really it is a amazing and great car.👍👍👍👍
Tata;Hexa20172020;4 Sep 2020;Danny Roxs;5.0; Tours ;Awesome experience...good interiors worthfull ... Car handling is superb ....spacious ... I really love this car...one hell of a best suv I love...
Tata;Hexa20172020;19 Jul 2020;Noel Ravin;4.3; Family Car ;Car is great to drive and very spacious and comfortable. The engine mated to the automatic gearbox is very intuitive and power is good.
Tata;Hexa20172020;19 Jan 2021;RAJURAJENDRA..;3.2; Daily Commute | Occasional Commute;Im tata hexa onwer mileage city 8to9 highway 12 to 13 aasani se deti hai comfort best tata ka matlab saf jindgi
Tata;Hexa20172020;4 Dec 2019;Pushpalatha N;5.0; Daily Commute | Tours;Best suv compared to innova crysta,Seven members can take himalaya trip undoubtedly. It's comfort is phenomenal
Tata;Hexa20172020;15 Oct 2020;Raziv Das;4.7; Tours | Family Car ;It’s awesome and very comfortable, comparing to other luxury vehicle it’s more spacious till the back seat.
Tata;Hexa20172020;17 Dec 2020;Dilip Aravam..;4.7; Daily Commute | Occasional Commute;This is a very value for money car. Best suited for long rides and can assure that one will never get tired
Tata;Hexa20172020;22 Dec 2019;Basheer Ahamad;4.7; Family Car;Automatic version is superb. Highway and off road driving is like removing hair from butter, llove to drive
