Company;Model;Date;User;Rating;Usage;Review
Tata;Indica;26 Sep 2020;David Moses;4.7; Daily Commute | Tours ;Over all a was a very good car for every one.Comfortable seating and manuvaring Even the passengers enjoys the drive provided he is a good driver. I did travel almost the entire South India climbing the both easter and western ghats. I loved my Indica. Now I have a pickup truck the muscle car Tata xenon.
Tata;Indica;17 Mar 2020;Pradhuman Singh;2.7; Occasional Commute ;Heavy metal body but lacks in features.. very irritating sound when start cold.. vibrations everywhere.. but the only best part of indica is that it is reliable on every road.. maintenance free.. yes it is maintenance free if you give her a service time to time..
Tata;Indica;7 Jan 2020;Mayank Pancholi;4.7; Daily Commute | Family Car | Tours ;I have been using this car for 14 years and Its still performing very good. Tata cars are worth buying. Most reliable and durable cars in India and best comfort and build quality is provided by Tata.
Tata;Indica;27 Sep 2020;Sandeep Sandy;4.0; Daily Commute | Occasional Commute;1. As TATA is providing excellent features but delaer VVC is exploiting the customers in the name of maintenance and service. 2. Value for money varient with more features with less cost.
Tata;Indica;28 Dec 2020;Harsh Kumar;3.0; Daily Commute | Occasional Commute;Great mileage ( 19 km/l ) Fit finish can be betterMinimum 10000 rs required every year for the sake of maintainance ....More comfortable and spacious than vw polo and swift .....
Tata;Indica;16 Dec 2020;Raghavendra ..;4.7; Family Car ;It has been a very good experience, Except for the noise we traveled all over from gurgram to lucknow to allahabad and varanasi many times and once to nainital from allahabad
Tata;Indica;23 Oct 2018;K Bheemsen;4.7; Tours;It"s a wonderful car I travelled all the way to Delhi and Kanyakumari from HYDERABAD to Pune towards west and to Cuttack on East side in comfort without breakdown anywhere. It"s 1400cc power is the best feature. Great car indeed. If only it had bigger boot I would go in for the same again.
Tata;Indica;10 Dec 2020;RAJENDRA PATIL;3.7; Family Car ;An excellent car used for 20 years.Trustworthy and gave good mileage.Enjoyed the driving.Makes little noise nowadays but has given me it's best.Thank you.
Tata;Indica;26 Dec 2020;Himanshu Sharma;4.5; Daily Commute | Occasional Commute;Its overall very good car at that price point.Ome should consider it that time nice fiel efficiency and service cost is less than petrol.
Tata;Indica;26 Jun 2020;Mahesh Sharma;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;This car is very good car & this car maintenance is very low & mileage is very good this car is comfortable for family & tour & daily use
Tata;Indica;9 Nov 2020;Jignesh Suthar;4.0; Family Car ;It's amazing but now outdated so, Purchase new car.Now day by day new version car arrived with morebcomfort, Features with safety.
Tata;Indica;30 Sep 2020;Anand Bhatta..;2.7; Family Car ;A basic strong car very good for co-passengers. Maintenance from day one and part of life. Good man mileage. Good for highway.
Tata;Indica;19 Aug 2020;Saad Info;4.7; Family Car ;The best car for all you need thanks Tata for that I really enjoy my first car in this segment I fully setisfied with
