Company;Model;Date;User;Rating;Usage;Review
Tata;IndigoeCS;4 Jun 2020;Shubham Raj;3.3; Occasional Commute ;This car is very right choice of me in budget of 6 to 7 lakhs. In this small budget i enjoy the ride of a sedan car.also the mileage is superb according to its body weight because it,s a tata car so there is no tention of build quality.also the mileage of this car is superb according to it,s body its gives around 20+ mileage in city and on highway you get 22 to 23 kmpl and i you ride under 60 kmph on highway you will get 25kmpl of mileage by this car also the maintenance cost is good according to it,s body and also rhe spare parts available everywhere of this car.so this is very efficint car for those people who want to tke enjoy of sedan at the rat of hatchback.
Tata;IndigoeCS;13 Nov 2020;Pagidimarri ..;4.7; Family Car ;Strong built quality, Easy maintenance, Even all type of middle class people can buy and maintain easily and fullfil their car desire dreams, Bcoz of low resale value.Thank you tata.
Tata;IndigoeCS;29 Oct 2020;Pratik Chandra;4.3; Daily Commute | Occasional Commute;Very good family car for any trip..U can enjoy long trip alsoVery safe and powerfull body of this car..Its my first car..Very very very fantastic car.. 5 out of 5 by me
Tata;IndigoeCS;25 Nov 2020;Prakash Mishra;4.3; Family Car ;Wah!😊😊😊😊😊 drive smoothely, Use proper gears, Don't make hurry, Enjoy your journey.I am happy that ई bought this which fulfil my all needs.
Tata;IndigoeCS;10 Dec 2020;Vipin Sharma;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Perfect, Pride to own a tata sedan.Robust body.No problem till now in engine.Minimum ecpeditue incurred so far in maintenance even a diesel one.
Tata;IndigoeCS;6 Sep 2020;Alok Bajpai;5.0; Family Car ;Good experience driving this car. Have shared experience with others. Low maintenance cost. extremely Comfortable with enough space.
Tata;IndigoeCS;5 Jan 2021;Rahul Raj;3.7; Daily Commute | Tours ;Low cost running and maintenance with worst comfort level--thnx nd srry tata using it since 2015 nd its a car for life...
Tata;IndigoeCS;25 Aug 2019;Bamaniya Kis..;4.7; Daily Commute ;Good and comfortable car
Tata;IndigoeCS;24 Oct 2020;Renu Vyas;5.0; Family Car ;Engine good condition 84000 km drive no work in eingine very good day are you interested contact ME I Am exchange
Tata;IndigoeCS;21 Sep 2020;Rakesh Pathania;3.3; Daily Commute | Occasional Commute;Nice car to mileage but lack in comfort and style.. Suspension are not so good.. But very reliable tata product.
Tata;IndigoeCS;30 Dec 2020;Akash Shikariya;3.7; Daily Commute | Occasional Commute;Best compact sedan value for money lo cost maintenance head lights boho powerful hai bohot majboot buid quality
Tata;IndigoeCS;25 Feb 2020;Praveen Vasu;2.7; Occasional Commute ;feature less and more maintenance not best in class but engine power is gd and space is AWS but quality is bad
Tata;IndigoeCS;9 Aug 2020;Nageswara Rao;3.0; Family Car ;average, good luggage keeping, maintenance cost less.nice colour good handling.nice driving overhal good one
Tata;IndigoeCS;7 Nov 2020;Shreeyash Mali;3.3; Daily Commute | Tours ;Milage low in local 17 km/ltd on highwayAc not working very poor pickup when ac on heating engine more
Tata;IndigoeCS;21 Nov 2020;Harsh Singh;4.8; Daily Commute | Occasional Commute;Well Maintained car koi bhi kmi nhi h bikul msst condition me h 4 tayer bikul new h koi bhi dikkt ni
Tata;IndigoeCS;2 Sep 2020;Deepjyoti Bh..;4.0; Family Car ;Nice car... Awesome to drive... Performancewise very good... Good engine performance n reliability...
Tata;IndigoeCS;20 Jan 2021;Hitesh Duarah;4.0; Daily Commute | Family Car | Tours ;Good car zero mantain.I am happy this tata prodact.Body quality is good.This car is so must comfort.
Tata;IndigoeCS;29 Aug 2020;Anzia Kalam;5.0; Family Car ;I like the car very much... But now a days its an old one thats y iam interested to buy another one
Tata;IndigoeCS;26 Sep 2020;;3.0; Family Car | Tours;Low seating height somewhat useless adjustable headlight, poor insulation. Kindda just okay car.
Tata;IndigoeCS;20 Aug 2019;Arumugam Sam..;4.3; Family Car ;Good family car. But it was stopped by company due to various reason.unable to buy primal spares.
Tata;IndigoeCS;29 Jul 2020;Vanaja Vanaja;5.0; Family Car ;Well maintained good mileage 27 KM single ladys driven insurance claim is Nil good performance
Tata;IndigoeCS;21 Aug 2020;Anudeep 143;3.7; Family Car | Tours;Low price with good features.and Maintenance cost is little high comparing to indica.
Tata;IndigoeCS;27 May 2020;Mahesha Math..;3.7; Family Car ;All average, not bad..., It's an Indian made car, In kannada.. SWADESHI ..made..
Tata;IndigoeCS;5 Jun 2020;Shivansh Mishra;4.7; Daily Commute | Family Car ;This car is very good but we don't get any safety future in that disappoint me
Tata;IndigoeCS;23 Dec 2019;Pankaj Saxena;1.7; Daily Commute;Very bad service conditions parts are expensive availability is difficult
Tata;IndigoeCS;28 Jun 2020;Ankur Singh;5.0; Family Car ;Good comfort good milage low range to maintaining having very powerful
Tata;IndigoeCS;7 Jun 2020;Amit Kulshre..;3.7; Daily Commute;maintenance cost is too high, but very safe and gives comfortable ride
Tata;IndigoeCS;18 Dec 2019;Aritta Sinha;3.0; Family Car ;Good but since it is old model, it is low on features and performance.
Tata;IndigoeCS;5 Aug 2020;Sagar Rajak;5.0; Family Car;my tata indigo ecs is very good condition and very good maintenance
Tata;IndigoeCS;3 Jul 2020;Vimal Shah;3.7; Tours ;I have driven 232000 kms in 3 years 9 months and it's still working
Tata;IndigoeCS;19 May 2020;Rakesh Kale;3.7; Daily Commute ;Car is all over good but not meant for higher speeds and long runs.
Tata;IndigoeCS;14 Oct 2019;Sheena Sheri;2.7; Family Car;Cars is good...but it was a second hand car and the man cheated us
Tata;IndigoeCS;12 Sep 2020;Oliver Samson;2.0; Daily Commute;Nothing special to share. Trying to exchange upto this year 2020
Tata;IndigoeCS;14 Dec 2019;Kavita Fulmali;5.0; Family Car ;good condition car indigo tdi model base model Tdi. turbo ingin.
Tata;IndigoeCS;17 Jul 2020;AMIT SHARMA;4.7; Daily Commute ;It's a good car but now old one.. Upgrade my self now b6 engine
Tata;IndigoeCS;8 Jul 2020;Sudeep 420;4.7; Daily Commute | Occasional Commute | Family Car | Tours ;It's a good Vehicle mileage is good Very Comfot for long drive
Tata;IndigoeCS;24 Jul 2020;Manali Cdss;3.3; Tours ;Good ground clearance and power while driving Best controlling
Tata;IndigoeCS;9 Nov 2019;Beeshma Gowda;3.3; Daily Commute ;Nice it's okay I love it when I get off at the moment
Tata;IndigoeCS;26 Dec 2020;Jitendra Kumar;4.3; Family Car;all is well bes legroom best stability at high speed
Tata;IndigoeCS;19 Mar 2020;Dorjay Tsetan;3.0; Occasional Commute ;Not so good but little dissatisfied with spare part.
Tata;IndigoeCS;24 Jun 2020;Shubham Kumar;2.7; Tours ;it's a passenger carrying car not a luxurious car.
Tata;IndigoeCS;3 Mar 2020;Suresh Kanhar;3.0; Occasional Commute;overall performance is good. maintenance need more.
Tata;IndigoeCS;30 Dec 2020;Kushalveer S..;4.0; Family Car;allover good and budgeted car in this price range
Tata;IndigoeCS;8 Oct 2020;Nabeel Nabee;5.0; Family Car;very good very good very good very good very good
Tata;IndigoeCS;22 Apr 2020;Niraj Kumar;4.0; Daily Commute | Occasional Commute | Family Car ;its awesome car thanks Tata for such a great car
Tata;IndigoeCS;10 Dec 2019;Ritesh Singh;3.0; Family Car ;Budget family car but service dealers are dacoits
Tata;IndigoeCS;27 Nov 2019;Sanjay Chatu..;4.7; Daily Commute ;Mileage is around 20 kmpl I travel 70 km per day
Tata;IndigoeCS;17 Oct 2019;Palani Muthu..;4.3; Family Car ;Super duper family sedan low costore energetic
Tata;IndigoeCS;9 Sep 2020;Md Rizwan;2.0; Family Car;very bad experience and my car is second hand
Tata;IndigoeCS;20 Sep 2019;Surender Nar..;4.0; Occasional Commute ;It"s good car. Easy to drive on rough ways.
Tata;IndigoeCS;25 Sep 2020;Sdverma Verma;3.0; Daily Commute;not running smooth.tyres wastage frequently
Tata;IndigoeCS;29 Feb 2020;Harikesh Pandey;4.7; Tours ;fantastic look ,drive safe comfortable seat
Tata;IndigoeCS;11 Oct 2020;Arun Sahu;3.0; Family Car;this vhaical always creat starting problem
Tata;IndigoeCS;18 Aug 2019;Sachin Praja..;3.7; Family Car ;It's good but not best
Tata;IndigoeCS;28 Sep 2019;Sanjay Singh;4.7; Occasional Commute ;Awesome car as per Leg room and strength.
Tata;IndigoeCS;25 Aug 2019;Brahmananda ..;4.3; Family Car ;Best care without air bags on road exalent
Tata;IndigoeCS;8 Apr 2020;Pardha Saradhi;5.0; Family Car ;Very good and awesome very comfortable
Tata;IndigoeCS;25 Jan 2020;Rkb P;4.7; Daily Commute | Family Car | Tours ;awesome , compatible , awesome mileage
Tata;IndigoeCS;21 Dec 2019;Umesh Sharma;3.3; Daily Commute ;IT IS I WANT TO SELL IT AND BUY NEW ONE
Tata;IndigoeCS;14 Jan 2020;Ansari Osaid;3.7; Family Car ;its awesome.this cars has good engine
Tata;IndigoeCS;15 Jun 2020;Harshal Ente..;2.7; Family Car;maintenance is too much,rest is good
Tata;IndigoeCS;28 Mar 2020;Yashwant Gade;3.0; Family Car ;new car parchege hausnwHen ee8wbw te
Tata;IndigoeCS;9 Jun 2020;Pankaj Mane;3.3; Family Car ;Tata car has very bad engine quality
Tata;IndigoeCS;2 Jun 2020;Vinod Kunte;5.0; Family Car ;Safety, family car, good maintenance
Tata;IndigoeCS;11 Feb 2020;Ashwani Kumar;5.0; Family Car ;Very Good Performance CarI Like it
Tata;IndigoeCS;9 Feb 2020;Vikas Singh;2.3; Family Car;total loss in name of tata indigo
Tata;IndigoeCS;9 Oct 2019;Rafi Nadaf;4.7; Family Car | Tours ;Very good
Tata;IndigoeCS;10 Nov 2019;Sambasiva Ni..;3.0; Family Car ;Ok Good but design should change
Tata;IndigoeCS;28 Aug 2019;Anbu Chelian;3.0; Daily Commute ;good and comfort, value for money
Tata;IndigoeCS;13 Dec 2019;Aditya Shekh..;4.7; Daily Commute ;This car is too much good for me
Tata;IndigoeCS;6 Jan 2020;Abdul Wahab;3.7; Family Car;not bad but parts are expensive
Tata;IndigoeCS;25 Sep 2019;Sandeep Sahani;4.7; Occasional Commute | Family Car ;Very good and very comfortable
Tata;IndigoeCS;2 Jan 2020;Subhas Kumar;3.7; Family Car ;Good Comfortable Look is average
Tata;IndigoeCS;29 Dec 2019;Sanchit Katiyar;3.0; Daily Commute ;its okk type car at good rates
Tata;IndigoeCS;27 Aug 2019;Ganesh Mhaske;5.0; Family Car ;Super gadi indigo e c s
Tata;IndigoeCS;13 Dec 2018;Dhirendra Singh;5.0; Family Car ;Love this car and durable in petrol version. Given no problem for ten years, low cost on maintenance. Great pickup
Tata;IndigoeCS;23 Oct 2020;Mamta Rahul;2.7; Family Car ;Good carBut M new car leyna chyti hu
Tata;IndigoeCS;17 May 2020;Manjeet Singh;3.0; Family Car ;I m not satisfied with this tata car
Tata;IndigoeCS;31 Mar 2019;Ravinder Singh;3.7; Family Car ;Car is good for about 2 years but after that tata factor starts arriving bad experience with brakes
Tata;IndigoeCS;1 Apr 2019;Bikram Singh;4.7; Daily Commute | Family Car | Tours ;Best car for me. I rode 3 lakh km and engine still not open singe time and clutch plate also old.
Tata;IndigoeCS;21 Jul 2019;Ruban Samuel;3.0; Daily Commute | Occasional Commute | Family Car | Tours ;poor service from the authorised dealer. engine sound is very high sometimes irritating.
Tata;IndigoeCS;18 Jan 2019;Mahendra Marmat;4.3; Tours ;Tata indigo is best family car,you can drive it all over country without any problem.
Tata;IndigoeCS;9 Feb 2019;Uday Prasad;4.3; Occasional Commute | Family Car | Tours ;Good car comfort and maintenance cost wise, only issue less power for climbing
Tata;IndigoeCS;4 Jun 2019;Asmit Kumar;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Best Car, A bit noisy, low maintenance, cheapest sedan, The Real Hercules.
Tata;IndigoeCS;6 Mar 2019;Raju Borah;5.0; Family Car ;Excellent car and varry comfort . It is my good experience for my life
Tata;IndigoeCS;13 Mar 2019;ASHOK KUMAR;3.7; Family Car ;It is a nice sedan. And a strong body for safety of its commuters.
Tata;IndigoeCS;23 Jun 2019;Jay P;3.7; Family Car ;My Indigo ecs car is very comfortable n very good in mileage.
Tata;IndigoeCS;27 Jul 2019;Kumar Digital;4.0; Family Car ;Very nice and comfortable safe and sedan experience
Tata;IndigoeCS;3 Jan 2019;Kishore Kumar;1.7; Tours ;it is very much expensive and hard to maintain on driver
Tata;IndigoeCS;17 Oct 2018;Sukhdeep Singh;5.0; Family Car ;10year good condition fresh no text run family use car
