Company;Model;Date;User;Rating;Usage;Review
Tata;Nano;25 Sep 2020;Jagadish Tal..;3.7; Daily Commute ;I m using the tata nano from last 6 years and i m still looking forward to drive it more It delivers a nic 17-18kmpl in city drive and 24-26kmpl in highway when i drive.I have till now changed only some minors things such as tyres ac condenser and front strut shock absorbers onceI wish it had a diesel engine at the same engine displacement like 600-700 it would given a mileage of 30-35 kmpl in hig hway
Tata;Nano;19 Mar 2019;Bhagath Sp;4.7; Daily Commute | Occasional Commute | Family Car | Tours ;I own Tata Nano Twist, 2014 Model. This car is less driven around 10700 kms till now. I had a other car so not much used. Yearly service was maintained as per the schedule. Car is good to drive in cities and i didn"t feel that bad as people comment on this car. Its a two cylinder engine, little noisier than other cars but its manageable. At this price point the car has some good features and it ha s excellent space compared to my other car(felt not to mentioned as i can purchase 2 Nano;s from its price). Nowadays it become my daily drive and i am really enjoying it. Cheap to maintain and its strong than it looks. little more feature like front disk breaks would be suggestible if they are again introducing it.
Tata;Nano;5 Sep 2020;Hilal Uddin;4.0; Daily Commute | Occasional Commute;DATE = 03/09/2020Uin =Csp Name = Uma Bhengra Village = Borghat Salona Branch = Salona Login = Y/N = Y No of Deposit = 10 nosDeposit Amount = 48,000/-No of Withdrawal = 13 nos Withdrawal Amount =19,100 /-Total no of Tnx = 23 nos Total Tnx Amount = 67,100 /-Enrollment = 5 nosPmjjby = Nill Pmsby = Nill Apy = Nill
Tata;Nano;26 Dec 2020;Aniket Saxena;3.7; Daily Commute | Occasional Commute;I purchased Nano as a second hand car. It's 2012 model and is comfortable foe metro use. I'm easily able to park anywhere I want. Last time I took a note on average that's around 24kmpl. It's amazing for a car. It's a cheap car but is practical for Indian road. I'm totally satisfied with Nano.
Tata;Nano;14 Oct 2019;Jahaangir Me..;5.0; Daily Commute;Nano is an excellent car and very comfortable to drive. I have the twist model for the last 6 years and no complains at all.it has power steering and power windows which are awesome. It is really sad that Tatas had to stop production of this dream car for Ratan Tata.
Tata;Nano;8 Sep 2020;Aslam Rahman;4.0; Daily Commute ;Get within price range. Value for money .using this car since the launch date in Jan 2010 approx 90000 km I have used till date and always used my AC. Satisfied with daily commute of 60km to and from and occasionally travelled 500km in a day too. Satisfied
Tata;Nano;13 Jan 2021;ANIL KUMAR;4.0; Occasional Commute | Family Car | Tours ;People rejected as cheap car, But it gives you more than you need at that price point.Its a pure engineering marvel, Never before and ever after.Only nano owner knows the value of it.Best mileageless maintenance costspacious cabinenough powered engine.
Tata;Nano;27 Dec 2020;Vinay E;4.3; Daily Commute ;Good condition better miles per litre of petroleum engineering works the best to way forward and confirm me that case i send you better weather conditions any opportunity to work ahead of time and consideration relationship with the car 🚗
Tata;Nano;14 Apr 2020;Uday Kumar;4.3; Family Car;TATA NANO XT Twist model 🤗 A/C are amazing cooled 😎 Mileage is 22km per/litre😁I long traveled my car four times in a year ( Hyderabad to Chennai ) up & down in my family😊 comfort zone 100 speed safety driving Best car in my life.
Tata;Nano;15 Oct 2020;Niraj Baranwal;4.0; Family Car ;I am totally satisfied with my Tata Nano car. Since nine years of owning this magical car. Before Tata Nano, I had used Maruti 800, Maruti Van, Tata Indica DLS, and Santro Xing. But nowadays for nine years, my most favorite car is my nano.
Tata;Nano;1 Dec 2020;Yogesh Gaykar;4.3; Daily Commute | Occasional Commute;Good car,value for money, engine has enough power and good milage, strong enough for its size.ConsStigma attached to it is cheapest car, Indian people want car for showing not for use.Thus a good car failed to impress Indians
