Company;Model;Date;User;Rating;Usage;Review
Tata;Safari20052017;12 Jan 2019;Sunjeet Kumar;3.0; Daily Commute ;After owing and driving for 8 years I find this car is good for 7 person all can get in and out easily and travel together but as my SAFARI is old model it lags engine refinement has too much engine noise doesn't has abs ebd airbags body roll is too much while normal drive as its too high above ground etc. Mine is 4x2 model but still I use in some little sluggish mud and sand areas and I am able t o get out from such situation. As its a big SUV so parts are big and expensive also very hard to get original. Like my EGR valve is not working.I am forced to use without EGR valve.The build quality is not so good either. Average is too low in city you will get 8kmpl and on highway 10kmpl.The clutch is placed too high and is hard always no matter if I get new clutch set within a month it gets hard I always buy TATA genuine parts from dealers. For a 6ft height person like me you sure will get pain in your ankles and knee cuz the SAFARi needs change in gears frequently it can not pull you out even 3 rd gear if you are in speed of 20 to 25. the engine will start hesitating making you to shift to lower gears which makes the driver restless while driving.I have driven 8 to 12 hrs continuously which makes me too tired. Its just feel outdated and boring and feels a burden of owning such car.I suggest anyone opting for 7 seater SUV just go for compact SUV 5 seater for max 5 to 6 years and agian buy a new 5 seater SUV beacuse in todays price of 7seater suv you can own 2 different types of 5 seater compact suv each for 5 to 6 year which would be equivalent to one 7 seater suv in terms of price plus you always have an updated features in your car for life.
Tata;Safari20052017;19 Sep 2020;Pavitra Oza;4.7; Daily Commute;Profile....Maker 😍 Great Driving Position.It's fantastic ....3rd Time Again Safari n safari ....having almost all cars including BMW 5 , Gypsy , Endeavour , innova but always love to drive this
Tata;Safari20052017;18 Oct 2020;Madhu Devara;3.3; Daily Commute | Occasional Commute | Family Car | Tours ;In love with safari from last 10 year I only problem in my location service center is very bad compare to Hyderabad Tata Plz Improve in ur Service s in Warangal.
Tata;Safari20052017;6 Dec 2019;Divakar B;3.3; Tours ;Safari car is very good performance and very comfortable inside wile raiding v will not get strain. Engine performance is also good and my FAVOURITE car
Tata;Safari20052017;6 Aug 2020;Dilipkumar J..;5.0; Daily Commute ;King on the road. The Elephant. No one dare to come when you are on highway. My experience is excellent. Never created any problem on highway
Tata;Safari20052017;25 Aug 2020;Dilip Upase;5.0; Tours ;Good performance and better mileage And all condition car.Best of 15 kmpl mileage in car All lather sit, all power windows, power steering.
Tata;Safari20052017;16 Jan 2020;Kuldeep Pal;4.0; Family Car ;i am comfort with tata safari but in kanpur city they are not comfort because the roads are in narrow so its dificult with it
Tata;Safari20052017;3 Sep 2020;M;5.0; Daily Commute | Occasional Commute;Good car superAC WITH ALLMEMBERS NO BRAKE USE IN FAST INFORNT OF SPEEDBRAKER WITH CAR NOT A PROMBLEM WITH CAR GOOD MANTICE
Tata;Safari20052017;27 Dec 2020;Ravindra Kumar;4.7; Daily Commute | Occasional Commute;Best SUV in heavy vechile,Comfort, pickup, raliability best for in indian roads , high value for your money
Tata;Safari20052017;2 Dec 2020;Dilip Tawar;5.0; Daily Commute | Occasional Commute;Best car and safety of passenger is very good, well maintained vehicle, vip no. 1st owner, new battry
