Company;Model;Date;User;Rating;Usage;Review
Tata;SafariStorme;6 Mar 2019;Anil J;5.0; Occasional Commute ;Tata like an aristocratic company don't do this, I brought my safari storm in 2014 march by the opening ceremony of M K Motors Kottayam, now Tata killed the legend, This year I planned to exchange my boy to Harrier or Hexa, both I test drove, but I can't get a smoothness or comfort or confidence in these vehicles, and also last month Auto car magazine it learn that Tata will kill hexa also by Apri l 2020.if i invested 24 lacs this year next year it will comedown as 5 lacs, So how we trust this company, in my view Tata cheating us.How we can by their vehicles for just one or two years, If they have a professional ethics, they will upgrade their Storm (Ratanji's flagship ) to automatic version. Now i have decided to retain my Safari Storm KL 03 X 8400, 29800km covered. But if i change it I will go for Ford Endevour. In my experience with storm /Safari last 12 years, I can't compare my safari to any Vehicles eg. Scorpio, Fortuner, XUV 5oo etc
Tata;SafariStorme;10 Nov 2020;Sujan Roy;4.3; Daily Commute | Tours | Family Car ;Once you get used to the storme everything else seems trivial.I have had the good fortune to have driven some amazing cars in india and abroad.Of all the cars i have owned and driven, Simply nothing compares to the storme.On indian roads, You are the king! storme is not a vehicle.It is a drug you get addicted to!.
Tata;SafariStorme;4 Jun 2019;Manjeet Bhargav;4.0; Occasional Commute | Family Car ;Tata Safari storme . A real SUV. Rough and tough . Real offroader. even without 4*4 its very capable. high seating position,wow. what a commanding position. seats are comfy and soft. Ride quality is best in class. best in class power and torque.better than scorpio. lots of space and it just glides over worst of worst road. tradition suv . i agree it doesn"t get new modern suv but i think it doesn" t matter for a safari lover. it fullfills out desires. i love it. Emotional Attachment with this beast.
Tata;SafariStorme;23 Aug 2020;ALLROUND VIDEOS;5.0; Tours;we want to go on tour hey fun v bud I was just wondering if you have any questions please feel free to contact me at any time and I will be there at any time and I will be there at any time and I will be there at any time and I will be there
Tata;SafariStorme;27 Jan 2020;Aditya Ranjan;4.7; Daily Commute | Family Car;This Is One Of The Best SUV(s) Out There On The Road! Happy With The Off-road Experience And Comfort. And The Best Thing Is That it Comes From The House Of TATA, i.e. Not To Worry For Service Issues.
Tata;SafariStorme;3 Mar 2019;Rajesh Vijay..;4.7; Tours | Family Car ;It's a nice and strong car. It is very sturdy and we go all around the south India till now. We feel very safe, and has not given any problems on the way. We have done the service at the auto industry in Margao. They were good, and the manger there Sony been very cooperative.
Tata;SafariStorme;6 Oct 2019;Abhijeet Ajeya;4.7; Occasional Commute | Family Car | Tours ;A car for touring. No issue, run on any road, any speed, fully loaded. One of the safest vehicles to drive in India.
Tata;SafariStorme;26 Sep 2020;Shad Khan;5.0; Daily Commute | Occasional Commute | Family Car;this car is seriouley awesome.this car performes nice in offroading,we got next level of swag from this car🤟
Tata;SafariStorme;24 Feb 2020;Udai Mohan;3.7; Occasional Commute ;car seatings, road visibility & suspension is super. When we drive to Safari then we feel A politician...
Tata;SafariStorme;22 Nov 2020;Subhash Bhasker;4.3; Family Car ;Safest vehicle for the family.Good acceleration and comfortable cruising.Dependable for long trips.
Tata;SafariStorme;29 Sep 2020;Ashokarabolu 22;5.0; Daily Commute | Occasional Commute;I love you TaTa safari storm good help and safety royality look and nice car i have a new car.
Tata;SafariStorme;2 Sep 2019;Akshay Singh;4.0; Daily Commute ;Its a good suv to drive. It gives you a pleasure that you are driving a beast. Good pick up and safety
Tata;SafariStorme;28 Apr 2020;Arshad Khan;3.0; Family Car;Big car. not too comfortable. ok for long distances. being large car gives a secure feeling.
Tata;SafariStorme;2 Sep 2020;Ashwani Singhal;5.0; Family Car | Tours;performance outstanding with top speed 190 on yamuna express way .
Tata;SafariStorme;31 May 2020;Kiran Ramesh;5.0; Family Car | Tours;The best SUV in the price range of 20 lakhs & a rugged vehicle.
Tata;SafariStorme;24 Jan 2020;Hemant Pramanik;3.0; Family Car ;Overall it's ok but not to good according same sigments vichel
Tata;SafariStorme;29 Sep 2020;Bachu Sharma;3.0; Daily Commute | Family Car | Tours;safari is good for the offroad and maintenance is not good
Tata;SafariStorme;31 Jan 2019;Rishabh Garg;3.3; Daily Commute ;It is a good car I bought it for daily commute its maintainance cost is quite high but note small brother is using the car it is the diesel model
Tata;SafariStorme;17 Nov 2019;Omkar Patil;4.7; Occasional Commute ;Its feel like riding Elephant on road.like a King ...
Tata;SafariStorme;29 Oct 2019;Dwarikadhees..;5.0; Family Car ;good niser so good very bast . the shape is perfectly
Tata;SafariStorme;18 Sep 2020;Deepak Vimal;5.0; Family Car;Dream SUV of our family and India's first SUV also.
Tata;SafariStorme;23 Oct 2019;Kausar Ali;4.7; Family Car ;rugged though offroad with beauty and beastly style.
Tata;SafariStorme;7 Oct 2019;Abdul Rahim;4.7; Family Car ;best car in 2015. performance style is super awesome
Tata;SafariStorme;18 Sep 2019;Sumit Gupta;4.3; Family Car ;Great I love driving it . It"s a strong and SaFe one
Tata;SafariStorme;9 Dec 2018;Pritam Patil;3.0; Family Car;Needed automatic transmission and the size of windows are too big it makes a little scary feeling while traveling at night in rural areas
Tata;SafariStorme;8 Jul 2020;Deependra Singh;2.3; Tours ;Nice but maintenance cost high n average is less
Tata;SafariStorme;5 Aug 2020;Pradeep Singh;3.7; Family Car;superb suv safari STORME good at any roads
Tata;SafariStorme;29 Feb 2020;Sachin Kashyap;5.0; Tours ;v good suv, log rod vairy good perfarmance
Tata;SafariStorme;10 Mar 2020;NARENDRA SINGH;4.7; Family Car ;best SUV for drivinghigh ground clearance
Tata;SafariStorme;31 Dec 2018;GK Kumar;4.7; Daily Commute ;An excellent car with features, really a good car with good safety feature. There are small issues there but you can ignore them.
Tata;SafariStorme;17 Jul 2020;Akhilesh Mishra;5.0; Daily Commute ;I fully enjoying my Tata Safari Storme.
Tata;SafariStorme;1 Dec 2019;Rajpoot Admin;1.0; Family Car ;Best raiding easy driving comfertable
Tata;SafariStorme;27 Oct 2019;Riyan Kaul;4.7; Tours ;the car is really nice overall it has good performance
Tata;SafariStorme;21 Sep 2019;Mohit Verma;5.0; Family Car ;Luxurious looking..Fast & furious...
Tata;SafariStorme;26 Jun 2020;Vincent Daniel;4.3; Family Car ;Very safe, comfort and reliable car
Tata;SafariStorme;2 Jun 2020;Kesar Singh;4.3; Family Car ;Nice but feel heavy
Tata;SafariStorme;20 Jan 2019;Anish Dey;2.0; Tours ;Tata has to change its style of interior and safety features because now a days its a compition market
Tata;SafariStorme;29 Jul 2018;Sankaran Jay..;2.0; Daily Commute ;poor service / spares support. not suitable for city drive. gear ratios need change.
Tata;SafariStorme;21 Feb 2019;Digvijay Jodha;4.0; Daily Commute | Tours | Occasional Commute | Family Car ;Good buy if you want a powerful beast , daily commute will make your wallet lighter
Tata;SafariStorme;18 Jul 2019;Chris Wright;4.3; Family Car ;its nice car but maintenance ways its little bit than other budget same car
Tata;SafariStorme;13 Aug 2018;Deepak Atray;3.3; Daily Commute ;Safari storme ex variant has best suspension and ride quality road presence.
Tata;SafariStorme;5 Jun 2019;Ashwani Singhal;4.0; Occasional Commute | Tours ;strome as name really tufaan hai , with top speed 190 with nitrogen tyre
Tata;SafariStorme;2 Aug 2019;Chaitany Cha..;5.0; Family Car ;Very comfortable with my car in local and long drive too
Tata;SafariStorme;8 Apr 2019;Siddaram Par..;4.3; Tours | Occasional Commute | Family Car ;This is a family car for long drives, very secure and comfortable
Tata;SafariStorme;29 Aug 2018;Balasubraman..;4.3; Daily Commute ;This is my 4th safari and I love the car for overall comfort.
Tata;SafariStorme;6 Dec 2018;Abhinav bhagat;4.3; Tours ;Nice car for long travels, performance of the car is good.
Tata;SafariStorme;10 Nov 2018;Ashutosh Tri..;4.7; Family Car ;It is a very good and a comfortable car for long rides
Tata;SafariStorme;17 Jul 2019;Yusuf Gajjan;4.7; Family Car ;Real beast for Indian roads. Great SUV
Tata;SafariStorme;11 Feb 2019;Shivanshpal ..;5.0; Family Car ;Best sub and better than fortuner
Tata;SafariStorme;16 Sep 2018;Chacko Plack..;4.7; Daily Commute | Family Car ;Comfort for long journey
