Company;Model;Date;User;Rating;Usage;Review
Tata;Vista;8 Feb 2020;APACHE RTR;4.0; Family Car ;It's a wonderful Car offering the best of features along with the safety among contemporary cars. But it disappoints on mileage front, as it delivers around 11 in the city and overall highway mileage is 14 on AC, if driven 80+, 16 if driven below 70. I feel it's turbocharger is the main cause for low mileage, it should have been properly tuned, but at the same time, you never feel short of power u pto 100.
Tata;Vista;25 Feb 2019;Vidya;4.0; Daily Commute ;I love my Indica Vista.. but I guess owing to the ageing of the vehicle the car has been giving a lot of repair works which is quite natural. However, the mileage during good and merrier days was not more than 11kmph on regular commuting roads within city and just about 14-16kmph on long drives at an accelerated speed pointing between 70-85. But overall it"s a lovely sturdy steady vehicle with amp le space inside and very comfortable to drive and maneuver with ease on the roads ... simply loved every bit of my journey with this handsome honcho, Indica Vista ofcourse ... ;-p ...
Tata;Vista;4 Nov 2020;Percy Jassawala;5.0; Family Car;The Vista D90 has superb acceleration and the Vista's cavernous interior design allows the whole family (and sometimes more) experience the mighty diesels pull. We have been experiencing 2020 hot hatch performances as early as 2013, thanks to this Tata Fiat combo at 2/3rd of today's prices.
Tata;Vista;2 Nov 2020;Prashant Singh;4.0; Daily Commute;Just love my Vista as it is...❤️Defeated Swift 5 times..my Vista is currently doing 199125 Kms.Total expenses on maintenance since day 1(its spine breaking nd sometimes Heart strokes also X_X) 2,35,000/-Overall love to own a Macho..Built by a Man, Built for a Man 🔥🔥🔥❤️❤️
Tata;Vista;23 Aug 2019;Nilesh Kamble;5.0; Daily Commute ;Very nice car, nice comfort, low services cost, easy spearparts available, I drive it through 4 states, never any problems no any compromise, last speed after 6 years use I tested 160KM/H....LOVE it never think to sold..
Tata;Vista;9 Sep 2020;Rupal Panchal;3.3; Family Car ;Ac was bad and this did not improve .overall lots of expenses on power window Dasboard non friendly , cannot keep material in sideStereo quality very poor in top end model
Tata;Vista;11 Apr 2019;Ajay Goswami;4.7; Daily Commute ;This is our driver driven car for my doctor wife. The performance of the car is proven to be excellent since 17years of use 90000km running. Highly stable and comfortable in high speed, though power/pick up is bit less at low speed. Any way overall we are satisfied with Tata Vista (Diesel).
Tata;Vista;16 Nov 2020;Abdul Karim;4.7; Family Car ;The best roomy car, Best safest car, Best family hatchback, Good mileage even after 1 lakh km.Even after 1 lakh it is my daily driver.
Tata;Vista;1 Aug 2020;Kampati Sidd..;4.0; Daily Commute ;Engine pickup is good, Lot of space Easy move to Rural areas Mileage is very good Stylish looking Seating capacity is very comfortable
Tata;Vista;17 Oct 2020;Chandan Kumar;4.3; Family Car ;It is a best choice, I knew when i bought it, It's look is awesome, It is very luxurious car.It has the best value of money.
Tata;Vista;23 Aug 2020;Abdul Kadar;4.7; Daily Commute | Occasional Commute;Tata ki sabse best car h majboot bhi or power full car7 years se me vista chala raha hu only sarvicingKoi dusara kharch nahi
Tata;Vista;3 Nov 2019;Rajiv Mathur;5.0; Daily Commute | Family Car;Though my car is 2012 model, but timely service and replacements have ensured that I drive an absolutely wonderful product.
Tata;Vista;11 Nov 2020;Vishal Kumar;4.5; Daily Commute | Occasional Commute;Tata is best in build qwalityTata is best in power performance in classTata is bad in spare avaibilty & service qwality
Tata;Vista;11 Oct 2020;Ali Md;5.0; Daily Commute | Occasional Commute;Iam shøukath Ãzêêz ♥️ iam living in toranagallu RS my father name is A.Chand basha .my brother name is jafar
Tata;Vista;15 Jan 2021;Robin Sharma;4.7; Family Car ;Good one happy with indica vista, Smooth driving experience as well as good points of safety, Low maintenance costs
Tata;Vista;30 May 2020;Rohit Umarwal;4.7; Daily Commute | Occasional Commute | Family Car | Tours;Experience Drive comfort and powerful car build Quality very good pickup so good overall performance so Excellent
Tata;Vista;3 Jun 2020;Bhuvan Ramesh;2.7; Daily Commute;Good and decent one. Maintenance charges hiking in now and hence, there is no point in continuing with the same.
Tata;Vista;12 Aug 2020;Bharat Chavan;4.3; Family Car ;Nice car super purfamance when I drive this car I feel god and like go to long drive with my family and friends
Tata;Vista;11 Nov 2020;E CARE;4.0; Daily Commute ;mileage is normal, Comfort is very good.Ground clearence is so good, Seating capasity so comfortable.
Tata;Vista;22 Dec 2019;Tosif Ali;3.7; Family Car ;Good car but this time is not more value in market but in 2009 to 20014 vista is best car.
Tata;Vista;5 May 2019;S Jeevanantham;3.3; Daily Commute ;10 years used. City mileage not good.service most useless by authorized dealers all over India. Very often some breakdown of spares. Safety wise very good. Comfortable driving
Tata;Vista;13 Dec 2019;GAUTAM SHARMA;5.0; Occasional Commute | Family Car ;best car for local and travel with 5family members...I want to sell this car in 2lakh
Tata;Vista;16 Jul 2020;Aaditi Devo;3.7; Family Car ;great car its been 11 years never had any major issues and the mileage is still great
Tata;Vista;29 Nov 2018;Fazal Ahmed;4.3; Family Car ;Very spacious car.. comfortable 5 can go easily..I have crossed 115k..kms maintenance is average quality of spares must improve... service centre poor..
Tata;Vista;8 Feb 2020;V Sarath;1.3; Daily Commute ;acceleration is decreased it is not going more than 80 speed
Tata;Vista;13 Mar 2020;Mukesh Singh;4.3; Family Car ;good experience with tata indica vista. Good car for family
Tata;Vista;28 Aug 2019;PRITHVI YADAV;4.0; Daily Commute ;Good for family ....It's also an satisfactory while you drive
Tata;Vista;19 Sep 2019;Sanvika Pawar;4.0; Family Car ;Best hai ,bt maintance cost is some higher than other
Tata;Vista;19 Aug 2019;Sireesh N;3.0; Tours ;Nice vehicles but it need heavy driving skills
Tata;Vista;4 Jun 2020;AVDHUT PATIL;5.0; Family Car;Outstanding car ❤️❤️ like a family member.
Tata;Vista;3 Jun 2020;Amol Jadhav;4.7; Daily Commute | Family Car | Tours;Indica vista own in 2012 in Aurangabad Maharashtra
Tata;Vista;12 Sep 2019;Mahanteshbp ..;4.3; Family Car ;It's quite a good vehicle for middle class family
Tata;Vista;10 Jun 2020;Anil Kumar;4.0; Daily Commute | Family Car | Tours;Good condition car nice performance good maillege
Tata;Vista;2 Jan 2020;Dipraj Bhatt..;4.3; Family Car ;Best mileage very good condition all paper are ok
Tata;Vista;25 Nov 2019;Desaiya Vidhya;3.7; Daily Commute ;It was well and good experience and happy driving
Tata;Vista;19 Oct 2019;Mun Bagulia;3.3; Occasional Commute | Tours ;Sound is loud but rest is hood.. low maintenance
Tata;Vista;6 Dec 2020;Nabarun Das;4.0; Occasional Commute;valu for money from tata...still worthy in 2020
Tata;Vista;30 Jul 2020;Nirmal Soni;3.3; Occasional Commute ;Good to use but not smooth not looking stylish
Tata;Vista;28 Apr 2020;Peter Anthony;3.7; Family Car;nice and very comfortable for five members.
Tata;Vista;6 Jun 2020;Nejeeb Naj;4.0; Family Car ;goodcar maintenance law good build quality
Tata;Vista;22 Aug 2019;Vikesh Bhandari;3.0; Daily Commute ;High maintenance after 5 yrs so not happy
Tata;Vista;30 Dec 2019;Sagar Anand;4.3; Daily Commute ;it is best car for middle class family
Tata;Vista;15 Aug 2019;Sumit Thakur;3.7; Family Car ;it's a very good car It has enough features Overall its a nice car
Tata;Vista;17 Jun 2020;Patli Agency;3.3; Family Car ;Ggggggggggggggggggggg hhfgjjhh vhhg
Tata;Vista;26 Sep 2019;Sunil Sharma;4.3; Family Car ;Nice car, more space then others
Tata;Vista;16 Jan 2020;Surya Kondur;4.0; Tours ;Vary comfortable Car Beautiful
Tata;Vista;28 Oct 2018;Nitin Kshirs..;3.0; Daily Commute | Family Car ;Good And spacious.Leg room too good.Turning on right the pillar hinders the view.Heater plug goes off now n then
Tata;Vista;18 Aug 2020;Nilesh Patil;3.7; Family Car ;Good car for small family & ruff and dirt road reliable car
