Company;Model;Date;User;Rating;Usage;Review
Tata;Zest;27 Jan 2020;Chetan Mehta;2.3; Occasional Commute ;Previously I had Tata Indigo and that was the Best Car from Tata, so I thought that this new Zest will be better than Indigo, but I am sorry that I am fail and my trust and faith to Tata Motors spoiled. I am travelling by car and I had to go for far distance from My Place Bhuj to Ahmadabad, Baroda, Gandhinagar capital of Gujarat. and other places. I thought that new Zest will be have good Average of Mileage then Indigo !!
Tata;Zest;7 Jul 2020;Rahul Puri;5.0; Daily Commute | Occasional Commute | Family Car | Tours;Small explanation.....It's Much Much Better than Maruti Suzuki Swift Dzire ,Just the Comparision where Dezire wins is Mileage and that too by just 3 to 4 km / lt otherwise features ,Comfort , Reliability and all other factors Zest is Far better than Dezire,Can say because Of being pre owner of Dezire which I bought in 2010 and sold in 2014 to buy Zest
Tata;Zest;15 Oct 2019;Dineesh Kumar;3.0; Family Car ;मुझे बहुत पसंद है, इस सेगमेंट मेंइसका मुकाबला कोई और कार नही कर सकती,माइलेज और मेंटनेंस, पिकअप, स्पेस इसका लाजवाब है
Tata;Zest;5 Nov 2019;Rahul Tholath;4.0; Occasional Commute | Family Car | Tours ;The car isn’t a wonderful family car and it is a very good performers when it comes to lob Gud rides and people power delivery. The only drawback is that in spite of being only a 1.2 L Petrol engine, the mileage of 11 kmpl in the city is very poor.
Tata;Zest;17 Jan 2021;Ott services;4.7; Daily Commute ;The tata zest is one of best car in its segment.As it provides most spacious cabin.The 75 bhp engine is very effective and provides a nice and punchy performance.Overall it's a nice car but lacks some of the features.
Tata;Zest;8 Jul 2020;Sudheer Chau..;5.0; Daily Commute ;I liked it, never put me in trouble except for once for change of battery. Overall a best vehicle. Nearly no maintenance, changing tyres and once changed timing chain.
Tata;Zest;10 Dec 2020;Nitin Pathak;5.0; Daily Commute ;Ultimate Value for money Autlogear Diesel Car with comfortable city ride. Also amazing 16 kmpl avarage with AC on in city traffic with very low cost Maintainance.
Tata;Zest;11 Sep 2020;Swaminath Ka..;2.0; Daily Commute | Occasional Commute;Tata cars are godd for lokking and performance but only one issu is tata's after sel service is very very third class specialy solapur city (sterling motrs )
Tata;Zest;17 Jan 2021;Abhijit Bongale;4.7; Daily Commute | Family Car | Tours ;Car is good in that price tag as come with almost all safety features and even blue tooth connectivity with harmon music system.One of the best family car.
Tata;Zest;28 Sep 2019;Vinoy Wilson;4.3; Family Car ;A good car, smooth engine, not a bad choice but unfortunately production has been stopped, but satisfied with this car, spacious car can say a family car
Tata;Zest;13 Jan 2021;Sachin Chavhan;3.3; Family Car ;No average high mentenance.Performace is good.But car give very lessees average not satisfied with average then other wise car is good.Nice performance.
Tata;Zest;30 Apr 2019;Harsh Kumar;5.0; Family Car ;we bought our Tata Zest 2 years ago and still we feel that it is on par with all the new sub 4-meter sedans be it Amaze or Tigor or Aspire. The car is extremely comfortable with more than enough power on offer. our car is Petrol XM varient.
Tata;Zest;8 Dec 2020;Nayansinh Ga..;5.0; Daily Commute | Occasional Commute;I have used Tata Zest XE RT for 3 years and it was superb experience with my car, i will surely not sell my car if I'm not going to UK. I love Zest.
Tata;Zest;8 Apr 2020;Aravinda Ker..;4.3; Family Car ;City mileage is poor, around 14,highway mileage is around 19. Spacious and stable, great to drive on the highways. Very comfortable for 5 people.
Tata;Zest;24 Aug 2020;JO ANGEL;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;WONDERFUL car I love it. Tata is best company.thank you TATA .BEST MILEAGE. BEST PERFORMANCE. EASY MAINTENANCE.MY FAMILY LOVE THIS CAR
Tata;Zest;17 Mar 2020;Amit Shaw;2.7; Tours ;A very bad experience with the car with overall impact and specially the clutch gets replaced frequently and has many problems 😡.
Tata;Zest;3 Sep 2020;;4.7; Occasional Commute ;Good but mileage is very poor ...overall it's a beast . ❤️❤️❤️❤️ Love it .. speed experience is good ..
Tata;Zest;14 Sep 2020;Shah Nawaz;4.8; Daily Commute | Occasional Commute;Best for mileage class and space handling power a bit low but the ground clearance long trip cabin space is all good
