Company;Model;Date;User;Rating;Usage;Review
Toyota;EtiosCross;27 Apr 2020;Harsh Doshi;4.7; Daily Commute | Family Car | Tours;Its almost been 3 ears since I own this car. I would just like to say, that if you are looking for a car in this segment. This is a car to go for. Spacious (for sitting) even healthy people can sit comfortably. The plastic body if very strong to absorb all the minor impact due to dumps and hits on roads. Your car looks with not be impacted as the black plastic will remain as it is with all the hit s. I accidentally jumped over a broken road during my trip to gujarat. I felt like driving a rally car. The car didnt had any damage (excellent shock absorbers).The seats are much more comfortable, the riding experience is excellent.What i didnt like:Small boot space Mileage (approx 13 on highway 9 in mumbai city - you know the traffic well)Spare tyre is a normal one not alloy
Toyota;EtiosCross;12 Feb 2020;Raynald Lewis;4.3; Family Car ;Very reliable car and has fairly good looks with the cladding. The only drawback is the low ground clearance due to which at speed-breakers it tends to touch the underbelly unless you are dead slow and maneuver very carefully.
Toyota;EtiosCross;14 Sep 2019;Vaibhav Rana;4.3; Occasional Commute;A pretty good car overall, the plastic outside doesn"t do anything but make it look rugged. It actually gets damaged really quick by the slightest thing. Otherwise a pretty good car
Toyota;EtiosCross;12 Sep 2019;Balakrishna ..;5.0; Occasional Commute | Family Car | Tours ;i am happy to have this car, but i am scared that this model of car is stopped manufacturing
Toyota;EtiosCross;10 Sep 2019;Vallinayagam S;4.3; Daily Commute ;Dependable and practical. Very comfortable, easy to drive, good for daily commute and long drive as well. Value for money. Excellent service.
Toyota;EtiosCross;11 Oct 2020;Samrat Chanda;5.0; Occasional Commute | Family Car ;Low maintenance cost , smooth to drive , spacious enough for three adults to sit comfortably at the back. Decent interiors , safety features
Toyota;EtiosCross;23 Jun 2020;LITTO THOMAS;4.3; Daily Commute ;1 Very bad on engine oil burning 2 Leeking in rain3 Two times changing fuel pipe that starting from led4 very bad behaviour at showroom s
Toyota;EtiosCross;10 Oct 2019;Vishal Chaud..;4.0; Daily Commute | Tours ;This car if loaded beautifully and increase its ground clearance upto 15 to more mm has a potential to be a budgetary mini copper....
Toyota;EtiosCross;18 Jan 2021;Mabe Sebolao;5.0; Daily Commute;good but I'm struggling with parts I'm looking for rear window, windscreen, complete front bumper, left head lamp and left fender.
Toyota;EtiosCross;19 Jan 2021;Deepak Dass;5.0; Family Car ;Excellent car.We had a volks wagon jetta turbo.And a mercedes too in us.Very happy with toyota.Great for indian roads.
Toyota;EtiosCross;15 Aug 2020;Chirag Patel;5.0; Family Car ;Unmatched hatchback I have ever seen . 10 out of 10 marks to Toyota. I m really very proud to own a Toyota Etios
Toyota;EtiosCross;5 Nov 2020;Charan Kumar;5.0; Daily Commute | Occasional Commute | Family Car | Tours;super car and comfortable and over all ga super
Toyota;EtiosCross;26 Oct 2019;Dev Bhumi;5.0; Daily Commute ;dev bhumi dwarka dwarkadhish bhojabha manek
Toyota;EtiosCross;5 Dec 2020;Devendra Bur..;5.0; Family Car;excellent, low maintenance and durable car
Toyota;EtiosCross;26 May 2019;Arun Rout;4.7; Family Car ;Fully satisfied family car. More spece more comfortable specially driving is very enjoyable. Needs slight ground clearance extra.
Toyota;EtiosCross;24 Jul 2020;Rajathraj J;4.7; Occasional Commute ;Beautiful design ed car for India n roads
Toyota;EtiosCross;19 Dec 2020;Sohan Singh;1.3; Daily Commute | Occasional Commute | Family Car | Tours;ajssjsjsjdjswiifufufuccjdjdjxjcjc
Toyota;EtiosCross;5 Dec 2020;Manoj Kumar;5.0; Family Car;luxury car and looking best model
Toyota;EtiosCross;21 Jan 2020;Raghu Sam;4.7; Tours ;great awesome I feel comfortable
Toyota;EtiosCross;16 Dec 2019;Cmani Kandan;5.0; Family Car ;smooth engine with good comfort
Toyota;EtiosCross;27 Nov 2020;Manas Samal;4.3; Daily Commute ;It is truly good for me. Because since last five years I have been driving it, with no machinery problem. It is very much comfortable to sit and drive in comparison to it's rival. I am satisfied.
Toyota;EtiosCross;12 Jan 2019;Rahat Khan;4.3; Family Car ;it is the best car, Merer pass ek i20 latest modal car bhi h but this is my favourite
Toyota;EtiosCross;20 Apr 2019;Sunit Dutta;5.0; Daily Commute ;Its my car...good for going in heavy traffic areas as it allows to peak into gaps.
Toyota;EtiosCross;6 Mar 2019;Rampreet 985..;4.0; Family Car;Etios is best for 4 members family and I use daily but it’s mini suv car.
Toyota;EtiosCross;11 Feb 2019;;4.7; Daily Commute ;Compact size for local use & as well on highways
Toyota;EtiosCross;2 Sep 2018;Landmark Rea..;3.7; Family Car ;Engine is powerful & pick up is nice. Nice car
Toyota;EtiosCross;15 Feb 2019;Rahul Patidar;5.0; Family Car ;I think it"s nice carIt"s looking good
Toyota;EtiosCross;7 Feb 2019;Hanumant Singh;5.0; Daily Commute ;Overall satisfied with the performance
Toyota;EtiosCross;30 Jan 2019;Himanshu Bhuyan;5.0; Daily Commute | Family Car ;Its powerful and it never breaks down.
Toyota;EtiosCross;6 Aug 2018;Manoj Mathur;4.0; Daily Commute ;Low maintenance car and is Spacious
