Company;Model;Date;User;Rating;Usage;Review
Toyota;Fortuner20162021;30 Sep 2020;Sunil Agarwal;4.0; Daily Commute | Tours ;ITS A GREAT CAR TO OWN AND DRIVE, The moment i sink in the driving seat, i want to take it for a long drive, though we have multiple cars at home, this is my most FAVOURITE even for the shortest of travel. feel like KING on the throne (mounted on an elephant). mine is 4 W but personally not used till date
Toyota;Fortuner20162021;30 Nov 2019;Abhiraj Ghumre;4.3; Daily Commute | Family Car | Tours ;nice suv, milage thada kam hai pr koi bat nahi, maintenance me bhi 9000 se 10000 lag jate hai, safety ke mamle mai 1no. hai , features bhi aachi hai ,style bohot hi badhiya hai, comfort mai bhi aachi hai long ride ke liye mast1hai,aur last bhai performance to bohot hi badhiya hai
Toyota;Fortuner20162021;4 Aug 2020;Prithpaal Singh;4.3; Daily Commute ;Nice Car...Sitting comfort is need to improve in back seats. Little cost of vehicle is also in higher side....but over all its good ...Seeing other product, its very good . We request to make it in Electrical ...operated which will help in Cost cutting , and also save enviorment...
Toyota;Fortuner20162021;4 Mar 2020;Vishal Sangle;4.7; Family Car | Occasional Commute | Daily Commute | Tours ;Fortuner completely stands on Toyotas built quality. I'm very satisfied by fortuner, its a value for money car. The engine performance and overall all driving experience is pretty good. Fortuner is bit lack of modern features else everything is fine.
Toyota;Fortuner20162021;18 Sep 2020;Suraj Bansod;5.0; Family Car;The best suv, I can say in this class, safety features are best the suspension are really amazing long tour's are awesome with fourtuner, also comfortable, bulid quality is also good, I will recommend this car best in segment
Toyota;Fortuner20162021;23 May 2020;Friends Comedy;3.3; Family Car;I think the mileage should be more and the comfort should be more and rest all the features are good and there is a need of sunroof in this car because we are spending 40 lacks and we don't expect a sunroof.
Toyota;Fortuner20162021;2 Sep 2019;Mayank Pancholi;4.0; Occasional Commute | Tours ;This vehicle is a beast. The performance is superb and I super powerful engine with great torque. suspensions are awesome and a very good design, The thing I don't like about this car is mileage.
Toyota;Fortuner20162021;23 Dec 2019;Anish 2608;4.7; Daily Commute | Family Car | Tours ;it is a great car as you all know. It is a really great machine world wide .It is very stylish and bold. just the infotainment system is slow otherwise it is a great car with great power.
Toyota;Fortuner20162021;12 Mar 2020;Ankush GUPTA;3.7; Occasional Commute ;it is really a very good suv having 4*4 . immense pleasure to drive such a great vehicle which gives you the kick and sheer pleasure not only to drive; even sitting on it is a delightful
Toyota;Fortuner20162021;1 Jun 2020;VR GAMING;4.3; Family Car;the best car by the toyota brand.the only thing the fortuner is lacking is the panaromic roof.if fortuner provides this feature.i think the sale swill be much better.#fortunerindia
Toyota;Fortuner20162021;13 Sep 2019;Vishal Patil;4.7; Family Car ;I do occasional off-roading and it’s does perform really well but Toyota’s stock suspension is not that good planning for suspension upgrade like ironman and oldman emu
Toyota;Fortuner20162021;18 Jan 2021;Kushagra Kes..;4.7; Daily Commute | Occasional Commute;Car is full of features but one problem is that the seat is not comfortable for long trip other thing is very good i like this car very much but only seating problem
