Company;Model;Date;User;Rating;Usage;Review
Toyota;Glanza;9 Jan 2021;Abhiraj Jit;4.3; Family Car;I have not owned the Toyota Glanza but had experienced this car through a test drive. Styling and comfort are great on the car and there are absolutely no complaints about the car. The seats of the car feel very wider and offers great comfort despite being a small car. Rear cabin does not feel claustrophobic which is appreciable. The build quality is something that can be better in order to justif y the Toyota badge as Toyota was safe and should remain safe. Interior quality is not very extraordinary and there are hard plastics. As a co-passenger, I noticed that the Chassis was light and there was a little bit bounciness which makes it feel being lighter. In terms of engine performance, the car did a great job due to less weight. According to my final verdict, I would say that this is better for short distances with families but not for highways or enthusiastic driving.
Toyota;Glanza;27 Nov 2020;Nitish Ramaraj;4.0; Daily Commute ;Toyota glanza more commonly known as the rebadged baleno.Well it's ok to get a baleno with the toyota support.A very comfortable car would never disappoint you.Performance is more than enough for daily city commute and occasional highway trips.Only downside is the mileage i get in city is not that great around 10 but on the highway i get 20.Other problems include the ground clearance problem some how i keep hitting it down to the speed breakers and yeah it's a pretty bad build quality, Just for a small crash the car gets damaged badly.Make a wise choice before getting this, Consider the other cars in the market now!🙂.
Toyota;Glanza;4 Oct 2020;Mohit Singh;3.8; Daily Commute | Occasional Commute;The first question is why should you buy a glanza over a baleno then 1st. Cheaper (g hybrid and g variant ) 2nd lesser waiting period ,rest the car on its own is spacious, comfortable, fuel efficient, good for city runabout and the maintenance thanks to toyota e-60 service and app you get the exact amount you have to spend on the servicing of the car Tried to keep it short and simple hope should h elp
Toyota;Glanza;5 Dec 2020;Senthil Nathan;5.0; Daily Commute | Occasional Commute | Family Car | Tours;Very good car far better than Altroz performance, but when coming to build quality it's 2 step below than Altroz. -Altroz saftey car with awesome build quality-Glanza stylish Fun to drive car with decent build quality.
Toyota;Glanza;8 Oct 2020;Alok Shukla;4.3; Daily Commute ;I am using smart hybrid model since last 1year and 4 month. Till now got very good average 26kmpl. Body is very light so very prone for dent. Space and comfort is very good. Service experience at toyota was good.
Toyota;Glanza;14 Jan 2021;Soumik Nag;4.2; Daily Commute | Occasional Commute;No car at this price can match with the features and comfort. I own the hybrid model and earn a fuel efficiency of 17 kmpl in city. Could have had a better built quality though.
Toyota;Glanza;15 Dec 2020;Jyothsnaredd..;5.0; Occasional Commute | Family Car ;Very good car for a family with more boot space and pretty comfortable for occasional highway trips.I am happy with it and i am sure you will get same.
Toyota;Glanza;23 Dec 2019;Anish 2608;4.7; Daily Commute | Family Car ;it is a very stylish car. the performance is nice . it is very spacious and comfy. The light weight of the car is one issue with me
Toyota;Glanza;14 Mar 2020;Nadimpalli T..;4.3; Daily Commute ;Iglanza hybrid gives mileage of 20 in city limits and gives 28 in national highways.overall performance is very good.
Toyota;Glanza;8 Oct 2020;Smily Rostus;4.0; Daily Commute | Occasional Commute;Good all rounder car for the family. Great Highway mileage of 20 to 22kmpl. In the city however expect 12 to 14kmpl
Toyota;Glanza;31 Jul 2020;Suraj Singh;4.3; Daily Commute | Occasional Commute | Family Car | Tours ;Top speed is about 150kmph. I like about this car is the Interiors that makes me feel better....
Toyota;Glanza;12 Oct 2019;Pranay Bapna;4.7; Daily Commute ;It has been amazing since I have bought it and would recommend it over its rivals.
Toyota;Glanza;7 Jun 2020;Gujjar Veer;4.3; Family Car;great looking and starting at maintenance this car good
Toyota;Glanza;8 Feb 2020;Safwan Maliy..;3.7; Family Car;nothing to say about it. if you want much will say later
Toyota;Glanza;20 May 2020;Abhishek Dan..;4.7; Daily Commute | Family Car | Tours ;Very smooth gear shifting with fine drive quality.
Toyota;Glanza;15 Nov 2019;Rishi Bhateja;4.3; Family Car;Fully satisfied with this car ❤❤❤❤❤❤
Toyota;Glanza;22 Jan 2021;Kamal Bhatt;5.0; Family Car;it's fantastic family car and also stylish car
Toyota;Glanza;9 Nov 2020;Durgesh Gupta;5.0; Family Car;very good with all featured car in our budget.
Toyota;Glanza;20 Mar 2020;Prosenjit Ba..;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Vary good car in Toyota glanza I love this car
Toyota;Glanza;16 Feb 2020;Prashant Ahire;5.0; Daily Commute ;very premium looking car....my FAVOURITE 😍
Toyota;Glanza;5 Oct 2019;Shiv Pharma;5.0; Family Car ;comfortable and safety and family use car
Toyota;Glanza;5 Oct 2019;Shiv Pharma;5.0; Family Car ;comfortable and safety and family use car
Toyota;Glanza;4 Jun 2020;Aasif Khan;3.0; Daily Commute | Occasional Commute | Family Car | Tours ;Mujhe glanza achi lagti h yah aramdayak h
Toyota;Glanza;10 Sep 2020;Anil Bharati;5.0; Daily Commute;G varient On road price kya hai batao
Toyota;Glanza;28 Oct 2019;Bicku Shukla;3.0; Daily Commute ;its comfort but not best for mileage
Toyota;Glanza;26 Jun 2020;Senthil Krishna;4.7; Family Car ;Good car super maintenance perfact
Toyota;Glanza;21 Dec 2019;AnK T;5.0; Occasional Commute | Family Car ;Best car with best features....
Toyota;Glanza;13 Mar 2020;Hemanth Sala..;3.7; Family Car ;mileade in not as expected.
Toyota;Glanza;18 Jun 2019;Siju Sathyadas;3.3; Family Car ;Comparing with front look the back feels it is very small car
Toyota;Glanza;15 Jun 2019;Jai Patel;5.0; Daily Commute | Occasional Commute | Family Car | Tours ;Good one for me it is best. Everyone should buy it
