Company;Model;Date;User;Rating;Usage;Review
Toyota;Innova;16 Dec 2020;Anand Tom;5.0; Daily Commute | Tours | Family Car ;The 2013 innova 2.5v is a real joy to drive.Despite its simpleton mpv looks it's an absolute fun to drive this on the roads.Be it long stretches or sharp bendy corners or hairpins the innova will take on em like a boss.The drive of the vehicle is what i really enjoy the momment you are in the driver seat and turn the keys and fire up the engine 2.5l turbo diesel comes to life with a heavy rumble a nd bass.And if you are diesel head you will really enjoy this part especially.As you stick into the 1st gear and let the clutch loose the transmission of power is just instantaneous and linear and yet there is subtle balance in its delivery she just takes off into the road.Initially whenever i drove the innova i felt the lack of power.But it was due to my inexperienced and immature drive style that caused this.And the more i drove it.I understood the engine better.And rather driving it like a petrol engine i drove the way a diesel engine should be driven.And that is by giving enough and more revs while attaining the right speeds to shift.Also you needn't always be at a higher gear while driving this.Its all about keeping the mechanicals in their sweet spot and if you keep the engine in its sweet spots which are the bottom and mid ends the innova really becomes an amazing machine to drive.The steering is really precise and gives enough information as well.Although i find slightly more on the heavier side and also a bit of hassle in manoeuvring in tight sity spaces.But it is possible to take this car anywhere due to its streamlined body.Also this being a rear wheel drive makes the innova that much fun to drive as well.The drive of the innova is so good that it has enough acceleration in the 5th gear to keep moving forward in the highways, You can do a 1000km journey without a break on the innova.Infact it can still hold off against modern cars in terms of performance and can outlast most of the vehicle sold in todays market.Its a lot better than owning a south korean tin can that has so many fancy features and no real drive.
Toyota;Innova;27 Aug 2020;Sanket Naik;3.0; Daily Commute ;Best car Using the car from last 7 years Till now nothing major problems with carOnly changed tyre and disc pads Cars runs fantastic even after completing 120000 kms and only problem is the mileage is low as 2.5 litre engine drinks up a lot of diesel in city roads I get mileage around 9-11 and high ways 12-14
Toyota;Innova;11 Jul 2020;Tejas Raval;4.3; Daily Commute | Tours ;Over the years the car has completed 170000 KM mark and still going strong. Low on maintenance and the build quality is amazing. I have the one with middle row captain seats.The ride comfort is amazing too.
Toyota;Innova;9 Jun 2020;Navnit Kumar;5.0; Family Car ;The one car which has highest comfort and luxury features and is the best vehicle for any kind of road which is very smooth to drive any number of kms... I feel it very comfortable then any high end cars
Toyota;Innova;28 Sep 2020;Chote Thakur;5.0; Tours ;Perfect no competition in Market in a every situation and safety wise. I suggest Toyota having everything for his customers because japanese technology always perfect.
Toyota;Innova;10 Aug 2020;Baliram Shukla;4.7; Occasional Commute | Family Car ;Innovation is very comfortable vehicle ,I want to chenj it ,watching which one will be better in automatic transmission with panoramic sun roof & crouise control...
Toyota;Innova;19 Aug 2019;Godfrey Rodr..;5.0; Occasional Commute | Family Car;Very Nice and super fantastic car.Had good experience .Very Comfortable.No person will get tired during long journey.Best car for long travel.
Toyota;Innova;29 Jun 2020;Jagan Pm;4.0; Family Car;2005 model innova is really a good car iam really in love with that car iam using this for past 15 years and i still love my car but the only problem is the sound
Toyota;Innova;16 Nov 2020;Suraj Tiwari;5.0; Tours;Good car the engine power is just next level reliable as well as it can go almost everywhere braking is also good abs works absolutely well in every condition
Toyota;Innova;11 Feb 2020;Sameer Yadav;5.0; Tours ;मै इनोवा 3 साल से ड्राइव कर रहा हु बहुत ही कॉम्प्टेबल गाड़ी है
Toyota;Innova;9 Aug 2018;Jimmy Mehta;4.3; Family Car ;There is no car comparable to Innova comfort for passenger & driver along with all additional space & legroom & dual A/C uniform comfort. Have driven from Mumbai to Leh-Ladakh to down south to Kodaikanal & many more destinations & ofcourse Goa.
Toyota;Innova;6 Dec 2019;Babu Varghese;4.3; Family Car;Good performance.comfortable and date. Service is also not very expensive. Visibility on the right side is not adequate while driving in dark rain et.
Toyota;Innova;24 Aug 2020;Syed Shahid;5.0; Family Car ;Very satisfied And happy'to use this vehicle happy happy happy happy happy happy very comfortable family satisfaction spaces 8 seats good Road grip
Toyota;Innova;25 Oct 2020;Robert Gnana..;5.0; Family Car;Innova diesel V has been my trust-worry companion for many years. I use it for both lonely and family trips. It irresistibly stirs envy in others!
Toyota;Innova;2 Sep 2020;Jaidev Parikh;4.3; Daily Commute | Occasional Commute;The car is very exicutive and it gets a luxury feeling that any other MPV gets. Yaa mileage is Low..but the Luxurious feeling is awesome ❤️
