Company;Model;Date;User;Rating;Usage;Review
Volkswagen;Polo;23 Sep 2019;Rajath Kiran;4.7; Daily Commute | Occasional Commute | Family Car | Tours ;It's been 5 Years I have been driving this car. You get to used to it so much ,that you start feeling the other cars are not up to the mark. Not to mention, quality, the heavy yet light to handle, easy manoeuvring, safety are the best features. You may feel the mileage to be a little low in the city, but when you hit the road, easy 22-23 kmpl when you maintain speed of 100-120kmph. But you may dro p down to 19-20kmpl over 140kmph. I personally have touched 170kmph easy till now and the control it awesome.When I first thought of buying it, was a little sceptical, but now.. believe me, if I change I may go back to the same as it"s sets your expectations to a standard, and you, without realising will start expecting the same quality and standards in other cars. Thank you Volkswagen for this go to car. Expect your golf in India soon.
Volkswagen;Polo;1 Apr 2020;Surajit Mohanty;4.7; Daily Commute | Family Car ;i have been using the car since last 7 year and particularly since last three year my daily commute is around 100km/day. car was run so far 75k km and most of the 90% driving done through country side road like pot holes,speed breaker,ups and downs. Vehicle handling,control and comfort in this road was good. indeed my driving was bot rough, so i have replaced the shocks system in FR and RE as well . Mileage i am getting it 15.5km/liter for petrol. Maintenance in service center is bit disappointing as cost is overly priced. So go far outside garage and use the spare from Boodmo which will help to reduce the cost... rest all are okay. So far i am looking far a change but unable to get a replacement for POLO.
Volkswagen;Polo;2 Jun 2020;Gopal Krishna;2.0; Family Car ;Recently I mate with an accident with one dog in the NH16, my Radiator, Carrier, Grille, Vent, Coolant leakage, it has cost 17K in the showroom and after I got repaired in VW Showroom in Vijaywada after 50 km drive again my car temperature increased to 125 Centigrade and now some issue in Engine due to leakage of Coolant in the engine. And the day before yesterday I handover my vehicle to VW Visak hapatnam showroom and now they are giving an estimation of around INR 3 lakhs 39 thousand. I am fully fed up with this vehicle and the company. Someone can help me to know how much will be the cost to repair the engine?
Volkswagen;Polo;16 Sep 2019;Vijay Sachdeva;5.0; Family Car ;Outstanding. Driven almost every hatchback, but found polo is best. People says its service cost is on higher side. I have not found such issues with my polo. And if you have to spent 2 or 3 thousand rupees extra annually.i think its nothing to lose.Build quality of this car ride. Handling.comfort.5 stars. Only con i found is a little noisy. Otherwise go for polo. Best ever mini car for your famil y.
Volkswagen;Polo;17 Sep 2020;Dhvinay PV;3.7; Occasional Commute | Family Car | Tours ;A comfortable vehicle with a good plush interior despite getting the lowest variant. The vehicle is generally expensive to maintain, both service-wise and spare-wise, so take this into account if planning to get a VW car. The car is built complicated- so if expeditions are expected, the risk of a local mechanic not being able to help you creep home in case of any failures is high.
Volkswagen;Polo;13 Apr 2020;Prasad Jss;4.3; Family Car ;I've completed 50,000 Km and owning the Car from 2013, Since 7 Years.The only backlog in my Car is this TDi Trend line model doesn't have ABS Braking System.Otherwise the Car is world class in its Style.Handling & Engine Performance. mileage Max. 24.4 kmpl. (Full tank to Full tank testing) Overall Average 20-21 Kmpl. I want to upsize Tyre 175/70 R14 to185/70 R14 What's your opinion
Volkswagen;Polo;23 Nov 2019;Md Nabeel;4.0; Occasional Commute ;1.I just bought the car because of the style and riding comfort . When hearing the name POLO every citizen have craze about the car .2.The car absolutely fabulous about in the side of riding comfort. IAM not a person who look about the mileage of the vehicle even though I get an affordable mileage .normally am living in the city it give a better mileage.
Volkswagen;Polo;31 Dec 2019;Jhantu Dey;4.0; Daily Commute ;polo is a very comfortable car with good ground stability. specially when I go for a long drive, I felt the pleasure to drive it. The mileage of this car is average. Its built quality is very good..I felt some lacking in power for initial speed after starting the car. After 30 Km/Hr speed it accelerate very fast. overall a very good car.
Volkswagen;Polo;29 Jan 2020;Varun Kumar;3.3; Family Car ;Sporty and love to drive. Every time you are on the wheels you feel happy and it was not about speeding but relaxing even with 120s. Trouble will trouble you.If it's a trouble, say a dent or a battery drain or a suspension you have to shed out your savings.Yearly 15-20k needed to keep the cutie perfect otherwise it was your best friend
Volkswagen;Polo;5 Nov 2019;Nithin CS;4.3; Family Car ;In my experience of My polo performance and safety wise its a better choice but maintenance cost is too high comparison with available models of this price range. But if you need as a best performing car with safety and classic look in a average budget its a good choice.
Volkswagen;Polo;24 Oct 2020;SOUMEN MANDAL;4.0; Daily Commute | Occasional Commute;I'm driving Polo 1.2 TDI since August,2013. Till date I've driven 1,21,000 km. Most stable car on Highways. Good pickup . In short it is a true driver's car. Will love to replace it with 1 litre TSI but expect Volkswagen to make it a little bit more feature rich car.
